date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.2,14.35,14.2,14.27,13314.0
2021-03-11,14.38,14.435,14.38,14.435,4654.0
2021-03-10,14.33,14.4,14.33,14.4,1451.0
2021-03-09,14.3,14.3,14.26,14.3,1239.0
2021-03-08,14.24,14.26,14.24,14.26,321.0
2021-03-05,14.19,14.2449,14.14,14.24,2529.0
2021-03-04,14.36,14.4,14.2019,14.26,5543.0
2021-03-03,14.29,14.32,14.2581,14.29,5126.0
2021-03-02,14.25,14.366,14.25,14.34,2411.0
2021-03-01,14.16,14.4,14.16,14.32,7608.0
2021-02-26,14.12,14.2515,14.12,14.25,2764.0
2021-02-25,14.15,14.17,14.11,14.11,4456.0
2021-02-24,14.2,14.25,14.13,14.25,26985.0
2021-02-23,14.28,14.2991,14.21,14.22,47026.0
2021-02-22,14.38,14.38,14.31,14.34,14541.0
2021-02-19,14.5,14.5,14.38,14.38,23622.0
2021-02-18,14.56,14.5601,14.5,14.5,29115.0
2021-02-17,14.56,14.62,14.56,14.56,13557.0
2021-02-16,14.51,14.5726,14.51,14.56,17625.0
2021-02-12,14.64,14.66,14.61,14.61,12115.0
2021-02-11,14.74,14.74,14.68,14.68,757.0
2021-02-10,14.67,14.72,14.66,14.68,17649.0
2021-02-09,14.59,14.66,14.58,14.66,20225.0
2021-02-08,14.43,14.58,14.43,14.57,31557.0
2021-02-05,14.4852,14.5222,14.45,14.45,18731.0
2021-02-04,14.43,14.48,14.4,14.43,17684.0
2021-02-03,14.42,14.49,14.42,14.42,12291.0
2021-02-02,14.42,14.465,14.42,14.43,10926.0
2021-02-01,14.55,14.55,14.42,14.42,11978.0
2021-01-29,14.45,14.5086,14.43,14.45,9944.0
2021-01-28,14.38,14.46,14.35,14.45,16358.0
2021-01-27,14.5,14.5,14.34,14.41,21264.0
2021-01-26,14.35,14.45,14.35,14.4,24874.0
2021-01-25,14.42,14.42,14.36,14.37,20261.0
2021-01-22,14.31,14.3853,14.31,14.35,82831.0
2021-01-21,14.41,14.48,14.25,14.2801,30253.0
2021-01-20,14.34,14.4402,14.34,14.415,11253.0
2021-01-19,14.35,14.41,14.34,14.34,25841.0
2021-01-15,14.42,14.4661,14.4,14.4,8380.0
2021-01-14,14.48,14.48,14.42,14.44,8090.0
2021-01-13,14.42,14.51,14.42,14.51,45065.0
2021-01-12,14.46,14.5789,14.4001,14.5301,8409.0
2021-01-11,14.49,14.51,14.49,14.5,2517.0
2021-01-08,14.53,14.5834,14.49,14.52,17744.0
2021-01-07,14.61,14.61,14.52,14.57,5290.0
2021-01-06,14.85,14.8899,14.55,14.67,15870.0
2021-01-05,14.85,14.9,14.85,14.9,2967.0
2021-01-04,14.86,15.0,14.85,14.85,17391.0
