date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.46,25.5,25.41,25.5,8156.0
2021-03-11,25.4,25.54,25.4,25.52,15474.0
2021-03-10,25.39,25.39,25.31,25.39,11764.0
2021-03-09,25.27,25.39,25.27,25.39,6894.0
2021-03-08,25.38,25.38,25.24,25.34,19738.0
2021-03-05,25.12,25.33,25.12,25.3,21795.0
2021-03-04,25.33,25.42,25.099,25.1,34414.0
2021-03-03,25.34,25.3891,25.2548,25.37,12693.0
2021-03-02,25.33,25.4,25.265,25.3,12465.0
2021-03-01,25.41,25.41,25.21,25.24,16051.0
2021-02-26,25.3114,25.33,25.1184,25.33,32416.0
2021-02-25,25.109,25.21,25.02,25.18,57919.0
2021-02-24,25.2,25.2393,25.11,25.2,17196.0
2021-02-23,25.25,25.25,25.16,25.24,27099.0
2021-02-22,25.3,25.3,25.25,25.25,17437.0
2021-02-19,25.32,25.36,25.28,25.31,27135.0
2021-02-18,25.35,25.3682,25.27,25.35,33260.0
2021-02-17,25.32,25.3699,25.26,25.36,21302.0
2021-02-16,25.37,25.3894,25.3,25.33,21255.0
2021-02-12,25.37,25.39,25.2501,25.39,24190.0
2021-02-11,25.46,25.46,25.35,25.4,27773.0
2021-02-10,25.75,25.83,25.73,25.8,17058.0
2021-02-09,25.75,25.8,25.74,25.8,13549.0
2021-02-08,25.66,25.76,25.66,25.75,11101.0
2021-02-05,25.7,25.76,25.684,25.74,12595.0
2021-02-04,25.65,25.7594,25.61,25.73,15584.0
2021-02-03,25.7,25.72,25.57,25.65,8960.0
2021-02-02,25.61,25.71,25.61,25.68,15803.0
2021-02-01,25.63,25.66,25.55,25.64,18807.0
2021-01-29,25.63,25.7,25.495,25.64,41102.0
2021-01-28,25.5317,25.68,25.51,25.68,10841.0
2021-01-27,25.59,25.67,25.55,25.55,11891.0
2021-01-26,25.68,25.71,25.6,25.66,11567.0
2021-01-25,25.7306,25.74,25.64,25.68,19022.0
2021-01-22,25.59,25.74,25.59,25.74,13268.0
2021-01-21,25.6802,25.72,25.63,25.7,12178.0
2021-01-20,25.73,25.73,25.6735,25.72,10708.0
2021-01-19,25.6,25.74,25.54,25.74,12796.0
2021-01-15,25.64,25.69,25.6,25.69,12807.0
2021-01-14,25.63,25.64,25.45,25.64,24546.0
2021-01-13,25.44,25.66,25.43,25.58,35861.0
2021-01-12,25.4,25.49,25.3,25.49,25740.0
2021-01-11,25.59,25.59,25.4,25.42,14645.0
2021-01-08,25.51,25.59,25.45,25.59,12525.0
2021-01-07,25.65,25.6578,25.37,25.52,20589.0
2021-01-06,25.7354,25.7354,25.533,25.6849,7774.0
2021-01-05,25.73,25.86,25.73,25.81,6879.0
2021-01-04,25.8,25.845,25.69,25.69,11461.0
2020-12-31,25.8086,25.86,25.796,25.86,123747.0
2020-12-30,25.83,25.9,25.79,25.79,58266.0
2020-12-29,25.81,25.86,25.78,25.8,63997.0
2020-12-28,25.98,25.99,25.78,25.8,54809.0
2020-12-24,25.9,25.98,25.9,25.98,13797.0
2020-12-23,25.9,25.98,25.9,25.965,14198.0
2020-12-22,25.89,25.98,25.8,25.895,15910.0
2020-12-21,25.9148,25.97,25.8527,25.93,7651.0
2020-12-18,25.9258,25.97,25.89,25.89,11162.0
2020-12-17,25.89,25.94,25.89,25.94,12168.0
2020-12-16,25.88,25.94,25.795,25.93,12998.0
2020-12-15,25.89,25.9,25.86,25.88,16889.0
