date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,26.04,26.11,25.81,26.08,30324.0
2021-03-11,26.15,26.15,25.93,26.09,15887.0
2021-03-10,26.0,26.16,25.9726,26.12,12174.0
2021-03-09,25.8817,26.05,25.8817,26.05,6359.0
2021-03-08,25.9886,26.02,25.8117,25.98,11771.0
2021-03-05,25.95,26.008,25.63,25.9,13150.0
2021-03-04,25.91,25.99,25.74,25.9,25490.0
2021-03-03,25.72,25.91,25.6522,25.91,11424.0
2021-03-02,25.75,25.92,25.75,25.86,6938.0
2021-03-01,25.94,25.94,25.742,25.83,11510.0
2021-02-26,25.53,25.82,25.43,25.77,37950.0
2021-02-25,25.74,25.8,25.3602,25.4921,38505.0
2021-02-24,25.68,25.7191,25.62,25.7099,27505.0
2021-02-23,25.72,25.83,25.67,25.7,23187.0
2021-02-22,25.83,25.9113,25.74,25.75,10878.0
2021-02-19,25.93,26.04,25.865,25.91,21471.0
2021-02-18,25.86,25.9412,25.8,25.94,682832.0
2021-02-17,25.83,25.95,25.83,25.9,22599.0
2021-02-16,25.96,25.96,25.82,25.85,212270.0
2021-02-12,25.89,25.97,25.84,25.96,24149.0
2021-02-11,25.98,25.99,25.84,25.89,46190.0
2021-02-10,26.2017,26.23,26.15,26.17,191106.0
2021-02-09,26.1804,26.24,26.14,26.2,114974.0
2021-02-08,26.14,26.2,26.13,26.14,16575.0
2021-02-05,26.19,26.23,26.13,26.16,22682.0
2021-02-04,26.1,26.2,26.0968,26.18,26948.0
2021-02-03,26.18,26.24,26.1,26.14,25651.0
2021-02-02,26.26,26.26,26.18,26.18,30412.0
2021-02-01,26.12,26.279,26.12,26.21,31686.0
2021-01-29,26.07,26.17,26.07,26.17,47775.0
2021-01-28,26.1,26.19,26.0659,26.16,135284.0
2021-01-27,26.1,26.2,26.05,26.05,74769.0
2021-01-26,26.17,26.21,26.05,26.07,105022.0
2021-01-25,26.2,26.23,26.05,26.09,150470.0
2021-01-22,26.18,26.21,26.09,26.13,67966.0
2021-01-21,26.17,26.265,26.07,26.17,78970.0
2021-01-20,26.34,26.35,26.16,26.17,76002.0
2021-01-19,26.25,26.3139,26.19,26.25,15800.0
2021-01-15,26.35,26.37,26.17,26.17,15826.0
2021-01-14,26.25,26.355,26.23,26.25,17225.0
2021-01-13,26.07,26.36,26.07,26.24,29045.0
2021-01-12,26.06,26.2498,25.9,26.05,32226.0
2021-01-11,26.46,26.46,26.07,26.07,42413.0
2021-01-08,26.42,26.53,26.17,26.46,7171.0
2021-01-07,26.68,26.68,26.13,26.33,14730.0
2021-01-06,27.09,27.09,26.256,26.55,7389.0
2021-01-05,27.04,27.19,26.786,27.02,12162.0
2021-01-04,27.13,27.3299,26.95,26.95,13011.0
2020-12-31,27.2466,27.29,27.1792,27.2,87015.0
2020-12-30,27.2,27.33,27.09,27.25,22834.0
2020-12-29,27.23,27.31,27.23,27.28,11672.0
2020-12-28,27.37,27.37,27.23,27.23,29617.0
2020-12-24,27.28,27.39,27.17,27.34,24036.0
2020-12-23,27.29,27.33,27.16,27.22,14460.0
