date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,26.72,26.82,26.61,26.72,56051.0
2021-03-11,26.8,26.87,26.79,26.86,186042.0
2021-03-10,27.03,27.12,27.001,27.12,144650.0
2021-03-09,26.92,27.03,26.885,27.03,31767.0
2021-03-08,26.97,26.97,26.8305,26.91,32110.0
2021-03-05,26.9,26.97,26.69,26.89,23690.0
2021-03-04,26.89,26.99,26.72,26.87,52278.0
2021-03-03,26.71,26.855,26.67,26.82,46266.0
2021-03-02,26.84,26.93,26.7617,26.86,410156.0
2021-03-01,26.73,26.84,26.685,26.74,835401.0
2021-02-26,26.53,26.64,26.37,26.64,262997.0
2021-02-25,26.62,26.62,26.26,26.38,41158.0
2021-02-24,26.75,26.75,26.5,26.58,24853.0
2021-02-23,26.73,26.75,26.64,26.7,17946.0
2021-02-22,26.73,26.76,26.6,26.66,64821.0
2021-02-19,26.83,26.85,26.68,26.78,1830298.0
2021-02-18,26.82,26.82,26.64,26.82,37793.0
2021-02-17,26.8,26.87,26.72,26.76,51630.0
2021-02-16,27.12,27.12,26.72,26.75,100044.0
2021-02-12,27.28,27.28,27.09,27.12,19254.0
2021-02-11,27.44,27.44,27.23,27.28,22130.0
2021-02-10,27.62,27.6399,27.33,27.45,32538.0
2021-02-09,27.67,27.6876,27.45,27.5,34781.0
2021-02-08,27.66,27.72,27.49,27.6,10598.0
2021-02-05,27.49,27.66,27.435,27.61,15387.0
2021-02-04,27.4,27.62,27.23,27.49,20350.0
2021-02-03,27.63,27.63,27.23,27.32,33544.0
2021-02-02,27.59,27.6395,27.52,27.55,13557.0
2021-02-01,27.325,27.63,27.3107,27.5,30206.0
2021-01-29,27.31,27.4,27.18,27.32,76809.0
2021-01-28,27.39,27.5399,27.27,27.31,60174.0
2021-01-27,27.52,27.65,27.23,27.23,54706.0
2021-01-26,27.66,27.7,27.5,27.52,51467.0
2021-01-25,27.78,27.87,27.54,27.59,54224.0
2021-01-22,27.82,27.95,27.66,27.71,60127.0
2021-01-21,27.98,28.0,27.77,27.79,91742.0
2021-01-20,28.19,28.21,27.85,27.97,74413.0
2021-01-19,28.19,28.21,27.9118,28.12,21644.0
2021-01-15,27.98,28.16,27.98,28.09,14033.0
2021-01-14,28.0,28.084,27.79,28.02,26364.0
2021-01-13,27.54,28.0,27.54,27.85,38768.0
2021-01-12,27.6,27.6,27.39,27.5,79577.0
2021-01-11,27.63,27.69,27.55,27.56,127239.0
2021-01-08,27.88,27.89,27.734,27.89,18182.0
2021-01-07,28.03,28.03,27.6097,27.77,20193.0
2021-01-06,28.4,28.4,27.83,27.96,34997.0
2021-01-05,28.37,28.5168,28.23,28.36,39835.0
2021-01-04,28.76,28.76,28.31,28.31,74193.0
2020-12-31,28.78,28.84,28.7076,28.77,115234.0
2020-12-30,28.58,28.78,28.57,28.78,19268.0
2020-12-29,28.52,28.7001,28.44,28.58,32451.0
2020-12-28,28.49,28.52,28.38,28.47,36218.0
2020-12-24,28.43,28.5,28.4,28.445,12322.0
2020-12-23,28.4,28.45,28.34,28.42,41326.0
2020-12-22,28.42,28.465,28.28,28.32,111108.0
2020-12-21,28.38,28.42,28.2,28.42,43339.0
2020-12-18,28.41,28.45,28.32,28.45,13655.0
2020-12-17,28.4,28.44,28.31,28.4,26050.0
2020-12-16,28.37,28.41,28.2349,28.41,42854.0
2020-12-15,28.24,28.38,28.1954,28.35,50839.0
2020-12-14,28.083,28.21,28.083,28.21,22688.0
2020-12-11,28.2,28.23,28.07,28.2,47447.0
2020-12-10,28.52,28.54,28.422,28.47,26588.0
2020-12-09,28.58,28.58,28.39,28.58,30276.0
2020-12-08,28.38,28.52,28.38,28.51,32642.0
2020-12-07,28.41,28.42,28.27,28.4136,18552.0
2020-12-04,28.33,28.38,28.25,28.38,31390.0
2020-12-03,28.24,28.33,28.1874,28.28,15488.0
2020-12-02,28.18,28.25,28.16,28.17,46672.0
2020-12-01,28.27,28.3299,28.1583,28.24,10793.0
2020-11-30,28.24,28.3,28.14,28.14,51984.0
2020-11-27,28.21,28.29,28.17,28.24,11139.0
2020-11-25,28.26,28.3207,28.1301,28.22,23627.0
2020-11-24,28.27,28.38,28.0901,28.28,36695.0
2020-11-23,28.12,28.2699,28.12,28.26,55385.0
2020-11-20,28.24,28.29,28.07,28.13,29504.0
2020-11-19,28.3,28.37,28.17,28.18,66404.0
2020-11-18,28.2,28.38,28.174,28.26,31075.0
2020-11-17,28.22,28.32,28.14,28.27,46439.0
2020-11-16,28.14,28.3,28.05,28.3,31393.0
2020-11-13,28.22,28.25,28.09,28.09,20844.0
2020-11-12,28.16,28.26,28.11,28.12,63953.0
2020-11-11,28.28,28.28,28.17,28.2,34263.0
2020-11-10,28.18,28.33,28.12,28.22,32167.0
2020-11-09,28.05,28.33,28.05,28.11,32438.0
2020-11-06,28.08,28.1099,27.91,27.96,29884.0
2020-11-05,28.08,28.1699,28.06,28.16,27090.0
2020-11-04,28.01,28.227,27.9479,28.15,31881.0
2020-11-03,27.76,27.975,27.64,27.91,50678.0
2020-11-02,27.53,27.8101,27.53,27.73,23763.0
2020-10-30,27.49,27.64,27.42,27.59,53061.0
2020-10-29,27.46,27.7,27.46,27.49,13179.0
2020-10-28,27.73,27.73,27.4,27.4,24717.0
2020-10-27,27.83,27.9,27.72,27.79,15391.0
2020-10-26,27.8,27.9165,27.72,27.8,26593.0
2020-10-23,27.94,27.99,27.71,27.86,69916.0
2020-10-22,27.6,27.93,27.5792,27.92,28445.0
2020-10-21,27.87,27.87,27.55,27.56,16215.0
2020-10-20,27.82,27.87,27.74,27.77,25289.0
