date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,18.67,18.72,18.6,18.72,9589.0
2021-03-11,18.6,18.9,18.5499,18.6234,34644.0
2021-03-10,18.7,18.7,18.51,18.58,15678.0
2021-03-09,18.72,18.76,18.48,18.6,13861.0
2021-03-08,18.47,18.76,18.47,18.54,12481.0
2021-03-05,18.59,18.94,18.46,18.6498,5100.0
2021-03-04,18.71,18.88,18.58,18.58,17551.0
2021-03-03,18.64,18.8,18.64,18.78,10760.0
2021-03-02,18.75,18.75,18.4801,18.68,6515.0
2021-03-01,18.65,18.75,18.5,18.635,15366.0
2021-02-26,18.56,18.56,18.41,18.49,24530.0
2021-02-25,18.5781,18.5781,18.28,18.44,16923.0
2021-02-24,18.52,18.64,18.47,18.58,45664.0
2021-02-23,18.2,18.5,18.2,18.49,53932.0
2021-02-22,18.36,18.36,18.1,18.24,26074.0
2021-02-19,18.42,18.42,18.22,18.3599,26283.0
2021-02-18,18.39,18.39,18.27,18.345,8161.0
2021-02-17,18.33,18.49,18.21,18.49,29983.0
2021-02-16,18.68,18.68,18.37,18.45,29314.0
2021-02-12,18.5463,18.68,18.5,18.56,12117.0
2021-02-11,18.62,18.66,18.5,18.65,10543.0
2021-02-10,18.8,18.8,18.62,18.6599,12778.0
2021-02-09,18.79,18.79,18.6,18.671,11089.0
2021-02-08,18.79,18.79,18.51,18.69,25944.0
2021-02-05,18.65,18.77,18.56,18.66,45771.0
2021-02-04,18.575,18.65,18.45,18.54,15591.0
2021-02-03,18.51,18.61,18.51,18.55,18689.0
2021-02-02,18.5,18.67,18.46,18.6,8699.0
2021-02-01,18.3999,18.5,18.3884,18.5,8179.0
2021-01-29,18.53,18.55,18.2,18.3,13466.0
2021-01-28,18.41,18.5,18.2926,18.45,3711.0
2021-01-27,18.48,18.58,18.36,18.36,15257.0
2021-01-26,18.5,18.5,18.35,18.41,5641.0
2021-01-25,18.42,18.5,18.09,18.47,17693.0
2021-01-22,18.6436,18.66,18.41,18.45,16474.0
2021-01-21,18.5,18.7399,18.5,18.62,8761.0
2021-01-20,18.49,18.6,18.425,18.53,11870.0
2021-01-19,18.67,18.67,18.41,18.5,15425.0
2021-01-15,18.5,18.67,18.5,18.56,8393.0
2021-01-14,18.55,18.71,18.5,18.5,16642.0
2021-01-13,18.6,18.74,18.405,18.67,15646.0
2021-01-12,18.5,18.67,18.32,18.585,20377.0
2021-01-11,18.45,18.66,18.45,18.48,18264.0
2021-01-08,18.72,19.06,18.62,18.75,12942.0
2021-01-07,18.59,18.79,18.48,18.765,3755.0
2021-01-06,18.6,18.7273,18.56,18.655,2682.0
2021-01-05,18.59,18.59,18.4095,18.56,5279.0
2021-01-04,18.6704,18.98,18.51,18.51,7461.0
2020-12-31,18.69,18.7001,18.41,18.69,34223.0
2020-12-30,18.62,18.7,18.51,18.55,17558.0
2020-12-29,18.38,18.63,18.3,18.45,49064.0
2020-12-28,18.49,18.5,18.25,18.3,44964.0
2020-12-24,18.15,18.48,18.15,18.48,6879.0
2020-12-23,18.51,18.6299,18.38,18.445,25836.0
2020-12-22,18.5,18.51,18.13,18.46,28749.0
2020-12-21,18.25,18.5145,18.1,18.38,41617.0
2020-12-18,18.5,18.5,18.2,18.25,19844.0
2020-12-17,18.3166,18.35,18.07,18.265,63817.0
2020-12-16,18.26,18.34,18.25,18.295,11414.0
2020-12-15,18.25,18.4833,18.236,18.25,24080.0
2020-12-14,18.52,18.6239,18.35,18.35,12565.0
2020-12-11,18.52,18.52,18.27,18.52,14387.0
2020-12-10,18.48,18.5663,18.48,18.56,3676.0
2020-12-09,18.64,18.64,18.25,18.55,23644.0
2020-12-08,18.3,18.5,18.25,18.5,12284.0
2020-12-07,18.17,18.3,18.1,18.3,56139.0
2020-12-04,18.1,18.3,18.0442,18.2399,28746.0
2020-12-03,18.13,18.15,17.91,17.96,27110.0
2020-12-02,17.89,18.1563,17.88,17.96,20838.0
2020-12-01,17.7412,17.84,17.71,17.75,19320.0
2020-11-30,17.75,17.75,17.56,17.65,16214.0
2020-11-27,17.57,17.65,17.51,17.6,10893.0
2020-11-25,17.7,17.77,17.5,17.53,76138.0
2020-11-24,17.25,17.67,17.24,17.6,105737.0
2020-11-23,18.0,18.045,17.6,17.64,34921.0
2020-11-20,17.7,17.85,17.7,17.84,26185.0
2020-11-19,17.65,17.7999,17.65,17.785,3170.0
2020-11-18,17.81,17.81,17.65,17.65,11480.0
2020-11-17,17.8,17.83,17.71,17.71,5752.0
2020-11-16,17.66,17.84,17.66,17.75,6684.0
2020-11-13,17.6,17.79,17.6,17.65,15093.0
2020-11-12,17.7729,17.7729,17.61,17.6619,12152.0
2020-11-11,17.68,17.84,17.68,17.72,9309.0
2020-11-10,17.62,17.75,17.62,17.68,7599.0
2020-11-09,18.185,18.24,17.51,17.52,20864.0
2020-11-06,17.763,17.763,17.6,17.7,10778.0
2020-11-05,17.74,17.8,17.45,17.73,13146.0
2020-11-04,17.5683,17.6627,17.35,17.575,12796.0
2020-11-03,17.19,17.6094,17.19,17.57,4040.0
2020-11-02,17.25,17.25,17.11,17.24,26116.0
2020-10-30,17.84,17.84,17.02,17.16,41271.0
2020-10-29,17.56,17.73,17.56,17.73,3345.0
2020-10-28,17.83,17.83,17.5,17.51,7270.0
2020-10-27,17.82,17.94,17.53,17.923,15910.0
2020-10-26,17.65,18.0195,17.53,17.82,24636.0
2020-10-23,17.7,17.7,17.62,17.65,3949.0
2020-10-22,17.76,17.825,17.68,17.68,1979.0
2020-10-21,17.83,17.83,17.7,17.8,6282.0
2020-10-20,17.71,17.9222,17.7,17.7,5968.0
2020-10-19,17.8719,17.8992,17.71,17.71,9967.0
2020-10-16,17.83,17.86,17.83,17.84,1699.0
2020-10-15,17.97,17.97,17.81,17.92,11457.0
2020-10-14,18.07,18.1,18.0,18.03,6923.0
2020-10-13,18.04,18.1,18.04,18.08,7501.0
2020-10-12,17.9,18.0999,17.9,18.01,3971.0
2020-10-09,18.01,18.05,17.9,18.05,2949.0
2020-10-08,18.0,18.0,17.91,17.91,3421.0
2020-10-07,18.05,18.05,17.95,17.969,9731.0
2020-10-06,18.1435,18.1435,17.84,18.04,21776.0
2020-10-05,17.95,18.1,17.85,18.02,20940.0
2020-10-02,17.95,17.9994,17.71,17.95,18981.0
2020-10-01,17.82,18.1096,17.68,18.1,18624.0
2020-09-30,17.93,17.93,17.81,17.81,10327.0
2020-09-29,17.8,18.0,17.72,17.77,34597.0
2020-09-28,17.98,17.98,17.72,17.78,11156.0
2020-09-25,17.9,17.9,17.742,17.742,9056.0
2020-09-24,17.975,17.981,17.8,17.95,5656.0
2020-09-23,18.0,18.0947,17.9,17.99,18613.0
2020-09-22,18.1,18.25,18.0,18.0,6708.0
2020-09-21,18.32,18.32,18.04,18.04,12006.0
2020-09-18,18.55,18.56,18.331,18.331,6318.0
2020-09-17,18.59,18.59,18.45,18.505,5222.0
2020-09-16,18.45,18.7,18.45,18.7,2603.0
2020-09-15,18.47,18.47,18.43,18.47,7434.0
2020-09-14,18.55,18.55,18.3,18.46,19468.0
2020-09-11,18.35,18.395,18.3,18.332,1924.0
2020-09-10,18.5,18.5,18.3,18.4,6741.0
2020-09-09,18.15,18.5,18.15,18.5,8751.0
