date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,25.3,25.3207,25.3,25.3036,6943.0
2021-03-12,25.29,25.29,25.1,25.23,21819.0
2021-03-11,25.59,25.59,25.47,25.47,2421.0
2021-03-10,25.54,25.54,25.5,25.53,1492.0
2021-03-09,25.46,25.5393,25.46,25.49,8252.0
2021-03-08,25.38,25.51,25.31,25.46,8797.0
2021-03-05,25.51,25.51,25.3301,25.4511,8897.0
2021-03-04,25.42,25.53,25.31,25.53,3596.0
2021-03-03,25.3701,25.42,25.3701,25.42,2359.0
2021-03-02,25.3,25.42,25.3,25.37,4181.0
2021-03-01,25.35,25.42,25.11,25.35,10058.0
2021-02-26,25.4,25.4799,25.33,25.33,1182.0
2021-02-25,25.47,25.47,25.42,25.42,434.0
2021-02-24,25.4,25.47,25.3187,25.47,6749.0
2021-02-23,25.34,25.4299,25.34,25.37,4740.0
2021-02-22,25.26,25.43,25.26,25.37,2232.0
2021-02-19,25.35,25.43,25.33,25.43,4300.0
2021-02-18,25.3892,25.4,25.3865,25.3865,551.0
2021-02-17,25.33,25.41,25.33,25.41,2246.0
2021-02-16,25.3319,25.4393,25.3319,25.4393,1407.0
2021-02-12,25.35,25.44,25.35,25.35,3073.0
2021-02-11,25.4,25.44,25.4,25.44,1216.0
2021-02-10,25.26,25.4,25.2,25.3997,6832.0
2021-02-09,25.3188,25.32,25.25,25.3182,3288.0
2021-02-08,25.33,25.38,25.26,25.326,6993.0
2021-02-05,25.17,25.33,25.17,25.33,9425.0
2021-02-04,25.33,25.33,25.1881,25.25,9426.0
2021-02-03,25.18,25.3,25.15,25.25,10403.0
2021-02-02,25.15,25.28,25.15,25.18,12527.0
2021-02-01,25.28,25.28,25.1001,25.14,8671.0
2021-01-29,25.28,25.28,25.09,25.1,4746.0
2021-01-28,25.12,25.1799,25.12,25.15,5200.0
2021-01-27,25.1,25.159,25.08,25.1,9451.0
2021-01-26,25.105,25.1341,25.095,25.12,3251.0
2021-01-25,25.1167,25.155,25.05,25.05,8085.0
2021-01-22,25.025,25.14,25.025,25.085,5897.0
