date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,8.75,8.85,8.61,8.61,77667.0
2021-03-17,8.84,8.8639,8.77,8.79,52194.0
2021-03-16,8.78,8.87,8.75,8.83,65544.0
2021-03-15,8.85,8.85,8.72,8.75,93688.0
2021-03-12,8.83,8.9499,8.74,8.82,98741.0
2021-03-11,8.85,8.95,8.8,8.92,125678.0
2021-03-10,8.63,8.74,8.63,8.74,48128.0
2021-03-09,8.57,8.74,8.57,8.65,65646.0
2021-03-08,8.67,8.78,8.56,8.6,131132.0
2021-03-05,8.76,8.8391,8.57,8.67,77740.0
2021-03-04,8.92,8.9761,8.68,8.72,95083.0
2021-03-03,8.94,9.0,8.84,8.87,172683.0
2021-03-02,8.81,8.9543,8.73,8.85,81961.0
2021-03-01,8.69,8.85,8.69,8.77,100844.0
2021-02-26,8.59,8.71,8.44,8.67,82313.0
2021-02-25,8.89,9.0,8.5,8.53,153580.0
2021-02-24,8.79,8.9,8.73,8.84,121988.0
2021-02-23,8.71,8.75,8.6,8.75,65617.0
2021-02-22,8.66,8.83,8.66,8.74,96325.0
2021-02-19,8.71,9.0,8.65,8.9,130355.0
2021-02-18,8.7,8.71,8.61,8.65,46517.0
2021-02-17,8.71,8.71,8.65,8.7,36297.0
2021-02-16,8.59,8.72,8.59,8.7,62149.0
2021-02-12,8.6,8.6423,8.59,8.59,40705.0
2021-02-11,8.66,8.71,8.58,8.6,76985.0
2021-02-10,8.77,8.98,8.71,8.76,212937.0
2021-02-09,8.66,8.84,8.6323,8.75,101709.0
2021-02-08,8.54,8.8,8.52,8.6,204230.0
2021-02-05,8.49,8.54,8.45,8.52,139931.0
2021-02-04,8.4,8.4617,8.37,8.44,143801.0
2021-02-03,8.33,8.39,8.31,8.34,92815.0
2021-02-02,8.28,8.46,8.26,8.28,150163.0
2021-02-01,8.05,8.25,8.05,8.25,124764.0
2021-01-29,8.09,8.19,7.9805,8.12,127292.0
2021-01-28,8.05,8.16,8.02,8.11,107884.0
