date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,16.35,16.38,16.32,16.3299,79610.0
2021-03-12,16.14,16.41,16.13,16.35,358621.0
2021-03-11,16.025,16.025,15.9,15.9,10447.0
2021-03-10,15.97,16.01,15.95,15.98,34386.0
2021-03-09,15.92,15.96,15.8807,15.94,62917.0
2021-03-08,15.9,15.92,15.87,15.9084,52966.0
2021-03-05,15.9,15.93,15.87,15.91,58189.0
2021-03-04,15.9,15.95,15.89,15.9,20997.0
2021-03-03,15.95,15.9915,15.87,15.95,30701.0
2021-03-02,15.82,16.25,15.8101,15.97,44928.0
2021-03-01,15.78,16.0,15.5847,15.89,44133.0
2021-02-26,15.75,15.78,15.7337,15.78,7824.0
2021-02-25,15.76,15.8099,15.7,15.74,37139.0
2021-02-24,15.77,15.84,15.76,15.78,10853.0
2021-02-23,15.73,15.78,15.71,15.765,27023.0
2021-02-22,15.75,15.78,15.72,15.76,36981.0
2021-02-19,15.74,15.8079,15.74,15.77,12986.0
2021-02-18,15.72,15.8,15.72,15.79,256894.0
2021-02-17,15.8,15.84,15.78,15.79,36736.0
2021-02-16,15.99,15.99,15.79,15.8,231538.0
2021-02-12,15.94,15.97,15.88,15.9492,28435.0
2021-02-11,15.91,15.97,15.91,15.97,20031.0
2021-02-10,15.88,15.97,15.865,15.97,6365.0
2021-02-09,15.74,15.93,15.74,15.93,7708.0
2021-02-08,15.91,15.91,15.56,15.805,97936.0
2021-02-05,15.82,15.97,15.72,15.91,8549.0
2021-02-04,15.76,15.89,15.76,15.78,29162.0
2021-02-03,15.72,15.82,15.6709,15.82,5613.0
2021-02-02,15.64,15.7535,15.64,15.75,7905.0
2021-02-01,15.56,15.75,15.56,15.66,62363.0
2021-01-29,15.62,15.7,15.54,15.6,44011.0
2021-01-28,15.58,15.69,15.55,15.59,35591.0
2021-01-27,15.6,15.6837,15.6,15.6,27296.0
2021-01-26,15.61,15.67,15.585,15.6,29681.0
2021-01-25,15.56,15.66,15.56,15.6,42290.0
2021-01-22,15.7,15.7,15.5,15.57,21181.0
2021-01-21,15.6,15.62,15.59,15.62,11208.0
2021-01-20,15.72,15.7411,15.5976,15.65,9102.0
2021-01-19,15.72,15.81,15.7,15.7,12201.0
2021-01-15,15.78,15.8,15.73,15.74,3200.0
2021-01-14,15.79,15.88,15.76,15.8,33265.0
2021-01-13,15.73,15.87,15.73,15.83,27480.0
2021-01-12,15.67,15.75,15.67,15.75,13506.0
2021-01-11,15.66,15.73,15.61,15.7,7570.0
2021-01-08,15.55,15.66,15.55,15.66,8587.0
