date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.36,9.41,9.3,9.34,130015.0
2021-03-12,9.25,9.4893,9.22,9.4,78555.0
2021-03-11,9.33,9.33,9.25,9.25,58933.0
2021-03-10,9.49,9.49,9.29,9.3,97621.0
2021-03-09,9.3,9.42,9.2992,9.42,47114.0
2021-03-08,9.29,9.33,9.27,9.27,33234.0
2021-03-05,9.27,9.33,9.22,9.31,27746.0
2021-03-04,9.29,9.42,9.23,9.26,75570.0
2021-03-03,9.26,9.42,9.26,9.35,38352.0
2021-03-02,9.29,9.46,9.25,9.28,62289.0
2021-03-01,9.22,9.33,9.22,9.31,32693.0
2021-02-26,9.27,9.3337,9.22,9.22,44867.0
2021-02-25,9.32,9.32,9.24,9.3,20571.0
2021-02-24,9.28,9.38,9.18,9.32,51322.0
2021-02-23,9.17,9.26,9.17,9.23,56817.0
2021-02-22,9.16,9.22,9.12,9.22,47706.0
2021-02-19,9.26,9.4,9.17,9.17,119320.0
2021-02-18,9.24,9.29,9.16,9.28,49276.0
2021-02-17,9.13,9.23,9.13,9.2,32174.0
2021-02-16,9.3,9.32,9.12,9.18,60681.0
2021-02-12,9.27,9.34,9.26,9.31,54063.0
2021-02-11,9.33,9.33,9.26,9.28,30365.0
2021-02-10,9.32,9.32,9.25,9.31,35396.0
2021-02-09,9.23,9.34,9.23,9.29,38470.0
2021-02-08,9.33,9.35,9.27,9.28,37354.0
2021-02-05,9.289,9.34,9.2,9.28,66111.0
2021-02-04,9.22,9.29,9.21,9.24,34646.0
2021-02-03,9.249,9.26,9.15,9.21,68950.0
2021-02-02,9.24,9.27,9.18,9.26,19912.0
2021-02-01,9.17,9.3,9.15,9.27,80958.0
2021-01-29,9.15,9.26,9.11,9.15,31290.0
2021-01-28,9.15,9.28,9.15,9.16,41671.0
2021-01-27,9.16,9.19,9.11,9.14,33745.0
2021-01-26,9.12,9.25,9.12,9.17,35466.0
2021-01-25,9.17,9.17,9.1,9.14,23564.0
2021-01-22,9.12,9.18,9.1,9.13,58806.0
2021-01-21,9.12,9.16,9.03,9.14,38370.0
2021-01-20,9.13,9.18,9.11,9.11,74534.0
2021-01-19,9.13,9.165,9.13,9.14,35365.0
2021-01-15,9.18,9.19,9.12,9.12,43427.0
2021-01-14,9.29,9.29,9.11,9.16,80016.0
2021-01-13,9.27,9.29,9.12,9.25,71535.0
2021-01-12,8.99,9.16,8.99,9.15,116514.0
2021-01-11,8.98,9.099,8.98,9.0178,32448.0
2021-01-08,9.13,9.13,9.0,9.04,26266.0
2021-01-07,8.96,9.05,8.86,9.05,49994.0
2021-01-06,8.94,8.98,8.9,8.92,41535.0
2021-01-05,8.8585,9.03,8.82,8.94,38775.0
2021-01-04,8.88,8.93,8.79,8.86,58554.0
2020-12-31,8.94,9.0398,8.84,8.89,151440.0
2020-12-30,8.81,8.98,8.81,8.9,72369.0
2020-12-29,8.82,8.92,8.77,8.9,78805.0
2020-12-28,8.81,8.9,8.81,8.88,160403.0
2020-12-24,8.85,8.9,8.81,8.85,63484.0
2020-12-23,8.72,8.99,8.72,8.84,174261.0
2020-12-22,8.83,8.9,8.73,8.75,138626.0
2020-12-21,8.75,8.85,8.75,8.83,208758.0
2020-12-18,8.99,8.99,8.84,8.92,87001.0
2020-12-17,8.93,9.0499,8.84,8.97,85862.0
2020-12-16,9.02,9.05,8.89,8.95,61899.0
2020-12-15,8.81,9.05,8.81,8.98,124458.0
2020-12-14,8.92,8.92,8.83,8.85,60783.0
2020-12-11,8.86,8.96,8.84,8.86,72096.0
2020-12-10,9.0,9.1438,8.9,8.94,78151.0
2020-12-09,8.99,9.19,8.9196,9.12,123166.0
2020-12-08,8.9392,9.0214,8.8726,8.9,58152.0
2020-12-07,8.8944,8.97,8.87,8.87,55293.0
2020-12-04,9.09,9.11,8.92,8.97,97139.0
2020-12-03,9.04,9.11,8.97,8.99,135787.0
2020-12-02,8.91,9.14,8.91,9.11,216495.0
2020-12-01,8.8,9.04,8.8,8.99,186802.0
2020-11-30,8.71,8.79,8.675,8.77,95076.0
2020-11-27,8.76,8.78,8.72,8.73,26420.0
2020-11-25,8.62,8.71,8.62,8.71,58111.0
2020-11-24,8.81,8.81,8.56,8.6,216996.0
2020-11-23,8.7,8.8027,8.7,8.73,73111.0
2020-11-20,8.77,8.8,8.68,8.69,37556.0
2020-11-19,8.69,8.77,8.69,8.72,41380.0
2020-11-18,8.69,8.78,8.65,8.76,88600.0
2020-11-17,8.65,8.76,8.62,8.71,48893.0
2020-11-16,8.75,8.81,8.65,8.67,34667.0
2020-11-13,8.7526,8.765,8.7,8.74,20201.0
2020-11-12,8.74,8.79,8.7,8.74,83767.0
2020-11-11,8.635,8.7,8.6,8.7,18181.0
2020-11-10,8.59,8.665,8.56,8.61,35918.0
2020-11-09,8.55,8.7094,8.55,8.56,51757.0
2020-11-06,8.595,8.65,8.54,8.54,79592.0
2020-11-05,8.58,8.68,8.54,8.55,52367.0
2020-11-04,8.52,8.5984,8.52,8.592,35993.0
2020-11-03,8.515,8.6,8.47,8.5,47795.0
2020-11-02,8.49,8.57,8.45,8.46,33076.0
2020-10-30,8.5401,8.545,8.5,8.51,17335.0
2020-10-29,8.56,8.58,8.54,8.54,8991.0
2020-10-28,8.55,8.61,8.53,8.57,57651.0
2020-10-27,8.5479,8.58,8.5479,8.58,10581.0
2020-10-26,8.47,8.61,8.45,8.58,69054.0
2020-10-23,8.58,8.6,8.48,8.52,54793.0
2020-10-22,8.5136,8.61,8.4848,8.6,62546.0
2020-10-21,8.48,8.52,8.41,8.48,53000.0
2020-10-20,8.49,8.56,8.4,8.46,138075.0
2020-10-19,8.53,8.53,8.4,8.47,123682.0
2020-10-16,8.71,8.71,8.38,8.49,276087.0
