date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,13.66,13.84,13.63,13.78,200334.0
2021-03-12,13.71,13.7244,13.6,13.61,86499.0
2021-03-11,13.73,13.76,13.68,13.69,334670.0
2021-03-10,13.68,13.7217,13.63,13.67,139694.0
2021-03-09,13.54,13.67,13.54,13.65,108334.0
2021-03-08,13.53,13.5899,13.515,13.54,171855.0
2021-03-05,13.44,13.544,13.4,13.53,85810.0
2021-03-04,13.43,13.49,13.4,13.44,133127.0
2021-03-03,13.38,13.56,13.37,13.47,107904.0
2021-03-02,13.41,13.48,13.39,13.41,120486.0
2021-03-01,13.45,13.59,13.44,13.44,108184.0
2021-02-26,13.38,13.51,13.38,13.44,157572.0
2021-02-25,13.36,13.47,13.32,13.32,189528.0
2021-02-24,13.3,13.41,13.265,13.39,128757.0
2021-02-23,13.35,13.379,13.23,13.29,110257.0
2021-02-22,13.42,13.45,13.35,13.35,147303.0
2021-02-19,13.42,13.47,13.37,13.37,138050.0
2021-02-18,13.49,13.4965,13.33,13.35,116085.0
2021-02-17,13.5,13.57,13.4201,13.56,44733.0
2021-02-16,13.56,13.61,13.41,13.49,115193.0
2021-02-12,13.63,13.63,13.56,13.57,67605.0
2021-02-11,13.6,13.62,13.58,13.61,56589.0
2021-02-10,13.65,13.65,13.5201,13.56,52438.0
2021-02-09,13.49,13.605,13.48,13.6,105474.0
2021-02-08,13.5,13.54,13.4566,13.47,67876.0
2021-02-05,13.46,13.47,13.37,13.43,219181.0
2021-02-04,13.49,13.5397,13.45,13.46,127011.0
2021-02-03,13.48,13.58,13.4634,13.51,69994.0
2021-02-02,13.45,13.53,13.42,13.45,73118.0
2021-02-01,13.34,13.44,13.32,13.42,67107.0
2021-01-29,13.27,13.32,13.25,13.29,124854.0
2021-01-28,13.24,13.31,13.21,13.24,141904.0
2021-01-27,13.36,13.36,13.21,13.25,41203.0
2021-01-26,13.32,13.4,13.3,13.35,69078.0
2021-01-25,13.39,13.39,13.29,13.34,109136.0
2021-01-22,13.53,13.57,13.36,13.36,58343.0
2021-01-21,13.52,13.56,13.44,13.53,137396.0
2021-01-20,13.44,13.54,13.44,13.48,180572.0
2021-01-19,13.36,13.47,13.26,13.46,123675.0
2021-01-15,13.42,13.44,13.31,13.31,92207.0
