date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,12.75,12.79,12.73,12.745,12206.0
2021-03-11,12.96,12.9671,12.92,12.93,3569.0
2021-03-10,13.04,13.04,12.75,12.87,31686.0
2021-03-09,12.99,13.0,12.86,12.9724,9531.0
2021-03-08,12.91,12.91,12.72,12.88,3163.0
2021-03-05,12.85,12.85,12.75,12.8499,3499.0
2021-03-04,12.84,12.84,12.77,12.79,4094.0
2021-03-03,12.75,12.84,12.7,12.79,9086.0
2021-03-02,12.76,12.92,12.76,12.83,1469.0
2021-03-01,12.9,12.9,12.71,12.84,19715.0
2021-02-26,13.0,13.0,12.6838,12.78,1260.0
2021-02-25,13.06,13.06,12.6,12.91,12758.0
2021-02-24,13.08,13.1,12.98,12.99,3286.0
2021-02-23,13.07,13.09,12.97,13.0,3074.0
2021-02-22,13.04,13.05,12.98,13.03,5399.0
2021-02-19,13.08,13.085,12.98,12.98,2830.0
2021-02-18,13.07,13.14,13.0,13.01,3687.0
2021-02-17,13.04,13.1,12.99,12.99,6352.0
2021-02-16,13.19,13.22,13.11,13.11,4209.0
2021-02-12,13.18,13.2313,13.1,13.15,5503.0
2021-02-11,13.26,13.26,13.11,13.154,1979.0
2021-02-10,13.27,13.2776,13.08,13.1906,8364.0
2021-02-09,13.2,13.2552,13.04,13.2552,2938.0
2021-02-08,13.21,13.23,13.1299,13.15,1414.0
2021-02-05,13.22,13.23,13.165,13.23,3196.0
2021-02-04,13.16,13.16,13.09,13.16,2483.0
2021-02-03,13.15,13.15,13.09,13.09,1875.0
2021-02-02,13.05,13.1991,13.01,13.1991,4240.0
2021-02-01,13.05,13.05,13.0,13.0,2822.0
2021-01-29,13.05,13.05,12.95,13.04,4538.0
2021-01-28,13.09,13.09,12.95,12.96,13562.0
2021-01-27,13.1,13.2,13.02,13.02,5648.0
2021-01-26,13.18,13.18,13.06,13.09,5126.0
2021-01-25,13.11,13.11,13.04,13.07,6034.0
2021-01-22,13.24,13.42,12.83,13.01,26641.0
2021-01-21,13.32,13.32,13.18,13.19,10125.0
2021-01-20,13.32,13.32,13.2501,13.26,1052.0
2021-01-19,13.26,13.26,13.2001,13.25,1741.0
2021-01-15,13.22,13.22,13.15,13.17,4194.0
2021-01-14,13.24,13.46,13.16,13.2,4272.0
2021-01-13,13.37,13.37,13.23,13.24,4970.0
2021-01-12,13.23,13.39,13.23,13.28,4527.0
2021-01-11,13.34,13.34,13.23,13.23,6030.0
2021-01-08,13.32,13.47,13.23,13.2345,8528.0
2021-01-07,13.33,13.4,13.33,13.39,2391.0
2021-01-06,13.27,13.41,13.17,13.28,775.0
2021-01-05,13.4,13.4,13.174,13.174,1257.0
2021-01-04,13.36,13.36,13.06,13.2,7498.0
2020-12-31,13.46,13.46,13.255,13.456,8230.0
2020-12-30,13.46,13.46,13.26,13.41,7366.0
2020-12-29,13.38,13.39,13.31,13.39,15050.0
2020-12-28,13.47,13.47,13.31,13.35,15101.0
2020-12-24,13.27,13.31,13.0401,13.31,2624.0
2020-12-23,13.33,13.39,13.09,13.2,11292.0
2020-12-22,13.31,13.32,13.2302,13.27,8865.0
2020-12-21,13.16,13.22,13.13,13.14,6964.0
2020-12-18,13.17,13.17,13.0548,13.09,23247.0
2020-12-17,13.09,13.23,13.05,13.22,13294.0
2020-12-16,13.08,13.21,13.055,13.14,24513.0
2020-12-15,13.08,13.08,13.0029,13.0347,13195.0
2020-12-14,13.11,13.162,13.0,13.01,11687.0
2020-12-11,13.2,13.2074,13.05,13.08,48246.0
2020-12-10,13.2,13.2,13.16,13.175,2877.0
2020-12-09,13.2,13.2,13.15,13.17,11360.0
2020-12-08,13.17,13.2,13.14,13.156,11720.0
2020-12-07,13.1,13.1606,13.1,13.11,3296.0
2020-12-04,13.13,13.1866,13.13,13.14,2012.0
2020-12-03,13.13,13.13,13.06,13.13,19307.0
2020-12-02,13.16,13.19,13.02,13.07,2997.0
2020-12-01,13.15,13.19,13.1182,13.17,5483.0
2020-11-30,13.1,13.18,13.02,13.15,5504.0
2020-11-27,13.1,13.1,13.075,13.09,840.0
2020-11-25,13.07,13.07,13.02,13.03,2816.0
2020-11-24,13.0,13.03,12.98,13.0,19568.0
2020-11-23,12.94,13.0,12.9101,12.979,22846.0
2020-11-20,13.02,13.02,12.93,12.93,16055.0
2020-11-19,12.99,12.99,12.95,12.95,2820.0
2020-11-18,12.88,13.15,12.88,12.91,23519.0
2020-11-17,13.02,13.02,12.93,12.93,2474.0
2020-11-16,13.15,13.15,12.946,12.97,5252.0
2020-11-13,13.08,13.08,12.9266,12.9266,11393.0
2020-11-12,12.99,13.075,12.8335,12.9863,13221.0
2020-11-11,13.03,13.03,12.8659,12.93,15877.0
2020-11-10,13.21,13.21,12.9705,13.1,3337.0
2020-11-09,13.27,13.27,12.8001,13.05,2648.0
2020-11-06,13.1785,13.1785,13.09,13.09,4544.0
2020-11-05,13.13,13.26,12.93,13.16,15428.0
2020-11-04,12.96,13.03,12.96,13.02,14123.0
2020-11-03,12.96,12.96,12.94,12.94,456.0
2020-11-02,12.93,12.96,12.91,12.91,4861.0
2020-10-30,13.0,13.0,12.93,12.93,5548.0
2020-10-29,12.79,12.95,12.79,12.93,31791.0
2020-10-28,12.97,12.97,12.86,12.86,3384.0
2020-10-27,12.88,12.99,12.855,12.9,43790.0
2020-10-26,12.9,12.9,12.82,12.82,15050.0
2020-10-23,12.93,12.94,12.89,12.89,6747.0
2020-10-22,12.96,12.96,12.8766,12.9,8837.0
2020-10-21,13.0,13.0,12.89,12.9,7612.0
2020-10-20,12.93,13.0,12.9,13.0,12115.0
2020-10-19,13.02,13.0496,12.83,12.87,36240.0
2020-10-16,12.99,12.99,12.97,12.99,5110.0
2020-10-15,13.04,13.0578,12.93,12.93,7897.0
2020-10-14,13.01,13.01,12.99,13.0,15134.0
2020-10-13,13.07,13.12,13.0,13.07,9796.0
2020-10-12,13.11,13.13,13.03,13.1,26341.0
2020-10-09,13.26,13.26,12.9,13.12,60338.0
2020-10-08,13.42,13.42,13.19,13.192,13527.0
2020-10-07,13.43,13.43,13.3252,13.3252,7197.0
2020-10-06,13.39,13.39,13.27,13.37,6468.0
2020-10-05,13.44,13.44,13.337,13.37,9192.0
2020-10-02,13.26,13.39,13.2599,13.39,2407.0
2020-10-01,13.37,13.37,13.25,13.3,2141.0
2020-09-30,13.37,13.4799,13.3,13.38,19046.0
2020-09-29,13.4,13.4,13.36,13.38,1991.0
2020-09-28,13.4,13.4,13.1655,13.36,2856.0
2020-09-25,13.4,13.405,13.4,13.4,19158.0
2020-09-24,13.45,13.45,13.3705,13.4,3698.0
2020-09-23,13.33,13.45,13.28,13.4,24828.0
2020-09-22,13.27,13.32,13.08,13.3199,19509.0
2020-09-21,13.31,13.32,13.26,13.3,9200.0
2020-09-18,13.22,13.2375,13.22,13.235,1702.0
2020-09-17,13.15,13.28,13.15,13.2799,10594.0
2020-09-16,13.33,13.33,13.2417,13.2417,1195.0
2020-09-15,13.29,13.32,13.157,13.29,58917.0
2020-09-14,13.19,13.3,13.19,13.29,5733.0
2020-09-11,13.22,13.3,13.2,13.3,14796.0
2020-09-10,13.18,13.23,13.16,13.23,4711.0
2020-09-09,13.19,13.2293,13.0708,13.11,3797.0
2020-09-08,13.1,13.16,13.06,13.16,3623.0
2020-09-04,13.2,13.27,13.165,13.165,1733.0
2020-09-03,13.15,13.3,13.1,13.3,20580.0
2020-09-02,13.14,13.2192,13.1,13.1,7065.0
2020-09-01,13.22,13.27,13.12,13.14,7818.0
2020-08-31,13.3,13.3,13.11,13.23,11415.0
2020-08-28,13.27,13.3,13.22,13.3,2406.0
2020-08-27,13.33,13.33,13.05,13.2201,11820.0
2020-08-26,13.3,13.31,13.22,13.3,3225.0
2020-08-25,13.1958,13.33,13.12,13.27,11002.0
2020-08-24,13.3,13.33,13.19,13.33,14427.0
2020-08-21,13.28,13.33,13.11,13.3,1727.0
2020-08-20,13.2086,13.2086,13.2086,13.2086,507.0
2020-08-19,13.09,13.3,13.09,13.19,6059.0
2020-08-18,13.25,13.25,13.2105,13.2105,744.0
2020-08-17,13.21,13.26,13.13,13.2599,5721.0
2020-08-14,13.28,13.28,13.19,13.2,2429.0
2020-08-13,13.32,13.32,13.25,13.2558,21231.0
2020-08-12,13.36,13.36,13.3261,13.3261,1560.0
2020-08-11,13.31,13.35,13.22,13.35,20801.0
2020-08-10,13.41,13.41,13.32,13.35,9863.0
2020-08-07,13.36,13.36,13.27,13.315,4372.0
2020-08-06,13.28,13.3,13.27,13.3,3759.0
2020-08-05,13.36,13.36,13.25,13.26,8331.0
2020-08-04,13.38,13.38,13.2887,13.36,3800.0
2020-08-03,13.32,13.32,13.25,13.32,2595.0
2020-07-31,13.35,13.35,13.3,13.305,3537.0
2020-07-30,13.35,13.35,13.3,13.3,4639.0
2020-07-29,13.35,13.35,13.2787,13.32,6231.0
2020-07-28,13.23,13.33,13.1813,13.2652,9720.0
2020-07-27,13.26,13.32,13.21,13.26,11472.0
2020-07-24,13.32,13.32,13.245,13.32,4631.0
2020-07-23,13.32,13.32,13.28,13.28,19756.0
2020-07-22,13.35,13.35,13.23,13.2999,14800.0
2020-07-21,13.35,13.35,13.26,13.3,4346.0
2020-07-20,13.2,13.25,13.2,13.25,6423.0
2020-07-17,13.18,13.25,13.16,13.23,7309.0
2020-07-16,13.32,13.32,13.2,13.23,13586.0
2020-07-15,13.25,13.25,13.21,13.25,9384.0
2020-07-14,13.1,13.25,13.1,13.25,16801.0
2020-07-13,13.26,13.26,13.14,13.19,8820.0
2020-07-10,13.33,13.33,13.13,13.26,6536.0
2020-07-09,13.33,13.33,13.15,13.25,2651.0
2020-07-08,13.2,13.35,13.13,13.35,7952.0
2020-07-07,13.11,13.17,13.03,13.17,2313.0
2020-07-06,13.01,13.15,13.0,13.04,8305.0
2020-07-02,13.09,13.09,13.02,13.02,3179.0
2020-07-01,13.03,13.06,13.03,13.05,7149.0
2020-06-30,13.03,13.05,13.0,13.03,6989.0
2020-06-29,13.02,13.03,12.9,13.01,2052.0
2020-06-26,13.12,13.12,12.78,12.96,10233.0
2020-06-25,13.24,13.24,12.93,12.93,11358.0
2020-06-24,13.14,13.24,13.14,13.19,2524.0
2020-06-23,13.22,13.25,13.13,13.24,11226.0
2020-06-22,13.31,13.33,13.26,13.26,6305.0
2020-06-19,13.37,13.37,13.2,13.27,14054.0
2020-06-18,13.33,13.33,13.2,13.29,18444.0
2020-06-17,13.38,13.38,13.1,13.33,8626.0
2020-06-16,13.45,13.45,13.1,13.25,3946.0
2020-06-15,13.09,13.45,13.09,13.45,8256.0
2020-06-12,13.2,13.24,13.02,13.2,29931.0
2020-06-11,13.07,13.09,12.96,13.08,8505.0
2020-06-10,13.17,13.25,13.09,13.11,7888.0
2020-06-09,13.16,13.16,13.06,13.06,9314.0
2020-06-08,13.06,13.14,13.04,13.06,8261.0
2020-06-05,13.08,13.1,13.03,13.1,8849.0
2020-06-04,13.08,13.11,13.05,13.05,8572.0
2020-06-03,13.11,13.11,13.05,13.06,4243.0
2020-06-02,13.09,13.14,13.05,13.12,10230.0
2020-06-01,13.1,13.13,13.05,13.05,7540.0
2020-05-29,13.15,13.16,12.82,13.09,13516.0
2020-05-28,13.14,13.22,13.0,13.1,14672.0
2020-05-27,13.2,13.28,13.15,13.15,16433.0
2020-05-26,13.23,13.28,13.21,13.24,5350.0
2020-05-22,13.16,13.23,13.15,13.23,1451.0
2020-05-21,13.16,13.25,13.16,13.22,4279.0
2020-05-20,13.16,13.28,13.13,13.24,6509.0
2020-05-19,13.2,13.21,13.0,13.2,19853.0
2020-05-18,13.35,13.35,13.06,13.07,5942.0
2020-05-15,13.31,13.35,13.31,13.35,3263.0
2020-05-14,13.3,13.49,13.12,13.27,3171.0
2020-05-13,13.21,13.5,13.21,13.26,8223.0
2020-05-12,13.32,13.84,13.32,13.49,24955.0
2020-05-11,13.21,13.53,13.11,13.52,14068.0
2020-05-08,13.15,13.17,13.12,13.15,9559.0
2020-05-07,13.1,13.2,13.1,13.17,4005.0
2020-05-06,13.07,13.11,13.07,13.09,2324.0
2020-05-05,13.05,13.05,13.02,13.02,659.0
2020-05-04,13.0,13.1,13.0,13.07,6078.0
2020-05-01,13.11,13.12,13.0,13.0,3709.0
2020-04-30,13.1,13.14,12.99,13.13,3905.0
2020-04-29,13.17,13.18,13.0,13.02,7132.0
2020-04-28,13.29,13.29,12.96,13.07,10785.0
2020-04-27,13.09,13.15,13.09,13.09,1545.0
2020-04-24,13.05,13.13,12.85,12.97,18368.0
2020-04-23,12.98,13.1,12.85,13.08,4628.0
2020-04-22,12.9,12.9,12.9,12.9,28764.0
2020-04-21,12.81,13.05,12.81,12.81,1839.0
2020-04-20,12.87,12.87,12.8,12.84,32234.0
2020-04-17,13.27,13.3,12.8,13.07,98636.0
2020-04-16,12.81,12.89,12.75,12.8,4775.0
2020-04-15,12.78,12.86,12.74,12.75,1580.0
2020-04-14,13.07,13.07,12.75,12.8,3233.0
2020-04-13,13.0,13.0,12.68,12.79,3417.0
2020-04-09,13.0,13.31,12.68,12.68,15796.0
2020-04-08,12.66,12.99,12.6,12.99,17479.0
2020-04-07,12.71,12.95,12.63,12.64,13893.0
2020-04-06,12.65,12.81,12.56,12.8,6582.0
2020-04-03,12.67,12.82,12.61,12.65,4001.0
