date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,11.5,11.78,11.4189,11.48,2881316.0
2021-03-12,11.11,11.57,11.0,11.47,1660508.0
2021-03-11,11.35,11.6,11.14,11.35,2048031.0
2021-03-10,11.4,11.42,11.13,11.25,1392632.0
2021-03-09,11.4,11.64,11.22,11.34,1759774.0
2021-03-08,11.27,11.42,10.985,11.11,1300190.0
2021-03-05,11.15,11.36,10.9,11.34,1839050.0
2021-03-04,10.9,11.49,10.87,11.16,2831416.0
2021-03-03,10.77,10.99,10.4,10.94,2999615.0
2021-03-02,10.58,11.1,10.45,10.96,3081219.0
2021-03-01,10.74,10.865,10.215,10.46,2780422.0
2021-02-26,11.43,11.57,10.385,10.48,3715007.0
2021-02-25,12.14,12.33,11.515,11.58,2331328.0
2021-02-24,12.02,12.475,11.8985,12.4,1286447.0
2021-02-23,12.46,12.46,11.83,12.2,1926007.0
2021-02-22,12.2,12.63,12.18,12.58,1807895.0
2021-02-19,12.21,12.3,11.97,12.09,1468203.0
2021-02-18,12.43,12.59,12.08,12.12,1645270.0
2021-02-17,12.61,12.61,12.27,12.41,1879066.0
2021-02-16,12.88,13.1,12.74,12.79,1770964.0
2021-02-12,12.87,13.23,12.7,13.04,1467614.0
2021-02-11,13.17,13.35,12.87,13.03,1403921.0
2021-02-10,13.35,13.51,13.02,13.25,1381052.0
2021-02-09,13.32,13.58,13.11,13.27,2763873.0
2021-02-08,13.23,13.385,12.96,13.32,2842663.0
2021-02-05,12.94,12.98,12.26,12.96,7363482.0
2021-02-04,11.22,11.555,11.0438,11.5,2975099.0
2021-02-03,11.41,11.73,11.3,11.63,1821205.0
2021-02-02,11.2,11.355,11.05,11.33,2415868.0
2021-02-01,11.76,11.88,11.3019,11.57,3644817.0
2021-01-29,11.54,11.66,11.06,11.21,2711989.0
2021-01-28,10.91,11.325,10.86,11.14,4513291.0
2021-01-27,10.6,10.69,10.29,10.65,3069381.0
2021-01-26,10.8,11.13,10.7,10.81,1867545.0
2021-01-25,11.17,11.26,10.7,10.76,2976863.0
2021-01-22,11.0,11.34,10.84,11.13,2080284.0
2021-01-21,11.69,11.705,11.11,11.31,2743759.0
2021-01-20,11.61,11.7443,11.51,11.69,2029447.0
2021-01-19,11.38,11.51,11.18,11.32,2484399.0
2021-01-15,11.91,11.91,11.235,11.26,3284045.0
2021-01-14,12.16,12.29,11.97,11.99,1574758.0
2021-01-13,12.27,12.41,12.07,12.11,1999864.0
2021-01-12,12.48,12.52,11.9336,12.24,2778549.0
2021-01-11,12.8,12.935,12.495,12.5,2663025.0
2021-01-08,13.8,14.01,12.96,13.17,6492157.0
2021-01-07,14.06,14.28,13.84,14.22,2318381.0
2021-01-06,14.05,14.28,13.73,14.14,3203567.0
2021-01-05,14.46,14.48,14.025,14.18,3149057.0
2021-01-04,13.81,14.355,13.61,14.23,4020294.0
2020-12-31,13.72,13.72,13.18,13.27,1711265.0
2020-12-30,13.1,13.73,13.09,13.64,2276436.0
2020-12-29,13.25,13.34,12.99,13.09,1792211.0
2020-12-28,13.5,13.74,13.195,13.21,1611674.0
2020-12-24,13.16,13.36,13.0499,13.29,702342.0
2020-12-23,12.48,13.23,12.48,13.15,2513447.0
2020-12-22,12.99,13.04,12.33,12.41,1864754.0
2020-12-21,12.84,13.19,12.67,12.97,2143490.0
2020-12-18,13.27,13.32,12.8,12.83,3168684.0
2020-12-17,13.11,13.4389,12.96,13.29,2071937.0
2020-12-16,12.92,12.98,12.41,12.79,1750492.0
2020-12-15,12.81,13.02,12.64,12.8,1362478.0
2020-12-14,12.84,12.97,12.42,12.43,1558493.0
2020-12-11,13.31,13.375,12.86,12.86,1846723.0
2020-12-10,13.05,13.68,12.995,13.26,3033181.0
2020-12-09,12.99,13.38,12.73,12.91,2061211.0
2020-12-08,13.33,13.35,13.09,13.13,1160665.0
2020-12-07,12.6,13.53,12.59,13.22,2305670.0
2020-12-04,12.64,12.88,12.585,12.7,1386696.0
2020-12-03,13.09,13.13,12.52,12.66,1907229.0
2020-12-02,13.12,13.15,12.49,12.95,2225804.0
2020-12-01,12.3,13.09,12.24,13.03,3537251.0
2020-11-30,11.89,11.95,11.51,11.8,1870657.0
2020-11-27,11.88,12.035,11.72,11.96,1197494.0
2020-11-25,12.16,12.26,11.86,12.0,1498677.0
2020-11-24,11.83,12.08,11.74,11.96,2836250.0
2020-11-23,12.61,12.66,11.9,12.21,4054596.0
2020-11-20,12.93,13.01,12.67,12.81,1514587.0
2020-11-19,12.54,12.89,12.34,12.73,2277712.0
2020-11-18,13.21,13.59,12.79,12.83,3447870.0
2020-11-17,13.51,13.55,13.21,13.31,1407027.0
2020-11-16,13.44,13.67,13.28,13.55,1771775.0
2020-11-13,13.85,13.96,13.405,13.56,1558246.0
2020-11-12,13.4,13.73,13.34,13.55,1734038.0
2020-11-11,13.0,13.3,12.99,13.29,1821610.0
2020-11-10,13.23,13.43,13.08,13.31,3259785.0
2020-11-09,13.39,13.55,12.93,13.16,4713050.0
2020-11-06,14.42,14.49,14.02,14.35,2370910.0
2020-11-05,13.29,14.45,13.25,14.26,5075530.0
2020-11-04,13.1,13.2472,12.66,12.82,2502336.0
2020-11-03,12.95,13.37,12.9,13.06,3227391.0
2020-11-02,12.74,12.96,12.575,12.69,3190673.0
2020-10-30,12.61,12.85,12.25,12.53,3039008.0
2020-10-29,11.88,12.21,11.8,12.18,2225025.0
2020-10-28,12.77,12.86,11.91,11.98,3899485.0
2020-10-27,13.0,13.305,12.9,13.24,2419384.0
2020-10-26,13.09,13.42,12.975,12.98,1482221.0
2020-10-23,13.47,13.475,13.04,13.26,1683532.0
2020-10-22,13.41,13.55,13.19,13.47,1685061.0
2020-10-21,13.6,13.98,13.55,13.62,1983496.0
2020-10-20,13.38,13.56,13.25,13.42,1400963.0
2020-10-19,13.79,13.86,13.34,13.34,1992395.0
2020-10-16,14.15,14.23,13.46,13.53,3275427.0
2020-10-15,13.4,14.17,13.25,14.15,3404694.0
2020-10-14,13.25,13.785,13.13,13.74,2840488.0
2020-10-13,12.7,13.11,12.405,13.07,3608180.0
2020-10-12,12.4,13.31,12.14,13.01,4498462.0
2020-10-09,11.56,12.42,11.5,12.41,3585471.0
2020-10-08,10.93,11.21,10.93,11.2,1543504.0
2020-10-07,11.255,11.41,10.82,10.85,2274298.0
2020-10-06,11.19,11.41,11.1,11.18,3877100.0
2020-10-05,10.58,11.14,10.58,11.12,2570380.0
2020-10-02,10.51,10.6325,10.4236,10.52,2514457.0
2020-10-01,10.68,10.73,10.4829,10.64,1709896.0
2020-09-30,10.43,10.66,10.345,10.55,1655924.0
2020-09-29,10.38,10.5706,10.315,10.54,1802716.0
2020-09-28,10.26,10.35,10.07,10.28,1805034.0
2020-09-25,9.85,10.19,9.8,10.11,1927529.0
2020-09-24,9.6,10.06,9.571,10.02,3921916.0
2020-09-23,10.45,10.505,9.69,9.75,3545602.0
2020-09-22,11.29,11.29,10.56,10.67,3190985.0
2020-09-21,11.55,11.8,11.08,11.15,4536146.0
2020-09-18,11.85,12.2,11.73,11.81,4866057.0
2020-09-17,11.0,11.8,10.91,11.78,4493303.0
2020-09-16,11.38,11.5365,11.21,11.34,2141149.0
2020-09-15,11.3,11.395,11.06,11.2,1669420.0
2020-09-14,10.81,11.25,10.81,11.23,2441426.0
2020-09-11,11.01,11.09,10.6084,10.64,1886160.0
2020-09-10,11.17,11.2,10.82,10.92,1968396.0
2020-09-09,10.82,11.1,10.82,11.03,2305388.0
2020-09-08,10.59,10.9,10.305,10.63,2373407.0
2020-09-04,11.07,11.07,10.53,10.94,2069446.0
2020-09-03,10.88,11.1,10.6674,11.08,1937616.0
2020-09-02,10.97,11.02,10.68,10.96,1576851.0
2020-09-01,11.7,11.7,10.98,11.09,1647007.0
2020-08-31,11.41,11.61,11.3339,11.42,1389678.0
2020-08-28,11.14,11.43,11.1,11.35,1807100.0
2020-08-27,11.36,11.38,10.6,10.93,1924726.0
