date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,10.37,10.45,10.28,10.37,21782.0
2021-03-17,10.44,10.47,10.43,10.46,26282.0
2021-03-16,10.34,10.5,10.29,10.49,62298.0
2021-03-15,10.32,10.37,10.2244,10.3,33923.0
2021-03-12,10.38,10.4,10.34,10.3401,19511.0
2021-03-11,10.34,10.395,10.33,10.38,46971.0
2021-03-10,10.18,10.24,10.15,10.24,19838.0
2021-03-09,10.16,10.1814,10.1507,10.18,15258.0
2021-03-08,10.25,10.25,10.15,10.15,24773.0
2021-03-05,10.3,10.3,10.16,10.25,25723.0
2021-03-04,10.29,10.3,10.23,10.26,42861.0
2021-03-03,10.25,10.26,10.17,10.26,29518.0
2021-03-02,10.19,10.28,10.19,10.2,96933.0
2021-03-01,10.1,10.23,10.06,10.16,70814.0
2021-02-26,9.91,10.02,9.91,10.02,57721.0
2021-02-25,10.08,10.08,9.89,9.925,50320.0
2021-02-24,10.02,10.1,10.01,10.08,46781.0
2021-02-23,10.08,10.1,10.0,10.01,48753.0
2021-02-22,10.05,10.11,10.05,10.08,69076.0
2021-02-19,10.13,10.2,10.0914,10.11,77548.0
2021-02-18,10.19,10.23,10.18,10.18,26754.0
2021-02-17,10.29,10.33,10.25,10.26,33297.0
2021-02-16,10.36,10.39,10.29,10.29,44254.0
2021-02-12,10.31,10.35,10.29,10.33,24574.0
2021-02-11,10.34,10.36,10.27,10.28,31345.0
2021-02-10,10.42,10.42,10.27,10.27,50651.0
2021-02-09,10.25,10.83,10.24,10.31,29387.0
2021-02-08,10.2,10.37,10.2,10.23,41061.0
2021-02-05,10.46,10.5,10.15,10.15,131490.0
2021-02-04,10.4,10.45,10.2812,10.4,31717.0
2021-02-03,10.31,10.44,10.28,10.37,21277.0
2021-02-02,10.28,10.36,10.23,10.29,33721.0
2021-02-01,10.22,10.31,10.22,10.28,54914.0
2021-01-29,10.26,10.31,10.08,10.09,34431.0
2021-01-28,10.1,10.28,10.1,10.26,30480.0
2021-01-27,10.22,10.24,10.04,10.05,43545.0
2021-01-26,10.25,10.27,10.22,10.22,19495.0
2021-01-25,10.24,10.27,10.21,10.26,26353.0
2021-01-22,10.2,10.26,10.17,10.25,26613.0
2021-01-21,10.16,10.2,10.14,10.19,24123.0
