date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.88,9.88,9.83,9.84,30438.0
2021-03-12,9.85,9.86,9.84,9.8411,50631.0
2021-03-11,9.83,9.85,9.83,9.8499,41905.0
2021-03-10,9.82,9.86,9.82,9.8389,24996.0
2021-03-09,9.86,9.87,9.83,9.84,49115.0
2021-03-08,9.8499,9.86,9.83,9.84,22005.0
2021-03-05,9.84,9.847,9.83,9.84,31756.0
2021-03-04,9.825,9.84,9.82,9.83,64200.0
2021-03-03,9.84,9.84,9.78,9.81,126988.0
2021-03-02,9.83,9.8501,9.83,9.83,20873.0
2021-03-01,9.85,9.86,9.84,9.85,12851.0
2021-02-26,9.83,9.87,9.82,9.84,32840.0
2021-02-25,9.85,9.86,9.85,9.85,25412.0
2021-02-24,9.88,9.88,9.85,9.85,54635.0
2021-02-23,9.88,9.88,9.85,9.85,28561.0
2021-02-22,9.86,9.88,9.85,9.85,55482.0
2021-02-19,9.85,9.87,9.85,9.85,21272.0
2021-02-18,9.88,9.88,9.85,9.86,48963.0
2021-02-17,9.85,9.877,9.84,9.87,45855.0
2021-02-16,9.84,9.8599,9.84,9.85,16144.0
2021-02-12,9.86,9.87,9.8,9.86,39929.0
2021-02-11,9.83,9.88,9.83,9.86,44264.0
2021-02-10,9.81,9.86,9.81,9.86,102092.0
2021-02-09,9.8309,9.85,9.82,9.85,20352.0
2021-02-08,9.85,9.85,9.81,9.84,43696.0
2021-02-05,9.79,9.84,9.79,9.84,96860.0
2021-02-04,9.78,9.82,9.773,9.81,141448.0
2021-02-03,9.78,9.8,9.77,9.775,600894.0
2021-02-02,9.7989,9.8,9.78,9.8,38464.0
2021-02-01,9.78,9.8,9.78,9.795,65988.0
2021-01-29,9.78,9.8,9.78,9.8,33298.0
2021-01-28,9.782,9.8,9.78,9.79,31172.0
2021-01-27,9.8,9.8,9.77,9.8,39086.0
2021-01-26,9.78,9.8,9.78,9.8,66865.0
2021-01-25,9.78,9.7899,9.77,9.77,87277.0
2021-01-22,9.79,9.8,9.78,9.78,70785.0
2021-01-21,9.785,9.8,9.78,9.8,50057.0
2021-01-20,9.79,9.8,9.78,9.78,33690.0
2021-01-19,9.8,9.8,9.785,9.79,20464.0
2021-01-15,9.8,9.8,9.78,9.8,37108.0
2021-01-14,9.8,9.83,9.78,9.8,41144.0
2021-01-13,9.7822,9.8,9.78,9.7897,25761.0
2021-01-12,9.79,9.81,9.76,9.78,37968.0
2021-01-11,9.79,9.805,9.7702,9.8,18276.0
2021-01-08,9.74,9.81,9.74,9.79,115598.0
2021-01-07,9.7451,9.78,9.74,9.76,41681.0
