date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,26.91,26.9842,26.79,26.92,46974.0
2021-03-12,26.92,26.9399,26.63,26.92,28312.0
2021-03-11,26.98,26.99,26.8401,26.92,52200.0
2021-03-10,26.84,26.9892,26.77,26.92,38091.0
2021-03-09,26.97,26.97,26.75,26.9199,26423.0
2021-03-08,26.84,27.0,26.81,26.92,17698.0
2021-03-05,26.73,26.86,26.54,26.81,22935.0
2021-03-04,26.84,26.98,26.62,26.63,32216.0
2021-03-03,26.88,26.89,26.66,26.8,25563.0
2021-03-02,26.92,26.99,26.7616,26.82,27084.0
2021-03-01,26.93,27.0,26.82,26.9,37178.0
2021-02-26,26.71,26.95,26.5001,26.79,92672.0
2021-02-25,26.6,26.69,26.4,26.57,121132.0
2021-02-24,26.5,26.66,26.38,26.64,94405.0
2021-02-23,26.5,26.64,26.5,26.5,92089.0
2021-02-22,26.42,26.61,26.25,26.45,106911.0
2021-02-19,26.52,26.56,26.39,26.39,24706.0
2021-02-18,26.5,26.55,26.31,26.55,27162.0
2021-02-17,26.43,26.47,26.23,26.45,32637.0
2021-02-16,26.48,26.6387,26.2299,26.31,43975.0
2021-02-12,26.55,26.5581,26.27,26.49,38503.0
2021-02-11,26.78,26.78,26.5,26.57,38230.0
2021-02-10,26.88,26.88,26.57,26.73,32732.0
2021-02-09,26.92,27.07,26.71,26.8,39022.0
2021-02-08,26.96,26.97,26.755,26.96,23171.0
2021-02-05,26.89,26.93,26.63,26.88,31573.0
2021-02-04,26.82,26.91,26.445,26.8,43479.0
2021-02-03,26.82,26.92,26.56,26.82,28684.0
2021-02-02,26.95,26.96,26.75,26.86,37091.0
2021-02-01,26.8,27.01,26.71,26.86,25987.0
2021-01-29,26.87,27.0091,26.63,26.88,76340.0
2021-01-28,26.79,27.0,26.56,26.88,31393.0
2021-01-27,26.77,27.04,26.58,26.59,45924.0
2021-01-26,26.95,27.0,26.78,26.81,26411.0
2021-01-25,27.05,27.06,26.81,26.81,38494.0
2021-01-22,26.9,27.065,26.9,27.05,34764.0
2021-01-21,27.08,27.08,26.8,26.84,39511.0
2021-01-20,27.08,27.09,26.81,27.085,46683.0
2021-01-19,27.07,27.08,26.76,27.06,40882.0
2021-01-15,26.97,27.1,26.81,26.97,35280.0
2021-01-14,26.92,26.97,26.81,26.97,35742.0
2021-01-13,26.39,27.0,26.39,26.78,48551.0
2021-01-12,26.52,26.55,26.21,26.27,66011.0
2021-01-11,26.51,26.585,26.35,26.51,31902.0
2021-01-08,26.44,26.55,26.16,26.55,26300.0
2021-01-07,26.57,26.68,26.06,26.27,29047.0
2021-01-06,26.88,27.0,26.07,26.47,34179.0
2021-01-05,26.83,27.0,26.81,26.98,38255.0
2021-01-04,27.03,27.03,26.65,26.79,31208.0
2020-12-31,26.55,27.0,26.48,26.9,129908.0
2020-12-30,26.44,26.51,26.41,26.49,34049.0
2020-12-29,27.03,27.22,26.58,26.68,87128.0
2020-12-28,27.36,27.375,26.9,26.96,45355.0
2020-12-24,27.24,27.28,27.03,27.15,26558.0
2020-12-23,27.0,27.19,26.87,27.155,31478.0
2020-12-22,27.02,27.1553,26.86,26.92,48275.0
2020-12-21,26.99,27.08,26.8,26.93,41960.0
2020-12-18,27.02,27.19,26.89,27.04,28996.0
2020-12-17,27.23,27.23,26.8767,27.01,41093.0
2020-12-16,27.15,27.2,27.09,27.15,44281.0
2020-12-15,26.93,27.21,26.9107,27.1,80783.0
2020-12-14,26.81,26.86,26.75,26.84,64688.0
2020-12-11,26.7,26.8267,26.6117,26.72,58495.0
2020-12-10,26.63,26.7872,26.57,26.68,23481.0
2020-12-09,26.72,26.87,26.53,26.7,44149.0
2020-12-08,26.64,26.7,26.62,26.65,34024.0
2020-12-07,26.6,26.6499,26.5,26.6,22899.0
2020-12-04,26.57,26.59,26.5243,26.54,29541.0
2020-12-03,26.59,26.6,26.43,26.54,21178.0
2020-12-02,26.6,26.6,26.54,26.54,24017.0
2020-12-01,26.7,26.73,26.515,26.65,22279.0
2020-11-30,26.67,26.82,26.53,26.57,76035.0
2020-11-27,26.49,26.77,26.49,26.57,16088.0
2020-11-25,26.54,26.6,26.3,26.39,22920.0
2020-11-24,26.56,26.68,26.35,26.45,49329.0
2020-11-23,26.37,26.4,26.315,26.36,27763.0
2020-11-20,26.39,26.43,26.25,26.28,48867.0
2020-11-19,26.3,26.38,26.18,26.3,33351.0
2020-11-18,26.32,26.44,26.16,26.23,57116.0
2020-11-17,26.18,26.31,25.9,26.31,32843.0
2020-11-16,26.0,26.2,26.0,26.14,82110.0
2020-11-13,25.98,26.12,25.89,25.96,31982.0
2020-11-12,26.24,26.24,25.86,25.95,45108.0
2020-11-11,26.12,26.215,25.9975,26.19,18883.0
2020-11-10,26.03,26.15,25.84,26.1,40402.0
2020-11-09,25.86,26.025,25.85,26.0,50953.0
2020-11-06,25.77,25.9,25.56,25.62,31813.0
2020-11-05,25.65,25.9,25.6187,25.85,85555.0
2020-11-04,25.48,25.66,25.48,25.64,38188.0
2020-11-03,25.41,25.6,25.41,25.45,27364.0
2020-11-02,25.59,25.63,25.29,25.39,63618.0
2020-10-30,25.34,25.56,25.251,25.52,92501.0
2020-10-29,25.37,25.44,25.22,25.26,28067.0
2020-10-28,25.53,25.61,25.24,25.24,47360.0
2020-10-27,25.66,25.67,25.45,25.6,46557.0
2020-10-26,25.52,25.6,25.45,25.6,35624.0
2020-10-23,25.54,25.73,25.5199,25.6,49144.0
2020-10-22,25.55,25.64,25.437,25.6,50359.0
2020-10-21,25.63,25.63,25.43,25.48,57173.0
2020-10-20,25.57,25.6499,25.5,25.6,90416.0
2020-10-19,25.54,25.62,25.42,25.55,62932.0
2020-10-16,25.52,25.534,25.389,25.39,27702.0
2020-10-15,25.54,25.59,25.39,25.39,39591.0
2020-10-14,25.59,25.6,25.4949,25.54,24905.0
2020-10-13,25.54,25.6155,25.47,25.55,45078.0
2020-10-12,25.43,25.5663,25.3,25.55,36828.0
2020-10-09,25.65,25.7594,25.41,25.45,37999.0
2020-10-08,25.64,25.64,25.42,25.54,36141.0
2020-10-07,25.52,25.63,25.45,25.55,87194.0
2020-10-06,25.4,25.53,25.3,25.4,69377.0
2020-10-05,25.21,25.34,25.17,25.34,66079.0
2020-10-02,25.03,25.2,24.85,25.18,106793.0
2020-10-01,25.3,25.4978,25.12,25.25,100909.0
2020-09-30,25.65,25.71,25.15,25.2,136125.0
2020-09-29,25.87,25.9797,25.41,25.52,59624.0
2020-09-28,26.03,26.09,25.85,25.87,83467.0
2020-09-25,25.18,25.96,25.115,25.85,49531.0
2020-09-24,25.21,25.32,24.78,25.06,93053.0
2020-09-23,25.88,25.88,25.08,25.12,93015.0
2020-09-22,25.9,26.0,25.71,25.77,51951.0
2020-09-21,25.92,25.92,25.7,25.85,35268.0
2020-09-18,25.98,26.18,25.77,25.95,28244.0
2020-09-17,26.09,26.2,25.675,25.81,40176.0
2020-09-16,26.34,26.34,26.0,26.09,42826.0
2020-09-15,26.09,26.34,26.0608,26.2,36041.0
2020-09-14,25.84,26.0865,25.745,26.05,36750.0
2020-09-11,25.79,25.8,25.6,25.65,21068.0
2020-09-10,25.92,25.95,25.62,25.67,37744.0
2020-09-09,25.61,25.9399,25.56,25.8,42104.0
2020-09-08,25.6,25.63,25.39,25.55,28470.0
2020-09-04,25.69,25.7,25.25,25.6,39771.0
2020-09-03,25.77,25.79,25.56,25.6,50165.0
2020-09-02,25.77,25.79,25.6601,25.68,39100.0
2020-09-01,25.82,25.92,25.65,25.75,45075.0
2020-08-31,25.72,25.83,25.6144,25.82,65153.0
2020-08-28,25.83,25.94,25.46,25.64,69331.0
2020-08-27,25.77,25.92,25.5812,25.69,65843.0
2020-08-26,25.17,25.77,25.17,25.77,90372.0
2020-08-25,25.04,25.15,24.95,25.14,1050463.0
2020-08-24,25.14,25.18,25.0,25.04,64429.0
2020-08-21,25.08,25.19,25.0,25.04,52387.0
2020-08-20,25.08,25.23,25.0,25.05,55321.0
2020-08-19,25.15,25.22,25.01,25.1,65301.0
2020-08-18,25.02,25.3,24.9209,25.1,89863.0
2020-08-17,25.09,25.09,24.9,25.0,46492.0
2020-08-14,24.98,25.1,24.95,25.0,44547.0
2020-08-13,25.0,25.0,24.9,24.93,50738.0
2020-08-12,24.95,25.0,24.8222,24.97,61554.0
2020-08-11,24.98,25.09,24.895,24.94,80992.0
2020-08-10,24.86,24.98,24.8,24.94,60813.0
2020-08-07,24.77,24.895,24.65,24.86,43130.0
2020-08-06,24.86,24.8805,24.7,24.87,28958.0
2020-08-05,24.96,25.0567,24.54,24.765,39499.0
2020-08-04,25.0,25.05,24.795,24.89,37596.0
2020-08-03,24.92,25.0,24.9,24.925,55307.0
2020-07-31,24.87,24.94,24.6824,24.9,66077.0
2020-07-30,24.8,24.87,24.74,24.83,57619.0
2020-07-29,24.73,24.81,24.705,24.8,82122.0
2020-07-28,24.53,24.685,24.32,24.59,32570.0
2020-07-27,24.63,24.7,24.47,24.54,70598.0
2020-07-24,24.64,24.66,24.3949,24.62,21998.0
2020-07-23,24.59,24.63,24.45,24.58,63908.0
2020-07-22,24.49,24.55,24.425,24.5,48722.0
2020-07-21,24.41,24.52,24.36,24.49,38742.0
2020-07-20,24.63,24.65,24.45,24.52,24830.0
2020-07-17,24.48,24.65,24.36,24.52,36639.0
2020-07-16,24.46,24.74,24.45,24.54,42338.0
2020-07-15,24.4,24.5,24.25,24.4,40378.0
2020-07-14,24.43,24.56,24.26,24.38,48832.0
2020-07-13,24.65,24.65,24.31,24.35,36468.0
2020-07-10,24.6,24.69,24.355,24.47,35003.0
2020-07-09,24.34,24.6,24.223,24.48,39735.0
2020-07-08,24.66,24.66,24.17,24.22,64147.0
2020-07-07,24.64,24.64,24.41,24.49,38487.0
2020-07-06,24.72,24.89,24.492,24.59,32608.0
2020-07-02,24.58,24.79,24.569,24.73,39619.0
2020-07-01,24.36,24.67,24.23,24.61,26688.0
2020-06-30,24.51,24.64,24.11,24.3,185186.0
2020-06-29,24.68,24.83,24.39,24.75,39515.0
2020-06-26,24.67,24.69,24.3,24.56,31894.0
2020-06-25,24.75,24.87,24.51,24.53,27465.0
2020-06-24,24.8,24.84,24.6,24.67,39022.0
2020-06-23,24.87,24.9,24.63,24.81,18758.0
2020-06-22,24.89,24.89,24.465,24.62,39699.0
2020-06-19,24.93,24.99,24.636,24.84,38659.0
2020-06-18,24.75,24.79,24.6,24.79,19887.0
2020-06-17,24.79,24.83,24.5,24.7,35082.0
2020-06-16,24.44,24.67,24.26,24.67,29703.0
2020-06-15,23.76,24.14,23.7,24.04,75693.0
2020-06-12,24.33,24.51,24.08,24.23,55285.0
2020-06-11,24.65,24.767,23.75,23.94,49941.0
2020-06-10,25.28,25.28,24.8,24.97,70701.0
2020-06-09,25.1,25.31,25.0,25.29,21908.0
2020-06-08,25.19,25.37,25.032,25.14,59512.0
2020-06-05,24.93,25.43,24.57,25.19,64807.0
2020-06-04,24.33,24.75,24.33,24.73,96299.0
2020-06-03,24.46,24.48,24.26,24.36,50403.0
2020-06-02,24.25,24.41,24.25,24.38,61452.0
2020-06-01,24.2,24.44,24.1,24.21,31731.0
2020-05-29,24.26,24.35,24.21,24.25,90209.0
2020-05-28,24.35,24.43,24.08,24.24,83962.0
2020-05-27,23.94,24.17,23.808,24.15,35918.0
2020-05-26,24.15,24.174,23.697,23.77,43554.0
2020-05-22,24.08,24.2,23.844,23.9,46076.0
2020-05-21,24.28,24.44,23.8,23.9,119185.0
2020-05-20,24.15,24.34,23.8,24.34,59157.0
2020-05-19,23.7,24.14,23.57,23.91,69674.0
2020-05-18,23.63,23.87,23.43,23.55,98566.0
2020-05-15,23.11,23.48,23.11,23.43,30339.0
2020-05-14,23.22,23.3,22.75,23.22,46937.0
2020-05-13,23.87,23.87,23.22,23.39,49157.0
2020-05-12,23.44,24.14,23.41,23.7,220063.0
2020-05-11,23.51,23.65,23.2,23.4,44132.0
2020-05-08,23.1,23.65,23.1,23.4,63883.0
2020-05-07,23.05,23.24,22.82,22.94,73611.0
2020-05-06,22.86,23.05,22.54,22.94,93670.0
2020-05-05,23.08,23.34,22.76,22.79,100794.0
2020-05-04,23.19,23.285,22.75,22.8,56795.0
2020-05-01,23.51,23.51,22.82,23.1,43310.0
2020-04-30,23.82,23.95,23.34,23.51,118553.0
2020-04-29,23.34,23.8,23.01,23.6,224221.0
2020-04-28,23.78,23.78,22.946,23.15,125294.0
2020-04-27,23.83,23.99,23.15,23.54,62120.0
2020-04-24,23.58,23.6,23.05,23.5,48483.0
2020-04-23,22.87,23.49,22.26,23.49,58339.0
2020-04-22,22.48,23.39,22.0,22.5,75667.0
2020-04-21,22.75,23.11,21.98,22.0,94847.0
2020-04-20,22.79,23.5,22.79,23.14,194867.0
2020-04-17,24.5,24.5,23.65,23.75,130724.0
2020-04-16,24.48,24.5,23.52,24.02,82807.0
2020-04-15,23.77,24.5,22.879,24.37,87555.0
2020-04-14,23.91,24.68,23.87,24.3,84273.0
2020-04-13,23.8,23.8,22.72,23.65,50829.0
2020-04-09,23.0,24.44,23.0,23.851,111225.0
2020-04-08,20.46,22.75,20.151,22.39,137581.0
2020-04-07,19.03,20.19,19.03,20.19,213859.0
2020-04-06,18.2,19.0,18.01,18.9,81759.0
2020-04-03,17.9,18.102,17.32,17.99,41870.0
2020-04-02,17.04,18.22,16.6,17.87,172336.0
2020-04-01,18.0,18.25,16.81,17.04,98848.0
2020-03-31,19.01,19.59,18.202,18.25,99968.0
2020-03-30,19.3,19.86,18.0,19.55,72918.0
2020-03-27,19.5,20.7,18.62,19.28,107827.0
2020-03-26,18.25,19.95,18.25,19.9,101026.0
2020-03-25,16.98,18.75,16.88,18.04,97966.0
2020-03-24,16.0,17.29,16.0,16.72,81114.0
2020-03-23,16.48,16.536,14.49,15.0,101836.0
2020-03-20,16.33,18.99,16.33,16.76,99485.0
2020-03-19,14.0,16.868,13.13,15.94,151896.0
2020-03-18,17.01,18.02,15.36,15.45,153982.0
2020-03-17,18.85,18.85,18.3,18.31,115972.0
2020-03-16,18.68,20.19,18.19,18.81,84888.0
2020-03-13,19.56,20.56,19.0,20.35,98593.0
2020-03-12,20.07,20.446,18.02,18.86,125809.0
2020-03-11,23.49,23.5,22.605,22.77,78704.0
2020-03-10,23.75,24.0,23.5,23.5,121026.0
2020-03-09,25.33,25.455,23.14,23.31,127638.0
2020-03-06,26.21,26.39,25.824,25.93,164980.0
2020-03-05,26.38,26.66,26.295,26.5,49825.0
2020-03-04,26.36,26.55,26.25,26.55,28518.0
2020-03-03,26.07,26.64,25.83,26.142,39830.0
2020-03-02,25.6,25.99,25.6,25.93,78203.0
2020-02-28,26.07,26.07,25.3,25.36,142447.0
2020-02-27,26.52,26.543,26.13,26.16,55905.0
2020-02-26,26.81,26.81,26.46,26.51,62584.0
2020-02-25,26.93,26.93,26.54,26.56,95268.0
2020-02-24,27.16,27.23,26.72,26.72,46426.0
2020-02-21,27.43,27.43,27.26,27.26,26556.0
2020-02-20,27.36,27.43,27.215,27.43,41977.0
2020-02-19,27.43,27.43,27.17,27.17,42388.0
2020-02-18,27.3,27.44,27.3,27.35,20678.0
2020-02-14,27.35,27.46,27.3,27.3,64886.0
2020-02-13,27.47,27.479,27.32,27.34,35641.0
2020-02-12,27.74,27.74,27.4,27.4,41756.0
2020-02-11,27.74,27.86,27.53,27.53,59249.0
2020-02-10,27.64,27.72,27.469,27.68,27835.0
2020-02-07,27.39,27.64,27.36,27.63,35094.0
2020-02-06,27.29,27.36,27.24,27.36,23699.0
2020-02-05,27.44,27.5176,27.23,27.28,111375.0
2020-02-04,27.37,27.44,27.347,27.421,30282.0
2020-02-03,27.28,27.39,27.21,27.31,52679.0
2020-01-31,27.35,27.402,27.18,27.21,66034.0
2020-01-30,27.24,27.3594,27.11,27.275,35130.0
2020-01-29,27.21,27.259,27.09,27.2,38394.0
2020-01-28,27.59,27.59,27.04,27.15,136585.0
2020-01-27,27.63,27.63,27.4,27.53,46027.0
2020-01-24,27.69,27.71,27.48,27.64,17893.0
2020-01-23,27.71,27.71,27.6,27.68,30171.0
2020-01-22,27.69,27.69,27.61,27.645,26703.0
2020-01-21,27.69,27.69,27.609,27.68,28199.0
2020-01-17,27.6,27.66,27.58,27.645,24139.0
2020-01-16,27.65,27.65,27.51,27.585,33512.0
2020-01-15,27.68,27.75,27.53,27.64,40788.0
2020-01-14,27.68,27.68,27.577,27.67,39193.0
2020-01-13,27.65,27.68,27.593,27.68,39116.0
2020-01-10,27.56,27.661,27.46,27.646,31255.0
2020-01-09,27.58,27.66,27.408,27.56,19501.0
2020-01-08,27.47,27.64,27.42,27.42,45547.0
2020-01-07,27.59,27.59,27.37,27.39,107728.0
2020-01-06,27.68,27.78,27.54,27.54,49313.0
2020-01-03,27.7,27.74,27.64,27.68,63783.0
2020-01-02,27.6,27.85,27.5,27.7,76215.0
2019-12-31,27.85,27.85,27.56,27.58,41261.0
2019-12-30,27.92,27.92,27.61,27.84,15306.0
2019-12-27,28.15,28.3,28.01,28.19,41798.0
2019-12-26,27.99,28.33,27.85,28.33,26972.0
2019-12-24,27.94,27.97,27.875,27.97,19333.0
2019-12-23,27.6,27.89,27.5,27.89,29746.0
2019-12-20,27.46,27.61,27.38,27.56,24730.0
2019-12-19,27.4,27.46,27.28,27.44,21746.0
2019-12-18,27.25,27.383,27.18,27.38,31545.0
2019-12-17,27.15,27.29,26.965,27.29,26049.0
2019-12-16,27.11,27.15,27.01,27.1,32088.0
2019-12-13,26.98,27.09,26.96,27.05,44841.0
2019-12-12,26.97,26.98,26.75,26.97,56743.0
2019-12-11,26.72,26.93,26.66,26.92,40717.0
2019-12-10,26.67,26.74,26.52,26.71,28008.0
2019-12-09,26.7,26.726,26.58,26.67,39534.0
2019-12-06,26.63,26.74,26.51,26.67,26486.0
2019-12-05,26.72,26.74,26.55,26.62,36779.0
2019-12-04,26.67,26.779,26.61,26.64,32176.0
2019-12-03,26.75,26.75,26.58,26.59,33917.0
2019-12-02,26.96,26.96,26.55,26.77,36463.0
2019-11-29,27.14,27.14,26.87,26.95,103982.0
2019-11-27,27.22,27.366,27.04,27.08,55141.0
2019-11-26,27.26,27.324,27.18,27.22,46707.0
2019-11-25,27.42,27.42,27.18,27.22,27630.0
2019-11-22,27.52,27.56,27.26,27.31,49220.0
2019-11-21,27.47,27.5,27.35,27.433,25725.0
2019-11-20,27.59,27.63,27.27,27.38,46945.0
2019-11-19,27.63,27.64,27.42,27.57,35258.0
2019-11-18,27.629,27.7,27.52,27.55,49178.0
2019-11-15,27.56,27.67,27.42,27.64,23342.0
2019-11-14,27.5,27.55,27.33,27.46,43070.0
2019-11-13,27.39,27.5,27.29,27.4,29460.0
2019-11-12,27.29,27.38,27.185,27.35,37271.0
2019-11-11,27.24,27.39,27.13,27.25,27500.0
2019-11-08,26.99,27.28,26.939,27.24,22611.0
2019-11-07,27.11,27.11,26.93,26.99,29550.0
2019-11-06,27.36,27.451,27.17,27.17,47990.0
2019-11-05,27.33,27.41,27.2,27.34,43218.0
2019-11-04,27.43,27.43,27.293,27.4,25482.0
2019-11-01,27.46,27.49,27.29,27.35,37680.0
2019-10-31,27.54,27.65,27.19,27.46,289723.0
2019-10-30,27.6,27.65,27.4,27.54,54079.0
2019-10-29,27.73,27.786,27.49,27.53,30291.0
2019-10-28,27.9,27.9,27.53,27.83,146529.0
2019-10-25,27.89,27.9,27.68,27.86,37695.0
2019-10-24,27.91,27.96,27.76,27.82,37534.0
2019-10-23,27.88,28.06,27.779,27.84,55870.0
2019-10-22,27.71,27.861,27.7,27.82,51254.0
2019-10-21,27.6,27.71,27.57,27.71,24662.0
2019-10-18,27.9,27.92,27.59,27.6,35193.0
2019-10-17,27.83,27.92,27.7,27.76,33782.0
2019-10-16,27.69,27.8,27.61,27.77,46200.0
2019-10-15,27.74,27.8,27.639,27.66,22582.0
2019-10-14,27.71,27.735,27.61,27.67,50771.0
2019-10-11,27.7,27.71,27.56,27.71,23232.0
2019-10-10,27.74,27.785,27.56,27.695,22651.0
2019-10-09,27.78,27.8,27.636,27.66,28166.0
2019-10-08,27.66,27.75,27.473,27.6,18161.0
2019-10-07,27.6,27.79,27.591,27.78,22933.0
2019-10-04,27.62,27.816,27.541,27.68,20104.0
2019-10-03,27.71,27.753,27.47,27.54,40492.0
2019-10-02,27.78,27.78,27.359,27.62,23975.0
2019-10-01,27.9,27.9,27.71,27.73,61931.0
2019-09-30,27.91,28.16,27.515,27.9,300335.0
2019-09-27,27.97,28.29,27.95,28.2,76809.0
2019-09-26,27.79,27.97,27.663,27.97,26833.0
2019-09-25,27.64,27.77,27.594,27.73,32590.0
2019-09-24,27.6,27.704,27.51,27.58,34770.0
2019-09-23,27.63,27.68,27.5,27.57,49714.0
2019-09-20,27.58,27.6,27.491,27.55,44719.0
2019-09-19,27.52,27.67,27.43,27.48,57716.0
2019-09-18,27.28,27.49,27.15,27.45,50221.0
2019-09-17,27.26,27.37,27.205,27.34,23291.0
2019-09-16,27.17,27.28,27.011,27.165,14023.0
2019-09-13,27.49,27.49,26.85,26.97,67586.0
2019-09-12,27.54,27.66,27.36,27.44,44241.0
2019-09-11,27.64,27.64,27.24,27.43,44996.0
2019-09-10,27.81,27.81,27.6,27.68,34840.0
2019-09-09,27.91,27.911,27.688,27.75,43029.0
2019-09-06,27.76,27.91,27.76,27.89,29324.0
2019-09-05,27.94,27.95,27.759,27.76,43969.0
2019-09-04,27.95,27.95,27.82,27.92,42968.0
2019-09-03,27.85,27.93,27.846,27.9,43035.0
2019-08-30,27.87,27.92,27.75,27.92,204767.0
2019-08-29,27.75,27.85,27.67,27.85,51285.0
2019-08-28,27.8,27.8,27.664,27.71,79532.0
2019-08-27,27.78,27.84,27.65,27.8,79768.0
2019-08-26,27.8,27.92,27.667,27.78,40747.0
2019-08-23,27.78,27.89,27.68,27.79,35146.0
2019-08-22,27.65,27.8,27.65,27.78,35648.0
2019-08-21,27.68,27.68,27.53,27.65,34341.0
2019-08-20,27.62,27.68,27.49,27.57,45416.0
2019-08-19,27.74,27.74,27.32,27.56,80355.0
2019-08-16,27.64,27.76,27.487,27.65,48275.0
2019-08-15,27.57,27.81,27.37,27.59,55960.0
2019-08-14,27.15,27.52,27.15,27.52,52504.0
2019-08-13,27.03,27.2,26.984,27.19,20136.0
2019-08-12,26.94,27.09,26.86,27.0,30538.0
