date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,3.9,3.98,3.88,3.98,577481.0
2021-03-12,3.95,3.99,3.8116,3.94,629266.0
2021-03-11,3.94,4.0,3.88,3.94,697505.0
2021-03-10,3.86,3.88,3.8,3.87,325291.0
2021-03-09,3.76,3.83,3.69,3.81,729269.0
2021-03-08,3.74,3.8,3.66,3.72,477200.0
2021-03-05,3.83,3.86,3.7,3.78,329804.0
2021-03-04,3.8,3.85,3.745,3.76,519513.0
2021-03-03,3.75,3.84,3.72,3.84,347741.0
2021-03-02,3.69,3.8,3.69,3.8,325624.0
2021-03-01,3.89,3.97,3.65,3.67,1056230.0
2021-02-26,3.82,3.8527,3.6,3.6,504340.0
2021-02-25,3.88,3.88,3.77,3.78,337775.0
2021-02-24,3.9,3.9,3.83,3.9,407131.0
2021-02-23,3.87,3.87,3.8,3.87,292701.0
2021-02-22,3.96,3.9668,3.86,3.86,284446.0
2021-02-19,3.95,4.04,3.93,4.01,223589.0
2021-02-18,3.97,3.98,3.9,3.9,295331.0
2021-02-17,4.02,4.02,3.9,3.99,487946.0
2021-02-16,4.04,4.09,3.94,4.04,1078876.0
2021-02-12,3.93,4.0,3.89,3.99,387287.0
2021-02-11,3.98,4.01,3.91,3.92,265591.0
2021-02-10,3.95,4.045,3.92,3.98,519992.0
2021-02-09,3.84,3.935,3.83,3.91,555967.0
2021-02-08,3.87,3.88,3.81,3.85,842709.0
2021-02-05,3.87,3.89,3.82,3.86,290997.0
2021-02-04,3.81,3.84,3.75,3.82,364960.0
2021-02-03,3.8,3.88,3.79,3.81,1073446.0
2021-02-02,3.8,3.84,3.775,3.8,409498.0
2021-02-01,3.75,3.785,3.7,3.76,369549.0
2021-01-29,3.74,3.75,3.64,3.68,449972.0
2021-01-28,3.73,3.83,3.7,3.77,321963.0
2021-01-27,3.83,3.85,3.66,3.66,203618.0
2021-01-26,3.89,3.91,3.8,3.81,228742.0
2021-01-25,4.01,4.01,3.83,3.86,428965.0
2021-01-22,4.16,4.2,3.93,4.01,303215.0
2021-01-21,4.22,4.27,4.15,4.15,364659.0
2021-01-20,4.18,4.23,4.15,4.2,202201.0
2021-01-19,4.19,4.22,4.11,4.12,296494.0
2021-01-15,4.18,4.24,4.075,4.12,413715.0
2021-01-14,4.25,4.25,4.18,4.23,302437.0
2021-01-13,4.29,4.3,4.12,4.21,423481.0
2021-01-12,4.38,4.38,4.28,4.29,570591.0
2021-01-11,4.4,4.42,4.29,4.37,501226.0
2021-01-08,4.4,4.495,4.35,4.41,479668.0
2021-01-07,4.32,4.395,4.24,4.37,676294.0
2021-01-06,4.12,4.3,4.03,4.24,310799.0
2021-01-05,4.01,4.17,4.01,4.06,417870.0
2021-01-04,3.97,4.06,3.94,4.01,414094.0
2020-12-31,3.94,3.94,3.8,3.89,341137.0
2020-12-30,3.95,3.97,3.9,3.91,154714.0
2020-12-29,3.95,3.995,3.91,3.94,502708.0
2020-12-28,3.97,3.97,3.895,3.92,276354.0
2020-12-24,3.92,3.97,3.84,3.94,280639.0
2020-12-23,3.85,3.895,3.83,3.89,446988.0
2020-12-22,3.8,3.9307,3.78,3.81,629951.0
2020-12-21,3.87,3.87,3.75,3.78,459910.0
2020-12-18,3.84,3.91,3.81,3.88,1437577.0
2020-12-17,3.73,3.87,3.73,3.84,461329.0
2020-12-16,3.67,3.75,3.62,3.74,500389.0
2020-12-15,3.63,3.67,3.57,3.66,637762.0
2020-12-14,3.7,3.7,3.59,3.63,519882.0
2020-12-11,3.68,3.73,3.6,3.66,503313.0
2020-12-10,3.66,3.77,3.66,3.68,486716.0
2020-12-09,3.77,3.81,3.63,3.63,416508.0
2020-12-08,3.79,3.8,3.67,3.72,437457.0
2020-12-07,3.93,3.935,3.75,3.77,351643.0
2020-12-04,3.89,3.955,3.87,3.87,360933.0
2020-12-03,3.71,3.84,3.7,3.8,331174.0
2020-12-02,3.63,3.77,3.6046,3.71,482041.0
2020-12-01,3.5,3.65,3.49,3.6,526187.0
2020-11-30,3.63,3.63,3.45,3.49,570114.0
2020-11-27,3.62,3.6827,3.59,3.6,236535.0
2020-11-25,3.73,3.73,3.6,3.62,465507.0
2020-11-24,3.54,3.72,3.538,3.72,377548.0
2020-11-23,3.5,3.57,3.46,3.51,246356.0
2020-11-20,3.53,3.55,3.46,3.54,302440.0
2020-11-19,3.6,3.625,3.5,3.54,229494.0
2020-11-18,3.57,3.63,3.54,3.58,327876.0
2020-11-17,3.61,3.62,3.525,3.54,173747.0
2020-11-16,3.55,3.64,3.55,3.63,274459.0
2020-11-13,3.49,3.56,3.475,3.56,243601.0
