date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,25.5,25.5,25.4663,25.47,7002.0
2021-03-12,25.45,25.45,25.45,25.45,757.0
2021-03-11,25.39,25.54,25.39,25.53,9121.0
2021-03-10,25.52,25.52,25.4,25.4,6487.0
2021-03-09,25.54,25.54,25.52,25.52,2820.0
2021-03-08,25.37,25.58,25.37,25.54,3476.0
2021-03-05,25.34,25.5,25.32,25.49,4965.0
2021-03-04,25.35,25.39,25.31,25.33,4406.0
2021-03-03,25.42,25.51,25.3,25.465,19571.0
2021-03-02,25.41,25.645,25.4002,25.5438,8444.0
2021-03-01,25.48,25.72,25.29,25.55,40321.0
2021-02-26,25.29,25.34,25.29,25.29,4623.0
2021-02-25,25.28,25.29,25.27,25.29,12893.0
2021-02-24,25.3,25.3286,25.28,25.32,10544.0
2021-02-23,25.3,25.33,25.29,25.29,11843.0
2021-02-22,25.38,25.38,25.3,25.32,6272.0
2021-02-19,25.352,25.38,25.3268,25.38,5887.0
2021-02-18,25.34,25.38,25.2994,25.38,6193.0
2021-02-17,25.34,25.35,25.29,25.31,6097.0
2021-02-16,25.27,25.35,25.27,25.3,7948.0
2021-02-12,25.37,25.37,25.26,25.33,8215.0
2021-02-11,25.3,25.33,25.26,25.28,19509.0
2021-02-10,25.46,25.534,25.25,25.32,48891.0
2021-02-09,25.49,25.58,25.46,25.49,10783.0
2021-02-08,25.46,25.775,25.46,25.61,6941.0
2021-02-05,25.55,25.72,25.41,25.57,4652.0
2021-02-04,25.5,25.7,25.35,25.7,6313.0
2021-02-03,25.66,25.8,25.57,25.57,10624.0
2021-02-02,25.72,25.75,25.62,25.66,5645.0
2021-02-01,25.48,25.81,25.48,25.76,5255.0
2021-01-29,25.56,25.74,25.41,25.74,15270.0
2021-01-28,25.35,25.74,25.35,25.74,15566.0
2021-01-27,25.6,25.73,25.31,25.36,7430.0
2021-01-26,25.7197,25.75,25.6,25.6278,6720.0
2021-01-25,25.67,25.76,25.62,25.63,4824.0
2021-01-22,25.62,25.74,25.62,25.7047,8391.0
2021-01-21,25.48,25.67,25.48,25.62,11000.0
2021-01-20,25.51,25.64,25.45,25.64,5686.0
2021-01-19,25.31,25.56,25.31,25.55,24628.0
2021-01-15,25.42,25.44,25.27,25.36,19542.0
2021-01-14,25.45,25.46,25.37,25.45,10948.0
2021-01-13,25.27,25.46,25.27,25.429,7103.0
2021-01-12,25.3,25.37,25.23,25.32,25453.0
2021-01-11,25.3,25.3411,25.3,25.335,17965.0
2021-01-08,25.29,25.32,25.26,25.32,6176.0
2021-01-07,25.22,25.41,25.22,25.32,35263.0
2021-01-06,25.39,25.43,25.2,25.38,33394.0
2021-01-05,25.37,25.47,25.37,25.41,9069.0
2021-01-04,25.6,25.7076,25.22,25.38,67689.0
2020-12-31,25.67,25.855,25.55,25.55,31578.0
2020-12-30,26.11,26.11,25.61,25.65,24450.0
2020-12-29,26.32,26.32,26.2233,26.32,8575.0
2020-12-28,26.3,26.31,26.16,26.31,3588.0
2020-12-24,26.32,26.32,26.2187,26.3,2496.0
2020-12-23,26.15,26.2644,26.15,26.2644,4944.0
2020-12-22,26.28,26.32,26.19,26.2,3113.0
2020-12-21,26.23,26.3096,26.2,26.3096,6857.0
2020-12-18,26.27,26.27,26.2,26.25,7382.0
2020-12-17,26.15,26.2922,26.15,26.29,15906.0
2020-12-16,26.0743,26.2,26.0743,26.15,6202.0
2020-12-15,26.13,26.17,26.113,26.16,8277.0
2020-12-14,26.09,26.1091,26.09,26.1068,2531.0
2020-12-11,25.93,26.12,25.93,26.12,6930.0
2020-12-10,26.11,26.11,25.94,26.04,3593.0
2020-12-09,26.04,26.13,26.04,26.1,10720.0
2020-12-08,26.03,26.0595,26.01,26.01,4634.0
2020-12-07,26.02,26.05,25.9869,26.01,5298.0
2020-12-04,26.08,26.1,25.91,26.03,8165.0
2020-12-03,25.96,26.07,25.8933,26.03,4398.0
2020-12-02,25.785,26.035,25.715,25.88,27282.0
2020-12-01,25.87,25.87,25.84,25.84,3669.0
2020-11-30,25.88,25.93,25.61,25.93,11149.0
2020-11-27,25.89,25.89,25.7,25.7,6005.0
2020-11-25,25.88,25.88,25.74,25.78,3588.0
2020-11-24,25.85,25.92,25.76,25.83,4433.0
2020-11-23,25.99,25.99,25.8773,25.92,2750.0
2020-11-20,26.08,26.08,25.7836,25.99,5437.0
2020-11-19,25.9,26.05,25.856,26.05,15448.0
2020-11-18,25.87,26.1,25.75,25.93,23529.0
2020-11-17,25.73,25.93,25.73,25.87,19263.0
2020-11-16,25.72,25.73,25.6774,25.73,9814.0
2020-11-13,25.7,25.73,25.7,25.705,9019.0
2020-11-12,25.69,25.71,25.6472,25.69,11898.0
2020-11-11,25.62,25.69,25.62,25.69,4541.0
2020-11-10,25.7,25.72,25.61,25.69,8588.0
2020-11-09,25.72,25.75,25.63,25.7,9948.0
2020-11-06,25.64,25.66,25.6,25.63,10126.0
2020-11-05,25.64,25.73,25.59,25.63,19542.0
2020-11-04,25.57,25.63,25.51,25.61,34100.0
2020-11-03,25.52,25.58,25.44,25.52,90300.0
2020-11-02,25.58,25.75,25.49,25.5,42742.0
2020-10-30,25.5989,25.73,25.49,25.73,16708.0
2020-10-29,25.5329,25.69,25.52,25.57,10042.0
2020-10-28,25.56,25.67,25.42,25.53,17611.0
2020-10-27,25.61,25.87,25.61,25.63,19878.0
2020-10-26,25.69,25.69,25.55,25.63,8831.0
2020-10-23,25.65,25.76,25.6458,25.72,23596.0
2020-10-22,25.6,25.64,25.5904,25.64,8958.0
2020-10-21,25.56,25.609,25.54,25.58,6436.0
2020-10-20,25.57,25.62,25.56,25.62,7439.0
2020-10-19,25.68,25.68,25.52,25.6,8583.0
2020-10-16,25.65,25.67,25.54,25.65,7991.0
2020-10-15,25.57,25.69,25.57,25.69,5620.0
2020-10-14,25.7,25.74,25.57,25.68,12165.0
2020-10-13,25.91,25.9246,25.62,25.7,32713.0
2020-10-12,26.29,26.29,25.76,25.79,26589.0
2020-10-09,26.57,26.635,26.09,26.3,26783.0
2020-10-08,26.38,26.6,26.36,26.6,5737.0
2020-10-07,26.17,26.38,26.17,26.37,11561.0
2020-10-06,26.13,26.1882,26.1,26.16,3426.0
2020-10-05,26.37,26.37,26.05,26.17,13108.0
2020-10-02,26.77,26.8465,26.24,26.345,19928.0
2020-10-01,26.76,27.0085,26.76,26.8,7784.0
2020-09-30,27.16,27.23,26.65,26.65,26846.0
2020-09-29,26.98,27.19,26.88,27.19,3427.0
2020-09-28,26.95,27.2996,26.84,27.2996,8983.0
2020-09-25,26.38,27.07,26.38,27.07,2325.0
2020-09-24,26.54,26.59,26.37,26.57,2986.0
2020-09-23,27.0,27.0,26.5,26.57,8648.0
2020-09-22,27.0,27.18,26.9802,27.18,3828.0
2020-09-21,27.08,27.09,26.67,26.97,3807.0
2020-09-18,27.08,27.31,26.86,27.31,1952.0
2020-09-17,27.3028,27.3028,27.02,27.06,2482.0
2020-09-16,27.27,27.3267,27.27,27.31,4864.0
2020-09-15,27.2999,27.34,27.17,27.29,6997.0
2020-09-14,26.94,27.25,26.94,27.17,3313.0
2020-09-11,26.87,27.04,26.87,26.97,3397.0
2020-09-10,27.1,27.42,26.94,26.94,5316.0
2020-09-09,26.89,26.89,26.89,26.89,1310.0
2020-09-08,27.14,27.14,26.7975,26.84,1774.0
2020-09-04,27.45,27.45,27.1,27.27,3827.0
2020-09-03,27.2991,27.395,27.1,27.1,2315.0
2020-09-02,27.39,27.45,27.29,27.44,6063.0
2020-09-01,27.4,27.4825,27.2,27.47,5093.0
2020-08-31,27.04,27.5,27.04,27.5,6373.0
2020-08-28,27.29,27.51,27.29,27.415,5242.0
2020-08-27,27.45,27.49,27.3868,27.49,4977.0
2020-08-26,27.05,27.45,27.05,27.45,5524.0
2020-08-25,27.4,27.4,27.05,27.1137,5035.0
2020-08-24,27.36,27.44,27.36,27.44,5001.0
2020-08-21,27.3,27.3521,27.27,27.3521,4559.0
2020-08-20,27.16,27.3,27.155,27.3,4870.0
2020-08-19,27.26,27.3,27.26,27.2925,7187.0
2020-08-18,27.2402,27.44,27.2402,27.3,7157.0
2020-08-17,27.15,27.15,27.13,27.15,5067.0
2020-08-14,27.065,27.15,27.06,27.15,3288.0
2020-08-13,27.11,27.15,27.11,27.14,2259.0
2020-08-12,26.92,27.1,26.92,27.09,2598.0
2020-08-11,26.9517,27.02,26.86,27.02,5390.0
2020-08-10,26.91,27.1,26.91,27.05,4630.0
2020-08-07,26.73,27.07,26.7,27.07,3524.0
2020-08-06,26.92,27.123,26.73,26.73,1975.0
2020-08-05,27.06,27.15,27.06,27.12,7154.0
2020-08-04,27.07,27.121,27.06,27.06,3269.0
2020-08-03,26.98,27.08,26.84,27.08,10514.0
2020-07-31,26.86,27.08,26.86,27.08,5087.0
2020-07-30,26.89,26.95,26.86,26.86,3793.0
2020-07-29,26.89,26.91,26.8793,26.91,2782.0
2020-07-28,26.74,26.9307,26.635,26.93,8121.0
2020-07-27,26.3242,26.74,26.3242,26.6532,5943.0
2020-07-24,26.54,26.705,26.54,26.705,4435.0
2020-07-23,26.6166,26.73,26.6166,26.73,2729.0
2020-07-22,26.53,26.74,26.53,26.74,6872.0
2020-07-21,26.15,26.5,26.15,26.5,1480.0
2020-07-20,26.26,26.62,26.254,26.61,9733.0
2020-07-17,26.12,26.46,25.84,26.35,14302.0
2020-07-16,26.12,26.2,25.95,26.2,6355.0
2020-07-15,26.03,26.03,25.8,25.965,2346.0
2020-07-14,25.94,25.94,25.74,25.884,5844.0
2020-07-13,26.18,26.18,25.89,25.89,6250.0
2020-07-10,25.94,26.23,25.94,26.23,4317.0
2020-07-09,25.89,25.995,25.89,25.96,4189.0
2020-07-08,26.04,26.04,25.905,25.96,2534.0
2020-07-07,25.85,26.1,25.85,26.05,10108.0
2020-07-06,25.9,25.91,25.8,25.91,11701.0
2020-07-02,25.78,25.88,25.78,25.825,1986.0
2020-07-01,25.91,25.94,25.66,25.72,3501.0
2020-06-30,25.8,25.86,25.66,25.67,34480.0
2020-06-29,25.78,25.82,25.7332,25.7668,3668.0
2020-06-26,26.24,26.245,26.1,26.1,2581.0
2020-06-25,26.29,26.29,26.184,26.205,2327.0
2020-06-24,26.46,26.46,26.46,26.46,1038.0
2020-06-23,26.44,26.45,26.205,26.45,4818.0
2020-06-22,26.25,26.48,26.15,26.29,6885.0
2020-06-19,26.385,26.385,26.1,26.15,1923.0
2020-06-18,26.05,26.303,26.05,26.1,2662.0
2020-06-17,26.39,26.5,25.85,26.41,8690.0
2020-06-16,26.07,26.5,26.07,26.13,2152.0
2020-06-15,25.67,26.0,25.67,25.94,3322.0
2020-06-12,26.16,26.19,26.05,26.05,4677.0
2020-06-11,26.14,26.19,26.05,26.06,13782.0
2020-06-10,26.35,26.36,26.26,26.34,15157.0
2020-06-09,26.7,26.75,26.52,26.72,5797.0
2020-06-08,26.76,26.8,26.72,26.75,4014.0
2020-06-05,26.96,26.96,26.601,26.69,6969.0
2020-06-04,26.85,26.885,26.69,26.69,6841.0
2020-06-03,26.8,26.85,26.76,26.85,5573.0
2020-06-02,26.74,26.9,26.72,26.9,6099.0
2020-06-01,26.43,26.66,26.43,26.66,7075.0
2020-05-29,26.28,26.61,26.168,26.61,15468.0
2020-05-28,26.165,26.38,26.05,26.38,4266.0
2020-05-27,26.076,26.22,26.006,26.22,2404.0
2020-05-26,26.094,26.22,26.094,26.14,5167.0
2020-05-22,25.9,26.1,25.66,26.1,2801.0
2020-05-21,25.73,25.9,25.73,25.89,1278.0
2020-05-20,25.75,25.795,25.75,25.795,802.0
2020-05-19,25.66,25.84,25.66,25.73,5952.0
2020-05-18,25.87,25.95,25.53,25.66,9577.0
2020-05-15,25.88,25.96,25.646,25.685,4136.0
