date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,5.18,5.194,5.13,5.14,134693.0
2021-03-17,5.21,5.23,5.19,5.22,187496.0
2021-03-16,5.22,5.23,5.21,5.22,114654.0
2021-03-15,5.17,5.24,5.165,5.22,175522.0
2021-03-12,5.22,5.23,5.18,5.19,194964.0
2021-03-11,5.27,5.2808,5.2439,5.25,213867.0
2021-03-10,5.36,5.3798,5.35,5.37,289942.0
2021-03-09,5.27,5.375,5.26,5.35,351750.0
2021-03-08,5.27,5.31,5.24,5.24,176868.0
2021-03-05,5.24,5.27,5.17,5.27,212515.0
2021-03-04,5.26,5.32,5.23,5.23,293987.0
2021-03-03,5.27,5.33,5.26,5.27,228096.0
2021-03-02,5.34,5.34,5.27,5.27,235051.0
2021-03-01,5.29,5.365,5.29,5.36,188661.0
2021-02-26,5.28,5.29,5.2,5.27,232966.0
2021-02-25,5.33,5.3499,5.255,5.27,192506.0
2021-02-24,5.33,5.35,5.29,5.34,255232.0
2021-02-23,5.25,5.35,5.21,5.34,256062.0
2021-02-22,5.27,5.27,5.23,5.26,277558.0
2021-02-19,5.22,5.29,5.22,5.27,341863.0
2021-02-18,5.23,5.25,5.18,5.25,211300.0
2021-02-17,5.2,5.24,5.18,5.24,180853.0
2021-02-16,5.2,5.2298,5.2,5.21,262037.0
2021-02-12,5.19,5.2,5.17,5.2,160673.0
2021-02-11,5.22,5.22,5.16,5.19,319384.0
2021-02-10,5.17,5.19,5.15,5.16,272589.0
2021-02-09,5.1,5.16,5.1,5.16,100409.0
2021-02-08,5.09,5.13,5.09,5.12,295541.0
2021-02-05,5.08,5.1,5.05,5.09,193050.0
2021-02-04,5.02,5.09,5.02,5.07,401630.0
2021-02-03,5.02,5.04,5.01,5.03,291627.0
2021-02-02,4.95,5.02,4.94,5.01,262791.0
2021-02-01,4.94,4.95,4.86,4.95,238248.0
2021-01-29,4.97,4.9814,4.9,4.91,303213.0
2021-01-28,4.95,4.99,4.95,4.98,271942.0
2021-01-27,5.0,5.02,4.95,4.96,214964.0
2021-01-26,5.04,5.05,5.01,5.02,88656.0
2021-01-25,5.02,5.06,4.99,5.02,170141.0
2021-01-22,5.06,5.06,5.01,5.03,133081.0
2021-01-21,5.06,5.07,5.04,5.06,104104.0
2021-01-20,5.04,5.05,5.02,5.05,109882.0
2021-01-19,5.0,5.03,4.98,5.03,142046.0
2021-01-15,4.97,4.99,4.935,4.98,214636.0
2021-01-14,4.97,5.03,4.96,4.97,163792.0
2021-01-13,4.94,4.98,4.94,4.98,161887.0
2021-01-12,4.94,4.97,4.92,4.94,108420.0
2021-01-11,4.9,4.95,4.9,4.94,147057.0
2021-01-08,4.94,4.97,4.92,4.96,256112.0
2021-01-07,4.91,4.95,4.9,4.95,219040.0
2021-01-06,4.87,4.92,4.86,4.88,180566.0
2021-01-05,4.8,4.89,4.79,4.88,274831.0
2021-01-04,4.92,4.9255,4.805,4.83,394733.0
2020-12-31,4.83,4.855,4.8,4.85,116296.0
2020-12-30,4.81,4.85,4.8005,4.83,196415.0
2020-12-29,4.85,4.8524,4.795,4.82,170112.0
2020-12-28,4.81,4.86,4.81,4.84,327706.0
2020-12-24,4.8,4.82,4.765,4.79,138145.0
2020-12-23,4.84,4.84,4.78,4.78,278546.0
2020-12-22,4.77,4.82,4.75,4.79,211948.0
2020-12-21,4.75,4.78,4.73,4.76,147717.0
2020-12-18,4.82,4.8309,4.79,4.79,94304.0
2020-12-17,4.79,4.838,4.78,4.82,308594.0
2020-12-16,4.78,4.785,4.76,4.77,299294.0
2020-12-15,4.78,4.8,4.76,4.77,313588.0
2020-12-14,4.82,4.8302,4.77,4.78,356003.0
2020-12-11,4.81,4.82,4.76,4.81,226594.0
2020-12-10,4.87,4.98,4.84,4.98,661559.0
2020-12-09,4.93,4.96,4.9,4.91,368920.0
2020-12-08,4.92,4.93,4.88,4.93,424488.0
2020-12-07,4.91,4.94,4.88,4.92,409459.0
2020-12-04,4.88,4.92,4.84,4.9,331432.0
2020-12-03,4.83,4.8827,4.825,4.87,216845.0
2020-12-02,4.78,4.86,4.775,4.85,273722.0
2020-12-01,4.74,4.81,4.74,4.81,271900.0
2020-11-30,4.74,4.77,4.71,4.725,203935.0
2020-11-27,4.8,4.82,4.75,4.77,107243.0
2020-11-25,4.76,4.79,4.75,4.78,147820.0
2020-11-24,4.75,4.8299,4.74,4.76,270654.0
2020-11-23,4.68,4.7589,4.66,4.71,216153.0
2020-11-20,4.67,4.6899,4.67,4.67,55088.0
2020-11-19,4.65,4.7,4.65,4.68,121279.0
2020-11-18,4.62,4.69,4.62,4.69,209986.0
2020-11-17,4.59,4.6419,4.572,4.62,90948.0
2020-11-16,4.59,4.61,4.57,4.59,179388.0
2020-11-13,4.52,4.57,4.52,4.57,172719.0
2020-11-12,4.47,4.52,4.46,4.5,154212.0
2020-11-11,4.5,4.52,4.46,4.5,177577.0
2020-11-10,4.52,4.52,4.46,4.49,91367.0
2020-11-09,4.5,4.55,4.4771,4.49,371743.0
2020-11-06,4.39,4.415,4.3601,4.38,105760.0
2020-11-05,4.34,4.43,4.34,4.39,115363.0
2020-11-04,4.26,4.375,4.26,4.33,121058.0
2020-11-03,4.21,4.285,4.21,4.26,157099.0
2020-11-02,4.13,4.2,4.11,4.17,170840.0
2020-10-30,4.13,4.1659,4.08,4.09,121942.0
2020-10-29,4.11,4.18,4.08,4.18,223977.0
2020-10-28,4.22,4.22,4.09,4.11,234026.0
2020-10-27,4.25,4.28,4.25,4.27,148606.0
2020-10-26,4.31,4.33,4.24,4.26,201041.0
2020-10-23,4.36,4.39,4.34,4.35,143865.0
2020-10-22,4.37,4.37,4.32,4.34,63752.0
2020-10-21,4.37,4.39,4.35,4.36,195510.0
2020-10-20,4.33,4.41,4.33,4.38,183594.0
2020-10-19,4.35,4.41,4.32,4.33,160614.0
2020-10-16,4.39,4.4,4.35,4.37,102373.0
2020-10-15,4.37,4.4,4.3539,4.4,61036.0
2020-10-14,4.42,4.45,4.39,4.42,115714.0
2020-10-13,4.42,4.44,4.39,4.41,103957.0
2020-10-12,4.4,4.45,4.39,4.42,119982.0
2020-10-09,4.38,4.43,4.38,4.42,181048.0
2020-10-08,4.35,4.4,4.34,4.38,149739.0
2020-10-07,4.29,4.36,4.29,4.36,178803.0
2020-10-06,4.33,4.36,4.27,4.27,238617.0
2020-10-05,4.37,4.37,4.29,4.31,254905.0
2020-10-02,4.23,4.31,4.2064,4.31,250933.0
2020-10-01,4.32,4.32,4.25,4.28,673018.0
2020-09-30,4.19,4.27,4.19,4.23,510374.0
2020-09-29,4.18,4.21,4.15,4.2,258842.0
