date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,24.04,25.06,24.04,24.92,882999.0
2021-03-12,23.75,24.3,23.53,24.22,639148.0
2021-03-11,23.84,23.96,23.51,23.73,888803.0
2021-03-10,22.59,24.07,22.59,23.76,3152994.0
2021-03-09,22.86,23.1589,22.6,22.62,888091.0
2021-03-08,22.93,23.25,22.5,22.7,548419.0
2021-03-05,22.84,22.93,21.74,22.89,769386.0
2021-03-04,23.64,23.64,21.98,22.56,955315.0
2021-03-03,23.3,23.67,23.14,23.42,657612.0
2021-03-02,23.54,23.55,22.52,23.21,782001.0
2021-03-01,23.35,24.07,23.24,23.67,772807.0
2021-02-26,23.78,23.88,22.98,23.2,1757015.0
2021-02-25,24.23,24.99,23.32,23.6,2218010.0
2021-02-24,23.46,24.27,22.51,24.23,1861297.0
2021-02-23,23.46,23.98,23.38,23.39,700881.0
2021-02-22,22.97,23.68,22.95,23.55,934791.0
2021-02-19,23.0,23.22,22.895,23.03,838539.0
2021-02-18,22.69,23.09,22.68,23.0,973371.0
2021-02-17,22.82,23.08,22.57,22.73,780423.0
2021-02-16,23.3,23.35,22.8,23.05,987455.0
2021-02-12,23.44,23.67,22.98,23.11,735402.0
2021-02-11,23.18,23.74,23.08,23.61,853190.0
2021-02-10,22.37,23.33,22.37,23.12,804549.0
2021-02-09,22.27,22.27,21.95,22.19,394950.0
2021-02-08,22.29,22.5,22.05,22.29,629339.0
2021-02-05,22.49,22.56,22.03,22.37,520687.0
2021-02-04,21.5,22.32,21.48,22.25,434590.0
2021-02-03,21.5,21.65,20.88,21.55,405769.0
2021-02-02,21.24,21.735,20.95,21.55,671121.0
2021-02-01,20.83,21.13,20.31,21.05,470218.0
2021-01-29,21.52,21.96,20.78,20.82,607421.0
2021-01-28,21.27,21.99,21.02,21.71,919432.0
2021-01-27,21.28,21.65,20.77,21.05,1065226.0
2021-01-26,21.03,21.76,21.03,21.66,1023237.0
2021-01-25,20.49,21.15,20.24,20.75,720344.0
2021-01-22,20.4,20.52,20.14,20.46,390233.0
2021-01-21,20.95,20.9577,20.36,20.5,620358.0
2021-01-20,20.41,21.18,20.36,21.07,850773.0
2021-01-19,20.59,20.59,20.265,20.41,417652.0
2021-01-15,20.41,20.53,20.0,20.43,558176.0
2021-01-14,20.74,20.74,20.34,20.51,427249.0
2021-01-13,20.39,20.67,20.29,20.48,280488.0
2021-01-12,20.53,20.72,20.4,20.42,584952.0
2021-01-11,20.94,21.0,20.345,20.57,699918.0
2021-01-08,20.64,21.18,20.45,21.06,1062241.0
