date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,10.07,10.13,10.0585,10.1,304649.0
2021-03-12,10.04,10.08,10.01,10.06,306620.0
2021-03-11,9.99,10.12,9.975,10.03,372401.0
2021-03-10,9.89,9.96,9.89,9.93,187631.0
2021-03-09,9.87,9.9599,9.86,9.86,264817.0
2021-03-08,9.77,9.9,9.77,9.82,311641.0
2021-03-05,9.78,9.8099,9.63,9.8,341844.0
2021-03-04,9.85,9.88,9.69,9.75,442718.0
2021-03-03,9.88,9.91,9.81,9.85,227675.0
2021-03-02,9.83,9.92,9.8148,9.88,319897.0
2021-03-01,9.73,9.85,9.73,9.85,587814.0
2021-02-26,9.83,9.85,9.65,9.72,903076.0
2021-02-25,9.9,9.94,9.8,9.83,399798.0
2021-02-24,9.82,9.96,9.8,9.91,207269.0
2021-02-23,9.8,9.86,9.71,9.82,285260.0
2021-02-22,9.89,9.93,9.83,9.85,277455.0
2021-02-19,9.91,9.94,9.8975,9.94,224323.0
2021-02-18,9.91,9.95,9.82,9.89,248381.0
2021-02-17,9.97,10.01,9.95,10.0,321179.0
2021-02-16,9.99,10.07,9.96,9.98,527920.0
2021-02-12,9.88,9.97,9.86,9.95,351107.0
2021-02-11,9.91,9.913,9.83,9.88,292664.0
2021-02-10,9.87,9.93,9.79,9.87,355030.0
2021-02-09,9.81,9.87,9.81,9.82,245137.0
2021-02-08,9.8,9.84,9.75,9.82,255232.0
2021-02-05,9.8,9.8195,9.71,9.76,304435.0
2021-02-04,9.73,9.78,9.73,9.77,215907.0
2021-02-03,9.71,9.75,9.66,9.71,248223.0
2021-02-02,9.63,9.71,9.61,9.68,269206.0
2021-02-01,9.66,9.69,9.51,9.58,911901.0
2021-01-29,9.69,9.71,9.55,9.61,371388.0
2021-01-28,9.61,9.75,9.61,9.66,282332.0
2021-01-27,9.71,9.75,9.61,9.61,251939.0
2021-01-26,9.77,9.81,9.7075,9.77,206750.0
2021-01-25,9.75,9.78,9.65,9.72,215552.0
2021-01-22,9.83,9.8492,9.72,9.73,190445.0
2021-01-21,9.83,9.86,9.7973,9.84,238794.0
2021-01-20,9.92,9.95,9.88,9.91,389472.0
2021-01-19,9.77,9.91,9.67,9.85,842422.0
2021-01-15,9.69,9.73,9.62,9.67,219924.0
2021-01-14,9.72,9.77,9.71,9.73,224978.0
2021-01-13,9.71,9.75,9.7,9.71,242278.0
2021-01-12,9.61,9.71,9.61,9.71,276068.0
2021-01-11,9.57,9.65,9.57,9.62,312653.0
2021-01-08,9.77,9.77,9.6,9.67,522776.0
2021-01-07,9.6,9.76,9.57,9.74,310586.0
2021-01-06,9.47,9.655,9.4,9.59,332463.0
2021-01-05,9.46,9.6,9.4,9.53,461052.0
2021-01-04,9.69,9.743,9.29,9.48,836206.0
