date,1. open,2. high,3. low,4. close,5. volume
2020-10-30,25.23,25.2399,25.22,25.22,7076.0
2020-10-29,25.24,25.25,25.24,25.24,1415.0
2020-10-28,25.237,25.25,25.23,25.248,3228.0
2020-10-27,25.24,25.25,25.2399,25.25,10169.0
2020-10-26,25.22,25.24,25.22,25.24,6873.0
2020-10-23,25.23,25.24,25.225,25.233,5813.0
2020-10-22,25.23,25.24,25.22,25.22,19572.0
2020-10-21,25.2247,25.24,25.22,25.22,9407.0
2020-10-20,25.23,25.23,25.22,25.22,2153.0
2020-10-19,25.22,25.225,25.22,25.22,2828.0
2020-10-16,25.24,25.24,25.22,25.23,4552.0
2020-10-15,25.22,25.235,25.22,25.235,3833.0
2020-10-14,25.23,25.24,25.22,25.24,4865.0
2020-10-13,25.23,25.24,25.2242,25.2348,8576.0
2020-10-12,25.24,25.24,25.22,25.23,5857.0
2020-10-09,25.24,25.24,25.2132,25.2399,5952.0
2020-10-08,25.24,25.24,25.22,25.2375,7807.0
2020-10-07,25.24,25.24,25.21,25.24,6155.0
2020-10-06,25.24,25.24,25.2,25.24,46143.0
2020-10-05,25.25,25.26,25.23,25.25,7075.0
2020-10-02,25.23,25.26,25.23,25.26,19288.0
2020-10-01,25.26,25.265,25.23,25.26,33957.0
2020-09-30,25.26,25.2628,25.19,25.19,36167.0
2020-09-29,25.26,25.26,25.21,25.26,37572.0
2020-09-28,25.26,25.28,25.22,25.26,41031.0
2020-09-25,25.43,25.54,25.37,25.41,15939.0
2020-09-24,25.31,25.43,25.3,25.37,18759.0
2020-09-23,25.52,25.55,25.35,25.35,12265.0
2020-09-22,25.58,25.58,25.4643,25.49,9265.0
2020-09-21,25.74,25.74,25.45,25.5,25938.0
2020-09-18,25.8,25.8,25.5,25.65,10704.0
2020-09-17,25.82,25.82,25.7,25.73,5109.0
2020-09-16,25.87,25.87,25.73,25.73,10070.0
2020-09-15,25.75,25.83,25.74,25.81,5356.0
2020-09-14,25.775,25.8,25.73,25.73,1493.0
2020-09-11,25.85,25.8579,25.74,25.74,7494.0
2020-09-10,26.02,26.04,25.72,25.84,59648.0
2020-09-09,25.6522,26.022,25.6522,25.87,10214.0
2020-09-08,26.06,26.06,25.58,25.62,9204.0
2020-09-04,26.0383,26.19,25.98,26.06,14436.0
2020-09-03,26.33,26.33,26.12,26.17,1495.0
2020-09-02,26.45,26.45,26.35,26.35,4810.0
2020-09-01,26.66,26.74,26.4,26.445,4028.0
2020-08-31,26.345,26.65,26.33,26.5,18004.0
2020-08-28,26.715,26.715,26.57,26.65,631.0
2020-08-27,26.8,27.21,26.8,27.04,19056.0
2020-08-26,26.88,26.9,26.84,26.9,4459.0
2020-08-25,26.85,26.86,26.7752,26.84,4581.0
2020-08-24,27.05,27.21,26.85,26.875,9567.0
2020-08-21,26.74,27.0,26.71,27.0,4105.0
2020-08-20,26.47,26.75,26.47,26.75,3260.0
2020-08-19,26.73,26.73,26.45,26.5,7911.0
2020-08-18,26.49,26.75,26.42,26.43,8548.0
2020-08-17,26.3,26.4807,26.3,26.4807,4459.0
2020-08-14,26.25,26.3,26.25,26.3,3088.0
2020-08-13,26.3,26.3,26.165,26.3,2395.0
2020-08-12,26.21,26.26,26.19,26.26,2414.0
2020-08-11,26.15,26.31,26.14,26.14,3881.0
2020-08-10,26.12,26.14,26.12,26.13,2381.0
2020-08-07,26.08,26.14,26.08,26.1,1941.0
2020-08-06,26.3,26.4488,26.06,26.089,6018.0
2020-08-05,26.43,26.48,26.2799,26.28,2561.0
2020-08-04,26.4,26.48,26.23,26.27,5882.0
2020-08-03,26.25,26.25,26.175,26.22,4302.0
2020-07-31,26.34,26.34,26.265,26.27,3270.0
2020-07-30,26.28,26.28,26.25,26.25,2472.0
2020-07-29,26.3,26.3,26.27,26.28,4028.0
2020-07-28,26.37,26.37,26.28,26.3,3958.0
2020-07-27,26.24,26.45,26.1967,26.37,1787.0
2020-07-24,26.24,26.24,26.22,26.22,1082.0
2020-07-23,26.15,26.21,26.15,26.21,1478.0
2020-07-22,26.095,26.2165,26.093,26.2165,2289.0
2020-07-21,26.1,26.16,26.08,26.14,7000.0
2020-07-20,26.02,26.15,25.995,26.1,32800.0
2020-07-17,25.95,26.09,25.86,26.04,17200.0
2020-07-16,26.05,26.5,25.95,26.48,10800.0
2020-07-15,25.952,25.952,25.855,25.89,500.0
2020-07-14,25.92,25.92,25.8,25.831,3700.0
2020-07-13,25.95,26.0,25.95,25.95,3600.0
2020-07-10,26.15,26.15,26.02,26.09,4700.0
2020-07-09,25.9,25.99,25.9,25.99,1100.0
2020-07-08,25.95,25.95,25.94,25.94,700.0
2020-07-07,25.83,25.85,25.74,25.85,2200.0
2020-07-06,26.17,26.17,26.0,26.0,3300.0
2020-07-02,25.89,26.08,25.89,26.06,1000.0
2020-07-01,25.89,25.9,25.66,25.77,1800.0
2020-06-30,25.8,25.8,25.66,25.76,49900.0
2020-06-29,25.76,25.84,25.7201,25.7201,1441.0
2020-06-26,25.9,25.9,25.66,25.67,5900.0
2020-06-25,25.921,25.95,25.9,25.92,8200.0
2020-06-24,25.91,26.05,25.9,26.05,2200.0
2020-06-23,26.016,26.1,25.989,26.05,28000.0
2020-06-22,25.93,26.15,25.93,26.12,4400.0
2020-06-19,25.93,25.93,25.93,25.93,200.0
2020-06-18,26.03,26.03,26.03,26.03,5300.0
2020-06-17,26.33,26.33,26.1,26.1,3000.0
2020-06-16,25.98,26.081,25.98,26.081,300.0
2020-06-15,25.9,25.95,25.9,25.91,600.0
2020-06-12,26.12,26.34,26.1,26.34,3000.0
2020-06-11,26.08,26.35,26.05,26.09,34100.0
2020-06-10,26.51,26.67,26.315,26.67,5700.0
2020-06-09,26.58,26.68,26.57,26.68,2500.0
2020-06-08,26.59,26.62,26.5,26.62,29200.0
2020-06-05,26.8,26.8,26.48,26.51,25100.0
2020-06-04,26.44,26.8,26.44,26.655,1700.0
2020-06-03,26.55,26.55,26.418,26.52,3500.0
2020-06-02,26.55,26.55,26.39,26.5,3500.0
2020-06-01,26.49,26.56,26.32,26.44,4200.0
2020-05-29,26.4,26.55,26.4,26.55,1200.0
2020-05-28,26.65,26.65,26.25,26.39,34900.0
2020-05-27,26.7,26.8,26.7,26.8,4400.0
2020-05-26,26.8,26.8,26.642,26.66,1800.0
2020-05-22,26.2,26.5,26.18,26.5,3400.0
2020-05-21,26.35,26.35,26.3,26.349,1100.0
2020-05-20,26.46,26.46,26.06,26.16,1800.0
2020-05-19,26.37,26.405,26.36,26.36,900.0
2020-05-18,26.46,26.46,26.324,26.44,2700.0
2020-05-15,26.22,26.34,26.145,26.205,1800.0
2020-05-14,26.29,26.35,25.53,26.35,1400.0
2020-05-13,26.25,26.3,26.023,26.3,2100.0
2020-05-12,26.34,26.42,26.15,26.42,4100.0
2020-05-11,26.34,26.34,26.33,26.34,1500.0
2020-05-08,25.95,26.16,25.93,26.16,1800.0
2020-05-07,26.16,26.37,26.16,26.37,1200.0
2020-05-06,26.49,26.49,26.18,26.18,800.0
2020-05-05,26.39,26.39,26.39,26.39,500.0
2020-05-04,26.36,26.4,26.15,26.4,1800.0
2020-05-01,26.26,26.26,26.18,26.18,6800.0
2020-04-30,26.22,26.22,26.22,26.22,2200.0
2020-04-29,25.988,25.988,25.988,25.988,126.0
2020-04-28,25.78,26.04,25.59,25.988,4100.0
2020-04-27,25.702,25.859,25.6,25.859,800.0
2020-04-24,25.63,25.63,25.58,25.58,600.0
2020-04-23,25.9,25.9,25.46,25.46,2100.0
2020-04-22,25.77,25.77,25.77,25.77,200.0
2020-04-21,26.01,26.01,25.475,25.53,2500.0
2020-04-20,26.0,26.0,26.0,26.0,300.0
2020-04-17,25.96,26.17,25.76,25.984,5400.0
2020-04-16,25.79,25.79,25.5,25.738,2100.0
2020-04-15,25.579,25.861,25.579,25.861,700.0
2020-04-14,26.0,26.17,25.42,25.42,6500.0
2020-04-13,26.44,26.44,25.07,25.76,3600.0
2020-04-09,25.91,26.37,25.91,26.186,8700.0
2020-04-08,25.62,26.125,25.5,26.09,6300.0
2020-04-07,25.14,25.22,25.14,25.18,1600.0
2020-04-06,24.95,25.075,24.95,25.02,2300.0
2020-04-03,25.117,25.14,24.65,25.13,5000.0
2020-04-02,24.73,25.18,24.7,24.76,5300.0
2020-04-01,25.0,25.12,24.14,25.12,21000.0
2020-03-31,25.01,25.321,25.01,25.15,2600.0
2020-03-30,25.0,25.2,24.989,25.05,2100.0
2020-03-27,25.58,25.58,24.753,25.0,2200.0
2020-03-26,25.24,25.58,25.12,25.48,5700.0
2020-03-25,24.65,25.79,24.25,25.221,6000.0
2020-03-24,24.29,25.171,24.066,24.91,6500.0
2020-03-23,23.786,24.27,22.38,23.25,30400.0
2020-03-20,23.32,24.82,23.04,23.74,8500.0
2020-03-19,22.97,23.52,22.79,23.11,27200.0
2020-03-18,24.53,24.53,21.939,22.756,21900.0
2020-03-17,24.4,25.0,24.26,24.57,10400.0
2020-03-16,24.41,24.96,23.61,24.21,14900.0
2020-03-13,24.845,25.168,24.725,25.15,6700.0
2020-03-12,25.0,25.08,24.25,24.28,41400.0
2020-03-11,25.52,25.52,25.18,25.26,11900.0
2020-03-10,25.35,25.613,25.265,25.52,9700.0
2020-03-09,24.91,25.269,24.91,25.112,15200.0
2020-03-06,25.8,25.8,25.29,25.47,11600.0
2020-03-05,26.34,26.34,25.81,25.82,5200.0
2020-03-04,26.21,26.74,26.21,26.34,18500.0
2020-03-03,25.8,26.25,25.8,26.21,6700.0
2020-03-02,25.71,25.946,25.64,25.69,6900.0
2020-02-28,26.35,26.35,25.16,25.41,35400.0
2020-02-27,26.74,26.795,26.31,26.35,14700.0
2020-02-26,27.15,27.15,26.56,26.85,7500.0
2020-02-25,27.57,27.57,26.54,27.05,10400.0
2020-02-24,27.29,27.39,27.24,27.364,900.0
2020-02-21,27.66,27.66,27.49,27.49,8300.0
2020-02-20,27.41,27.623,27.41,27.48,6300.0
2020-02-19,27.83,27.944,27.31,27.36,10600.0
2020-02-18,28.12,28.12,27.77,27.92,1300.0
2020-02-14,27.99,28.17,27.87,27.89,3600.0
2020-02-13,28.007,28.007,28.007,28.007,600.0
2020-02-12,28.11,28.11,27.9,27.9,3900.0
2020-02-11,28.19,28.21,28.101,28.21,3100.0
2020-02-10,28.04,28.19,28.04,28.04,4000.0
2020-02-07,28.06,28.2,28.06,28.2,2500.0
2020-02-06,28.2,28.2,28.05,28.05,24300.0
2020-02-05,28.02,28.23,28.02,28.23,814.0
2020-02-04,27.77,28.03,27.72,28.0,2500.0
2020-02-03,27.88,28.17,27.88,27.89,9500.0
2020-01-31,28.0,28.04,27.88,28.04,4900.0
2020-01-30,27.9255,28.01,27.9255,28.01,2271.0
2020-01-29,27.98,28.029,27.95,27.95,5100.0
2020-01-28,28.03,28.03,27.76,27.81,11200.0
2020-01-27,27.72,28.15,27.72,28.03,22100.0
2020-01-24,27.83,28.14,27.76,27.9,2200.0
2020-01-23,28.06,28.08,27.71,27.98,8700.0
2020-01-22,28.37,28.37,27.86,28.07,3500.0
2020-01-21,28.32,28.37,28.28,28.3,2700.0
2020-01-17,28.49,28.49,28.05,28.24,15100.0
2020-01-16,28.57,28.575,28.45,28.49,2900.0
2020-01-15,28.58,28.58,28.42,28.58,4200.0
2020-01-14,28.539,28.62,28.43,28.58,5000.0
2020-01-13,28.55,28.68,28.535,28.64,6400.0
2020-01-10,28.56,28.7,28.56,28.57,3600.0
2020-01-09,28.61,28.7,28.51,28.69,9400.0
2020-01-08,28.1,28.61,28.1,28.4,7400.0
2020-01-07,27.96,28.37,27.96,28.34,6700.0
2020-01-06,27.91,27.995,27.745,27.99,5900.0
2020-01-03,27.902,27.91,27.85,27.91,6400.0
2020-01-02,27.54,27.92,27.515,27.92,13100.0
2019-12-31,27.37,27.37,27.37,27.37,7100.0
2019-12-30,27.33,27.52,27.19,27.52,6000.0
2019-12-27,27.17,27.25,27.17,27.19,6200.0
2019-12-26,27.372,27.55,27.37,27.545,3400.0
2019-12-24,27.37,27.37,27.329,27.329,800.0
2019-12-23,27.34,27.34,27.34,27.34,200.0
2019-12-20,27.17,27.38,27.048,27.35,1800.0
2019-12-19,27.213,27.28,27.17,27.26,2000.0
2019-12-18,27.37,27.4,27.263,27.4,1600.0
2019-12-17,26.55,27.3,26.55,27.3,1300.0
2019-12-16,26.88,27.0,26.62,27.0,5500.0
2019-12-13,26.49,26.49,26.49,26.49,52.0
2019-12-12,26.51,26.655,26.46,26.49,5200.0
2019-12-11,26.38,26.45,26.38,26.45,400.0
2019-12-10,26.56,26.56,26.56,26.56,300.0
2019-12-09,26.366,26.42,26.32,26.42,8900.0
2019-12-06,26.92,26.92,25.95,26.35,24800.0
2019-12-05,27.3,27.3,26.875,26.99,8100.0
2019-12-04,27.3,27.54,27.3,27.34,8700.0
2019-12-03,27.45,27.45,27.27,27.3,4500.0
2019-12-02,27.71,27.71,27.3,27.32,13700.0
2019-11-29,27.69,27.84,27.55,27.84,14000.0
2019-11-27,27.75,27.75,27.54,27.73,1200.0
2019-11-26,27.9,28.06,27.87,27.87,2300.0
2019-11-25,28.14,28.14,27.81,28.0,15100.0
2019-11-22,28.01,28.01,28.01,28.01,100.0
2019-11-21,28.06,28.18,28.01,28.01,10400.0
2019-11-20,27.94,28.1,27.83,27.86,6400.0
2019-11-19,27.93,28.1,27.9,28.1,3800.0
2019-11-18,27.84,28.1,27.84,28.09,5300.0
2019-11-15,27.86,27.86,27.86,27.86,200.0
2019-11-14,28.0,28.09,27.92,27.98,6600.0
2019-11-13,27.76,28.03,27.74,28.03,6800.0
2019-11-12,27.88,27.99,27.74,27.76,10900.0
2019-11-11,27.96,27.96,27.72,27.72,400.0
2019-11-08,27.9,27.99,27.81,27.94,5300.0
2019-11-07,28.08,28.08,27.77,27.94,6300.0
2019-11-06,28.03,28.12,27.91,28.1,5400.0
2019-11-05,28.0,28.08,27.81,28.0,4900.0
2019-11-04,28.14,28.14,27.86,28.06,3800.0
2019-11-01,28.09,28.09,27.85,28.09,6400.0
2019-10-31,27.75,28.25,27.64,28.25,44600.0
2019-10-30,28.15,28.15,27.55,27.92,8800.0
2019-10-29,27.9,28.04,27.52,28.015,16900.0
2019-10-28,27.93,28.07,27.93,28.07,3300.0
2019-10-25,27.99,28.23,27.88,28.1,8800.0
2019-10-24,27.87,28.08,27.87,28.03,5300.0
2019-10-23,27.89,28.13,27.77,28.01,16200.0
2019-10-22,27.9,27.94,27.66,27.94,7400.0
2019-10-21,27.77,27.88,27.65,27.74,3600.0
2019-10-18,27.86,27.99,27.71,27.89,11200.0
2019-10-17,27.98,28.1,27.81,28.03,7600.0
2019-10-16,27.94,28.15,27.93,28.14,5300.0
2019-10-15,27.97,28.12,27.6,28.1,14400.0
2019-10-14,27.81,28.19,27.54,28.12,3500.0
2019-10-11,27.9,27.95,27.42,27.79,13200.0
2019-10-10,27.88,28.04,27.88,28.04,3800.0
2019-10-09,27.804,28.04,27.61,28.04,500.0
2019-10-08,27.809,27.99,27.809,27.81,5400.0
2019-10-07,27.996,27.996,27.731,27.731,500.0
2019-10-04,27.78,27.9,27.78,27.9,400.0
2019-10-03,27.78,27.97,27.742,27.95,6200.0
2019-10-02,27.98,28.03,27.88,27.88,500.0
2019-10-01,27.99,28.13,27.99,28.02,13800.0
2019-09-30,27.83,28.2,27.58,28.19,61000.0
2019-09-27,27.84,27.84,27.78,27.84,2600.0
2019-09-26,27.33,27.71,27.33,27.71,1600.0
2019-09-25,27.47,27.87,27.47,27.74,2400.0
2019-09-24,27.862,28.05,27.01,27.56,26700.0
2019-09-23,27.26,28.5,27.26,27.9,14900.0
2019-09-20,27.41,27.43,27.14,27.4,7500.0
2019-09-19,26.67,27.49,26.67,27.36,10900.0
2019-09-18,26.95,26.99,26.92,26.99,2200.0
2019-09-17,26.94,26.95,26.9,26.95,800.0
2019-09-16,26.769,26.95,26.75,26.95,2900.0
2019-09-13,27.13,27.13,26.48,26.88,7700.0
2019-09-12,27.17,27.17,27.05,27.12,1800.0
2019-09-11,27.12,27.12,27.032,27.12,1400.0
2019-09-10,27.21,27.24,27.18,27.18,1400.0
2019-09-09,27.26,27.26,27.252,27.26,2600.0
2019-09-06,26.93,27.27,26.929,27.21,5900.0
2019-09-05,27.05,27.05,26.97,27.03,6600.0
2019-09-04,26.86,27.14,26.6,26.8,21500.0
2019-09-03,28.17,28.17,26.36,26.67,78200.0
2019-08-30,28.39,28.39,27.964,28.33,50800.0
2019-08-29,28.13,28.14,27.97,28.14,3800.0
2019-08-28,28.34,28.37,28.15,28.24,12400.0
2019-08-27,28.4,28.4,28.222,28.29,8500.0
2019-08-26,27.96,28.14,27.96,28.13,2800.0
2019-08-23,28.09,28.14,27.99,28.09,11800.0
2019-08-22,28.2,28.2,27.94,28.05,23200.0
2019-08-21,28.33,28.45,28.17,28.2,22800.0
