date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,4.2,4.2,4.05,4.1,2708237.0
2021-03-17,4.21,4.23,4.14,4.2,1269563.0
2021-03-16,4.21,4.23,4.2,4.21,389283.0
2021-03-15,4.2,4.21,4.14,4.2,1322113.0
2021-03-12,4.25,4.2735,4.0,4.2,3251340.0
2021-03-11,4.32,4.32,4.22,4.27,1845717.0
2021-03-10,4.34,4.35,4.3,4.32,492269.0
2021-03-09,4.36,4.4,4.31,4.33,414807.0
2021-03-08,4.36,4.37,4.31,4.35,537921.0
2021-03-05,4.37,4.4,4.3,4.34,887647.0
2021-03-04,4.4,4.41,4.3,4.33,858797.0
2021-03-03,4.4,4.43,4.35,4.39,560750.0
2021-03-02,4.33,4.42,4.31,4.42,457557.0
2021-03-01,4.36,4.4,4.325,4.34,721674.0
2021-02-26,4.33,4.34,4.26,4.31,1330177.0
2021-02-25,4.42,4.46,4.24,4.26,1208558.0
2021-02-24,4.37,4.48,4.35,4.42,531962.0
2021-02-23,4.42,4.44,4.34,4.41,1332999.0
2021-02-22,4.5,4.5006,4.43,4.44,664069.0
2021-02-19,4.55,4.555,4.49,4.52,707846.0
2021-02-18,4.51,4.55,4.48,4.55,579290.0
2021-02-17,4.54,4.5499,4.5,4.52,712416.0
2021-02-16,4.54,4.57,4.5,4.54,827560.0
2021-02-12,4.56,4.56,4.52,4.54,441009.0
2021-02-11,4.52,4.57,4.49,4.57,1671344.0
2021-02-10,4.48,4.52,4.48,4.52,1054194.0
2021-02-09,4.48,4.5,4.45,4.48,645420.0
2021-02-08,4.5,4.51,4.44,4.45,579447.0
2021-02-05,4.49,4.49,4.44,4.49,1042351.0
2021-02-04,4.5,4.5012,4.44,4.48,1162970.0
2021-02-03,4.53,4.54,4.46,4.47,751689.0
2021-02-02,4.58,4.59,4.5,4.51,882054.0
2021-02-01,4.44,4.61,4.41,4.58,6689092.0
2021-01-29,4.48,4.49,4.41,4.43,1129864.0
2021-01-28,4.38,4.49,4.38,4.45,1339401.0
2021-01-27,4.39,4.42,4.37,4.4,464867.0
2021-01-26,4.39,4.43,4.39,4.4,487353.0
2021-01-25,4.39,4.4,4.37,4.39,531816.0
2021-01-22,4.39,4.43,4.38,4.4,639853.0
2021-01-21,4.41,4.44,4.39,4.4,1178460.0
2021-01-20,4.37,4.44,4.37,4.4,607225.0
2021-01-19,4.36,4.39,4.36,4.37,486080.0
2021-01-15,4.4,4.41,4.35,4.35,615217.0
2021-01-14,4.41,4.45,4.38,4.41,764028.0
2021-01-13,4.4,4.43,4.36,4.4,580030.0
2021-01-12,4.41,4.44,4.35,4.41,791893.0
2021-01-11,4.42,4.44,4.4,4.41,703029.0
2021-01-08,4.46,4.5,4.4,4.41,894827.0
2021-01-07,4.44,4.4834,4.4,4.41,598019.0
2021-01-06,4.34,4.485,4.33,4.45,1366372.0
2021-01-05,4.38,4.42,4.36,4.37,570237.0
2021-01-04,4.47,4.55,4.39,4.4,606137.0
2020-12-31,4.39,4.45,4.35,4.45,774121.0
2020-12-30,4.33,4.44,4.33,4.41,848243.0
2020-12-29,4.38,4.44,4.35,4.37,628905.0
2020-12-28,4.45,4.465,4.37,4.38,585070.0
2020-12-24,4.39,4.45,4.38,4.43,438545.0
2020-12-23,4.39,4.52,4.37,4.38,742450.0
2020-12-22,4.35,4.37,4.33,4.37,778313.0
2020-12-21,4.42,4.43,4.35,4.35,837030.0
2020-12-18,4.52,4.53,4.42,4.45,965436.0
2020-12-17,4.44,4.55,4.44,4.54,1767309.0
2020-12-16,4.38,4.46,4.37,4.45,811757.0
2020-12-15,4.34,4.39,4.34,4.38,614832.0
2020-12-14,4.37,4.39,4.33,4.34,549991.0
2020-12-11,4.35,4.39,4.35,4.37,665171.0
2020-12-10,4.36,4.36,4.32,4.34,717717.0
2020-12-09,4.34,4.39,4.34,4.37,660888.0
2020-12-08,4.35,4.38,4.33,4.35,564774.0
2020-12-07,4.34,4.37,4.33,4.37,625128.0
2020-12-04,4.31,4.36,4.29,4.34,1024915.0
2020-12-03,4.24,4.31,4.23,4.31,1566910.0
2020-12-02,4.2,4.25,4.19,4.24,1442851.0
2020-12-01,4.21,4.23,4.18,4.2,704445.0
2020-11-30,4.2,4.22,4.08,4.2,696105.0
2020-11-27,4.21,4.23,4.17,4.19,378546.0
2020-11-25,4.2,4.23,4.19,4.2,594788.0
2020-11-24,4.19,4.22,4.18,4.2,719774.0
2020-11-23,4.18,4.2,4.16,4.17,616551.0
2020-11-20,4.15,4.2,4.15,4.18,779063.0
2020-11-19,4.12,4.19,4.12,4.17,1090696.0
2020-11-18,4.11,4.18,4.1,4.16,1452156.0
2020-11-17,4.1,4.15,4.08,4.1,759571.0
2020-11-16,4.04,4.12,4.02,4.12,969565.0
2020-11-13,4.01,4.04,4.01,4.04,560626.0
2020-11-12,4.0,4.02,3.9946,4.01,421609.0
2020-11-11,3.98,4.01,3.98,3.99,601505.0
2020-11-10,3.96,3.99,3.94,3.98,530385.0
2020-11-09,3.96,4.0,3.94,3.96,1103160.0
2020-11-06,3.9,3.97,3.86,3.96,488746.0
2020-11-05,3.88,3.93,3.8697,3.91,598370.0
2020-11-04,3.85,3.8777,3.82,3.86,812814.0
2020-11-03,3.81,3.84,3.79,3.83,1115873.0
2020-11-02,3.83,3.83,3.78,3.8,803103.0
2020-10-30,3.84,3.84,3.79,3.8,989693.0
2020-10-29,3.85,3.88,3.82,3.82,701101.0
2020-10-28,3.86,3.9,3.83,3.83,666227.0
2020-10-27,3.88,3.9,3.86,3.87,392277.0
2020-10-26,3.94,3.94,3.87,3.88,621536.0
2020-10-23,3.93,3.96,3.93,3.95,378119.0
2020-10-22,3.91,3.93,3.905,3.92,554018.0
2020-10-21,3.9,3.95,3.9,3.91,535567.0
2020-10-20,3.89,3.93,3.88,3.92,320121.0
2020-10-19,3.93,3.93,3.865,3.88,514189.0
2020-10-16,3.94,3.94,3.91,3.92,465021.0
2020-10-15,3.96,3.97,3.92,3.96,676408.0
2020-10-14,3.95,3.98,3.9201,3.96,882440.0
2020-10-13,3.93,3.95,3.9,3.93,1070217.0
2020-10-12,3.96,3.97,3.93,3.93,1097049.0
2020-10-09,4.0,4.0,3.94,3.96,830707.0
2020-10-08,4.01,4.02,3.97,3.98,674453.0
2020-10-07,4.01,4.06,3.99,3.99,694484.0
