date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,48.85,48.95,46.9,47.55,114560.0
2021-03-12,47.9,49.62,47.9,49.04,149348.0
2021-03-11,47.49,48.07,47.31,47.9,109079.0
2021-03-10,46.13,48.0,46.13,47.61,150314.0
2021-03-09,46.6,46.8,45.635,46.15,225773.0
2021-03-08,45.93,47.19,45.2,47.03,160019.0
2021-03-05,45.91,46.02,44.71,45.18,199672.0
2021-03-04,45.06,46.17,44.24,45.07,280507.0
2021-03-03,43.0,45.63,43.0,45.15,324102.0
2021-03-02,43.64,43.78,42.87,42.9,110042.0
2021-03-01,43.14,44.01,42.38,43.84,122721.0
2021-02-26,43.27,43.4,42.08,42.41,217892.0
2021-02-25,44.44,44.84,42.895,43.2,253636.0
2021-02-24,42.25,44.23,42.1,44.1,272124.0
2021-02-23,41.33,42.23,41.33,41.93,121786.0
2021-02-22,40.06,41.52,40.06,41.11,219308.0
2021-02-19,39.49,40.83,39.025,40.51,313997.0
2021-02-18,39.24,39.5,38.91,39.12,169059.0
2021-02-17,38.82,39.67,38.82,39.37,105282.0
2021-02-16,39.0,39.4,38.91,39.1,84326.0
2021-02-12,38.63,38.92,38.4,38.61,73072.0
2021-02-11,38.94,39.1,38.1,38.49,149092.0
2021-02-10,39.2,39.28,38.68,38.85,125225.0
2021-02-09,38.95,39.31,38.7,38.97,142057.0
2021-02-08,38.58,39.2,38.58,39.0,138007.0
2021-02-05,38.75,38.89,38.1,38.54,76267.0
2021-02-04,37.78,38.73,37.78,38.68,101745.0
2021-02-03,37.66,38.0,37.25,37.76,90843.0
2021-02-02,37.64,38.105,36.57,37.73,116756.0
2021-02-01,37.66,37.66,36.49,37.18,116314.0
2021-01-29,37.41,38.0,37.21,37.36,193230.0
2021-01-28,37.11,38.075,36.94,37.46,265843.0
2021-01-27,36.41,37.74,36.38,37.06,199205.0
2021-01-26,37.29,37.78,36.43,37.05,196550.0
2021-01-25,37.12,37.52,36.05,37.18,171131.0
2021-01-22,35.74,37.38,35.7,37.36,141715.0
2021-01-21,36.71,36.71,35.685,36.26,207201.0
2021-01-20,37.01,37.23,36.46,36.71,123049.0
2021-01-19,37.34,37.44,36.57,37.21,183471.0
2021-01-15,36.66,37.3,36.59,36.84,172147.0
2021-01-14,37.47,37.97,37.38,37.64,134415.0
2021-01-13,37.37,37.48,36.43,37.12,77419.0
2021-01-12,37.41,38.1,37.21,37.56,110572.0
2021-01-11,36.38,37.45,36.38,37.41,79984.0
2021-01-08,37.5,37.6982,36.39,36.97,123368.0
2021-01-07,37.42,37.47,36.9962,37.38,156020.0
2021-01-06,35.0,37.03,34.97,36.75,326883.0
2021-01-05,34.29,35.0,34.29,34.69,131428.0
2021-01-04,35.15,35.2,33.66,34.42,223949.0
2020-12-31,34.83,35.01,34.6632,34.73,99765.0
2020-12-30,34.62,35.0,34.56,34.91,101572.0
2020-12-29,35.24,35.24,34.12,34.45,87904.0
2020-12-28,35.0,35.5,34.94,35.06,157019.0
2020-12-24,34.85,34.86,34.52,34.67,31270.0
2020-12-23,34.39,35.02,34.245,34.88,109021.0
2020-12-22,34.32,34.69,33.89,34.01,89228.0
2020-12-21,34.33,35.12,33.93,34.33,124955.0
2020-12-18,34.9,35.5785,34.51,34.59,565519.0
2020-12-17,34.61,34.76,34.049,34.7,143529.0
2020-12-16,34.77,34.875,34.1601,34.54,161222.0
2020-12-15,34.43,35.0,33.82,34.79,150082.0
2020-12-14,34.46,35.01,34.03,34.04,162386.0
2020-12-11,33.75,34.41,33.64,33.86,92220.0
2020-12-10,33.83,34.48,33.69,34.31,103461.0
2020-12-09,34.13,34.4828,33.81,34.23,86694.0
2020-12-08,33.3,34.09,33.3,33.96,113706.0
2020-12-07,33.8,34.115,33.39,33.8,73277.0
2020-12-04,33.49,34.08,32.98,34.03,125687.0
