date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,22.8,24.93,22.486,24.37,147353.0
2021-03-12,22.77,23.25,22.315,22.7,45555.0
2021-03-11,23.27,23.82,22.275,22.77,63358.0
2021-03-10,22.68,23.69,22.36,23.06,48621.0
2021-03-09,23.04,23.715,21.5,22.72,76043.0
2021-03-08,23.0,23.64,21.465,23.06,100127.0
2021-03-05,22.23,22.99,20.67,22.83,68844.0
2021-03-04,20.68,21.4973,20.01,21.4,107186.0
2021-03-03,20.9,21.8576,20.13,20.43,82588.0
2021-03-02,23.54,24.12,20.52,21.1,152296.0
2021-03-01,21.93,23.17,21.6597,22.72,85856.0
2021-02-26,20.34,21.44,18.785,21.35,59730.0
2021-02-25,20.22,20.47,19.355,20.33,56590.0
2021-02-24,18.06,20.37,17.86,20.0,69179.0
2021-02-23,18.9,18.9,17.4749,18.32,53133.0
2021-02-22,18.8,19.4999,18.27,18.87,49884.0
2021-02-19,18.9,19.3,18.65,18.79,46070.0
2021-02-18,19.44,19.608,18.8801,18.95,45312.0
2021-02-17,19.5,19.69,18.5801,19.69,23745.0
2021-02-16,18.37,19.34,18.2501,19.34,74283.0
2021-02-12,18.0,18.5,17.5554,18.12,69971.0
2021-02-11,18.82,18.85,18.01,18.05,54757.0
2021-02-10,18.59,18.59,17.4901,18.59,59705.0
2021-02-09,18.73,18.85,17.86,18.5,95961.0
2021-02-08,18.88,19.53,18.6,18.72,84803.0
2021-02-05,18.28,19.83,18.25,18.71,96146.0
2021-02-04,17.14,18.24,16.7221,18.2,102624.0
2021-02-03,15.61,16.92,15.61,16.92,97541.0
2021-02-02,15.15,15.63,14.86,15.38,108928.0
2021-02-01,14.84,15.0,14.3801,14.8,60602.0
2021-01-29,14.35,15.13,14.09,14.83,66581.0
2021-01-28,14.69,14.855,14.02,14.42,43482.0
2021-01-27,14.9,15.26,14.3,14.6,50374.0
2021-01-26,15.35,15.49,14.7701,14.93,52370.0
2021-01-25,14.95,15.29,14.455,15.08,41147.0
2021-01-22,14.63,15.3514,14.47,14.94,102277.0
2021-01-21,14.49,15.789,14.49,14.63,168953.0
2021-01-20,14.13,14.23,13.32,14.1,76779.0
2021-01-19,14.99,15.08,13.7,14.13,116670.0
2021-01-15,15.06,15.25,14.32,14.65,60101.0
2021-01-14,15.35,16.15,15.04,15.1,100739.0
2021-01-13,15.1,15.42,14.8,15.35,71083.0
2021-01-12,14.36,15.15,14.3,15.05,133669.0
2021-01-11,14.21,14.515,14.18,14.39,61815.0
2021-01-08,14.06,14.56,13.81,14.4,114758.0
2021-01-07,13.41,14.02,13.36,13.93,66334.0
2021-01-06,13.25,13.7424,12.8601,13.26,69843.0
2021-01-05,12.83,14.19,12.7069,13.06,135030.0
2021-01-04,12.65,12.75,12.0901,12.75,66505.0
2020-12-31,11.78,12.1,11.68,11.9,27266.0
2020-12-30,11.9,12.15,11.72,11.86,23823.0
2020-12-29,11.79,12.43,11.76,12.03,44640.0
2020-12-28,12.42,12.52,11.58,11.79,35414.0
2020-12-24,12.59,12.63,12.2,12.43,8319.0
2020-12-23,12.78,12.93,12.45,12.6,15352.0
2020-12-22,12.55,12.95,12.46,12.82,45293.0
2020-12-21,12.66,12.97,12.3,12.97,48191.0
2020-12-18,13.24,13.33,12.8,13.28,56825.0
2020-12-17,13.07,13.23,12.8187,13.16,26948.0
2020-12-16,13.29,13.31,12.61,13.05,24316.0
2020-12-15,12.96,13.39,12.64,13.23,19595.0
2020-12-14,13.16,13.16,12.335,12.78,24581.0
2020-12-11,13.35,13.61,12.72,12.98,57283.0
2020-12-10,13.35,14.15,13.35,13.65,69286.0
2020-12-09,13.03,14.1,13.03,13.52,88240.0
2020-12-08,13.09,13.39,12.8,12.92,38856.0
2020-12-07,13.52,13.59,13.09,13.18,25165.0
2020-12-04,13.45,13.84,13.27,13.4,54830.0
2020-12-03,12.82,13.33,12.7977,13.26,54528.0
2020-12-02,12.94,13.57,12.56,12.71,58786.0
2020-12-01,13.51,13.7255,12.59,12.9,82003.0
2020-11-30,13.89,13.9,12.89,13.4,83887.0
2020-11-27,14.47,14.47,13.65,13.9,29059.0
2020-11-25,14.7,15.0,13.61,14.3,89735.0
2020-11-24,14.19,14.8,13.81,14.74,132874.0
2020-11-23,12.79,13.98,12.7883,13.78,114586.0
2020-11-20,12.45,12.74,12.06,12.63,34359.0
2020-11-19,12.2,12.44,11.6701,12.44,38710.0
2020-11-18,12.63,12.86,12.0,12.2,71174.0
2020-11-17,10.97,12.67,10.6628,12.53,78436.0
2020-11-16,9.85,11.4,9.73,11.11,110225.0
2020-11-13,9.88,9.9694,9.03,9.64,72943.0
2020-11-12,8.66,9.03,8.34,8.52,36378.0
2020-11-11,8.96,9.1,8.62,8.97,38836.0
2020-11-10,8.15,9.05,8.05,8.75,109772.0
2020-11-09,0.4703,0.4799,0.449,0.4601,1115641.0
2020-11-06,0.43,0.45,0.42,0.424,427417.0
2020-11-05,0.421,0.45,0.41,0.4326,642155.0
2020-11-04,0.4275,0.45,0.4003,0.4474,639731.0
2020-11-03,0.4423,0.4684,0.386,0.436,1936970.0
2020-11-02,0.3627,0.43,0.34,0.43,2573612.0
2020-10-30,0.45,0.4783,0.45,0.4754,967866.0
2020-10-29,0.4712,0.49,0.4626,0.4877,293730.0
2020-10-28,0.5013,0.5013,0.47,0.4811,622752.0
2020-10-27,0.53,0.53,0.492,0.5139,531846.0
2020-10-26,0.554,0.554,0.5067,0.5128,393833.0
2020-10-23,0.5485,0.5562,0.5312,0.5427,422825.0
2020-10-22,0.52,0.5499,0.51,0.5347,642772.0
2020-10-21,0.545,0.5499,0.5067,0.5201,573135.0
2020-10-20,0.545,0.575,0.545,0.55,613469.0
2020-10-19,0.59,0.5977,0.55,0.5606,577869.0
2020-10-16,0.6069,0.6069,0.5871,0.5909,216446.0
2020-10-15,0.6089,0.6094,0.5865,0.5899,403430.0
2020-10-14,0.59,0.6197,0.585,0.5998,654565.0
2020-10-13,0.6,0.63,0.5803,0.6,578537.0
2020-10-12,0.6599,0.6599,0.595,0.6107,1032080.0
2020-10-09,0.5933,0.6199,0.5874,0.6026,1489533.0
2020-10-08,0.58,0.6166,0.56,0.5938,2203117.0
2020-10-07,0.563,0.5739,0.5511,0.5631,569826.0
2020-10-06,0.578,0.5863,0.5505,0.5505,799163.0
2020-10-05,0.59,0.5999,0.55,0.5617,847414.0
2020-10-02,0.6,0.62,0.551,0.5701,1421295.0
2020-10-01,0.5312,0.56,0.5312,0.5565,547130.0
2020-09-30,0.541,0.5689,0.541,0.5495,723205.0
2020-09-29,0.55,0.5749,0.5291,0.5749,865569.0
2020-09-28,0.508,0.575,0.508,0.5704,709332.0
2020-09-25,0.51,0.5399,0.5,0.5375,796836.0
2020-09-24,0.51,0.5313,0.5,0.518,812276.0
2020-09-23,0.54,0.559,0.51,0.5133,1705085.0
2020-09-22,0.545,0.5591,0.5379,0.5474,275108.0
2020-09-21,0.5605,0.57,0.5192,0.5592,676238.0
2020-09-18,0.6,0.6,0.561,0.5982,1211375.0
2020-09-17,0.5696,0.61,0.5452,0.6,1092132.0
2020-09-16,0.5462,0.589,0.5401,0.572,1286588.0
2020-09-15,0.515,0.57,0.4846,0.5432,2334661.0
2020-09-14,0.5,0.5209,0.4806,0.5026,1468119.0
2020-09-11,0.5099,0.5195,0.4814,0.5004,770068.0
2020-09-10,0.5,0.52,0.4936,0.5066,655997.0
2020-09-09,0.5,0.51,0.485,0.5062,763365.0
2020-09-08,0.51,0.5172,0.5,0.505,800012.0
