date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.3,9.33,9.27,9.31,130560.0
2021-03-12,9.37,9.37,9.31,9.33,65263.0
2021-03-11,9.33,9.38,9.324,9.34,57832.0
2021-03-10,9.37,9.41,9.28,9.34,90120.0
2021-03-09,9.33,9.42,9.32,9.37,78561.0
2021-03-08,9.28,9.34,9.27,9.331,175238.0
2021-03-05,9.24,9.3,9.23,9.29,131737.0
2021-03-04,9.31,9.31,9.21,9.24,95036.0
2021-03-03,9.3,9.31,9.26,9.3,90280.0
2021-03-02,9.29,9.305,9.27,9.29,71971.0
2021-03-01,9.3,9.33,9.27,9.31,38250.0
2021-02-26,9.27,9.315,9.25,9.3,65287.0
2021-02-25,9.26,9.3,9.25,9.26,134121.0
2021-02-24,9.24,9.31,9.24,9.28,53434.0
2021-02-23,9.27,9.28,9.25,9.26,149032.0
2021-02-22,9.32,9.33,9.27,9.27,93599.0
2021-02-19,9.28,9.33,9.26,9.33,74539.0
2021-02-18,9.3,9.308,9.24,9.29,66077.0
2021-02-17,9.24,9.32,9.24,9.3,48261.0
2021-02-16,9.28,9.29,9.24,9.25,95950.0
2021-02-12,9.25,9.28,9.24,9.26,84293.0
2021-02-11,9.27,9.28,9.24,9.24,57980.0
2021-02-10,9.25,9.28,9.23,9.28,113628.0
2021-02-09,9.25,9.27,9.23,9.25,42855.0
2021-02-08,9.24,9.25,9.2,9.24,44527.0
2021-02-05,9.2352,9.2423,9.19,9.23,60098.0
2021-02-04,9.2,9.24,9.2,9.23,48664.0
2021-02-03,9.2,9.2122,9.17,9.21,93299.0
2021-02-02,9.2,9.21,9.17,9.2,73912.0
2021-02-01,9.18,9.22,9.1703,9.2,58053.0
2021-01-29,9.19,9.22,9.17,9.2,62463.0
2021-01-28,9.19,9.23,9.18,9.19,66390.0
2021-01-27,9.2,9.2225,9.18,9.19,78491.0
2021-01-26,9.2,9.26,9.2,9.24,106898.0
2021-01-25,9.2,9.26,9.17,9.22,103412.0
2021-01-22,9.25,9.27,9.16,9.19,166484.0
2021-01-21,9.24,9.26,9.21,9.26,124106.0
2021-01-20,9.23,9.24,9.2,9.24,41964.0
2021-01-19,9.19,9.23,9.19,9.22,107866.0
2021-01-15,9.18,9.21,9.1602,9.2,169739.0
2021-01-14,9.17,9.18,9.14,9.16,106721.0
2021-01-13,9.16,9.18,9.15,9.18,39203.0
2021-01-12,9.09,9.17,9.08,9.15,216383.0
2021-01-11,9.03,9.12,9.03,9.11,77552.0
2021-01-08,9.01,9.08,9.01,9.07,72998.0
2021-01-07,9.0,9.05,8.9943,9.03,127226.0
2021-01-06,8.99,9.0,8.97,8.97,132741.0
2021-01-05,8.99,9.03,8.96,9.0,70881.0
2021-01-04,8.99,9.0,8.91,8.98,153071.0
2020-12-31,9.03,9.047,8.94,8.99,130169.0
2020-12-30,9.01,9.06,8.97,9.03,106098.0
2020-12-29,9.02,9.09,9.0,9.05,101309.0
2020-12-28,9.0,9.05,8.97,9.025,93237.0
2020-12-24,8.96,9.0,8.96,9.0,50797.0
2020-12-23,8.92,9.02,8.92,8.98,94109.0
2020-12-22,8.91,9.0,8.9,8.92,54879.0
2020-12-21,8.92,8.9645,8.87,8.91,84270.0
2020-12-18,9.0,9.02,8.96,8.98,63278.0
2020-12-17,9.0,9.04,9.0,9.01,42502.0
2020-12-16,9.03,9.04,9.0,9.02,62771.0
2020-12-15,8.99,9.0436,8.99,9.04,64708.0
2020-12-14,8.97,9.0,8.95,8.99,71406.0
2020-12-11,8.99,9.02,8.93,9.0,70081.0
2020-12-10,8.94,9.05,8.9096,9.01,126068.0
2020-12-09,8.91,9.07,8.9,8.95,289946.0
2020-12-08,8.9,8.95,8.86,8.92,92624.0
2020-12-07,8.88,8.96,8.835,8.89,108339.0
2020-12-04,8.78,8.85,8.78,8.84,131590.0
2020-12-03,8.76,8.81,8.7594,8.79,100715.0
2020-12-02,8.7,8.78,8.7,8.76,66963.0
2020-12-01,8.71,8.75,8.71,8.72,122507.0
2020-11-30,8.71,8.738,8.68,8.72,130167.0
2020-11-27,8.72,8.72,8.7,8.71,17619.0
2020-11-25,8.7,8.72,8.68,8.7,55160.0
2020-11-24,8.7,8.75,8.66,8.71,328229.0
2020-11-23,8.66,8.7,8.66,8.69,114743.0
2020-11-20,8.66,8.71,8.66,8.68,39801.0
2020-11-19,8.7,8.7,8.62,8.68,105792.0
2020-11-18,8.63,8.7,8.63,8.68,116889.0
2020-11-17,8.65,8.65,8.61,8.63,144677.0
2020-11-16,8.68,8.68,8.64,8.68,92518.0
2020-11-13,8.61,8.68,8.61,8.68,93555.0
2020-11-12,8.67,8.6795,8.53,8.67,174467.0
2020-11-11,8.61,8.73,8.59,8.73,127705.0
2020-11-10,8.53,8.61,8.53,8.6,115822.0
2020-11-09,8.57,8.67,8.49,8.52,183986.0
2020-11-06,8.49,8.54,8.48,8.5,102731.0
2020-11-05,8.52,8.56,8.49,8.52,55648.0
2020-11-04,8.46,8.51,8.46,8.51,47393.0
2020-11-03,8.45,8.49,8.4,8.49,78162.0
2020-11-02,8.43,8.47,8.4093,8.46,63761.0
2020-10-30,8.37,8.48,8.34,8.48,67863.0
2020-10-29,8.4,8.42,8.33,8.41,62661.0
2020-10-28,8.4646,8.48,8.305,8.42,233634.0
2020-10-27,8.44,8.52,8.42,8.45,100084.0
2020-10-26,8.46,8.53,8.4162,8.44,119771.0
2020-10-23,8.54,8.54,8.45,8.46,141731.0
2020-10-22,8.46,8.55,8.45,8.55,90521.0
2020-10-21,8.52,8.525,8.43,8.45,220030.0
2020-10-20,8.53,8.55,8.47,8.52,101844.0
2020-10-19,8.56,8.57,8.5,8.57,96483.0
2020-10-16,8.5,8.571,8.47,8.53,128145.0
2020-10-15,8.54,8.58,8.46,8.51,122832.0
2020-10-14,8.49,8.59,8.49,8.54,108197.0
2020-10-13,8.47,8.5,8.43,8.48,177091.0
2020-10-12,8.54,8.59,8.48,8.51,116318.0
2020-10-09,8.49,8.59,8.49,8.54,72138.0
2020-10-08,8.48,8.55,8.48,8.51,110791.0
2020-10-07,8.49,8.52,8.47,8.47,86448.0
2020-10-06,8.51,8.51,8.45,8.46,97312.0
2020-10-05,8.47,8.5,8.44,8.46,83939.0
2020-10-02,8.42,8.5,8.42,8.47,51447.0
2020-10-01,8.44,8.5,8.44,8.44,54349.0
2020-09-30,8.4,8.59,8.4,8.44,650065.0
2020-09-29,8.47,8.47,8.42,8.43,159623.0
2020-09-28,8.56,8.56,8.42,8.49,314170.0
2020-09-25,8.51,8.56,8.48,8.5,123212.0
2020-09-24,8.58,8.61,8.52,8.56,159087.0
2020-09-23,8.61,8.64,8.585,8.64,82005.0
2020-09-22,8.58,8.6488,8.58,8.63,58047.0
2020-09-21,8.59,8.69,8.54,8.62,143718.0
2020-09-18,8.64,8.6702,8.6,8.6101,91527.0
2020-09-17,8.61,9.13,8.6,8.62,156143.0
2020-09-16,8.69,8.7,8.61,8.68,181200.0
2020-09-15,8.72,8.73,8.67,8.69,44882.0
2020-09-14,8.66,8.7,8.6201,8.69,40545.0
2020-09-11,8.71,8.71,8.62,8.62,42356.0
2020-09-10,8.7,8.73,8.62,8.66,27930.0
