date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,23.65,23.8,23.535,23.8,21343.0
2021-03-12,23.73,23.7399,23.512,23.65,14485.0
2021-03-11,23.75,23.7994,23.7203,23.7401,4680.0
2021-03-10,23.63,23.75,23.51,23.65,14393.0
2021-03-09,23.09,23.79,23.045,23.59,30346.0
2021-03-08,23.2,23.2,22.97,23.0,24239.0
2021-03-05,23.03,23.1,22.9,22.99,22253.0
2021-03-04,23.05,23.0852,22.849,23.02,20708.0
2021-03-03,23.07,23.07,22.69,22.98,11229.0
2021-03-02,23.06,23.07,22.87,23.0347,11244.0
2021-03-01,22.98,23.1374,22.9005,22.97,25777.0
2021-02-26,22.76,23.05,22.72,22.85,13847.0
2021-02-25,22.56,22.85,22.51,22.51,22814.0
2021-02-24,23.0,23.04,22.5,22.88,58286.0
2021-02-23,23.4,23.4,23.12,23.12,20043.0
2021-02-22,23.5,23.6,23.4,23.48,11107.0
2021-02-19,23.68,23.68,23.2,23.54,13776.0
2021-02-18,23.46,23.68,23.46,23.59,14870.0
2021-02-17,23.66,23.8664,23.55,23.7,18704.0
2021-02-16,23.45,23.5,23.13,23.401,29870.0
2021-02-12,23.57,23.7,23.2169,23.4,10781.0
2021-02-11,23.57,23.9499,23.4225,23.605,20538.0
2021-02-10,23.95,23.95,23.57,23.65,19195.0
2021-02-09,23.33,23.94,23.2,23.71,15151.0
2021-02-08,23.3,23.44,23.2,23.33,17824.0
2021-02-05,23.3,23.3,23.25,23.29,24973.0
2021-02-04,23.11,23.32,23.11,23.2999,21697.0
2021-02-03,23.2,23.2,23.0801,23.109,9001.0
2021-02-02,23.2,23.2,23.05,23.07,18240.0
2021-02-01,23.14,23.2,22.995,23.17,41984.0
2021-01-29,22.99,23.2,22.5001,23.06,42596.0
2021-01-28,23.1,23.37,22.84,22.84,19132.0
2021-01-27,23.38,23.38,22.96,23.09,11205.0
2021-01-26,23.32,23.4,23.22,23.39,18976.0
2021-01-25,23.38,23.44,23.22,23.32,27794.0
2021-01-22,23.1,23.4373,23.1,23.32,20487.0
2021-01-21,23.23,23.3539,23.12,23.35,18330.0
2021-01-20,23.4,23.44,23.12,23.4,33761.0
2021-01-19,23.03,23.38,22.9,23.34,26749.0
2021-01-15,22.46,23.03,22.4527,22.83,18556.0
2021-01-14,22.56,22.79,22.56,22.64,45757.0
2021-01-13,22.26,22.6895,22.26,22.46,45883.0
2021-01-12,22.73,22.7975,22.17,22.25,61736.0
2021-01-11,22.72,22.94,22.7101,22.73,30507.0
2021-01-08,22.91,23.1499,22.71,22.73,40588.0
2021-01-07,22.98,23.35,22.57,22.92,49796.0
2021-01-06,23.27,23.66,23.01,23.18,39023.0
2021-01-05,23.16,23.52,23.06,23.07,39043.0
2021-01-04,23.81,23.81,23.05,23.3,38403.0
2020-12-31,23.6,23.88,23.1,23.67,55617.0
2020-12-30,24.07,24.07,23.56,23.59,35373.0
2020-12-29,23.89,24.12,23.88,23.94,25449.0
2020-12-28,24.12,24.43,23.9336,23.95,17554.0
2020-12-24,24.16,24.355,24.0507,24.14,8542.0
2020-12-23,24.29,24.3,24.01,24.16,25135.0
2020-12-22,24.1,24.47,24.1,24.44,15379.0
2020-12-21,23.98,24.48,23.97,24.4,28102.0
2020-12-18,23.84,24.37,23.84,24.12,20806.0
2020-12-17,23.77,23.98,23.77,23.98,17835.0
2020-12-16,23.47,23.67,23.4278,23.67,22527.0
2020-12-15,23.31,23.41,23.2584,23.41,19208.0
2020-12-14,23.14,23.3399,23.14,23.33,18220.0
2020-12-11,23.09,23.29,23.09,23.2,23020.0
2020-12-10,23.19,23.293,23.0,23.26,26743.0
2020-12-09,23.22,23.22,23.02,23.21,11365.0
2020-12-08,23.16,23.43,22.95,23.12,27351.0
2020-12-07,23.2,23.39,22.9,23.29,37701.0
2020-12-04,23.37,23.48,23.16,23.3,29359.0
2020-12-03,23.37,23.56,23.16,23.2232,24787.0
2020-12-02,23.06,23.3,23.0001,23.25,45434.0
2020-12-01,23.17,23.4,23.16,23.4,34068.0
2020-11-30,23.12,23.4787,23.08,23.14,30262.0
2020-11-27,23.16,23.64,23.0655,23.35,13610.0
2020-11-25,23.01,23.345,23.01,23.04,18399.0
2020-11-24,22.9,23.2,22.9,23.0,8939.0
2020-11-23,22.86,23.0,22.8507,22.9,17681.0
2020-11-20,22.91,23.1731,22.8,22.86,5922.0
2020-11-19,23.18,23.2,22.61,22.93,17493.0
2020-11-18,23.06,23.299,22.63,23.27,27562.0
2020-11-17,23.09,23.29,22.86,23.12,12952.0
2020-11-16,23.13,23.19,22.57,23.04,22366.0
