date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,8.8,9.03,8.6902,8.97,78486.0
2021-03-12,8.49,8.84,8.49,8.83,53288.0
2021-03-11,8.54,8.6199,8.32,8.45,61830.0
2021-03-10,8.29,8.5,8.29,8.455,20711.0
2021-03-09,8.2,8.48,8.2,8.35,92141.0
2021-03-08,8.26,8.3,8.05,8.055,76939.0
2021-03-05,8.17,8.32,8.05,8.32,67415.0
2021-03-04,8.31,8.51,8.0,8.15,123216.0
2021-03-03,8.46,8.765,8.415,8.52,73111.0
2021-03-02,8.57,8.84,8.57,8.58,102284.0
2021-03-01,8.84,9.07,8.74,8.94,172394.0
2021-02-26,8.78,9.01,8.65,8.97,122344.0
2021-02-25,9.08,9.27,9.03,9.03,85624.0
2021-02-24,8.98,9.35,8.95,9.35,43009.0
2021-02-23,9.0,9.0891,8.68,8.93,102640.0
2021-02-22,8.95,9.34,8.85,9.19,96804.0
2021-02-19,8.77,9.0,8.76,8.9693,86548.0
2021-02-18,8.91,9.17,8.73,9.03,139640.0
2021-02-17,9.25,9.55,9.25,9.45,58389.0
2021-02-16,9.23,9.44,9.02,9.3,105191.0
2021-02-12,8.58,8.9136,8.57,8.84,41434.0
2021-02-11,8.55,8.7,8.505,8.51,13251.0
2021-02-10,8.69,8.88,8.53,8.63,20691.0
2021-02-09,8.65,8.89,8.15,8.46,45482.0
2021-02-08,8.6,8.77,8.41,8.54,65239.0
2021-02-05,8.3,8.49,8.22,8.38,22790.0
2021-02-04,8.3,8.45,8.0,8.32,32690.0
2021-02-03,8.15,8.69,8.15,8.43,21258.0
2021-02-02,8.2,8.23,8.0,8.01,20432.0
2021-02-01,8.35,8.35,8.08,8.08,44160.0
2021-01-29,8.14,8.4999,8.0107,8.0728,76157.0
2021-01-28,7.93,8.28,7.93,8.1,44231.0
2021-01-27,7.9,8.15,7.81,7.85,116886.0
2021-01-26,8.37,8.78,8.3,8.55,75564.0
2021-01-25,8.59,8.63,8.2702,8.61,95528.0
2021-01-22,8.9,9.4443,8.81,8.98,87424.0
2021-01-21,9.24,9.57,9.2,9.24,38432.0
2021-01-20,9.38,9.38,9.0276,9.1,72809.0
2021-01-19,9.73,9.9,9.422,9.62,76795.0
2021-01-15,10.2,10.53,9.94,10.16,38903.0
2021-01-14,10.11,10.38,9.785,10.18,65794.0
2021-01-13,10.28,10.28,10.11,10.12,73774.0
2021-01-12,10.5,10.65,10.15,10.46,117616.0
2021-01-11,10.1,10.2052,9.88,9.94,29079.0
2021-01-08,9.95,10.38,9.75,10.21,94683.0
2021-01-07,9.5,9.56,9.28,9.51,28134.0
2021-01-06,9.38,9.49,9.3707,9.49,16537.0
2021-01-05,9.03,9.44,9.03,9.37,54781.0
2021-01-04,8.91,8.99,8.53,8.7,29399.0
2020-12-31,8.73,8.78,8.635,8.75,9336.0
2020-12-30,8.62,8.78,8.53,8.78,14340.0
2020-12-29,8.65,8.7369,8.35,8.4,16002.0
2020-12-28,8.71,8.77,8.525,8.64,29787.0
2020-12-24,8.71,8.76,8.56,8.67,3840.0
2020-12-23,8.83,8.92,8.7001,8.73,13328.0
2020-12-22,8.85,8.99,8.66,8.9,15560.0
2020-12-21,8.45,8.75,8.4387,8.55,41868.0
2020-12-18,8.99,9.06,8.8575,8.9,24828.0
2020-12-17,8.98,8.995,8.66,8.89,31277.0
2020-12-16,8.85,9.79,8.6113,9.3,75051.0
2020-12-15,8.84,8.96,8.55,8.7,23760.0
2020-12-14,8.94,8.94,8.48,8.62,41646.0
2020-12-11,8.15,8.45,8.04,8.29,49179.0
2020-12-10,7.6,8.0,7.6,7.89,99578.0
2020-12-09,7.82,7.89,7.5,7.66,24886.0
2020-12-08,7.75,8.15,7.74,7.97,34798.0
2020-12-07,7.9,8.0,7.85,7.8801,28876.0
2020-12-04,7.83,8.05,7.7,8.05,53070.0
2020-12-03,7.98,7.98,7.7595,7.9499,46534.0
2020-12-02,7.78,8.12,7.77,7.875,14127.0
2020-12-01,7.92,7.92,7.5779,7.72,8450.0
2020-11-30,7.9,8.0,7.81,7.91,12596.0
2020-11-27,8.05,8.05,7.79,7.98,19188.0
2020-11-25,7.68,8.09,7.61,8.01,37842.0
2020-11-24,7.88,8.2399,7.5693,7.78,122527.0
2020-11-23,7.66,8.3,7.66,8.05,35680.0
2020-11-20,7.71,7.7621,7.4831,7.65,26707.0
2020-11-19,7.25,7.48,7.24,7.45,23827.0
2020-11-18,7.05,7.49,7.05,7.47,23975.0
2020-11-17,7.18,7.215,6.9,7.01,78919.0
2020-11-16,7.0,7.05,6.93,6.97,22883.0
2020-11-13,7.06,7.065,6.91,6.96,11142.0
2020-11-12,7.04,7.04,6.51,6.51,14131.0
2020-11-11,7.07,7.08,6.94,7.03,21550.0
2020-11-10,6.93,7.07,6.93,7.025,17319.0
2020-11-09,6.95,6.9545,6.62,6.88,11554.0
2020-11-06,7.03,7.03,6.8,6.8,1224.0
2020-11-05,7.03,7.05,6.85,7.03,13065.0
2020-11-04,6.96,7.135,6.9,7.07,18394.0
2020-11-03,6.65,6.83,6.51,6.72,15836.0
2020-11-02,6.51,6.84,6.4,6.65,21997.0
2020-10-30,6.58,6.58,6.28,6.3619,11702.0
2020-10-29,6.43,6.71,6.29,6.5,14696.0
2020-10-28,6.5,6.61,6.2,6.25,13023.0
2020-10-27,6.98,7.0,6.73,6.81,3471.0
2020-10-26,7.08,7.14,6.98,7.0499,6386.0
2020-10-23,7.155,7.35,7.155,7.18,12032.0
2020-10-22,7.11,7.32,7.05,7.25,28329.0
2020-10-21,7.03,7.04,6.85,7.0,11793.0
2020-10-20,6.94,7.1,6.8237,6.8237,8202.0
2020-10-19,6.92,7.33,6.83,6.92,35786.0
2020-10-16,7.02,7.02,6.855,6.94,14890.0
2020-10-15,6.82,7.03,6.6172,6.85,10647.0
2020-10-14,6.76,7.0,6.63,6.69,18368.0
2020-10-13,6.66,6.75,6.42,6.625,8681.0
2020-10-12,6.93,7.16,6.71,6.89,22198.0
2020-10-09,6.79,6.8,6.4975,6.55,18474.0
2020-10-08,6.34,6.88,6.34,6.71,47534.0
