date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,67.51,69.33,66.23,66.49,181209.0
2021-03-17,67.34,67.53,65.77,67.32,271467.0
2021-03-16,68.13,68.13,66.42,67.1,215363.0
2021-03-15,68.95,69.33,67.48,68.51,208535.0
2021-03-12,69.45,70.0,67.72,69.28,233820.0
2021-03-11,68.45,69.09,67.21,68.48,159411.0
2021-03-10,67.44,69.339,66.84,68.5,178436.0
2021-03-09,68.93,69.035,66.36,67.13,224227.0
2021-03-08,66.49,69.27,66.27,68.52,190152.0
2021-03-05,63.56,65.98,62.92,65.84,269673.0
2021-03-04,64.38,65.85,62.07,62.56,542055.0
2021-03-03,64.19,64.95,64.12,64.41,223806.0
2021-03-02,63.95,64.27,62.995,64.1,107913.0
2021-03-01,62.72,64.41,62.37,64.11,165764.0
2021-02-26,62.76,62.83,61.23,61.56,285147.0
2021-02-25,62.59,64.35,62.36,62.69,370125.0
2021-02-24,60.62,62.79,60.62,62.65,353153.0
2021-02-23,59.84,61.0,58.96,60.3,530923.0
2021-02-22,58.41,59.86,58.41,59.55,171778.0
2021-02-19,57.8,59.16,57.54,58.72,113365.0
2021-02-18,58.25,58.26,57.01,57.4,138495.0
2021-02-17,58.68,59.18,58.04,58.5,135777.0
2021-02-16,59.62,60.425,58.96,59.24,165790.0
2021-02-12,57.93,58.92,57.42,58.77,241624.0
2021-02-11,58.54,59.02,56.67,57.96,223856.0
2021-02-10,57.73,59.53,56.32,57.81,181301.0
2021-02-09,57.85,58.39,57.04,57.88,163512.0
2021-02-08,57.52,58.7,57.105,58.05,240682.0
2021-02-05,56.81,57.16,56.045,56.97,102830.0
2021-02-04,55.25,56.295,55.25,56.05,124835.0
2021-02-03,55.37,55.9,54.74,55.22,159064.0
2021-02-02,55.22,56.01,55.04,55.67,79202.0
2021-02-01,53.54,54.89,52.85,54.55,145339.0
2021-01-29,54.26,54.26,52.66,52.97,324854.0
2021-01-28,54.59,55.1,54.02,54.1,305331.0
2021-01-27,53.23,54.35,52.3,53.72,403482.0
2021-01-26,54.88,54.88,53.64,54.68,242073.0
2021-01-25,54.45,55.12,53.06,54.27,286173.0
2021-01-22,54.61,55.84,53.59,55.13,396687.0
2021-01-21,55.97,56.24,54.88,55.47,156416.0
2021-01-20,56.22,56.63,55.28,55.92,154874.0
2021-01-19,55.7,56.45,55.27,55.64,159596.0
2021-01-15,55.58,56.75,54.51,55.03,162955.0
2021-01-14,56.42,57.585,55.63,56.87,212957.0
2021-01-13,58.7,59.01,55.805,55.94,198134.0
2021-01-12,58.71,59.27,57.975,59.07,349565.0
2021-01-11,58.62,59.38,57.96,58.51,252243.0
2021-01-08,61.72,61.72,57.635,59.66,364710.0
2021-01-07,61.37,61.95,59.96,61.29,279387.0
2021-01-06,60.91,63.69,60.91,62.39,402475.0
2021-01-05,58.29,60.3,58.29,59.45,222215.0
2021-01-04,58.57,59.08,56.79,58.24,300122.0
2020-12-31,58.0,58.845,57.295,57.96,159499.0
2020-12-30,57.44,58.69,57.44,58.09,137420.0
2020-12-29,58.58,58.58,57.0,57.39,172490.0
2020-12-28,58.51,58.89,58.03,58.5,144832.0
2020-12-24,57.87,59.3,57.09,57.61,47001.0
2020-12-23,57.61,58.07,57.16,57.92,119984.0
2020-12-22,58.19,58.19,56.98,57.12,115598.0
2020-12-21,57.51,58.76,57.07,58.29,177694.0
2020-12-18,60.4,60.93,58.91,59.11,1072837.0
2020-12-17,59.44,60.39,58.795,60.26,200750.0
2020-12-16,60.0,60.0,58.527,59.01,295976.0
2020-12-15,58.76,59.75,58.1275,59.73,171972.0
2020-12-14,58.52,59.0,57.77,57.84,225566.0
2020-12-11,56.6,57.78,56.49,57.72,123018.0
2020-12-10,57.13,57.85,56.08,57.35,103837.0
2020-12-09,57.46,58.03,57.09,57.65,216810.0
2020-12-08,55.04,57.04,55.02,56.87,170802.0
2020-12-07,56.71,56.88,54.8138,55.72,115499.0
2020-12-04,54.08,56.995,53.585,56.69,198993.0
2020-12-03,53.76,54.23,52.81,53.66,193475.0
2020-12-02,53.21,54.1318,52.12,53.51,137867.0
2020-12-01,54.39,55.13,53.185,53.52,134179.0
2020-11-30,55.13,55.13,53.21,53.58,248832.0
2020-11-27,55.14,55.99,55.01,55.47,55901.0
2020-11-25,56.4,56.77,54.79,55.38,149713.0
2020-11-24,55.19,57.23,54.695,56.74,225769.0
2020-11-23,52.93,54.66,52.93,54.24,146367.0
2020-11-20,52.5,52.77,51.94,52.41,136438.0
2020-11-19,52.32,53.11,51.4,53.02,128964.0
