date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,13.6,13.6,13.41,13.45,4262.0
2021-03-12,13.36,13.6,13.36,13.6,11678.0
2021-03-11,13.58,13.58,13.45,13.45,6118.0
2021-03-10,13.43,13.49,13.36,13.49,4817.0
2021-03-09,13.5,13.51,13.32,13.5,21007.0
2021-03-08,13.4462,13.51,13.4148,13.51,18160.0
2021-03-05,13.45,13.55,13.33,13.5,28745.0
2021-03-04,13.45,13.4635,13.33,13.44,4538.0
2021-03-03,13.45,13.45,13.385,13.45,4631.0
2021-03-02,13.47,13.72,13.46,13.51,17181.0
2021-03-01,13.66,13.7,13.5382,13.7,5003.0
2021-02-26,13.55,13.59,13.52,13.52,25511.0
2021-02-25,13.4,13.5782,13.4,13.48,1571.0
2021-02-24,13.34,13.45,13.34,13.43,4056.0
2021-02-23,13.4,13.4,13.3,13.35,18099.0
2021-02-22,13.6,13.63,13.49,13.5,13151.0
2021-02-19,13.683,13.767,13.63,13.65,4202.0
2021-02-18,13.62,13.62,13.62,13.62,1.0
2021-02-17,13.75,13.8,13.6115,13.62,2598.0
2021-02-16,13.68,13.79,13.6,13.7499,6622.0
2021-02-12,13.72,13.819,13.72,13.75,2909.0
2021-02-11,13.84,13.84,13.6,13.786,1683.0
2021-02-10,13.6,13.66,13.59,13.65,3783.0
2021-02-09,13.69,13.7,13.55,13.5501,7386.0
2021-02-08,13.6999,13.6999,13.5614,13.65,2570.0
2021-02-05,13.63,13.69,13.56,13.65,1784.0
2021-02-04,13.88,13.88,13.51,13.5208,4041.0
2021-02-03,13.77,13.8,13.77,13.8,2876.0
2021-02-02,13.7406,13.7799,13.74,13.7799,2709.0
2021-02-01,13.83,13.97,13.78,13.8,1591.0
2021-01-29,14.0,14.25,13.8614,13.8614,2306.0
2021-01-28,13.84,13.98,13.8399,13.97,36808.0
2021-01-27,13.57,13.86,13.57,13.8,7405.0
2021-01-26,13.76,13.88,13.5822,13.7515,11730.0
2021-01-25,13.5,13.66,13.49,13.5555,6268.0
2021-01-22,13.533,13.533,13.46,13.4915,3635.0
2021-01-21,13.5,13.57,13.47,13.47,7613.0
2021-01-20,13.56,13.57,13.46,13.4909,7703.0
2021-01-19,13.67,13.67,13.41,13.5,9229.0
2021-01-15,13.59,13.59,13.47,13.505,7943.0
2021-01-14,13.55,13.55,13.42,13.5,5061.0
2021-01-13,13.51,13.57,13.39,13.485,26039.0
2021-01-12,13.57,13.57,13.5463,13.57,1509.0
2021-01-11,13.56,13.5998,13.51,13.51,5381.0
2021-01-08,13.6372,13.645,13.56,13.56,2008.0
2021-01-07,13.69,13.69,13.56,13.56,8737.0
2021-01-06,13.66,13.66,13.6218,13.6498,7065.0
2021-01-05,13.69,13.6968,13.65,13.65,1859.0
2021-01-04,13.82,13.82,13.65,13.685,5374.0
2020-12-31,13.93,13.93,13.693,13.9115,5145.0
2020-12-30,13.72,13.88,13.71,13.85,8597.0
2020-12-29,13.55,13.71,13.55,13.71,3307.0
2020-12-28,13.56,13.6,13.53,13.54,4209.0
2020-12-24,13.52,13.58,13.52,13.58,892.0
2020-12-23,13.59,13.59,13.59,13.59,887.0
2020-12-22,13.5506,13.5506,13.5506,13.5506,297.0
2020-12-21,13.52,13.5902,13.52,13.5201,6499.0
2020-12-18,13.62,13.7137,13.4738,13.53,19129.0
2020-12-17,13.6,13.72,13.5,13.501,22366.0
2020-12-16,13.55,13.6,13.5,13.5,540.0
2020-12-15,13.6,13.6,13.45,13.45,10866.0
2020-12-14,13.6,13.6,13.5,13.525,7065.0
2020-12-11,13.75,13.813,13.68,13.68,12331.0
2020-12-10,13.77,13.95,13.76,13.77,4729.0
2020-12-09,13.89,13.9486,13.83,13.83,14486.0
