date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,14.77,14.7899,14.06,14.14,303561.0
2021-03-12,14.69,14.85,14.2,14.76,301323.0
2021-03-11,13.61,14.76,13.59,14.64,896072.0
2021-03-10,12.8,13.51,12.64,13.48,355985.0
2021-03-09,13.34,13.4508,12.75,12.79,268556.0
2021-03-08,12.81,13.77,12.7,13.22,822027.0
2021-03-05,12.2,12.92,12.11,12.67,495495.0
2021-03-04,12.5,12.8499,11.86,12.11,318345.0
2021-03-03,12.3,12.95,12.23,12.52,339472.0
2021-03-02,12.3,12.35,12.04,12.23,235577.0
2021-03-01,12.1,12.4,12.1,12.32,272397.0
2021-02-26,11.68,12.15,11.68,11.96,304258.0
2021-02-25,12.09,12.2999,11.61,11.76,303643.0
2021-02-24,11.69,12.15,11.5974,11.98,300731.0
2021-02-23,11.53,11.73,11.45,11.57,229830.0
2021-02-22,11.67,11.85,11.48,11.7,199798.0
2021-02-19,11.66,11.76,11.44,11.59,154388.0
2021-02-18,11.44,11.88,11.3497,11.63,231971.0
2021-02-17,11.57,11.78,11.33,11.42,222136.0
2021-02-16,11.82,11.8284,11.19,11.6,171225.0
2021-02-12,11.49,11.75,11.42,11.68,182053.0
2021-02-11,11.85,11.89,11.42,11.55,171725.0
2021-02-10,11.66,12.04,11.615,11.71,329341.0
2021-02-09,11.75,11.75,11.3,11.57,248152.0
2021-02-08,11.55,11.85,11.35,11.7,291314.0
2021-02-05,11.35,11.43,11.07,11.37,162099.0
2021-02-04,11.01,11.3,10.9,11.22,157362.0
2021-02-03,10.96,11.14,10.8,11.0,189742.0
2021-02-02,11.42,11.51,10.88,10.9,226194.0
2021-02-01,10.35,11.41,10.246,11.29,531822.0
2021-01-29,10.22,10.69,10.03,10.31,220205.0
2021-01-28,10.77,10.89,10.3,10.31,302799.0
2021-01-27,10.86,11.2175,10.5588,10.71,411739.0
2021-01-26,11.98,12.0,10.81,10.84,467370.0
2021-01-25,11.58,11.94,11.13,11.91,513263.0
2021-01-22,11.0,11.16,10.76,11.06,293663.0
2021-01-21,10.64,10.98,10.33,10.9,246781.0
2021-01-20,10.6,10.68,10.36,10.62,200593.0
2021-01-19,10.38,10.77,10.279,10.68,373936.0
2021-01-15,9.97,10.31,9.81,10.28,335338.0
2021-01-14,9.5,9.91,9.5,9.9,154542.0
2021-01-13,9.34,9.48,9.26,9.47,123797.0
2021-01-12,9.5,9.5,9.22,9.34,185986.0
2021-01-11,9.18,9.48,9.07,9.46,193995.0
2021-01-08,9.19,9.24,8.95,9.16,140478.0
2021-01-07,9.05,9.16,8.81,9.15,209475.0
2021-01-06,8.7,9.115,8.6919,8.95,152660.0
2021-01-05,8.45,8.88,8.45,8.65,179351.0
2021-01-04,8.72,8.8,8.46,8.46,136959.0
2020-12-31,8.61,8.75,8.5526,8.7,96237.0
2020-12-30,8.5,8.71,8.49,8.56,179819.0
2020-12-29,8.69,8.78,8.42,8.58,228789.0
2020-12-28,8.62,8.74,8.53,8.63,154953.0
2020-12-24,8.51,8.585,8.43,8.55,72521.0
2020-12-23,8.47,8.63,8.47,8.51,141985.0
2020-12-22,8.45,8.51,8.35,8.38,171428.0
2020-12-21,8.57,8.58,8.42,8.45,226556.0
2020-12-18,8.59,8.73,8.5,8.57,298851.0
