date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,20.7,21.0,20.41,20.99,884002.0
2021-03-12,20.42,20.71,20.42,20.56,602806.0
2021-03-11,20.4,20.46,20.2,20.32,504891.0
2021-03-10,20.0,20.46,19.93,20.41,602436.0
2021-03-09,19.84,20.07,19.59,19.86,571423.0
2021-03-08,19.65,20.0,19.29,19.84,846318.0
2021-03-05,20.0,20.08,19.19,19.51,895466.0
2021-03-04,20.1,20.4399,19.21,19.69,899847.0
2021-03-03,19.84,20.68,19.8083,20.16,1052864.0
2021-03-02,19.39,20.0,19.39,19.69,1094606.0
2021-03-01,19.64,19.77,19.2,19.36,626981.0
2021-02-26,19.04,19.45,18.92,19.19,695669.0
2021-02-25,19.24,19.55,19.065,19.15,745282.0
2021-02-24,18.77,19.16,18.6,19.09,749410.0
2021-02-23,18.77,18.88,18.34,18.5,496435.0
2021-02-22,18.63,18.95,18.6107,18.76,441791.0
2021-02-19,18.6,18.8,18.51,18.52,575042.0
2021-02-18,18.41,18.61,18.41,18.52,750232.0
2021-02-17,18.84,19.0,18.4836,18.57,582205.0
2021-02-16,19.05,19.22,18.65,18.83,771171.0
2021-02-12,18.84,19.07,18.7,18.89,648542.0
2021-02-11,18.68,19.09,18.6,18.67,773432.0
2021-02-10,18.28,18.83,18.2238,18.67,485251.0
2021-02-09,18.42,18.47,18.0,18.16,501340.0
2021-02-08,18.67,18.75,18.39,18.5,490661.0
2021-02-05,18.23,18.69,18.17,18.57,517030.0
2021-02-04,17.87,18.35,17.72,18.11,635109.0
2021-02-03,17.66,17.84,17.49,17.73,355493.0
2021-02-02,17.39,17.77,17.31,17.64,375078.0
2021-02-01,16.91,17.305,16.71,17.29,373380.0
2021-01-29,17.01,17.0998,16.52,16.8,443809.0
2021-01-28,17.25,17.47,17.05,17.1,384154.0
2021-01-27,17.5,17.6378,17.2,17.24,392105.0
2021-01-26,17.33,17.59,17.26,17.55,344757.0
2021-01-25,17.3,17.3773,17.25,17.3,416925.0
2021-01-22,17.28,17.44,17.25,17.34,317982.0
2021-01-21,17.42,17.5383,17.28,17.39,260626.0
2021-01-20,17.3,17.42,17.27,17.38,348690.0
2021-01-19,17.36,17.47,17.23,17.3,447374.0
2021-01-15,17.3,17.37,17.18,17.3,372083.0
2021-01-14,17.4,17.66,17.3,17.45,424132.0
2021-01-13,17.3,17.39,17.24,17.3,359200.0
2021-01-12,17.22,17.39,17.21,17.3,383402.0
2021-01-11,17.36,17.39,17.1793,17.31,978778.0
