date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,20.0,20.37,19.95,20.32,724146.0
2021-03-12,19.89,20.15,19.7895,20.0,635351.0
2021-03-11,19.79,19.93,19.6049,19.71,477177.0
2021-03-10,19.41,19.98,19.41,19.9,1016550.0
2021-03-09,19.16,19.45,19.0,19.41,418774.0
2021-03-08,18.98,19.35,18.76,19.2,726605.0
2021-03-05,19.3,19.4526,18.52,18.85,1007168.0
2021-03-04,19.53,19.75,18.4391,19.01,802873.0
2021-03-03,19.51,20.35,19.4301,19.61,1313350.0
2021-03-02,18.77,19.66,18.77,19.38,1259552.0
2021-03-01,18.88,19.12,18.59,18.77,593325.0
2021-02-26,18.53,18.8253,18.38,18.59,535788.0
2021-02-25,18.45,18.94,18.45,18.55,469237.0
2021-02-24,18.26,18.58,17.96,18.48,726519.0
2021-02-23,18.09,18.2583,17.76,17.9,542234.0
2021-02-22,18.0,18.382,18.0,18.17,409366.0
2021-02-19,18.02,18.14,17.9,18.02,419652.0
2021-02-18,17.79,18.0,17.75,17.97,656524.0
2021-02-17,18.08,18.31,17.81,17.93,621488.0
2021-02-16,17.88,18.57,17.88,18.17,602384.0
2021-02-12,18.04,18.26,17.84,17.99,510375.0
2021-02-11,17.73,18.23,17.66,17.71,589663.0
2021-02-10,17.55,18.11,17.5201,17.73,548883.0
2021-02-09,17.87,17.95,17.45,17.57,586962.0
2021-02-08,17.98,18.12,17.8,17.92,527601.0
2021-02-05,17.78,17.95,17.515,17.86,767744.0
2021-02-04,17.27,17.9,17.2,17.53,473689.0
2021-02-03,17.16,17.3915,17.1,17.28,369566.0
2021-02-02,16.98,17.52,16.923,17.27,431048.0
2021-02-01,16.67,17.08,16.55,17.02,485220.0
2021-01-29,16.77,16.89,16.2005,16.55,721497.0
2021-01-28,16.81,17.0,16.65,16.78,412518.0
2021-01-27,17.0,17.12,16.75,16.8,499871.0
2021-01-26,17.0,17.115,16.89,17.03,476942.0
2021-01-25,17.0,17.13,16.91,17.0,390939.0
2021-01-22,16.92,17.12,16.81,17.02,533711.0
2021-01-21,17.0,17.11,16.81,17.0,384164.0
2021-01-20,16.92,17.14,16.81,16.89,399494.0
2021-01-19,16.85,17.14,16.7072,16.98,499325.0
2021-01-15,16.88,17.0199,16.705,16.85,546197.0
2021-01-14,16.87,17.29,16.8001,17.0,583621.0
2021-01-13,16.8,17.08,16.69,16.84,372127.0
2021-01-12,16.85,17.07,16.7,16.9,541367.0
2021-01-11,17.0,17.1678,16.763,16.85,393580.0
2021-01-08,16.74,17.29,16.74,17.21,583334.0
2021-01-07,16.96,17.2,16.84,16.87,417378.0
2021-01-06,17.0,17.44,16.95,17.1,701291.0
2021-01-05,16.35,17.325,16.2476,16.96,1021074.0
2021-01-04,16.5,16.54,15.97,16.32,577381.0
2020-12-31,15.93,16.67,15.92,16.4,753401.0
2020-12-30,16.07,16.27,15.92,16.01,861623.0
2020-12-29,16.07,16.18,15.8,16.03,801720.0
2020-12-28,16.26,16.49,15.985,16.07,689887.0
2020-12-24,16.11,16.45,16.03,16.25,276713.0
2020-12-23,16.19,16.27,15.89,16.17,849536.0
2020-12-22,16.38,16.45,15.81,15.99,782424.0
2020-12-21,16.44,16.76,16.32,16.42,752489.0
2020-12-18,16.66,16.84,16.28,16.71,999811.0
2020-12-17,16.76,16.915,16.67,16.8,708466.0
2020-12-16,16.87,16.93,16.6,16.83,786315.0
2020-12-15,17.26,17.32,16.71,16.91,717125.0
2020-12-14,18.22,18.49,17.75,17.8,791828.0
2020-12-11,17.84,18.3566,17.81,18.05,587976.0
2020-12-10,18.0,18.12,17.9,17.98,559148.0
2020-12-09,17.79,18.25,17.77,18.15,597930.0
2020-12-08,17.88,18.02,17.53,17.87,632889.0
2020-12-07,18.43,18.74,17.75,17.85,603037.0
2020-12-04,18.22,18.71,18.205,18.42,851441.0
2020-12-03,17.65,18.55,17.65,18.18,673872.0
2020-12-02,17.63,18.12,17.56,17.68,661080.0
2020-12-01,17.09,17.73,17.09,17.51,506610.0
2020-11-30,17.57,17.73,17.03,17.03,612422.0
2020-11-27,17.75,17.8599,17.49,17.58,248260.0
2020-11-25,16.91,17.75,16.9,17.57,899013.0
2020-11-24,16.05,17.23,16.05,16.76,1424565.0
2020-11-23,15.83,16.0,15.75,15.84,479868.0
2020-11-20,15.99,16.051,15.61,15.7,411430.0
2020-11-19,15.6,16.175,15.47,16.0,818824.0
2020-11-18,15.7,15.87,15.56,15.56,514435.0
2020-11-17,15.13,15.79,15.12,15.67,575788.0
