date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,7.53,7.53,7.505,7.52,40781.0
2021-03-12,7.52,7.53,7.46,7.51,32370.0
2021-03-11,7.51,7.535,7.48,7.505,42237.0
2021-03-10,7.5,7.5,7.42,7.49,55798.0
2021-03-09,7.45,7.5,7.45,7.47,29405.0
2021-03-08,7.47,7.51,7.42,7.42,25547.0
2021-03-05,7.47,7.47,7.37,7.44,56093.0
2021-03-04,7.43,7.45,7.37,7.43,28275.0
2021-03-03,7.48,7.48,7.4,7.4,37936.0
2021-03-02,7.44,7.49,7.44,7.4509,16887.0
2021-03-01,7.35,7.5,7.35,7.48,84310.0
2021-02-26,7.35,7.4,7.31,7.32,27975.0
2021-02-25,7.48,7.485,7.32,7.35,28118.0
2021-02-24,7.49,7.5,7.4599,7.4877,22615.0
2021-02-23,7.47,7.48,7.34,7.47,59677.0
2021-02-22,7.52,7.53,7.45,7.45,42757.0
2021-02-19,7.54,7.6,7.5,7.53,44528.0
2021-02-18,7.54,7.54,7.5,7.52,44557.0
2021-02-17,7.53,7.54,7.49,7.51,32298.0
2021-02-16,7.54,7.56,7.5,7.55,37737.0
2021-02-12,7.53,7.54,7.49,7.53,28533.0
2021-02-11,7.52,7.57,7.5,7.5,30465.0
2021-02-10,7.55,7.5762,7.5251,7.53,22684.0
2021-02-09,7.5,7.53,7.46,7.53,43562.0
2021-02-08,7.54,7.55,7.48,7.53,19346.0
2021-02-05,7.46,7.56,7.46,7.52,53009.0
2021-02-04,7.47,7.47,7.4264,7.46,22479.0
2021-02-03,7.49,7.49,7.41,7.46,28901.0
2021-02-02,7.42,7.47,7.42,7.45,22487.0
2021-02-01,7.38,7.43,7.35,7.39,33841.0
2021-01-29,7.36,7.4,7.34,7.38,31482.0
2021-01-28,7.37,7.4899,7.37,7.38,47661.0
2021-01-27,7.45,7.46,7.42,7.42,36089.0
2021-01-26,7.54,7.54,7.44,7.46,47898.0
2021-01-25,7.5,7.54,7.49,7.5,47145.0
2021-01-22,7.45,7.53,7.45,7.52,147023.0
2021-01-21,7.46,7.47,7.4201,7.47,66789.0
2021-01-20,7.39,7.47,7.39,7.46,68670.0
2021-01-19,7.41,7.43,7.33,7.4184,102698.0
2021-01-15,7.44,7.44,7.33,7.38,74503.0
2021-01-14,7.44,7.4499,7.38,7.39,55776.0
2021-01-13,7.39,7.45,7.3622,7.42,22883.0
2021-01-12,7.39,7.42,7.3301,7.35,39348.0
2021-01-11,7.41,7.43,7.35,7.39,32865.0
2021-01-08,7.4,7.45,7.4,7.44,23499.0
2021-01-07,7.43,7.445,7.41,7.43,26518.0
2021-01-06,7.35,7.44,7.35,7.4,34278.0
2021-01-05,7.39,7.42,7.36,7.395,13911.0
2021-01-04,7.49,7.49,7.39,7.41,41971.0
2020-12-31,7.42,7.49,7.4,7.49,45716.0
2020-12-30,7.38,7.42,7.36,7.4,35302.0
2020-12-29,7.37,7.41,7.34,7.41,44361.0
2020-12-28,7.34,7.37,7.33,7.36,32242.0
2020-12-24,7.39,7.39,7.31,7.35,11484.0
2020-12-23,7.27,7.36,7.27,7.34,69784.0
2020-12-22,7.25,7.28,7.249,7.28,41275.0
2020-12-21,7.25,7.27,7.19,7.27,84981.0
2020-12-18,7.36,7.36,7.26,7.28,37371.0
2020-12-17,7.28,7.35,7.28,7.31,60241.0
2020-12-16,7.36,7.38,7.3,7.31,37749.0
2020-12-15,7.37,7.37,7.32,7.33,34562.0
2020-12-14,7.3,7.41,7.3,7.32,56217.0
2020-12-11,7.32,7.34,7.3,7.3,19900.0
2020-12-10,7.32,7.32,7.2701,7.31,25649.0
2020-12-09,7.33,7.33,7.2801,7.29,11724.0
2020-12-08,7.27,7.3,7.26,7.29,26680.0
2020-12-07,7.28,7.305,7.26,7.27,35104.0
2020-12-04,7.3,7.345,7.3,7.31,14174.0
2020-12-03,7.29,7.3373,7.28,7.31,30597.0
2020-12-02,7.26,7.31,7.26,7.3,23241.0
2020-12-01,7.27,7.29,7.24,7.29,62468.0
2020-11-30,7.33,7.33,7.24,7.25,50558.0
2020-11-27,7.3,7.3377,7.3,7.3127,4263.0
2020-11-25,7.3,7.35,7.3,7.31,48108.0
2020-11-24,7.28,7.35,7.23,7.32,47884.0
2020-11-23,7.12,7.25,7.12,7.21,38336.0
2020-11-20,7.14,7.15,7.11,7.115,24034.0
2020-11-19,7.14,7.17,7.14,7.16,18786.0
2020-11-18,7.19,7.24,7.17,7.17,81070.0
2020-11-17,7.22,7.23,7.2,7.22,42509.0
2020-11-16,7.15,7.2,7.15,7.2,54793.0
2020-11-13,7.1,7.176,7.1,7.13,21829.0
2020-11-12,7.19,7.19,7.1,7.1,42510.0
2020-11-11,7.18,7.19,7.16,7.17,48223.0
2020-11-10,7.04,7.14,7.04,7.13,35961.0
2020-11-09,7.05,7.1799,7.05,7.09,90215.0
2020-11-06,6.99,7.03,6.99,7.02,31937.0
2020-11-05,6.98,7.04,6.98,7.02,55983.0
2020-11-04,6.98,7.04,6.975,6.98,41299.0
2020-11-03,6.88,6.95,6.8713,6.94,18857.0
2020-11-02,6.79,6.875,6.79,6.84,62278.0
2020-10-30,6.8,6.8277,6.78,6.78,39033.0
2020-10-29,6.86,6.89,6.8,6.84,65495.0
2020-10-28,6.93,6.96,6.85,6.9,178993.0
2020-10-27,6.92,6.97,6.9101,6.97,42439.0
2020-10-26,6.97,6.97,6.89,6.89,39783.0
2020-10-23,6.98,7.0,6.96,6.96,62430.0
2020-10-22,6.9933,7.0,6.95,6.96,82529.0
2020-10-21,6.98,7.0099,6.95,6.96,28333.0
2020-10-20,6.93,7.04,6.93,6.96,26359.0
2020-10-19,7.01,7.01,6.92,6.92,37662.0
2020-10-16,6.95,7.02,6.95,7.0,78259.0
2020-10-15,7.04,7.04,6.86,6.99,105364.0
2020-10-14,7.02,7.05,7.02,7.03,52052.0
2020-10-13,7.05,7.05,7.011,7.0205,32067.0
2020-10-12,7.03,7.055,7.03,7.04,42610.0
2020-10-09,7.02,7.04,7.01,7.01,18700.0
2020-10-08,6.98,7.02,6.98,7.0,195378.0
2020-10-07,6.97,7.004,6.96,6.9927,31656.0
2020-10-06,6.88,6.98,6.88,6.94,68554.0
2020-10-05,6.8898,6.8999,6.87,6.88,59438.0
2020-10-02,6.76,6.8554,6.76,6.85,53563.0
2020-10-01,6.84,6.8998,6.83,6.85,50698.0
2020-09-30,6.85,6.87,6.82,6.82,50968.0
2020-09-29,6.82,6.855,6.815,6.84,29259.0
2020-09-28,6.87,6.875,6.82,6.84,63832.0
2020-09-25,6.78,6.84,6.78,6.827,22382.0
2020-09-24,6.8,6.85,6.8,6.8,24291.0
2020-09-23,6.9,6.92,6.81,6.83,29270.0
2020-09-22,6.92,6.95,6.9141,6.92,28793.0
2020-09-21,6.91,6.95,6.9,6.95,56143.0
2020-09-18,7.01,7.0131,6.92,7.0,47623.0
2020-09-17,7.0,7.04,6.99,7.009,63487.0
2020-09-16,7.03,7.04,7.02,7.03,31597.0
2020-09-15,7.18,7.18,6.98,7.01,135555.0
2020-09-14,7.0299,7.09,6.99,7.0,90216.0
2020-09-11,7.0,7.0,6.95,6.97,37947.0
2020-09-10,7.01,7.0238,6.87,6.9939,187313.0
2020-09-09,7.01,7.07,7.0001,7.05,31503.0
2020-09-08,7.02,7.02,6.98,6.9999,33763.0
2020-09-04,7.07,7.07,6.9728,7.06,24968.0
2020-09-03,7.07,7.08,6.99,7.05,37336.0
2020-09-02,7.07,7.08,7.0204,7.08,40376.0
2020-09-01,6.97,7.06,6.97,7.06,22070.0
2020-08-31,7.04,7.04,6.96,7.0,12475.0
2020-08-28,7.0,7.04,6.98,7.0268,43010.0
2020-08-27,7.05,7.06,6.99,7.04,46185.0
2020-08-26,7.0,7.05,6.97,7.04,59816.0
2020-08-25,7.02,7.07,7.0,7.03,32673.0
2020-08-24,7.05,7.05,7.0301,7.035,12998.0
2020-08-21,7.01,7.05,6.98,6.99,28718.0
2020-08-20,7.06,7.07,6.99,7.0598,53873.0
2020-08-19,6.94,7.05,6.94,7.0175,38606.0
2020-08-18,7.0,7.02,6.99,6.99,16634.0
2020-08-17,7.0,7.05,7.0,7.025,40285.0
2020-08-14,7.05,7.09,7.0,7.0044,40676.0
2020-08-13,7.0735,7.09,7.05,7.08,17841.0
2020-08-12,7.05,7.1,7.041,7.09,28770.0
2020-08-11,7.07,7.12,6.99,7.06,141063.0
2020-08-10,7.07,7.1,7.0405,7.08,28543.0
2020-08-07,7.01,7.07,7.01,7.04,24354.0
2020-08-06,7.02,7.04,6.97,7.01,33908.0
2020-08-05,7.02,7.04,6.995,7.04,57353.0
2020-08-04,6.97,7.03,6.95,7.03,51515.0
2020-08-03,6.94,7.0,6.94,7.0,38524.0
2020-07-31,6.95,7.0,6.92,7.0,33990.0
2020-07-30,6.96,6.98,6.92,6.92,43047.0
2020-07-29,6.94,6.99,6.94,6.9891,33798.0
2020-07-28,6.89,6.94,6.89,6.93,24701.0
2020-07-27,6.89,6.9078,6.88,6.9,27233.0
2020-07-24,6.92,6.93,6.82,6.905,55613.0
2020-07-23,6.94,6.94,6.9,6.9,39638.0
2020-07-22,6.85,6.96,6.85,6.95,54511.0
2020-07-21,6.88,6.95,6.88,6.92,42730.0
2020-07-20,6.9,6.9,6.84,6.9,24868.0
2020-07-17,6.85,6.86,6.82,6.85,34664.0
2020-07-16,6.75,6.82,6.75,6.82,42703.0
2020-07-15,6.8,6.81,6.75,6.77,53061.0
2020-07-14,6.67,6.75,6.67,6.75,35676.0
2020-07-13,6.76,6.76,6.7,6.7,31721.0
2020-07-10,6.65,6.74,6.65,6.73,24574.0
2020-07-09,6.73,6.73,6.64,6.68,22523.0
2020-07-08,6.7,6.76,6.69,6.76,39659.0
2020-07-07,6.72,6.78,6.71,6.74,59359.0
2020-07-06,6.8,6.8,6.66,6.78,101078.0
2020-07-02,6.8,6.8,6.76,6.76,35208.0
2020-07-01,6.67,6.74,6.67,6.73,24733.0
2020-06-30,6.56,6.69,6.55,6.66,66552.0
2020-06-29,6.62,6.62,6.4753,6.51,66570.0
2020-06-26,6.66,6.67,6.6,6.6,28343.0
2020-06-25,6.75,6.75,6.61,6.67,46823.0
2020-06-24,6.7,6.73,6.5,6.71,65412.0
2020-06-23,6.72,6.75,6.69,6.74,22192.0
2020-06-22,6.7,6.73,6.68,6.7,12946.0
2020-06-19,6.76,6.8,6.71,6.71,44712.0
2020-06-18,6.79,6.79,6.73,6.75,51545.0
2020-06-17,6.92,6.92,6.77,6.79,44499.0
2020-06-16,6.93,6.95,6.83,6.86,67306.0
2020-06-15,6.77,6.81,6.69,6.8,71941.0
2020-06-12,6.74,6.93,6.71,6.8,45150.0
2020-06-11,6.89,6.89,6.7,6.71,45529.0
2020-06-10,7.01,7.06,6.92,7.01,32369.0
2020-06-09,6.99,7.02,6.91,6.96,56727.0
2020-06-08,7.04,7.05,6.99,7.05,27133.0
2020-06-05,6.96,7.07,6.95,6.99,33399.0
2020-06-04,6.95,6.95,6.89,6.91,17029.0
2020-06-03,6.84,6.96,6.84,6.95,34441.0
2020-06-02,6.81,6.89,6.81,6.88,28591.0
2020-06-01,6.81,6.84,6.77,6.77,48548.0
2020-05-29,6.74,6.85,6.69,6.84,49407.0
2020-05-28,6.55,6.77,6.55,6.71,101227.0
2020-05-27,6.62,6.63,6.55,6.61,27789.0
2020-05-26,6.5,6.58,6.5,6.55,55647.0
2020-05-22,6.41,6.45,6.39,6.45,36095.0
2020-05-21,6.38,6.49,6.36,6.434,73694.0
2020-05-20,6.41,6.45,6.39,6.41,59058.0
2020-05-19,6.41,6.41,6.34,6.38,44812.0
2020-05-18,6.31,6.42,6.31,6.39,68340.0
2020-05-15,6.26,6.26,6.14,6.24,66038.0
2020-05-14,6.18,6.26,6.12,6.26,42693.0
2020-05-13,6.33,6.33,6.18,6.25,98900.0
2020-05-12,6.41,6.41,6.31,6.32,98825.0
2020-05-11,6.44,6.45,6.37,6.37,136320.0
2020-05-08,6.38,6.44,6.38,6.43,154696.0
2020-05-07,6.45,6.46,6.37,6.39,43090.0
2020-05-06,6.4,6.42,6.37,6.38,45159.0
2020-05-05,6.4,6.49,6.39,6.4,25566.0
2020-05-04,6.28,6.41,6.27,6.41,44432.0
2020-05-01,6.46,6.47,6.32,6.38,29328.0
2020-04-30,6.64,6.64,6.5,6.51,69589.0
2020-04-29,6.46,6.62,6.45,6.6,75828.0
2020-04-28,6.58,6.58,6.47,6.49,61180.0
2020-04-27,6.41,6.53,6.41,6.51,68203.0
2020-04-24,6.4,6.52,6.39,6.49,82651.0
2020-04-23,6.48,6.52,6.41,6.45,52963.0
2020-04-22,6.33,6.49,6.33,6.46,108020.0
2020-04-21,6.29,6.42,6.17,6.27,120863.0
2020-04-20,6.47,6.54,6.42,6.42,57693.0
2020-04-17,6.61,6.66,6.55,6.57,54788.0
2020-04-16,6.6,6.67,6.46,6.52,87177.0
2020-04-15,6.63,6.66,6.57,6.62,58842.0
2020-04-14,6.6,6.73,6.6,6.68,53535.0
2020-04-13,6.58,6.75,6.52,6.56,35787.0
2020-04-09,6.49,6.87,6.49,6.7,68255.0
2020-04-08,6.05,6.49,6.05,6.35,51715.0
2020-04-07,6.0,6.15,6.0,6.08,75907.0
2020-04-06,5.72,5.99,5.72,5.92,99711.0
2020-04-03,5.94,5.94,5.61,5.67,49948.0
2020-04-02,5.73,5.97,5.73,5.87,24131.0
2020-04-01,5.95,6.0,5.75,5.82,52423.0
2020-03-31,6.1,6.25,6.04,6.11,148331.0
2020-03-30,5.83,6.15,5.83,6.06,118076.0
2020-03-27,5.87,6.08,5.78,5.96,68659.0
2020-03-26,5.61,6.1,5.6,5.92,137330.0
2020-03-25,5.41,5.69,5.13,5.63,187336.0
2020-03-24,5.01,5.41,5.01,5.27,165383.0
2020-03-23,5.03,5.26,4.65,4.89,252849.0
2020-03-20,5.6,5.76,5.37,5.41,267052.0
2020-03-19,4.89,5.56,4.66,5.54,184215.0
2020-03-18,5.91,5.91,5.0,5.11,233880.0
2020-03-17,5.94,6.15,5.8,6.03,203416.0
2020-03-16,5.99,6.11,5.8,5.9,76476.0
2020-03-13,6.27,6.36,6.13,6.34,104828.0
2020-03-12,6.19,6.32,5.38,6.17,225340.0
2020-03-11,7.18,7.18,6.7,6.72,191189.0
2020-03-10,7.12,7.28,7.03,7.2,88603.0
2020-03-09,7.25,7.25,7.0,7.09,116520.0
2020-03-06,7.4,7.5,7.33,7.49,90357.0
2020-03-05,7.64,7.66,7.48,7.54,81159.0
2020-03-04,7.45,7.74,7.45,7.7,37501.0
2020-03-03,7.51,7.61,7.32,7.43,106382.0
2020-03-02,7.25,7.54,7.17,7.51,126852.0
2020-02-28,7.28,7.33,7.17,7.17,97818.0
2020-02-27,7.62,7.64,7.45,7.46,99466.0
2020-02-26,7.84,7.9,7.72,7.76,129968.0
2020-02-25,8.2,8.2,7.76,7.82,160640.0
2020-02-24,8.21,8.23,8.08,8.12,99632.0
2020-02-21,8.22,8.31,8.22,8.31,86545.0
2020-02-20,8.25,8.29,8.23,8.29,45511.0
2020-02-19,8.15,8.25,8.15,8.25,75052.0
2020-02-18,8.05,8.16,8.05,8.16,82446.0
2020-02-14,8.11,8.12,8.08,8.12,65755.0
2020-02-13,8.12,8.12,8.06,8.09,95912.0
2020-02-12,8.1,8.15,8.09,8.13,54491.0
2020-02-11,8.09,8.12,8.08,8.09,51742.0
2020-02-10,8.13,8.18,8.1,8.11,78904.0
2020-02-07,8.15,8.18,8.14,8.14,56413.0
2020-02-06,8.1,8.14,8.1,8.14,38461.0
2020-02-05,8.11,8.13,8.07,8.07,58817.0
2020-02-04,8.12,8.18,8.1,8.11,63878.0
2020-02-03,8.08,8.14,8.06,8.08,68111.0
2020-01-31,8.01,8.05,8.01,8.01,21147.0
2020-01-30,7.99,8.05,7.97,8.05,72821.0
2020-01-29,7.99,8.04,7.99,8.02,26628.0
2020-01-28,7.97,8.0,7.96,7.99,54462.0
2020-01-27,7.95,7.98,7.95,7.97,57713.0
2020-01-24,8.05,8.05,7.99,8.02,41860.0
2020-01-23,8.03,8.07,7.99,8.04,40347.0
2020-01-22,7.96,8.05,7.96,8.04,39595.0
2020-01-21,7.93,7.98,7.93,7.94,43729.0
2020-01-17,8.02,8.03,7.98,7.98,19417.0
2020-01-16,7.97,8.01,7.96,7.99,47019.0
2020-01-15,7.91,7.94,7.89,7.93,26585.0
2020-01-14,7.85,7.93,7.85,7.86,54300.0
2020-01-13,7.83,7.9,7.83,7.87,43846.0
