date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,19.64,19.7,19.53,19.65,92749.0
2021-03-12,19.51,19.6,19.5,19.58,92732.0
2021-03-11,19.8,19.82,19.49,19.56,114182.0
2021-03-10,19.65,19.8,19.6,19.6,117871.0
2021-03-09,19.63,19.7499,19.54,19.7,100363.0
2021-03-08,19.69,19.81,19.6,19.68,109347.0
2021-03-05,19.8,19.9382,19.545,19.78,77880.0
2021-03-04,19.99,20.0,19.7,19.85,55280.0
2021-03-03,19.8723,20.0,19.76,20.0,59956.0
2021-03-02,19.87,20.0,19.71,19.81,131305.0
2021-03-01,19.74,20.0,19.74,19.99,47209.0
2021-02-26,19.95,20.03,19.77,19.79,106102.0
2021-02-25,20.0,20.05,19.71,20.0,191151.0
2021-02-24,19.94,20.075,19.86,19.96,211761.0
2021-02-23,20.07,20.2,19.77,19.9,130965.0
2021-02-22,19.9,20.1,19.77,20.02,172611.0
2021-02-19,19.9,20.1,19.9,20.0,153733.0
2021-02-18,20.09,20.09,19.37,19.87,200705.0
2021-02-17,20.03,20.37,19.7,20.07,150478.0
2021-02-16,19.78,20.05,19.63,20.01,245065.0
2021-02-12,19.848,19.92,19.75,19.85,111326.0
2021-02-11,19.92,20.08,19.75,19.87,103331.0
2021-02-10,19.9,20.1,19.74,20.0,122240.0
2021-02-09,19.71,20.15,19.71,19.92,319974.0
2021-02-08,19.85,19.9,19.7,19.74,94235.0
2021-02-05,19.9,19.9,19.7,19.77,73409.0
2021-02-04,19.82,19.97,19.66,19.78,85672.0
2021-02-03,19.83,19.99,19.53,19.9,127539.0
2021-02-02,19.6,19.85,19.58,19.74,96836.0
2021-02-01,19.51,19.78,19.42,19.65,113709.0
2021-01-29,19.81,19.81,19.41,19.6,165401.0
2021-01-28,19.71,20.0,19.69,19.78,60218.0
2021-01-27,19.67,19.89,19.53,19.76,108119.0
2021-01-26,19.55,19.89,19.47,19.81,187244.0
2021-01-25,19.73,19.84,19.51,19.61,96281.0
2021-01-22,19.41,19.68,19.28,19.67,215644.0
2021-01-21,19.42,19.6,19.32,19.4,230174.0
2021-01-20,19.5,19.75,19.4,19.52,222008.0
2021-01-19,19.58,19.78,19.4202,19.46,120554.0
2021-01-15,19.64,19.85,19.54,19.58,90411.0
2021-01-14,19.71,19.7999,19.55,19.75,117095.0
2021-01-13,19.75,19.9,19.63,19.74,144358.0
2021-01-12,19.88,19.92,19.72,19.85,88445.0
2021-01-11,19.7,19.98,19.66,19.93,221014.0
2021-01-08,19.91,20.11,19.85,19.93,109117.0
2021-01-07,19.9,20.08,19.9,19.93,68168.0
2021-01-06,19.82,20.09,19.8,19.87,63555.0
2021-01-05,20.07,20.08,19.84,19.91,62036.0
2021-01-04,20.27,20.27,19.9001,19.98,38796.0
2020-12-31,20.1,20.4,20.1,20.32,38629.0
2020-12-30,19.81,20.16,19.81,20.1,30656.0
2020-12-29,19.93,20.18,19.91,19.96,87884.0
2020-12-28,20.2,20.399,19.9,19.92,64023.0
2020-12-24,20.1,20.2,20.06,20.19,25218.0
2020-12-23,20.18,20.29,20.0638,20.11,43911.0
2020-12-22,20.1,20.3999,20.05,20.22,62214.0
2020-12-21,20.4,20.4,20.03,20.1,71525.0
2020-12-18,20.36,20.5,20.36,20.41,44069.0
2020-12-17,20.45,20.4999,20.34,20.39,79103.0
2020-12-16,20.44,20.44,20.16,20.4,108110.0
2020-12-15,20.3401,20.45,20.18,20.34,57330.0
2020-12-14,20.08,20.3179,20.075,20.18,40766.0
2020-12-11,20.27,20.3,19.91,19.97,114972.0
2020-12-10,19.86,20.32,19.75,20.32,123228.0
2020-12-09,20.15,20.15,19.78,19.93,213203.0
2020-12-08,20.13,20.24,20.0,20.15,131217.0
2020-12-07,19.82,20.15,19.82,20.07,89671.0
2020-12-04,19.92,20.0,19.83,19.88,48469.0
2020-12-03,19.77,20.0,19.77,19.81,49903.0
2020-12-02,19.74,20.0,19.74,19.85,40294.0
2020-12-01,19.72,20.0,19.72,19.77,68818.0
2020-11-30,20.0,20.14,19.8,19.84,109149.0
2020-11-27,19.76,20.0,19.75,19.95,61125.0
2020-11-25,20.0,20.15,19.63,19.78,106260.0
2020-11-24,19.9,20.0,19.7,19.95,95835.0
2020-11-23,20.0,20.0,19.86,19.92,50383.0
2020-11-20,19.78,20.0,19.551,19.92,96891.0
2020-11-19,19.8,19.97,19.65,19.93,45571.0
2020-11-18,19.63,19.832,19.56,19.68,100390.0
2020-11-17,19.8,20.15,19.46,19.6,122545.0
2020-11-16,19.82,20.116,19.65,19.74,76638.0
2020-11-13,19.91,20.551,19.91,19.95,72990.0
2020-11-12,20.2,20.2,19.78,20.01,62773.0
2020-11-11,19.97,20.1,19.82,20.0305,52031.0
2020-11-10,19.75,20.0,19.75,19.99,60319.0
2020-11-09,19.78,19.78,19.41,19.75,118370.0
2020-11-06,19.35,19.9965,19.35,19.79,65761.0
2020-11-05,19.7,19.948,19.37,19.43,118485.0
2020-11-04,19.696,19.73,19.52,19.52,40518.0
2020-11-03,19.72,19.8323,19.6,19.61,39444.0
2020-11-02,20.1,20.1,19.67,19.67,46173.0
2020-10-30,19.8,20.1155,19.65,20.03,56711.0
2020-10-29,19.69,20.09,19.69,19.96,46585.0
2020-10-28,20.22,20.35,19.6,19.69,103775.0
2020-10-27,20.38,20.6,20.1,20.42,73708.0
2020-10-26,20.3,20.6,20.16,20.23,50580.0
2020-10-23,20.4142,20.6,20.31,20.4,43653.0
2020-10-22,20.16,20.47,20.1,20.35,59372.0
2020-10-21,20.09,20.35,20.09,20.25,32365.0
2020-10-20,20.54,20.54,20.0538,20.17,39710.0
2020-10-19,20.29,20.6,20.11,20.54,153715.0
2020-10-16,20.3576,20.54,20.198,20.33,37780.0
2020-10-15,20.25,20.58,20.1301,20.47,38404.0
2020-10-14,20.14,20.4911,20.0653,20.26,30255.0
2020-10-13,20.4,20.44,19.95,20.06,78817.0
2020-10-12,20.15,20.44,20.15,20.29,62855.0
2020-10-09,20.28,20.468,20.18,20.18,20034.0
2020-10-08,20.4,20.567,20.21,20.21,39333.0
2020-10-07,20.2972,20.49,20.25,20.25,22537.0
2020-10-06,20.6,20.65,20.25,20.39,98681.0
2020-10-05,20.77,20.77,20.3,20.598,23771.0
2020-10-02,20.23,20.7,20.1011,20.6,44440.0
2020-10-01,20.03,20.5,20.03,20.48,95037.0
2020-09-30,20.14,20.4,20.02,20.1518,76790.0
2020-09-29,19.98,20.28,19.645,20.21,58649.0
2020-09-28,19.68,20.0,19.6,20.0,46247.0
2020-09-25,20.0,20.0,19.51,19.6,71902.0
2020-09-24,19.98,20.31,19.9072,20.0,54029.0
2020-09-23,20.71,20.71,19.84,19.98,118106.0
2020-09-22,20.79,20.79,20.15,20.24,42920.0
2020-09-21,21.0,21.0,20.31,20.31,80211.0
2020-09-18,20.52,20.6,20.41,20.53,39217.0
2020-09-17,20.51,20.75,20.3,20.64,56625.0
2020-09-16,20.1,20.65,20.08,20.4,53051.0
2020-09-15,20.14,20.62,20.06,20.15,67385.0
2020-09-14,20.32,20.4,20.14,20.26,66119.0
2020-09-11,20.19,20.25,20.07,20.18,32554.0
2020-09-10,20.24,20.33,19.595,20.0,82373.0
2020-09-09,20.14,20.45,20.1,20.2,56051.0
2020-09-08,20.31,20.31,20.05,20.07,40525.0
2020-09-04,20.34,20.5,20.01,20.31,90183.0
2020-09-03,20.96,20.96,20.34,20.34,68729.0
2020-09-02,21.0,21.0935,20.61,20.96,89136.0
2020-09-01,21.13,21.13,20.01,21.0,98876.0
2020-08-31,20.73,21.1235,20.73,21.06,52201.0
2020-08-28,20.8,20.9,20.6,20.9,58690.0
2020-08-27,20.55,20.8,20.55,20.73,59154.0
2020-08-26,20.87,20.87,20.4572,20.69,66559.0
2020-08-25,20.76,20.9,20.72,20.8,49751.0
2020-08-24,20.9,20.99,20.76,20.83,52732.0
2020-08-21,20.74,21.0,20.605,20.905,79018.0
2020-08-20,20.75,20.83,20.46,20.73,103790.0
2020-08-19,21.0,21.0,20.69,20.75,70103.0
2020-08-18,20.75,20.99,20.675,20.95,61536.0
2020-08-17,20.74,21.35,20.63,20.87,121533.0
2020-08-14,20.82,21.0,20.66,20.71,97888.0
2020-08-13,20.63,21.0,20.4802,21.0,99810.0
2020-08-12,20.95,20.95,20.18,20.39,139954.0
2020-08-11,20.62,20.95,20.567,20.91,130633.0
2020-08-10,20.81,20.95,20.505,20.65,99093.0
2020-08-07,21.0,21.0,20.63,20.63,91878.0
2020-08-06,21.31,21.31,20.7,20.94,101820.0
2020-08-05,20.6,21.1,20.47,21.05,105862.0
2020-08-04,20.6,20.79,20.465,20.5782,91502.0
2020-08-03,20.37,20.6,20.11,20.4762,81509.0
2020-07-31,20.0,20.34,20.0,20.31,99609.0
2020-07-30,20.46,20.46,20.01,20.0375,114247.0
2020-07-29,20.06,20.1,20.0,20.066,126250.0
2020-07-28,20.6,20.61,20.06,20.07,160145.0
2020-07-27,21.0,21.1,20.6,20.6,271308.0
2020-07-24,21.2,21.7999,21.2,21.72,69746.0
2020-07-23,21.25,21.25,20.9575,21.1651,115640.0
2020-07-22,21.06,21.2,20.79,20.97,122081.0
2020-07-21,20.81,21.2,20.73,20.95,143646.0
2020-07-20,21.12,21.2,20.75,20.91,63226.0
2020-07-17,21.22,21.3,20.977,21.06,101673.0
2020-07-16,21.1,21.25,21.02,21.22,88216.0
2020-07-15,20.7,21.24,20.6,21.16,147542.0
2020-07-14,20.64,20.75,20.45,20.63,153280.0
2020-07-13,20.75,20.8,20.66,20.66,95241.0
2020-07-10,20.7,20.76,20.57,20.64,76769.0
2020-07-09,20.95,20.95,20.58,20.65,98481.0
2020-07-08,20.7,20.94,20.627,20.9,131570.0
2020-07-07,20.63,20.75,20.55,20.73,124428.0
2020-07-06,20.57,20.65,20.486,20.62,130390.0
2020-07-02,20.45,20.584,20.39,20.49,106265.0
2020-07-01,20.25,20.5,20.15,20.43,214596.0
2020-06-30,20.25,20.29,20.16,20.22,103235.0
2020-06-29,20.05,20.276,20.01,20.18,426784.0
2020-06-26,20.0,20.09,20.0,20.0,1927805.0
