date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.37,6.78,6.3,6.36,53932.0
2021-03-12,6.28,6.31,6.22,6.31,31852.0
2021-03-11,6.2,6.3,6.2,6.26,35952.0
2021-03-10,6.09,6.2,6.09,6.15,43906.0
2021-03-09,5.99,6.13,5.99,6.1,50986.0
2021-03-08,5.93,5.99,5.89,5.9,65229.0
2021-03-05,6.04,6.04,5.76,5.94,130901.0
2021-03-04,6.22,6.2301,5.955,6.01,91386.0
2021-03-03,6.31,6.325,6.22,6.26,63154.0
2021-03-02,6.36,6.38,6.27,6.36,34658.0
2021-03-01,6.28,6.39,6.28,6.36,37887.0
2021-02-26,6.28,6.29,6.15,6.24,46691.0
2021-02-25,6.37,6.46,6.19,6.205,58642.0
2021-02-24,6.38,6.45,6.34,6.43,35312.0
2021-02-23,6.41,6.45,6.13,6.38,74247.0
2021-02-22,6.61,6.619,6.46,6.46,47639.0
2021-02-19,6.61,6.66,6.57,6.61,37424.0
2021-02-18,6.61,6.63,6.55,6.59,35344.0
2021-02-17,6.66,6.7096,6.59,6.61,38979.0
2021-02-16,6.75,6.8,6.7,6.72,43634.0
2021-02-12,6.75,6.79,6.66,6.77,37912.0
2021-02-11,6.83,6.83,6.66,6.75,42502.0
2021-02-10,6.79,6.79,6.66,6.72,160605.0
2021-02-09,6.705,6.74,6.67,6.72,58292.0
2021-02-08,6.58,6.75,6.58,6.7,34417.0
2021-02-05,6.61,6.71,6.58,6.66,27882.0
2021-02-04,6.5265,6.6,6.5,6.6,22712.0
2021-02-03,6.49,6.56,6.45,6.5,50441.0
2021-02-02,6.37,6.5,6.37,6.49,26043.0
2021-02-01,6.26,6.4,6.24,6.35,19099.0
2021-01-29,6.28,6.3795,6.2,6.21,48423.0
2021-01-28,6.37,6.37,6.2727,6.31,35576.0
2021-01-27,6.32,6.41,6.16,6.27,48577.0
2021-01-26,6.5,6.52,6.45,6.45,25136.0
2021-01-25,6.54,6.555,6.44,6.51,25844.0
2021-01-22,6.53,6.54,6.43,6.54,15479.0
2021-01-21,6.47,6.52,6.45,6.52,28251.0
2021-01-20,6.43,6.48,6.4,6.48,20848.0
2021-01-19,6.32,6.42,6.32,6.42,33669.0
2021-01-15,6.36,6.4,6.25,6.31,25002.0
2021-01-14,6.41,6.44,6.36,6.38,18228.0
2021-01-13,6.44,6.44,6.33,6.36,30147.0
