date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,4.91,5.03,4.82,5.03,8627089.0
2021-03-12,5.0,5.05,4.873,4.91,8506026.0
2021-03-11,4.96,5.04,4.88,5.03,13431667.0
2021-03-10,4.66,4.75,4.58,4.72,10012326.0
2021-03-09,4.59,4.84,4.4922,4.69,14564558.0
2021-03-08,4.87,4.955,4.6,4.62,12615620.0
2021-03-05,4.75,4.9,4.69,4.89,10715958.0
2021-03-04,4.88,4.98,4.67,4.72,13353094.0
2021-03-03,4.74,4.83,4.57,4.77,10438910.0
2021-03-02,4.61,4.8,4.5715,4.76,10359984.0
2021-03-01,4.74,4.87,4.64,4.73,8274264.0
2021-02-26,4.77,4.77,4.555,4.58,9018069.0
2021-02-25,5.02,5.0501,4.65,4.69,8329929.0
2021-02-24,4.88,5.04,4.86,5.01,14145555.0
2021-02-23,4.55,4.745,4.45,4.73,8024451.0
2021-02-22,4.3,4.67,4.27,4.54,8581251.0
2021-02-19,4.52,4.63,4.52,4.63,7730613.0
2021-02-18,4.54,4.56,4.43,4.47,4277560.0
2021-02-17,4.55,4.59,4.475,4.49,5311478.0
2021-02-16,4.55,4.62,4.52,4.56,2739385.0
2021-02-12,4.44,4.53,4.4,4.5,3576592.0
2021-02-11,4.49,4.5463,4.42,4.47,4994515.0
2021-02-10,4.47,4.48,4.3237,4.37,4204153.0
2021-02-09,4.42,4.5,4.3317,4.49,3783021.0
2021-02-08,4.52,4.6,4.425,4.48,5110745.0
2021-02-05,4.32,4.55,4.31,4.49,7412911.0
2021-02-04,4.36,4.39,4.25,4.26,5387634.0
2021-02-03,4.37,4.445,4.33,4.36,4838192.0
2021-02-02,4.34,4.35,4.24,4.28,4209895.0
2021-02-01,4.29,4.31,4.16,4.25,4195348.0
2021-01-29,4.31,4.37,4.19,4.24,5831937.0
2021-01-28,4.34,4.5,4.29,4.47,4840302.0
2021-01-27,4.35,4.46,4.2314,4.32,6816308.0
2021-01-26,4.64,4.665,4.465,4.49,7091603.0
2021-01-25,4.64,4.65,4.42,4.49,3518672.0
2021-01-22,4.53,4.64,4.52,4.63,4513397.0
2021-01-21,4.72,4.73,4.615,4.64,3338191.0
2021-01-20,4.75,4.775,4.66,4.66,6996412.0
2021-01-19,4.87,4.9,4.67,4.78,22703714.0
2021-01-15,5.11,5.12,4.84,4.87,9652668.0
2021-01-14,5.14,5.335,5.11,5.33,5481384.0
2021-01-13,5.04,5.1,4.9601,5.03,6756242.0
2021-01-12,5.14,5.23,5.1,5.16,5960389.0
2021-01-11,5.18,5.29,5.13,5.16,5917720.0
2021-01-08,5.42,5.47,5.27,5.41,3750914.0
2021-01-07,5.45,5.46,5.33,5.42,7580444.0
2021-01-06,5.08,5.42,5.06,5.29,8185049.0
2021-01-05,4.92,5.095,4.875,5.05,5108622.0
2021-01-04,4.92,4.9899,4.81,4.95,7277817.0
2020-12-31,4.75,4.76,4.66,4.67,1361124.0
2020-12-30,4.68,4.78,4.675,4.74,3302582.0
2020-12-29,4.7,4.82,4.65,4.71,4059806.0
2020-12-28,4.65,4.65,4.55,4.61,2718320.0
2020-12-24,4.64,4.66,4.59,4.65,727763.0
2020-12-23,4.65,4.6981,4.61,4.65,1749545.0
2020-12-22,4.71,4.73,4.59,4.66,2859659.0
2020-12-21,4.68,4.835,4.67,4.77,5064315.0
2020-12-18,4.9,4.955,4.86,4.89,4942021.0
2020-12-17,4.81,4.895,4.77,4.8,4249924.0
2020-12-16,4.63,4.695,4.5733,4.68,2318155.0
2020-12-15,4.65,4.72,4.602,4.7,3256529.0
2020-12-14,4.53,4.55,4.42,4.47,3166481.0
2020-12-11,4.55,4.58,4.51,4.55,2675201.0
2020-12-10,4.42,4.63,4.395,4.6,6756443.0
2020-12-09,4.52,4.54,4.33,4.34,13056788.0
2020-12-08,4.5,4.59,4.48,4.49,4114340.0
2020-12-07,4.53,4.64,4.51,4.56,5587547.0
2020-12-04,4.42,4.55,4.41,4.51,7995260.0
2020-12-03,4.47,4.47,4.35,4.37,7796304.0
2020-12-02,4.48,4.54,4.44,4.47,5542543.0
2020-12-01,4.4,4.6,4.39,4.57,6076826.0
2020-11-30,4.29,4.295,4.195,4.21,3997211.0
2020-11-27,4.27,4.305,4.22,4.23,1643244.0
2020-11-25,4.21,4.31,4.18,4.26,5963400.0
2020-11-24,4.1,4.27,4.1,4.23,7146387.0
2020-11-23,4.01,4.08,4.005,4.05,2290275.0
2020-11-20,3.96,4.02,3.96,3.98,3622576.0
2020-11-19,3.95,4.035,3.9228,3.99,3146280.0
2020-11-18,4.03,4.055,3.9,3.91,3245206.0
2020-11-17,3.9,4.055,3.855,4.02,5343763.0
2020-11-16,3.86,3.89,3.815,3.87,4319549.0
2020-11-13,3.78,3.85,3.74,3.83,2588308.0
2020-11-12,3.88,3.935,3.75,3.8,3530194.0
2020-11-11,3.93,3.94,3.855,3.86,3384623.0
2020-11-10,3.97,4.03,3.82,3.83,10886319.0
2020-11-09,4.26,4.275,4.055,4.09,6164066.0
2020-11-06,4.04,4.2,4.02,4.19,5565085.0
2020-11-05,3.93,4.07,3.92,4.04,5851475.0
2020-11-04,3.98,3.9859,3.87,3.89,4623177.0
2020-11-03,3.93,4.06,3.915,4.03,7655274.0
2020-11-02,3.86,3.94,3.85,3.89,2721426.0
2020-10-30,3.87,3.875,3.755,3.81,7854688.0
2020-10-29,3.78,3.945,3.7422,3.91,4378777.0
2020-10-28,3.99,4.01,3.83,3.84,9481921.0
2020-10-27,4.12,4.24,4.1,4.2,9835466.0
2020-10-26,4.12,4.17,4.0422,4.1,2317750.0
2020-10-23,4.09,4.17,4.055,4.14,4445449.0
2020-10-22,4.14,4.19,4.1,4.11,5401936.0
2020-10-21,4.08,4.16,4.07,4.08,2283298.0
2020-10-20,4.05,4.155,4.05,4.07,3586271.0
2020-10-19,4.08,4.195,3.995,4.04,6999861.0
2020-10-16,4.07,4.11,4.02,4.06,2910127.0
2020-10-15,3.85,4.06,3.84,4.02,3374887.0
2020-10-14,3.97,3.9796,3.92,3.94,4689639.0
2020-10-13,3.89,3.97,3.84,3.95,4680627.0
2020-10-12,3.96,3.98,3.915,3.95,1944267.0
2020-10-09,3.98,3.995,3.87,3.92,8139244.0
2020-10-08,3.97,4.035,3.9,3.97,5709980.0
2020-10-07,4.0,4.055,3.91,3.92,5528001.0
2020-10-06,3.95,3.97,3.8,3.84,5652695.0
2020-10-05,3.7,3.92,3.68,3.91,5560509.0
2020-10-02,3.57,3.68,3.57,3.62,3676840.0
2020-10-01,3.66,3.685,3.57,3.62,4117679.0
2020-09-30,3.62,3.77,3.62,3.7,5325063.0
2020-09-29,3.64,3.68,3.52,3.52,6768339.0
2020-09-28,3.77,3.79,3.58,3.62,8569364.0
2020-09-25,3.62,3.715,3.615,3.67,4451054.0
2020-09-24,3.66,3.78,3.615,3.71,4587856.0
2020-09-23,3.7,3.775,3.66,3.68,4690504.0
2020-09-22,3.82,3.83,3.725,3.78,3737688.0
2020-09-21,3.89,3.91,3.74,3.78,12403966.0
2020-09-18,4.08,4.12,3.88,3.9,7349376.0
2020-09-17,3.97,4.17,3.94,4.12,7323539.0
2020-09-16,4.03,4.095,3.965,4.04,6038573.0
2020-09-15,3.85,4.09,3.85,4.05,8859991.0
2020-09-14,3.81,3.87,3.7407,3.86,3670298.0
2020-09-11,3.77,3.89,3.725,3.73,4557015.0
2020-09-10,3.84,3.935,3.72,3.74,5637090.0
2020-09-09,3.83,3.93,3.82,3.87,6436455.0
2020-09-08,3.63,3.73,3.585,3.67,6176903.0
2020-09-04,3.71,3.82,3.585,3.76,8621562.0
2020-09-03,3.71,3.79,3.61,3.68,5993613.0
2020-09-02,3.77,3.77,3.62,3.67,3523184.0
2020-09-01,3.58,3.74,3.56,3.73,4544477.0
2020-08-31,3.6,3.6,3.49,3.5,2613600.0
2020-08-28,3.49,3.63,3.48,3.63,3309307.0
2020-08-27,3.53,3.53,3.393,3.49,4351139.0
2020-08-26,3.59,3.64,3.42,3.49,6013920.0
2020-08-25,3.5,3.57,3.44,3.57,3995337.0
2020-08-24,3.53,3.56,3.48,3.54,3347193.0
2020-08-21,3.58,3.59,3.455,3.52,6450530.0
2020-08-20,3.49,3.68,3.46,3.67,8808430.0
2020-08-19,3.63,3.705,3.58,3.62,10295291.0
2020-08-18,3.38,3.6,3.37,3.59,8815575.0
2020-08-17,3.36,3.415,3.25,3.27,4472660.0
2020-08-14,3.32,3.35,3.27,3.32,3715323.0
2020-08-13,3.39,3.41,3.315,3.33,2333234.0
2020-08-12,3.39,3.42,3.25,3.32,5028723.0
2020-08-11,3.4,3.45,3.34,3.35,5912726.0
2020-08-10,3.34,3.38,3.28,3.36,3686575.0
2020-08-07,3.32,3.36,3.2,3.26,6970444.0
2020-08-06,3.45,3.465,3.36,3.38,4027616.0
2020-08-05,3.47,3.6,3.45,3.48,16076954.0
2020-08-04,3.26,3.335,3.22,3.31,6118835.0
2020-08-03,3.34,3.375,3.265,3.3,10234586.0
2020-07-31,3.4,3.41,3.33,3.34,5631091.0
2020-07-30,3.44,3.485,3.3699,3.46,2931805.0
2020-07-29,3.5,3.54,3.46,3.48,4743164.0
