date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,20.72,20.72,20.59,20.65,56083.0
2021-03-12,20.45,20.75,20.38,20.57,81993.0
2021-03-11,20.92,21.045,20.905,20.98,53902.0
2021-03-10,20.68,20.92,20.68,20.88,107209.0
2021-03-09,20.63,20.71,20.6,20.68,79871.0
2021-03-08,20.56,20.685,20.48,20.6,59047.0
2021-03-05,20.44,20.5079,20.35,20.45,48914.0
2021-03-04,20.61,20.72,20.36,20.44,78840.0
2021-03-03,20.45,20.69,20.38,20.61,69978.0
2021-03-02,20.26,20.74,20.26,20.49,88230.0
2021-03-01,20.17,20.3619,20.17,20.26,46964.0
2021-02-26,20.11,20.209,20.11,20.13,39001.0
2021-02-25,20.39,20.42,20.07,20.11,69096.0
2021-02-24,20.33,20.5093,20.33,20.39,49286.0
2021-02-23,20.2,20.44,20.018,20.29,76082.0
2021-02-22,20.1,20.275,20.1,20.22,40823.0
2021-02-19,20.05,20.26,20.05,20.1,41237.0
2021-02-18,20.2,20.27,20.04,20.04,54395.0
2021-02-17,20.49,20.5,19.99,20.19,113701.0
2021-02-16,20.62,20.6597,20.41,20.52,98675.0
2021-02-12,20.75,20.7501,20.41,20.67,49892.0
2021-02-11,20.76,20.83,20.58,20.75,68419.0
2021-02-10,21.0,21.1,20.8,20.95,72510.0
2021-02-09,20.77,20.95,20.74,20.95,50509.0
2021-02-08,20.67,20.815,20.61,20.77,69255.0
2021-02-05,20.68,20.74,20.53,20.61,68277.0
2021-02-04,20.52,20.75,20.3892,20.67,82405.0
2021-02-03,20.45,20.72,20.35,20.54,84845.0
2021-02-02,20.39,20.48,20.35,20.45,59337.0
2021-02-01,20.3,20.35,20.24,20.32,47758.0
2021-01-29,20.3,20.35,20.16,20.3,42024.0
2021-01-28,20.22,20.35,20.19,20.29,62129.0
2021-01-27,20.47,20.47,20.21,20.22,58427.0
2021-01-26,20.22,20.61,20.22,20.33,84616.0
2021-01-25,20.2,20.22,20.14,20.22,71870.0
2021-01-22,20.18,20.24,19.84,20.17,35399.0
2021-01-21,20.1,20.16,20.07,20.15,43476.0
2021-01-20,20.1,20.1,20.03,20.07,38415.0
2021-01-19,19.96,20.0566,19.95,20.05,34375.0
2021-01-15,20.02,20.02,19.9,19.95,31849.0
2021-01-14,20.05,20.11,19.92,20.02,60663.0
2021-01-13,20.25,20.29,20.1,20.17,54489.0
2021-01-12,20.14,20.21,20.05,20.2,65824.0
2021-01-11,20.03,20.14,19.98,20.09,78429.0
2021-01-08,20.07,20.22,20.07,20.17,56145.0
2021-01-07,19.91,20.23,19.91,20.07,69400.0
2021-01-06,19.81,20.0,19.81,19.91,56211.0
2021-01-05,19.78,19.9099,19.6716,19.86,48412.0
2021-01-04,19.77,19.79,19.62,19.78,78706.0
2020-12-31,19.74,19.79,19.73,19.77,41164.0
2020-12-30,19.68,19.71,19.64,19.7,26742.0
2020-12-29,19.73,19.73,19.57,19.62,45338.0
2020-12-28,19.56,19.63,19.49,19.63,61428.0
2020-12-24,19.28,19.53,19.28,19.53,12059.0
2020-12-23,19.45,19.45,19.25,19.35,51373.0
2020-12-22,19.51,19.5499,19.31,19.34,71079.0
2020-12-21,19.5,19.61,19.45,19.5,91707.0
2020-12-18,19.62,19.62,19.52,19.55,38499.0
2020-12-17,19.59,19.62,19.51,19.56,38987.0
2020-12-16,19.55,19.629,19.4985,19.54,35207.0
2020-12-15,19.55,19.59,19.464,19.55,58364.0
2020-12-14,19.48,19.55,19.36,19.55,72081.0
2020-12-11,19.37,19.55,19.37,19.48,47435.0
