date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,14.86,14.9,14.81,14.9,129247.0
2021-03-16,14.91,14.945,14.8899,14.89,99310.0
2021-03-15,14.9,14.9,14.86,14.9,75416.0
2021-03-12,14.86,14.92,14.83,14.89,87928.0
2021-03-11,14.86,15.02,14.86,14.92,275490.0
2021-03-10,14.92,14.95,14.85,14.93,93116.0
2021-03-09,14.88,14.9,14.85,14.85,102478.0
2021-03-08,14.92,14.95,14.81,14.81,129182.0
2021-03-05,14.88,14.92,14.68,14.9,131464.0
2021-03-04,14.86,14.94,14.76,14.82,112957.0
2021-03-03,14.95,14.95,14.85,14.86,207760.0
2021-03-02,14.93,14.96,14.9,14.94,90295.0
2021-03-01,14.78,14.96,14.78,14.96,102589.0
2021-02-26,14.7,14.82,14.69,14.76,130149.0
2021-02-25,14.91,14.95,14.6,14.63,126211.0
2021-02-24,14.8,14.91,14.73,14.9,129709.0
2021-02-23,14.83,14.86,14.69,14.8,106456.0
2021-02-22,14.75,14.845,14.75,14.83,81014.0
2021-02-19,14.86,14.92,14.81,14.82,72705.0
2021-02-18,14.79,14.84,14.76,14.82,56480.0
2021-02-17,14.83,14.83,14.5,14.8,122129.0
2021-02-16,14.88,14.89,14.7985,14.83,100907.0
2021-02-12,14.85,14.9,14.81,14.87,83743.0
2021-02-11,14.88,14.92,14.8,14.85,101317.0
2021-02-10,14.9,14.97,14.8999,14.93,97678.0
2021-02-09,14.81,14.9,14.79,14.9,89934.0
2021-02-08,14.74,14.82,14.73,14.81,96892.0
2021-02-05,14.7,14.73,14.7,14.73,182861.0
2021-02-04,14.62,14.69,14.615,14.67,123288.0
2021-02-03,14.59,14.62,14.58,14.62,69942.0
2021-02-02,14.53,14.59,14.53,14.57,74874.0
2021-02-01,14.53,14.5499,14.46,14.47,103973.0
2021-01-29,14.45,14.505,14.43,14.47,184495.0
2021-01-28,14.52,14.5889,14.5,14.55,102603.0
2021-01-27,14.53,14.57,14.47,14.5,150316.0
2021-01-26,14.55,14.57,14.53,14.53,71155.0
2021-01-25,14.58,14.59,14.475,14.52,115873.0
2021-01-22,14.57,14.6,14.53,14.56,75603.0
2021-01-21,14.59,14.62,14.55,14.56,85341.0
2021-01-20,14.5,14.61,14.5,14.54,83843.0
2021-01-19,14.46,14.4999,14.44,14.47,89367.0
2021-01-15,14.53,14.57,14.4,14.41,84161.0
2021-01-14,14.51,14.6,14.47,14.49,216382.0
2021-01-13,14.45,14.51,14.4,14.51,112630.0
2021-01-12,14.33,14.45,14.26,14.44,97281.0
2021-01-11,14.42,14.4799,14.32,14.33,123695.0
2021-01-08,14.49,14.5195,14.45,14.48,69913.0
2021-01-07,14.43,14.5303,14.43,14.44,99414.0
2021-01-06,14.4,14.54,14.38,14.4,217378.0
2021-01-05,14.39,14.47,14.39,14.43,90368.0
2021-01-04,14.53,14.55,14.33,14.39,117396.0
2020-12-31,14.49,14.53,14.43,14.53,194637.0
2020-12-30,14.49,14.49,14.42,14.44,95970.0
2020-12-29,14.53,14.55,14.4386,14.46,79813.0
2020-12-28,14.5,14.53,14.48,14.53,141587.0
2020-12-24,14.53,14.6,14.525,14.6,50118.0
2020-12-23,14.5,14.55,14.5,14.55,63264.0
2020-12-22,14.5,14.58,14.49,14.52,97022.0
2020-12-21,14.4,14.52,14.36,14.51,169074.0
2020-12-18,14.46,14.49,14.39,14.43,143076.0
2020-12-17,14.47,14.47,14.36,14.4,148175.0
2020-12-16,14.36,14.4,14.32,14.38,143814.0
2020-12-15,14.37,14.43,14.32,14.32,72044.0
2020-12-14,14.37,14.41,14.29,14.3,77098.0
2020-12-11,14.4,14.44,14.29,14.31,95033.0
2020-12-10,14.39,14.43,14.35,14.4,114289.0
2020-12-09,14.55,14.62,14.49,14.58,175064.0
2020-12-08,14.42,14.58,14.4039,14.53,94437.0
2020-12-07,14.42,14.48,14.4,14.4,118384.0
2020-12-04,14.43,14.49,14.39,14.45,93319.0
2020-12-03,14.29,14.43,14.2871,14.43,157701.0
2020-12-02,14.13,14.32,14.105,14.29,204633.0
2020-12-01,14.09,14.15,14.085,14.13,82520.0
2020-11-30,14.0,14.06,13.9637,14.04,88372.0
2020-11-27,14.05,14.14,14.0,14.0,44746.0
2020-11-25,14.07,14.1,13.98,14.04,76077.0
2020-11-24,14.01,14.14,14.01,14.04,116432.0
2020-11-23,13.77,14.03,13.77,13.98,469324.0
2020-11-20,13.72,13.73,13.69,13.71,136097.0
2020-11-19,13.68,13.75,13.66,13.72,45456.0
2020-11-18,13.69,13.76,13.61,13.7,195556.0
2020-11-17,13.59,13.65,13.52,13.65,115287.0
2020-11-16,13.51,13.55,13.47,13.55,54148.0
2020-11-13,13.41,13.48,13.38,13.47,68738.0
2020-11-12,13.46,13.46,13.35,13.35,102966.0
2020-11-11,13.54,13.61,13.54,13.57,85146.0
2020-11-10,13.54,13.59,13.51,13.55,82693.0
2020-11-09,13.6,13.63,13.41,13.52,185033.0
2020-11-06,13.25,13.29,13.2359,13.28,64406.0
2020-11-05,13.07,13.25,13.07,13.25,103433.0
2020-11-04,12.87,13.05,12.87,13.0,233739.0
2020-11-03,12.82,12.9032,12.82,12.83,291342.0
2020-11-02,12.75,12.86,12.75,12.78,110436.0
2020-10-30,12.81,12.83,12.7001,12.73,84663.0
2020-10-29,12.76,12.86,12.7,12.8,136924.0
2020-10-28,12.83,12.84,12.69,12.72,186061.0
2020-10-27,12.9,12.93,12.87,12.89,113149.0
2020-10-26,13.01,13.01,12.84,12.9,191637.0
2020-10-23,13.11,13.13,13.0,13.03,134088.0
2020-10-22,13.12,13.13,13.04,13.08,67600.0
2020-10-21,13.13,13.16,13.08,13.08,83750.0
2020-10-20,13.1,13.16,13.06,13.16,190537.0
2020-10-19,13.17,13.21,13.05,13.05,158583.0
2020-10-16,13.28,13.3,13.16,13.16,104469.0
2020-10-15,13.37,13.37,13.27,13.31,99994.0
2020-10-14,13.51,13.56,13.475,13.52,64921.0
2020-10-13,13.5,13.53,13.43,13.52,146268.0
2020-10-12,13.44,13.54,13.44,13.54,74435.0
2020-10-09,13.47,13.49,13.43,13.46,65275.0
2020-10-08,13.46,13.51,13.42,13.46,72310.0
2020-10-07,13.48,13.53,13.43,13.43,137415.0
2020-10-06,13.4,13.48,13.39,13.4,79906.0
2020-10-05,13.36,13.4,13.31,13.4,100725.0
2020-10-02,13.23,13.56,13.22,13.36,48115.0
2020-10-01,13.25,13.32,13.24,13.28,122573.0
2020-09-30,13.36,13.36,13.25,13.25,158366.0
2020-09-29,13.31,13.31,13.21,13.3,156077.0
2020-09-28,13.23,13.31,13.23,13.28,160757.0
2020-09-25,13.19,13.23,13.12,13.2,116866.0
2020-09-24,13.25,13.27,13.13,13.25,115317.0
2020-09-23,13.47,13.485,13.24,13.29,106193.0
2020-09-22,13.55,13.55,13.47,13.52,41397.0
2020-09-21,13.48,13.54,13.46,13.54,74991.0
2020-09-18,13.62,13.62,13.58,13.61,61069.0
2020-09-17,13.57,13.62,13.57,13.6,82647.0
2020-09-16,13.68,13.68,13.6,13.66,63310.0
2020-09-15,13.62,13.65,13.59,13.65,86713.0
2020-09-14,13.53,13.59,13.53,13.59,35235.0
2020-09-11,13.53,13.54,13.49,13.52,48311.0
2020-09-10,13.51,13.56,13.5,13.5,81825.0
2020-09-09,13.56,13.61,13.5178,13.61,75418.0
2020-09-08,13.52,13.52,13.441,13.5,73353.0
2020-09-04,13.57,13.61,13.43,13.56,100150.0
2020-09-03,13.71,13.71,13.46,13.58,175106.0
2020-09-02,13.7,13.76,13.62,13.73,236368.0
2020-09-01,13.46,13.61,13.4111,13.61,83653.0
2020-08-31,13.45,13.48,13.4241,13.45,74693.0
2020-08-28,13.43,13.45,13.4,13.42,73645.0
2020-08-27,13.49,13.5,13.41,13.41,106494.0
2020-08-26,13.49,13.49,13.475,13.49,99077.0
2020-08-25,13.52,13.54,13.43,13.49,151532.0
2020-08-24,13.53,13.57,13.48,13.53,100701.0
2020-08-21,13.54,13.57,13.52,13.53,54452.0
2020-08-20,13.51,13.56,13.43,13.56,114668.0
2020-08-19,13.5,13.53,13.47,13.48,133020.0
2020-08-18,13.52,13.54,13.43,13.48,79237.0
2020-08-17,13.38,13.5,13.38,13.5,43321.0
2020-08-14,13.48,13.48,13.35,13.4,54469.0
2020-08-13,13.42,13.53,13.35,13.46,97156.0
2020-08-12,13.49,13.52,13.47,13.51,92309.0
2020-08-11,13.44,13.58,13.38,13.41,128628.0
2020-08-10,13.38,13.42,13.33,13.41,118106.0
2020-08-07,13.4,13.41,13.33,13.35,109793.0
2020-08-06,13.46,13.46,13.39,13.41,113695.0
2020-08-05,13.32,13.57,13.32,13.45,182369.0
2020-08-04,13.3,13.32,13.26,13.3,91811.0
