date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,31.25,32.07,31.25,31.86,401397.0
2021-03-12,30.3,31.3099,30.18,31.27,353861.0
2021-03-11,30.15,30.67,30.03,30.32,336336.0
2021-03-10,30.14,30.37,29.43,29.92,242606.0
2021-03-09,30.37,30.76,29.96,29.97,507402.0
2021-03-08,29.59,30.4,29.395,30.13,1394294.0
2021-03-05,29.44,29.67,28.9,29.5,774813.0
2021-03-04,29.45,29.81,28.32,29.05,593661.0
2021-03-03,30.42,31.23,29.49,29.53,645226.0
2021-03-02,31.79,31.81,30.54,30.59,801008.0
2021-03-01,30.96,32.02,30.54,31.76,983725.0
2021-02-26,31.11,31.41,29.98,30.37,1199098.0
2021-02-25,28.25,31.41,28.25,31.3,1221987.0
2021-02-24,26.42,27.3,26.42,27.24,529092.0
2021-02-23,27.11,27.11,26.1,26.57,304260.0
2021-02-22,27.52,27.61,27.04,27.2,578378.0
2021-02-19,27.04,27.74,26.91,27.64,400315.0
2021-02-18,27.35,27.35,26.63,26.89,496404.0
2021-02-17,27.49,27.63,27.13,27.6,275372.0
2021-02-16,28.25,28.44,27.65,27.67,243344.0
2021-02-12,27.86,28.12,27.53,28.1,215460.0
2021-02-11,27.6,27.99,27.41,27.93,245151.0
2021-02-10,28.0,28.2025,27.34,27.53,445894.0
2021-02-09,26.93,27.92,26.76,27.82,851274.0
2021-02-08,27.24,27.24,26.08,26.74,1046055.0
2021-02-05,26.72,27.12,26.39,27.06,794290.0
2021-02-04,25.99,26.535,25.72,26.47,678316.0
2021-02-03,25.49,26.12,25.49,25.78,777425.0
2021-02-02,25.69,25.83,25.19,25.41,565179.0
2021-02-01,25.13,25.74,25.13,25.47,358512.0
2021-01-29,25.97,25.97,24.81,24.92,768881.0
2021-01-28,25.46,26.26,25.27,26.13,558410.0
2021-01-27,25.6,25.95,25.24,25.41,640714.0
2021-01-26,26.4,26.46,25.63,26.01,249542.0
2021-01-25,26.11,26.63,25.94,26.22,492816.0
2021-01-22,26.29,26.3,25.83,26.19,558502.0
2021-01-21,27.31,27.31,26.42,26.53,326323.0
2021-01-20,27.55,27.86,27.2,27.24,306968.0
2021-01-19,27.26,27.67,27.135,27.46,559334.0
2021-01-15,27.66,27.71,26.939,27.09,244269.0
2021-01-14,27.92,28.2094,27.72,27.89,332674.0
2021-01-13,27.6,27.7,26.92,27.6,400350.0
2021-01-12,27.83,27.85,27.35,27.68,485295.0
2021-01-11,28.25,28.46,27.65,27.78,373703.0
2021-01-08,28.99,29.0,28.14,28.5,215654.0
2021-01-07,28.75,28.89,28.5316,28.79,218491.0
2021-01-06,28.15,28.975,28.12,28.64,266188.0
2021-01-05,27.23,28.27,27.23,28.06,178890.0
2021-01-04,28.1,28.195,27.05,27.36,244471.0
2020-12-31,27.98,28.15,27.63,28.01,195983.0
2020-12-30,28.18,28.42,27.92,27.97,204995.0
2020-12-29,27.97,28.114,27.5,27.95,198897.0
2020-12-28,28.34,28.42,27.75,27.75,118660.0
2020-12-24,28.13,28.24,27.85,28.22,75890.0
2020-12-23,28.33,28.68,27.92,28.03,468342.0
2020-12-22,28.24,28.34,27.55,28.16,549206.0
2020-12-21,27.64,28.25,27.19,28.07,370715.0
2020-12-18,27.13,28.08,27.13,28.02,439087.0
2020-12-17,27.38,27.38,26.84,27.2,245776.0
2020-12-16,27.91,28.08,27.07,27.29,474874.0
2020-12-15,27.02,27.76,26.87,27.75,369040.0
2020-12-14,27.16,27.42,26.99,27.03,296780.0
2020-12-11,27.83,27.93,27.028,27.06,361208.0
2020-12-10,27.77,28.22,27.63,28.07,453495.0
2020-12-09,27.65,27.99,27.51,27.84,802094.0
2020-12-08,27.19,27.58,27.18,27.43,511645.0
2020-12-07,27.42,27.43,26.8864,27.33,408606.0
2020-12-04,28.27,28.3,27.32,27.49,559853.0
2020-12-03,26.72,28.16,26.59,28.13,1143663.0
2020-12-02,26.4,26.71,26.22,26.66,232099.0
2020-12-01,26.6,26.66,26.19,26.6,363637.0
2020-11-30,26.67,26.84,26.1,26.13,460943.0
2020-11-27,26.57,26.94,26.44,26.65,197631.0
2020-11-25,26.28,26.67,26.03,26.66,428553.0
2020-11-24,26.0,26.69,25.87,26.5,609653.0
2020-11-23,26.26,26.33,25.69,25.74,412750.0
2020-11-20,26.25,26.35,25.75,26.12,820488.0
2020-11-19,25.35,25.99,24.92,25.87,463223.0
2020-11-18,24.64,25.67,24.23,25.45,728277.0
2020-11-17,23.97,24.65,23.79,24.54,569770.0
2020-11-16,24.4,24.48,23.73,24.27,828855.0
2020-11-13,23.89,23.965,23.48,23.89,811504.0
2020-11-12,24.34,24.47,23.63,23.77,504481.0
2020-11-11,24.42,24.66,23.965,24.6,1044121.0
2020-11-10,23.69,24.45,23.44,24.41,746153.0
2020-11-09,22.0,23.87,21.97,23.71,1003060.0
2020-11-06,22.1,22.11,20.74,20.93,718827.0
2020-11-05,22.92,23.13,22.09,22.1,994250.0
2020-11-04,22.47,22.76,21.98,22.7,576273.0
2020-11-03,21.76,22.57,21.55,22.49,1030561.0
2020-11-02,20.95,21.44,20.95,21.29,901753.0
2020-10-30,21.7035,22.68,20.14,20.77,1888968.0
2020-10-29,21.75,23.3,21.37,21.38,1762986.0
2020-10-28,21.39,21.815,21.25,21.48,841170.0
2020-10-27,21.91,22.2,21.8529,21.96,409305.0
2020-10-26,22.18,22.38,21.82,21.9,512343.0
2020-10-23,22.56,22.575,22.04,22.54,657523.0
2020-10-22,22.52,22.58,22.22,22.38,849570.0
2020-10-21,21.86,22.5,21.8,22.37,947295.0
2020-10-20,21.85,22.17,21.66,21.96,740652.0
2020-10-19,22.1,22.3,21.5,21.53,457948.0
2020-10-16,22.13,22.22,21.85,21.97,413878.0
2020-10-15,21.87,22.09,21.68,22.04,263320.0
2020-10-14,22.69,22.7175,22.24,22.24,661470.0
2020-10-13,22.61,22.745,22.47,22.64,493048.0
2020-10-12,22.68,22.75,22.26,22.65,550340.0
2020-10-09,22.5,22.69,22.26,22.63,938497.0
2020-10-08,21.34,22.29,21.29,22.25,1345126.0
2020-10-07,20.48,21.14,20.265,21.03,1004357.0
2020-10-06,20.91,20.91,20.1,20.17,1520218.0
2020-10-05,20.95,21.04,20.655,20.79,519978.0
2020-10-02,20.0,20.75,19.97,20.72,346207.0
2020-10-01,19.75,20.53,19.66,20.5,848402.0
2020-09-30,20.25,20.445,19.58,19.67,549499.0
2020-09-29,20.25,20.33,19.99,20.2,485023.0
2020-09-28,20.33,20.45,20.11,20.21,748716.0
2020-09-25,19.41,20.1,19.255,20.09,464893.0
2020-09-24,19.23,19.74,19.12,19.47,813834.0
2020-09-23,20.08,20.2,19.27,19.3,615041.0
2020-09-22,19.17,20.04,19.17,19.91,1213322.0
2020-09-21,19.36,19.37,18.93,19.12,719411.0
2020-09-18,19.86,20.01,19.5805,19.77,431817.0
2020-09-17,19.24,19.98,19.04,19.93,625800.0
