date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,20.37,20.45,20.13,20.19,3567.0
2021-03-17,20.2765,20.43,20.2765,20.2875,2916.0
2021-03-16,20.37,20.37,20.11,20.11,2596.0
2021-03-15,20.37,20.37,20.37,20.37,406.0
2021-03-12,20.2567,20.2567,20.2567,20.2567,0.0
2021-03-11,20.2567,20.2567,20.2567,20.2567,40.0
2021-03-10,20.2567,20.2567,20.2567,20.2567,0.0
2021-03-09,20.45,20.45,20.15,20.2567,3892.0
2021-03-08,20.68,20.76,20.6,20.6,668.0
2021-03-05,20.35,20.35,20.35,20.35,1.0
2021-03-04,20.35,20.35,20.35,20.35,10.0
2021-03-03,20.35,20.35,20.35,20.35,100.0
2021-03-02,20.73,20.73,20.07,20.483,5395.0
2021-03-01,20.95,21.0,20.8,20.8,10465.0
2021-02-26,20.45,20.45,20.15,20.1959,1792.0
2021-02-25,20.57,20.6264,20.5,20.5,2661.0
2021-02-24,20.46,20.57,20.315,20.57,1310.0
2021-02-23,20.3388,20.5,20.285,20.285,2126.0
2021-02-22,20.31,20.31,20.185,20.185,482.0
2021-02-19,20.23,20.3,20.17,20.17,1901.0
2021-02-18,20.5,20.5,20.3,20.3001,1761.0
2021-02-17,20.46,20.46,20.46,20.46,0.0
2021-02-16,20.92,20.92,20.1001,20.46,4437.0
2021-02-12,20.25,20.25,20.23,20.23,1117.0
2021-02-11,20.35,20.35,20.35,20.35,101.0
2021-02-10,20.3,20.36,20.27,20.35,2169.0
2021-02-09,20.35,20.35,20.11,20.15,1420.0
2021-02-08,20.69,20.69,20.69,20.69,100.0
2021-02-05,20.4337,20.4337,20.4337,20.4337,0.0
2021-02-04,20.35,20.4337,20.35,20.4337,2000.0
2021-02-03,20.46,20.4722,20.3,20.3,3001.0
2021-02-02,20.49,20.49,20.49,20.49,123.0
2021-02-01,20.89,20.89,20.89,20.89,100.0
2021-01-29,20.5913,20.5913,20.5913,20.5913,1.0
2021-01-28,20.5913,20.5913,20.5913,20.5913,0.0
2021-01-27,20.65,20.65,20.61,20.61,1850.0
2021-01-26,20.49,20.49,20.49,20.49,207.0
2021-01-25,20.8,20.8,20.8,20.8,0.0
