date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,5.77,5.8,5.7601,5.78,967872.0
2021-03-12,5.75,5.79,5.74,5.77,943605.0
2021-03-11,5.75,5.77,5.735,5.75,2371695.0
2021-03-10,5.74,5.76,5.73,5.75,2852086.0
2021-03-09,5.76,5.765,5.72,5.73,3298498.0
2021-03-08,5.8,5.81,5.75,5.75,2560751.0
2021-03-05,5.75,5.845,5.7413,5.84,4030127.0
2021-03-04,5.76,5.79,5.7301,5.78,3404432.0
2021-03-03,5.8,5.82,5.75,5.76,2144740.0
2021-03-02,5.82,5.85,5.81,5.81,1722420.0
2021-03-01,5.81,5.89,5.8,5.81,2499397.0
2021-02-26,5.79,5.89,5.79,5.89,4233256.0
2021-02-25,5.82,5.85,5.79,5.81,3946120.0
2021-02-24,5.83,5.86,5.79,5.84,4581858.0
2021-02-23,5.81,5.925,5.77,5.84,8209244.0
2021-02-22,5.82,5.97,5.76,5.9,19776429.0
2021-02-19,4.9,5.1689,4.9,4.95,1097440.0
2021-02-18,5.04,5.1,4.76,4.8,1202432.0
2021-02-17,5.18,5.18,4.855,5.15,1157954.0
2021-02-16,5.15,5.445,4.93,5.06,1860322.0
2021-02-12,4.58,4.99,4.49,4.93,1624971.0
2021-02-11,4.6,4.62,4.38,4.6,982458.0
2021-02-10,4.8,4.83,4.5,4.6,1278800.0
2021-02-09,4.77,4.78,4.25,4.75,2155766.0
2021-02-08,4.62,4.89,4.62,4.77,749725.0
2021-02-05,4.5,4.68,4.5,4.54,635446.0
2021-02-04,4.55,4.63,4.28,4.5,928009.0
2021-02-03,4.5,4.6,4.39,4.54,916270.0
2021-02-02,4.38,4.69,4.06,4.44,1833394.0
2021-02-01,4.21,4.35,4.05,4.29,1260598.0
2021-01-29,3.92,4.365,3.88,4.1,2199254.0
2021-01-28,3.8,3.98,3.7501,3.89,1464374.0
2021-01-27,4.03,4.235,3.6606,3.78,4576843.0
2021-01-26,4.51,4.53,4.16,4.18,1768444.0
2021-01-25,4.65,4.7,4.23,4.55,1931282.0
2021-01-22,4.4,4.78,4.33,4.7,1517635.0
2021-01-21,4.81,4.92,4.46,4.55,1948986.0
2021-01-20,5.71,5.79,4.5945,4.75,4109252.0
2021-01-19,6.0,6.01,5.43,5.67,1359800.0
2021-01-15,6.07,6.5,5.81,5.87,1858116.0
2021-01-14,5.14,5.98,5.1,5.9,2670891.0
2021-01-13,5.61,5.87,5.05,5.1,2436550.0
2021-01-12,5.16,5.6,5.05,5.41,2230738.0
2021-01-11,4.68,5.0,4.55,4.97,2249249.0
2021-01-08,4.89,5.02,4.565,4.74,1160340.0
2021-01-07,4.2,4.8,4.2,4.78,1875297.0
2021-01-06,4.38,4.39,4.01,4.1,1075957.0
2021-01-05,3.92,4.53,3.92,4.34,2075709.0
2021-01-04,3.72,3.925,3.66,3.89,902599.0
2020-12-31,3.9,3.9,3.61,3.72,707399.0
2020-12-30,3.61,3.95,3.61,3.86,1316058.0
2020-12-29,3.65,3.65,3.45,3.59,892304.0
2020-12-28,3.76,3.77,3.58,3.66,1005500.0
2020-12-24,3.82,3.825,3.65,3.81,284962.0
2020-12-23,3.61,3.81,3.53,3.76,842431.0
2020-12-22,3.59,3.73,3.5702,3.6,675673.0
2020-12-21,3.75,3.79,3.53,3.57,957529.0
2020-12-18,3.91,4.04,3.85,3.93,1118120.0
2020-12-17,3.94,4.09,3.71,3.88,1609209.0
2020-12-16,3.67,3.97,3.54,3.97,1161588.0
2020-12-15,3.47,3.73,3.46,3.62,1052506.0
2020-12-14,3.56,3.58,3.35,3.46,832876.0
