date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,2.86,3.19,2.86,3.19,747650.0
2021-03-12,2.9,3.05,2.85,2.89,1020236.0
2021-03-11,3.02,3.09,2.89,2.89,820296.0
2021-03-10,3.0,3.06,2.96,3.05,295392.0
2021-03-09,2.98,3.0211,2.89,2.98,288638.0
2021-03-08,2.9,2.9903,2.845,2.98,644996.0
2021-03-05,2.96,2.96,2.76,2.88,583161.0
2021-03-04,3.02,3.068,2.8,2.96,700532.0
2021-03-03,3.0,3.19,2.98,3.02,468407.0
2021-03-02,3.1,3.15,2.92,2.97,755799.0
2021-03-01,3.24,3.27,3.03,3.07,470379.0
2021-02-26,3.3,3.32,3.12,3.12,564388.0
2021-02-25,3.45,3.46,3.27,3.32,540743.0
2021-02-24,3.43,3.52,3.36,3.42,571371.0
2021-02-23,3.42,3.53,3.32,3.42,607280.0
2021-02-22,3.56,3.79,3.4,3.43,1494778.0
2021-02-19,3.32,3.5,3.32,3.36,586067.0
2021-02-18,3.54,3.71,3.3,3.3,577773.0
2021-02-17,3.79,3.79,3.4,3.63,874619.0
2021-02-16,3.53,3.98,3.51,3.77,882763.0
2021-02-12,3.4,3.67,3.34,3.48,688021.0
2021-02-11,3.4,3.46,3.33,3.42,242758.0
2021-02-10,3.37,3.44,3.29,3.38,415149.0
2021-02-09,3.42,3.4893,3.28,3.37,301535.0
2021-02-08,3.48,3.5,3.37,3.43,323475.0
2021-02-05,3.45,3.57,3.35,3.4,366243.0
2021-02-04,3.38,3.51,3.28,3.45,287012.0
2021-02-03,3.41,3.52,3.36,3.39,245906.0
2021-02-02,3.4,3.44,3.25,3.39,322098.0
2021-02-01,3.5,3.5,3.21,3.34,431401.0
2021-01-29,3.44,3.55,3.27,3.35,510530.0
2021-01-28,3.26,3.44,3.17,3.41,353915.0
2021-01-27,3.26,3.415,3.11,3.28,451225.0
2021-01-26,3.42,3.56,3.3,3.3,423180.0
2021-01-25,3.53,3.5399,3.3,3.39,539572.0
2021-01-22,3.4,3.6,3.29,3.58,381211.0
2021-01-21,3.65,3.72,3.45,3.45,424572.0
2021-01-20,4.12,4.17,3.5405,3.57,991443.0
