date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,5.03,5.09,5.03,5.09,101958.0
2021-03-12,5.01,5.04,5.0,5.02,35690.0
2021-03-11,5.02,5.03,5.0,5.01,174803.0
2021-03-10,5.0,5.0299,4.984,5.01,52935.0
2021-03-09,5.02,5.04,4.97,4.97,79674.0
2021-03-08,4.97,5.0296,4.97,4.98,95904.0
2021-03-05,4.9,5.0,4.9,5.0,61504.0
2021-03-04,4.93,4.98,4.87,4.89,77453.0
2021-03-03,4.98,4.98,4.92,4.94,70817.0
2021-03-02,4.97,5.0,4.95,4.99,45836.0
2021-03-01,4.94,4.98,4.92,4.95,56601.0
2021-02-26,4.99,5.03,4.88,4.91,105757.0
2021-02-25,5.16,5.16,5.0,5.0,130122.0
2021-02-24,5.08,5.14,5.0405,5.13,26136.0
2021-02-23,5.16,5.16,5.01,5.08,49556.0
2021-02-22,5.05,5.18,5.05,5.15,79977.0
2021-02-19,5.15,5.15,5.05,5.05,123185.0
2021-02-18,5.12,5.13,5.08,5.11,92061.0
2021-02-17,5.16,5.16,5.1,5.13,79572.0
2021-02-16,5.12,5.18,5.12,5.17,128036.0
2021-02-12,5.1,5.16,5.0901,5.13,25721.0
2021-02-11,5.14,5.16,5.1,5.1,36052.0
2021-02-10,5.14,5.16,5.12,5.12,36859.0
2021-02-09,5.18,5.2,5.16,5.18,49364.0
2021-02-08,5.1,5.19,5.1,5.17,50194.0
2021-02-05,5.09,5.11,5.06,5.08,48216.0
2021-02-04,5.08,5.09,5.05,5.07,66430.0
2021-02-03,5.05,5.08,5.05,5.05,64732.0
2021-02-02,5.1,5.11,5.05,5.06,98899.0
2021-02-01,5.04,5.12,5.04,5.12,65200.0
2021-01-29,5.04,5.1,4.98,5.01,66607.0
2021-01-28,5.01,5.06,4.97,5.02,38267.0
2021-01-27,5.05,5.0529,4.97,4.98,78624.0
2021-01-26,5.11,5.11,5.05,5.06,58001.0
2021-01-25,5.11,5.11,5.02,5.04,96205.0
2021-01-22,5.12,5.12,5.05,5.11,64971.0
2021-01-21,5.14,5.15,5.09,5.12,136395.0
2021-01-20,5.09,5.14,5.07,5.12,63848.0
2021-01-19,5.04,5.1,5.03,5.05,66398.0
2021-01-15,5.04,5.05,5.0,5.02,88445.0
2021-01-14,5.03,5.1,5.0,5.06,92866.0
2021-01-13,5.02,5.08,5.01,5.04,149577.0
2021-01-12,5.13,5.16,5.0002,5.02,270612.0
2021-01-11,5.16,5.19,5.13,5.13,59348.0
2021-01-08,5.34,5.34,5.18,5.19,102068.0
2021-01-07,5.27,5.35,5.26,5.34,65491.0
2021-01-06,5.26,5.29,5.17,5.27,88614.0
2021-01-05,5.19,5.26,5.14,5.26,132654.0
2021-01-04,5.18,5.2,5.1233,5.15,130813.0
2020-12-31,5.09,5.12,5.07,5.11,69230.0
2020-12-30,5.07,5.11,5.07,5.09,47389.0
2020-12-29,5.08,5.1,5.04,5.04,84337.0
2020-12-28,5.09,5.13,5.05,5.05,58436.0
2020-12-24,5.05,5.1,5.05,5.09,31100.0
2020-12-23,5.03,5.08,4.995,5.04,114826.0
2020-12-22,5.13,5.13,5.01,5.05,106868.0
2020-12-21,5.13,5.151,5.09,5.1,135698.0
2020-12-18,5.15,5.17,5.13,5.13,74929.0
2020-12-17,5.11,5.1661,5.11,5.14,57970.0
2020-12-16,5.1,5.125,5.09,5.09,76938.0
2020-12-15,5.07,5.1,5.06,5.08,90202.0
2020-12-14,5.12,5.1294,5.02,5.05,58773.0
2020-12-11,5.11,5.13,5.08,5.12,57993.0
2020-12-10,5.13,5.195,5.115,5.14,105623.0
2020-12-09,5.24,5.24,5.15,5.17,64081.0
2020-12-08,5.17,5.25,5.17,5.22,101437.0
2020-12-07,5.12,5.22,5.12,5.17,69577.0
2020-12-04,5.14,5.16,5.1101,5.14,94212.0
2020-12-03,5.14,5.145,5.09,5.11,86312.0
2020-12-02,5.13,5.15,5.09,5.13,84056.0
2020-12-01,5.03,5.12,5.02,5.09,75370.0
2020-11-30,4.95,5.01,4.93,4.99,101302.0
2020-11-27,4.9,4.97,4.9,4.94,56491.0
2020-11-25,4.92,4.95,4.9,4.9,49487.0
2020-11-24,4.94,4.955,4.9,4.94,98388.0
2020-11-23,4.98,5.03,4.92,4.94,91078.0
2020-11-20,4.95,5.0,4.95,4.98,107665.0
2020-11-19,4.97,5.04,4.92,4.93,90028.0
2020-11-18,5.01,5.05,4.95,4.99,62079.0
2020-11-17,4.94,5.05,4.94,5.01,30683.0
2020-11-16,4.96,5.03,4.93,4.99,73278.0
2020-11-13,4.88,4.95,4.88,4.945,43545.0
2020-11-12,4.91,4.93,4.65,4.86,125506.0
2020-11-11,5.0,5.0,4.93,4.94,128523.0
2020-11-10,5.01,5.03,4.91,5.01,95534.0
2020-11-09,5.01,5.03,4.93,4.99,149552.0
2020-11-06,4.94,5.01,4.9347,4.99,50625.0
2020-11-05,4.85,4.97,4.85,4.93,95361.0
2020-11-04,4.81,4.81,4.77,4.77,92758.0
2020-11-03,4.85,4.86,4.76,4.78,90066.0
2020-11-02,4.72,4.84,4.71,4.81,67082.0
2020-10-30,4.71,4.73,4.64,4.65,89363.0
2020-10-29,4.65,4.7352,4.65,4.69,42206.0
2020-10-28,4.74,4.75,4.65,4.65,89037.0
2020-10-27,4.88,4.9,4.76,4.78,144026.0
2020-10-26,4.98,4.98,4.87,4.88,50252.0
2020-10-23,5.04,5.04,4.99,4.99,28103.0
2020-10-22,4.98,4.99,4.95,4.99,32043.0
2020-10-21,4.97,5.05,4.95,4.97,45591.0
2020-10-20,4.97,5.0,4.91,4.91,57056.0
2020-10-19,5.01,5.03,4.96,4.96,51701.0
2020-10-16,5.03,5.04,5.0,5.0,56190.0
2020-10-15,5.08,5.08,5.01,5.05,122410.0
2020-10-14,5.12,5.16,5.07,5.1,135191.0
2020-10-13,5.02,5.12,4.99,5.08,103917.0
2020-10-12,5.01,5.0769,5.01,5.03,72666.0
2020-10-09,5.0,5.04,5.0,5.02,53935.0
2020-10-08,4.92,5.0,4.92,5.0,56305.0
2020-10-07,4.88,4.97,4.88,4.88,83096.0
2020-10-06,5.01,5.02,4.91,4.91,109002.0
2020-10-05,4.98,5.03,4.9734,5.02,69540.0
2020-10-02,4.97,5.0,4.94,4.98,55362.0
2020-10-01,4.95,5.03,4.95,5.02,122316.0
2020-09-30,4.95,5.0,4.92,4.94,71851.0
2020-09-29,4.98,5.0,4.9,4.94,96149.0
2020-09-28,4.99,4.99,4.92,4.99,70515.0
2020-09-25,4.84,4.9,4.83,4.9,30029.0
2020-09-24,4.76,4.88,4.71,4.84,86775.0
2020-09-23,4.99,4.99,4.75,4.76,115599.0
2020-09-22,5.02,5.03,4.95,5.03,51437.0
2020-09-21,5.02,5.03,4.92,5.03,100131.0
2020-09-18,5.13,5.1596,5.05,5.06,69649.0
2020-09-17,5.14,5.19,5.07,5.16,114983.0
2020-09-16,5.13,5.18,5.11,5.14,60512.0
2020-09-15,5.14,5.1792,5.08,5.08,138549.0
2020-09-14,5.06,5.17,5.06,5.14,96017.0
2020-09-11,5.02,5.08,5.02,5.04,63206.0
2020-09-10,5.13,5.17,5.0,5.04,73004.0
2020-09-09,5.03,5.1222,5.03,5.11,47092.0
2020-09-08,5.07,5.07,4.99,5.0,86408.0
2020-09-04,5.08,5.14,4.98,5.1,83403.0
2020-09-03,5.12,5.19,4.98,5.07,136492.0
2020-09-02,5.12,5.2,5.04,5.18,100854.0
2020-09-01,5.16,5.199,5.099,5.1,80762.0
2020-08-31,5.23,5.24,5.15,5.16,58000.0
2020-08-28,5.09,5.23,5.09,5.23,79591.0
2020-08-27,5.14,5.19,5.09,5.11,88955.0
2020-08-26,5.22,5.22,5.14,5.14,85418.0
2020-08-25,5.21,5.24,5.11,5.19,67446.0
2020-08-24,5.24,5.25,5.2,5.21,76821.0
2020-08-21,5.21,5.22,5.15,5.18,72181.0
2020-08-20,5.19,5.22,5.11,5.22,57847.0
2020-08-19,5.27,5.27,5.17,5.19,34188.0
2020-08-18,5.28,5.34,5.21,5.25,33412.0
2020-08-17,5.15,5.28,5.15,5.26,57946.0
2020-08-14,5.07,5.15,5.07,5.09,70003.0
2020-08-13,5.11,5.2,5.11,5.13,114666.0
2020-08-12,5.1,5.18,5.07,5.07,52154.0
