date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,12.15,12.2,11.9,12.18,405383.0
2021-03-12,12.03,12.39,12.03,12.07,375564.0
2021-03-11,12.09,12.28,11.89,12.04,376256.0
2021-03-10,11.85,12.24,11.8033,12.04,598247.0
2021-03-09,11.98,11.98,11.68,11.8,398312.0
2021-03-08,11.52,11.94,11.47,11.79,540627.0
2021-03-05,11.7,11.98,11.05,11.5,704661.0
2021-03-04,11.33,11.55,11.07,11.38,516281.0
2021-03-03,11.49,11.74,11.31,11.44,388132.0
2021-03-02,11.37,11.59,11.15,11.4,263295.0
2021-03-01,11.45,11.61,11.215,11.39,417952.0
2021-02-26,10.83,11.36,10.781,11.16,459967.0
2021-02-25,11.57,11.76,10.83,10.86,463675.0
2021-02-24,10.7,11.5,10.7,11.5,532197.0
2021-02-23,10.68,10.74,10.31,10.63,335387.0
2021-02-22,10.56,10.6986,10.44,10.67,333797.0
2021-02-19,10.35,10.81,10.35,10.6,369882.0
2021-02-18,10.45,10.55,10.34,10.35,277029.0
2021-02-17,10.7,10.8,10.48,10.49,362126.0
2021-02-16,10.48,10.85,10.47,10.72,391296.0
2021-02-12,10.24,10.48,10.1944,10.44,276249.0
2021-02-11,10.23,10.46,10.025,10.29,286950.0
2021-02-10,10.08,10.4788,10.02,10.23,455982.0
2021-02-09,10.12,10.2,9.93,10.07,346944.0
2021-02-08,10.12,10.2,10.04,10.16,304892.0
2021-02-05,9.95,10.11,9.87,10.1,382301.0
2021-02-04,9.59,9.94,9.59,9.84,305138.0
2021-02-03,9.65,9.784,9.49,9.59,324202.0
2021-02-02,9.62,9.74,9.5,9.67,311405.0
2021-02-01,9.4,9.52,9.03,9.5,714257.0
2021-01-29,9.58,9.58,9.17,9.32,597620.0
2021-01-28,9.64,9.68,9.44,9.64,567264.0
2021-01-27,9.77,9.9,9.55,9.57,748355.0
2021-01-26,9.94,10.14,9.84,9.92,388851.0
2021-01-25,9.91,10.08,9.69,9.87,595711.0
2021-01-22,9.9,10.07,9.73,10.04,529258.0
2021-01-21,10.17,10.17,9.89,9.95,492624.0
2021-01-20,9.76,10.19,9.76,10.17,561991.0
2021-01-19,9.74,9.85,9.58,9.79,462017.0
2021-01-15,9.8,9.88,9.67,9.72,366694.0
2021-01-14,9.89,9.94,9.78,9.89,330993.0
2021-01-13,9.8,9.88,9.7,9.83,304225.0
2021-01-12,9.76,9.9,9.66,9.83,292686.0
2021-01-11,9.78,10.06,9.73,9.8,388546.0
2021-01-08,9.95,9.95,9.63,9.86,524939.0
2021-01-07,10.09,10.11,9.75,9.91,455261.0
2021-01-06,9.75,10.33,9.735,10.09,793161.0
2021-01-05,9.62,9.78,9.54,9.56,440674.0
2021-01-04,10.0,10.0,9.48,9.64,871417.0
2020-12-31,9.8,10.1,9.68,9.99,672730.0
