date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,7.61,7.64,7.48,7.64,645630.0
2021-03-12,7.55,7.635,7.45,7.61,735244.0
2021-03-11,7.17,7.72,7.11,7.68,1575340.0
2021-03-10,6.95,7.03,6.78,6.94,1292122.0
2021-03-09,6.9,6.96,6.61,6.89,1254030.0
2021-03-08,7.03,7.093,6.8,6.85,1660788.0
2021-03-05,6.67,7.19,6.6,7.19,2406832.0
2021-03-04,6.86,6.86,6.255,6.45,2633895.0
2021-03-03,7.03,7.255,6.9,6.99,1993521.0
2021-03-02,7.09,7.16,6.9,7.12,2236236.0
2021-03-01,7.32,7.37,6.88,7.09,1519004.0
2021-02-26,7.58,7.7,7.135,7.15,1900429.0
2021-02-25,8.29,8.36,7.6605,7.75,1886684.0
2021-02-24,7.91,8.35,7.79,8.33,1461805.0
2021-02-23,7.9,8.03,7.54,7.93,2648765.0
2021-02-22,8.25,8.3899,8.02,8.09,2686881.0
2021-02-19,7.6,8.285,7.59,8.09,2855546.0
2021-02-18,7.12,7.47,7.12,7.42,2070357.0
2021-02-17,7.08,7.17,6.9,7.1,854519.0
2021-02-16,6.87,7.25,6.87,7.07,1689300.0
2021-02-12,6.61,6.78,6.4804,6.75,847373.0
2021-02-11,6.75,6.85,6.57,6.62,751593.0
2021-02-10,6.58,6.92,6.58,6.68,1030193.0
2021-02-09,6.43,6.5,6.275,6.47,740595.0
2021-02-08,6.3,6.44,6.26,6.41,526607.0
2021-02-05,6.07,6.24,6.04,6.23,653410.0
2021-02-04,6.0,6.01,5.83,5.97,594841.0
2021-02-03,5.97,6.08,5.89,6.01,768115.0
2021-02-02,6.2,6.2,5.8,5.93,965183.0
2021-02-01,5.86,6.195,5.82,6.16,1276394.0
2021-01-29,6.0,6.04,5.66,5.69,1020437.0
2021-01-28,5.64,5.95,5.6,5.91,1924135.0
2021-01-27,5.77,5.78,5.4,5.58,1546320.0
2021-01-26,6.33,6.33,5.83,5.98,1626504.0
2021-01-25,6.75,6.75,6.15,6.23,1620297.0
2021-01-22,6.66,6.79,6.56,6.76,568342.0
2021-01-21,6.98,7.13,6.81,6.84,648762.0
2021-01-20,6.9,7.02,6.87,6.97,748443.0
2021-01-19,6.75,6.83,6.63,6.8,837519.0
2021-01-15,6.9,6.9,6.54,6.6,1143097.0
2021-01-14,6.82,7.13,6.8,7.07,915632.0
2021-01-13,6.99,6.99,6.74,6.74,1521805.0
2021-01-12,6.85,7.0,6.68,6.97,913833.0
2021-01-11,6.87,6.985,6.7156,6.84,1024879.0
2021-01-08,7.58,7.64,7.0,7.16,1409310.0
2021-01-07,7.66,7.66,7.23,7.57,1496796.0
2021-01-06,7.42,7.76,7.41,7.48,1537900.0
2021-01-05,7.35,7.565,7.25,7.53,1394512.0
2021-01-04,7.21,7.41,7.14,7.38,853009.0
2020-12-31,7.1,7.23,6.99,7.0,671246.0
2020-12-30,6.8,7.125,6.7908,7.09,844844.0
2020-12-29,6.67,6.83,6.56,6.75,976901.0
2020-12-28,6.85,6.9,6.59,6.59,525991.0
2020-12-24,6.83,6.85,6.71,6.76,315586.0
2020-12-23,6.62,6.855,6.62,6.82,932183.0
2020-12-22,6.82,6.85,6.565,6.61,834741.0
2020-12-21,6.6,6.835,6.55,6.82,1922091.0
2020-12-18,6.99,7.045,6.81,6.82,919386.0
2020-12-17,6.76,7.06,6.76,7.05,1014572.0
2020-12-16,6.73,6.79,6.46,6.66,923188.0
2020-12-15,6.43,6.61,6.43,6.59,560537.0
2020-12-14,6.63,6.64,6.35,6.35,907023.0
2020-12-11,6.62,6.68,6.44,6.53,1034019.0
2020-12-10,6.66,6.93,6.63,6.79,1161190.0
2020-12-09,6.91,7.01,6.54,6.57,1845039.0
2020-12-08,7.12,7.15,6.78,6.84,1654437.0
