date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,19.37,20.11,18.62,18.7,923474.0
2021-03-17,18.38,19.7,18.38,19.53,863316.0
2021-03-16,19.02,19.11,18.38,18.54,582056.0
2021-03-15,19.17,19.45,18.69,18.91,717195.0
2021-03-12,19.82,20.0,19.22,19.24,557017.0
2021-03-11,19.66,20.24,19.32,19.79,931145.0
2021-03-10,20.43,20.66,19.56,19.63,1141372.0
2021-03-09,20.55,20.63,19.95,20.36,489814.0
2021-03-08,20.16,20.64,19.81,20.43,565432.0
2021-03-05,20.01,20.23,19.08,20.21,547849.0
2021-03-04,20.3,20.47,19.24,19.47,789878.0
2021-03-03,19.53,20.98,19.53,20.31,608235.0
2021-03-02,19.41,19.77,19.25,19.47,383894.0
2021-03-01,19.69,20.02,19.16,19.48,988357.0
2021-02-26,19.89,20.17,19.15,19.17,1220685.0
2021-02-25,24.18,24.25,19.705,19.85,2779175.0
2021-02-24,25.56,25.79,24.87,25.63,1067362.0
2021-02-23,23.45,25.9,22.99,25.36,1889448.0
2021-02-22,22.47,24.1262,22.47,23.68,1181791.0
2021-02-19,21.98,22.76,21.54,22.73,955460.0
2021-02-18,21.81,22.31,21.6,21.78,364909.0
2021-02-17,22.27,22.66,21.95,22.03,386794.0
2021-02-16,22.12,22.5,21.75,22.2,564484.0
2021-02-12,21.24,22.26,20.85,21.91,525494.0
2021-02-11,21.47,21.87,21.0,21.44,1032427.0
2021-02-10,22.23,22.4,20.99,21.37,559887.0
2021-02-09,22.72,22.905,22.1,22.19,529502.0
2021-02-08,22.18,23.11,21.87,23.01,665400.0
2021-02-05,21.89,22.29,21.59,21.89,431886.0
2021-02-04,22.09,22.09,21.15,21.55,616142.0
2021-02-03,22.94,23.22,21.91,22.12,583333.0
2021-02-02,23.37,23.445,22.71,22.88,568287.0
2021-02-01,23.2,23.5,21.84,22.94,640571.0
2021-01-29,23.45,23.78,22.79,23.02,765916.0
2021-01-28,22.55,23.6,22.18,23.29,942303.0
2021-01-27,22.1,22.71,21.03,22.16,822990.0
2021-01-26,23.04,23.23,22.57,22.79,333535.0
2021-01-25,23.19,23.2,22.3,22.85,324591.0
2021-01-22,22.58,23.44,22.25,23.29,436702.0
2021-01-21,23.43,23.59,22.53,23.04,484285.0
2021-01-20,23.93,24.06,23.11,23.53,528762.0
2021-01-19,23.41,24.07,23.41,23.85,581217.0
2021-01-15,22.54,23.26,22.15,23.02,803804.0
2021-01-14,22.97,23.55,22.625,23.2,505196.0
2021-01-13,22.31,22.68,21.89,22.53,595749.0
2021-01-12,23.39,23.39,22.62,23.13,513202.0
2021-01-11,22.31,23.18,22.04,22.76,342523.0
2021-01-08,23.11,23.27,21.97,22.86,720437.0
2021-01-07,24.1,24.1,22.46,22.98,715226.0
2021-01-06,23.39,24.17,23.07,23.59,983877.0
2021-01-05,22.25,23.06,22.15,22.77,656828.0
