date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,26.8,26.8,26.8,26.8,0.0
2021-03-12,26.77,26.8,26.77,26.8,975.0
2021-03-11,26.71,26.8,26.6,26.8,4576.0
2021-03-10,26.7,26.7,26.5,26.5,1975.0
2021-03-09,26.69,26.7,26.69,26.7,676.0
2021-03-08,26.4223,26.69,26.215,26.68,15617.0
2021-03-05,26.4,26.4,26.3,26.4,4200.0
2021-03-04,26.4,26.5055,26.3,26.3,5754.0
2021-03-03,26.47,26.66,26.1,26.28,8092.0
2021-03-02,26.33,26.68,26.04,26.68,6551.0
2021-03-01,26.22,26.605,25.91,26.605,3380.0
2021-02-26,26.1,26.22,26.1,26.1013,655.0
2021-02-25,26.09,26.15,25.37,26.08,18260.0
2021-02-24,26.23,26.23,25.9,26.1065,12053.0
2021-02-23,26.28,26.5,26.0114,26.43,10265.0
2021-02-22,26.35,26.48,26.12,26.31,1908.0
2021-02-19,26.4,26.5,26.31,26.31,2455.0
2021-02-18,26.4,26.4,26.4,26.4,835.0
2021-02-17,26.51,26.51,26.4,26.4,1437.0
2021-02-16,26.52,26.52,26.4086,26.5,1696.0
2021-02-12,26.37,26.53,26.265,26.53,4761.0
2021-02-11,26.36,26.4,26.36,26.4,1250.0
2021-02-10,26.42,26.49,26.42,26.45,2934.0
2021-02-09,26.48,26.56,26.12,26.34,9423.0
2021-02-08,26.69,26.69,26.69,26.69,167.0
2021-02-05,26.57,26.59,26.57,26.59,641.0
2021-02-04,26.4,26.6,26.38,26.6,2014.0
2021-02-03,26.5,26.5,26.37,26.37,802.0
2021-02-02,26.46,26.68,26.46,26.57,1327.0
2021-02-01,26.57,26.71,26.46,26.46,1881.0
2021-01-29,26.65,26.6792,26.55,26.55,2789.0
2021-01-28,26.65,26.65,26.6,26.6,1656.0
2021-01-27,26.57,26.57,26.41,26.45,3162.0
2021-01-26,26.77,26.77,26.55,26.6763,2512.0
2021-01-25,26.71,26.71,26.71,26.71,112.0
2021-01-22,26.71,26.71,26.71,26.71,150.0
2021-01-21,26.78,26.88,26.66,26.66,1112.0
2021-01-20,27.0048,27.0048,26.53,26.53,8619.0
2021-01-19,27.14,27.14,27.14,27.14,0.0
2021-01-15,27.14,27.14,27.14,27.14,110.0
2021-01-14,26.83,27.42,26.83,27.14,2026.0
2021-01-13,26.77,27.07,26.77,26.96,1439.0
2021-01-12,26.68,26.68,26.68,26.68,119.0
2021-01-11,26.86,26.86,26.86,26.86,193.0
2021-01-08,26.58,26.9,26.58,26.9,2235.0
2021-01-07,26.6,26.6,26.6,26.6,484.0
2021-01-06,26.81,26.9237,26.7,26.7,1551.0
2021-01-05,26.765,26.765,26.765,26.765,100.0
2021-01-04,26.66,27.35,26.62,27.0,2727.0
2020-12-31,26.8,26.8,26.8,26.8,6.0
2020-12-30,26.75,26.8,26.6634,26.8,2028.0
2020-12-29,27.03,27.0878,26.76,26.76,3244.0
2020-12-28,26.82,27.18,26.722,26.722,2774.0
2020-12-24,26.8199,26.8199,26.8199,26.8199,700.0
2020-12-23,26.66,26.82,26.66,26.75,3116.0
2020-12-22,26.27,26.69,26.27,26.6556,3218.0
2020-12-21,26.35,26.78,26.35,26.74,1847.0
2020-12-18,26.65,26.655,26.65,26.65,910.0
2020-12-17,26.82,26.82,26.61,26.61,414.0
2020-12-16,26.72,26.9,26.62,26.82,3065.0
2020-12-15,26.89,26.89,26.89,26.89,550.0
2020-12-14,26.7,26.9,26.65,26.9,1400.0
2020-12-11,26.81,26.81,26.65,26.65,533.0
2020-12-10,26.85,27.23,26.5,26.99,16006.0
2020-12-09,27.09,27.09,27.09,27.09,0.0
2020-12-08,27.28,27.29,27.09,27.09,512.0
2020-12-07,27.18,27.28,26.985,27.28,11513.0
2020-12-04,26.9625,27.4,26.9625,27.02,3847.0
2020-12-03,26.89,27.0532,26.881,26.881,1075.0
2020-12-02,27.25,27.25,27.25,27.25,194.0
2020-12-01,27.24,27.25,27.24,27.25,653.0
2020-11-30,26.88,27.38,26.88,27.38,268.0
2020-11-27,26.88,26.88,26.88,26.88,1000.0
2020-11-25,27.02,27.02,27.02,27.02,0.0
2020-11-24,26.89,27.03,26.89,27.02,1055.0
2020-11-23,26.82,27.24,26.77,27.24,664.0
2020-11-20,27.26,27.3,27.26,27.3,391.0
2020-11-19,26.64,27.27,26.63,27.27,1905.0
2020-11-18,27.0,27.35,26.59,26.62,5773.0
2020-11-17,26.56,27.0,26.56,27.0,512.0
2020-11-16,27.1463,27.1463,26.6793,26.9999,3600.0
2020-11-13,27.0,27.0,27.0,27.0,675.0
2020-11-12,26.32,27.1129,26.22,26.5,8047.0
2020-11-11,26.49,26.685,26.39,26.52,1884.0
2020-11-10,26.23,27.15,26.11,26.11,17498.0
2020-11-09,26.47,26.875,26.16,26.54,3213.0
2020-11-06,26.79,26.79,26.09,26.5,1647.0
2020-11-05,26.91,26.91,26.24,26.24,525.0
2020-11-04,26.48,27.3,26.48,26.99,7527.0
2020-11-03,26.25,26.4,26.11,26.4,6206.0
2020-11-02,26.38,26.38,26.38,26.38,118.0
2020-10-30,26.0,26.07,25.9924,26.07,684.0
2020-10-29,25.91,25.9404,25.85,25.85,1280.0
2020-10-28,26.1,26.1,26.1,26.1,150.0
2020-10-27,26.02,26.02,26.02,26.02,186.0
2020-10-26,26.4,26.4,26.4,26.4,0.0
2020-10-23,26.4,26.4,26.4,26.4,400.0
2020-10-22,26.28,26.47,26.28,26.4,2412.0
2020-10-21,26.11,26.11,25.82,25.99,4564.0
2020-10-20,26.4,26.4,26.4,26.4,10.0
2020-10-19,26.28,26.4,26.28,26.4,1103.0
2020-10-16,26.48,26.5,26.0,26.2015,3195.0
2020-10-15,26.36,26.49,25.68,26.49,2050.0
2020-10-14,26.39,26.39,26.25,26.25,2600.0
2020-10-13,26.51,26.51,26.36,26.425,1939.0
2020-10-12,26.35,26.4968,26.35,26.4968,3448.0
2020-10-09,26.34,26.34,26.33,26.33,300.0
2020-10-08,26.23,26.5475,26.23,26.4,6812.0
2020-10-07,26.38,26.61,26.335,26.4,6240.0
2020-10-06,26.35,26.38,26.32,26.38,700.0
2020-10-05,26.38,26.38,26.38,26.38,90.0
2020-10-02,26.3,26.9455,26.3,26.38,5458.0
2020-10-01,26.6,26.6,26.6,26.6,200.0
2020-09-30,26.5,27.13,26.5,26.6,3007.0
2020-09-29,26.03,26.79,26.03,26.5,2180.0
2020-09-28,26.4,26.4,26.21,26.4,1978.0
2020-09-25,26.28,26.697,26.28,26.4,2308.0
2020-09-24,26.54,26.8,26.2,26.35,5495.0
2020-09-23,26.02,27.06,26.02,27.04,9007.0
2020-09-22,26.37,26.4,26.37,26.4,1225.0
2020-09-21,26.02,26.3,25.99,26.3,12526.0
2020-09-18,26.1,26.24,25.75,26.16,7478.0
2020-09-17,25.7,26.34,25.65,26.15,12736.0
2020-09-16,25.5,25.6775,25.3715,25.6775,4165.0
2020-09-15,25.4,25.6,25.32,25.6,585.0
2020-09-14,25.68,25.68,25.2911,25.2911,1080.0
2020-09-11,25.65,25.65,25.21,25.5002,1871.0
2020-09-10,25.5,25.65,25.4617,25.59,2645.0
2020-09-09,25.43,25.6,25.26,25.52,5956.0
2020-09-08,25.39,25.64,25.2587,25.64,3000.0
2020-09-04,25.5164,25.5164,25.07,25.5,3335.0
2020-09-03,25.52,25.52,25.14,25.3688,4810.0
2020-09-02,25.75,25.83,25.65,25.65,2767.0
2020-09-01,25.87,25.9506,25.47,25.5,2621.0
2020-08-31,25.8,25.8,25.6,25.6,290.0
2020-08-28,25.6,25.7641,25.56,25.73,1417.0
2020-08-27,25.66,26.15,25.57,25.74,2365.0
2020-08-26,26.12,26.12,25.64,25.66,15327.0
2020-08-25,26.2,26.2,26.015,26.11,2247.0
2020-08-24,26.2,26.2,26.119,26.119,1600.0
2020-08-21,26.0,26.0,25.69,25.69,1116.0
2020-08-20,25.86,26.2,25.85,26.2,4424.0
2020-08-19,25.85,25.85,25.83,25.83,1595.0
2020-08-18,25.7981,25.7981,25.59,25.6,798.0
2020-08-17,25.52,25.9601,25.52,25.9,6458.0
2020-08-14,25.761,25.761,25.75,25.75,3897.0
2020-08-13,25.65,25.75,25.63,25.75,759.0
2020-08-12,25.5,25.5,25.5,25.5,0.0
2020-08-11,25.5,25.5,25.5,25.5,40.0
2020-08-10,25.62,25.7755,25.31,25.5,1350.0
2020-08-07,25.67,25.97,25.18,25.97,3275.0
2020-08-06,25.56,25.7,25.56,25.6655,1804.0
2020-08-05,26.0,26.0,25.44,25.44,4600.0
2020-08-04,25.75,25.75,25.2,25.2,1461.0
2020-08-03,25.75,25.75,25.6247,25.75,3010.0
2020-07-31,25.75,25.75,25.75,25.75,1.0
2020-07-30,25.4,26.0,25.4,25.75,5704.0
2020-07-29,25.55,25.6,25.54,25.6,2455.0
2020-07-28,25.07,25.15,25.07,25.15,347.0
2020-07-27,25.09,25.45,25.09,25.45,5305.0
2020-07-24,25.11,25.2,25.11,25.2,1117.0
2020-07-23,25.0,25.15,24.9532,25.05,4635.0
2020-07-22,25.0,25.1,24.86,25.0,3575.0
2020-07-21,25.1,25.18,25.0,25.0,6950.0
2020-07-20,25.15,25.25,24.86,24.88,7599.0
2020-07-17,25.22,25.22,25.15,25.15,419.0
2020-07-16,25.2,25.27,25.02,25.2,1892.0
2020-07-15,25.2,25.2,25.2,25.2,868.0
2020-07-14,25.0,25.42,24.9,25.2,5443.0
2020-07-13,25.49,25.5,25.06,25.12,11075.0
2020-07-10,25.4,25.4,25.35,25.36,1500.0
2020-07-09,25.07,25.35,25.05,25.05,1357.0
2020-07-08,25.11,25.11,25.11,25.11,191.0
2020-07-07,25.01,25.35,25.01,25.34,1469.0
2020-07-06,25.0,25.0,25.0,25.0,0.0
2020-07-02,25.04,25.3,25.0,25.0,3554.0
2020-07-01,25.07,25.07,25.02,25.02,800.0
2020-06-30,25.1,25.1,25.05,25.05,502.0
2020-06-29,25.09,25.1,25.09,25.1,545.0
2020-06-26,25.02,25.02,25.02,25.02,59.0
2020-06-25,25.06,25.48,25.0,25.02,3361.0
2020-06-24,25.2,25.2,24.81,24.9,2155.0
2020-06-23,25.43,25.49,25.15,25.3,1800.0
2020-06-22,25.3,25.5,25.3,25.5,1780.0
2020-06-19,25.4,25.4,25.09,25.09,2200.0
2020-06-18,25.27,25.27,25.2,25.2,1272.0
2020-06-17,25.02,25.05,25.02,25.05,488.0
2020-06-16,25.37,25.44,25.1,25.24,1803.0
2020-06-15,25.5,25.5,25.0,25.17,3440.0
2020-06-12,25.17,25.19,25.17,25.19,1640.0
2020-06-11,25.5,25.5,25.5,25.5,0.0
