date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,19.78,20.06,19.63,19.72,349215.0
2021-03-12,19.5,19.7,19.32,19.66,254603.0
2021-03-11,19.38,19.49,19.05,19.4,250541.0
2021-03-10,18.46,19.27,18.44,19.25,255827.0
2021-03-09,18.91,19.03,18.6,18.63,259282.0
2021-03-08,18.72,18.96,18.38,18.94,340620.0
2021-03-05,18.6,18.7,18.0,18.52,288615.0
2021-03-04,18.04,18.45,17.69,18.18,388684.0
2021-03-03,18.11,18.59,17.94,17.99,407625.0
2021-03-02,17.6,18.19,17.37,18.11,698509.0
2021-03-01,17.38,18.14,17.38,17.68,786010.0
2021-02-26,17.25,17.25,16.4,17.23,1322073.0
2021-02-25,16.85,17.41,16.7,17.34,908653.0
2021-02-24,15.97,17.05,15.97,16.86,916082.0
2021-02-23,15.98,16.26,15.48,16.02,555819.0
2021-02-22,15.6,16.0,15.6,15.81,536382.0
2021-02-19,15.4,15.64,15.4,15.58,381078.0
2021-02-18,15.56,15.63,15.27,15.36,149894.0
2021-02-17,15.65,15.65,15.28,15.55,254102.0
2021-02-16,15.7,15.8,15.57,15.59,196072.0
2021-02-12,15.63,15.7,15.33,15.52,142716.0
2021-02-11,15.4,15.615,15.21,15.54,248558.0
2021-02-10,15.11,15.45,15.01,15.45,219210.0
2021-02-09,15.0,15.09,14.8,15.02,217752.0
2021-02-08,14.95,15.13,14.8205,15.07,336706.0
2021-02-05,14.66,14.8596,14.51,14.77,220713.0
2021-02-04,14.47,14.69,14.415,14.51,152978.0
2021-02-03,14.06,14.5967,14.06,14.47,182897.0
2021-02-02,14.33,14.4678,14.05,14.12,374106.0
2021-02-01,14.21,14.53,13.96,14.12,593789.0
2021-01-29,14.71,14.86,14.4512,14.56,247410.0
2021-01-28,14.93,15.0565,14.5,14.71,373152.0
2021-01-27,15.0,15.1553,14.78,14.9,483053.0
2021-01-26,15.37,15.4858,14.91,15.05,195545.0
2021-01-25,15.1,15.2999,14.9,15.17,169696.0
2021-01-22,14.5,15.13,14.45,15.12,282995.0
2021-01-21,15.32,15.32,14.65,14.71,466370.0
2021-01-20,15.38,15.42,15.1,15.18,443438.0
2021-01-19,15.37,15.3708,15.02,15.29,465649.0
2021-01-15,15.05,15.2165,14.6001,15.11,423014.0
2021-01-14,15.14,15.41,14.91,15.33,312055.0
2021-01-13,15.27,15.3976,15.0001,15.04,341167.0
2021-01-12,14.68,15.17,14.55,15.03,753869.0
2021-01-11,14.35,14.59,14.23,14.38,406746.0
2021-01-08,14.65,14.79,14.25,14.48,254970.0
2021-01-07,14.5,14.6975,14.28,14.55,186328.0
2021-01-06,14.49,14.59,14.04,14.34,337176.0
2021-01-05,13.76,14.64,13.75,14.26,318290.0
2021-01-04,14.38,14.38,13.71,13.73,421107.0
2020-12-31,13.55,14.27,13.46,14.2,369832.0
2020-12-30,13.65,13.76,13.47,13.58,260702.0
2020-12-29,13.65,13.88,13.315,13.57,446983.0
2020-12-28,14.03,14.03,13.44,13.71,412301.0
2020-12-24,13.8,14.11,13.59,14.04,270594.0
2020-12-23,14.01,14.22,13.82,13.88,390362.0
2020-12-22,14.0,14.27,13.91,14.01,295033.0
2020-12-21,13.98,14.25,13.74,14.08,337615.0
2020-12-18,13.94,14.27,13.79,14.24,1499280.0
2020-12-17,13.61,14.0,13.55,13.9,517564.0
2020-12-16,14.14,14.15,13.82,14.0,354493.0
2020-12-15,14.24,14.45,14.01,14.11,287952.0
2020-12-14,14.92,15.04,14.09,14.19,446330.0
2020-12-11,14.45,15.1,14.4,14.86,687477.0
2020-12-10,14.11,14.64,14.0415,14.59,496907.0
2020-12-09,14.66,14.8235,13.8282,14.1,895244.0
