date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,10.72,10.815,10.51,10.59,259137.0
2021-03-12,10.75,10.79,10.65,10.66,173663.0
2021-03-11,10.7,10.85,10.58,10.75,760196.0
2021-03-10,10.66,10.7,10.49,10.55,209643.0
2021-03-09,10.74,10.75,10.58,10.6,214626.0
2021-03-08,10.7,10.79,10.6,10.61,277338.0
2021-03-05,10.69,10.72,10.58,10.7,267348.0
2021-03-04,10.72,10.75,10.5,10.64,526011.0
2021-03-03,10.7,10.7,10.6,10.68,135468.0
2021-03-02,10.7,10.7,10.61,10.64,128697.0
2021-03-01,10.5,10.69,10.5,10.61,208647.0
2021-02-26,10.36,10.65,10.23,10.38,361502.0
2021-02-25,10.51,10.67,10.17,10.2,376134.0
2021-02-24,10.5,10.65,10.47,10.56,217529.0
2021-02-23,10.59,10.6333,10.37,10.44,291946.0
2021-02-22,10.65,10.72,10.62,10.65,156163.0
2021-02-19,10.7,10.79,10.62,10.65,141722.0
2021-02-18,10.73,10.7884,10.68,10.7,117627.0
2021-02-17,10.85,10.8999,10.79,10.82,222388.0
2021-02-16,10.89,10.9277,10.78,10.84,294672.0
2021-02-12,10.79,10.84,10.65,10.77,277946.0
2021-02-11,10.66,10.74,10.6399,10.68,250533.0
2021-02-10,10.58,10.67,10.5,10.61,156482.0
2021-02-09,10.47,10.62,10.42,10.53,279303.0
2021-02-08,10.43,10.48,10.395,10.47,205835.0
2021-02-05,10.26,10.4,10.2501,10.36,278587.0
2021-02-04,10.23,10.31,10.16,10.26,284717.0
2021-02-03,10.2,10.3467,10.2,10.27,123847.0
2021-02-02,10.23,10.35,10.16,10.21,205317.0
2021-02-01,10.26,10.3,10.2,10.25,274698.0
2021-01-29,10.2,10.26,10.16,10.26,204064.0
2021-01-28,10.12,10.234,10.0,10.11,229746.0
2021-01-27,10.2,10.26,10.12,10.12,262547.0
2021-01-26,10.27,10.3,10.21,10.21,100562.0
2021-01-25,10.31,10.31,10.15,10.23,203060.0
2021-01-22,10.18,10.25,10.1,10.25,201568.0
2021-01-21,10.2,10.215,10.16,10.2,174471.0
2021-01-20,10.26,10.34,10.26,10.26,295360.0
2021-01-19,10.25,10.33,10.2385,10.26,230486.0
