date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,7.4,7.54,7.4,7.48,113868.0
2021-03-12,7.33,7.526,7.33,7.4,93342.0
2021-03-11,7.51,7.5288,7.33,7.34,157562.0
2021-03-10,7.38,7.49,7.3,7.48,190082.0
2021-03-09,7.6,7.65,6.9801,7.35,553433.0
2021-03-08,7.46,7.6907,7.23,7.56,313364.0
2021-03-05,7.49,7.52,7.33,7.52,163064.0
2021-03-04,7.43,7.5,7.3,7.45,209954.0
2021-03-03,7.39,7.48,7.35,7.4,153813.0
2021-03-02,7.4,7.41,7.29,7.33,73862.0
2021-03-01,7.25,7.45,7.25,7.43,97450.0
2021-02-26,7.32,7.3999,7.14,7.23,319015.0
2021-02-25,7.51,7.5999,7.3,7.38,142814.0
2021-02-24,7.47,7.56,7.4105,7.49,150350.0
2021-02-23,7.35,7.42,7.26,7.42,67988.0
2021-02-22,7.24,7.49,7.24,7.34,231921.0
2021-02-19,7.31,7.43,7.2096,7.33,120684.0
2021-02-18,7.19,7.3693,7.18,7.31,158608.0
2021-02-17,7.26,7.4,7.2016,7.34,228720.0
2021-02-16,7.1,7.28,7.0989,7.25,144678.0
2021-02-12,7.04,7.1263,7.02,7.1,106942.0
2021-02-11,7.03,7.13,6.98,7.04,111453.0
2021-02-10,6.93,7.07,6.89,7.02,228462.0
2021-02-09,6.85,6.95,6.82,6.93,161957.0
2021-02-08,6.81,6.8899,6.76,6.84,231830.0
2021-02-05,6.82,6.86,6.79,6.8,84152.0
2021-02-04,6.79,6.8585,6.7,6.76,119574.0
2021-02-03,6.79,6.88,6.69,6.78,154948.0
2021-02-02,6.8,6.84,6.74,6.8,85562.0
2021-02-01,6.74,6.86,6.68,6.75,416197.0
2021-01-29,6.79,6.85,6.61,6.75,159465.0
2021-01-28,6.67,6.78,6.62,6.73,81474.0
2021-01-27,6.74,6.79,6.65,6.65,77857.0
2021-01-26,6.75,6.82,6.6,6.74,183532.0
2021-01-25,6.63,6.82,6.6201,6.74,182686.0
2021-01-22,6.73,6.87,6.69,6.83,164594.0
2021-01-21,6.76,6.92,6.68,6.81,296750.0
2021-01-20,6.81,6.93,6.77,6.79,252655.0
2021-01-19,6.75,6.87,6.71,6.8,197259.0
2021-01-15,6.71,6.75,6.65,6.71,99509.0
2021-01-14,6.61,6.76,6.6,6.73,201054.0
2021-01-13,6.65,6.7,6.58,6.61,175604.0
2021-01-12,6.64,6.76,6.57,6.65,175496.0
2021-01-11,6.46,6.685,6.41,6.57,281520.0
2021-01-08,6.54,6.7225,6.53,6.6,181919.0
2021-01-07,6.52,6.575,6.47,6.54,110807.0
2021-01-06,6.4,6.54,6.4,6.47,147102.0
2021-01-05,6.42,6.56,6.41,6.44,161821.0
2021-01-04,6.55,6.57,6.42,6.45,96741.0
2020-12-31,6.57,6.57,6.4,6.53,204518.0
2020-12-30,6.48,6.6199,6.41,6.52,156583.0
2020-12-29,6.62,6.62,6.41,6.57,158759.0
2020-12-28,6.53,6.63,6.49,6.55,291148.0
2020-12-24,6.5175,6.59,6.43,6.55,49365.0
2020-12-23,6.41,6.54,6.37,6.47,182841.0
2020-12-22,6.43,6.43,6.21,6.37,191965.0
2020-12-21,6.33,6.62,6.235,6.42,351855.0
2020-12-18,6.72,6.8027,6.7139,6.79,199716.0
2020-12-17,6.69,6.8,6.69,6.74,229618.0
2020-12-16,6.63,6.77,6.6057,6.68,243962.0
2020-12-15,6.52,6.88,6.52,6.75,162733.0
2020-12-14,6.65,6.7199,6.53,6.54,163025.0
2020-12-11,6.64,6.67,6.47,6.6,159525.0
2020-12-10,6.5,6.6,6.48,6.55,124711.0
2020-12-09,6.51,6.6,6.34,6.51,194546.0
2020-12-08,6.45,6.6,6.31,6.5,142886.0
2020-12-07,6.45,6.58,6.3,6.45,363828.0
2020-12-04,6.45,6.55,6.4,6.47,145027.0
2020-12-03,6.25,6.48,6.22,6.37,210963.0
2020-12-02,6.14,6.3,6.1,6.23,183657.0
2020-12-01,5.94,6.19,5.94,6.14,132354.0
2020-11-30,6.1,6.1,5.94,6.01,169217.0
2020-11-27,6.0,6.1,5.91,6.1,105342.0
2020-11-25,5.94,6.0,5.87,5.99,104105.0
2020-11-24,5.84,5.95,5.8,5.89,222597.0
2020-11-23,5.77,5.86,5.68,5.79,194788.0
2020-11-20,5.69,5.87,5.63,5.7,186382.0
2020-11-19,5.63,5.8,5.605,5.77,251589.0
2020-11-18,5.67,5.8,5.65,5.67,243501.0
2020-11-17,5.55,5.7,5.46,5.63,321839.0
2020-11-16,5.45,5.5903,5.3801,5.57,191387.0
2020-11-13,5.24,5.36,5.231,5.36,117580.0
2020-11-12,5.22,5.2955,5.21,5.23,151655.0
2020-11-11,5.21,5.33,5.21,5.27,170218.0
2020-11-10,5.13,5.28,5.13,5.19,83710.0
2020-11-09,5.11,5.25,5.09,5.1,253830.0
2020-11-06,5.11,5.19,5.04,5.04,129282.0
2020-11-05,5.07,5.28,5.05,5.12,138626.0
2020-11-04,5.03,5.13,5.03,5.06,66306.0
2020-11-03,5.05,5.1399,4.9545,5.03,167546.0
2020-11-02,4.99,5.1199,4.99,5.05,144454.0
2020-10-30,5.24,5.24,4.85,5.07,192991.0
2020-10-29,5.4183,5.4183,5.11,5.19,165163.0
2020-10-28,5.55,5.56,5.3,5.32,81553.0
2020-10-27,5.75,5.75,5.49,5.51,140806.0
2020-10-26,5.76,5.83,5.72,5.74,44554.0
2020-10-23,5.82,5.94,5.82,5.85,143060.0
2020-10-22,5.93,5.95,5.84,5.94,214577.0
2020-10-21,5.97,6.0,5.96,5.96,57969.0
2020-10-20,5.96,6.0,5.94,5.97,105574.0
