date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,68.15,68.3199,67.27,68.22,262341.0
2021-03-12,68.1,69.19,67.94,68.27,334525.0
2021-03-11,67.26,68.38,67.09,68.1,244288.0
2021-03-10,68.06,68.37,67.01,67.32,329990.0
2021-03-09,67.6,69.03,67.6,67.64,650553.0
2021-03-08,65.51,67.83,65.19,67.36,396215.0
2021-03-05,65.83,66.21,64.26,65.13,746030.0
2021-03-04,64.84,66.12,64.55,65.29,637878.0
2021-03-03,64.45,66.08,64.27,64.97,437371.0
2021-03-02,65.27,65.27,64.28,64.42,359665.0
2021-03-01,63.5,65.36,63.5,65.08,456835.0
2021-02-26,64.22,64.555,63.3817,63.56,379771.0
2021-02-25,64.47,65.32,64.03,64.07,441591.0
2021-02-24,66.03,66.12,64.46,64.89,598040.0
2021-02-23,65.15,66.0,64.84,65.88,594060.0
2021-02-22,64.79,66.37,64.4701,65.56,621030.0
2021-02-19,66.41,66.985,65.14,65.26,524022.0
2021-02-18,66.23,67.12,65.995,66.37,378820.0
2021-02-17,67.13,67.505,66.33,66.55,412077.0
2021-02-16,67.35,67.95,67.0501,67.66,277748.0
2021-02-12,67.0,67.59,66.32,67.25,347251.0
2021-02-11,66.23,67.09,65.16,66.85,554628.0
2021-02-10,66.78,67.1,66.11,66.15,426497.0
2021-02-09,68.13,68.225,65.5,66.37,363074.0
2021-02-08,66.33,68.12,66.02,68.12,409342.0
2021-02-05,65.89,66.29,65.37,66.22,334302.0
2021-02-04,66.12,66.4,64.99,65.43,388820.0
2021-02-03,66.44,67.68,65.82,66.2,550390.0
2021-02-02,67.37,67.52,65.14,66.55,535331.0
2021-02-01,65.37,67.07,64.65,66.83,513826.0
2021-01-29,70.85,71.51,64.215,64.85,787507.0
2021-01-28,67.26,68.6,66.0745,67.72,540458.0
2021-01-27,68.6,69.39,67.04,67.36,410502.0
2021-01-26,70.96,70.96,68.9,69.64,258522.0
2021-01-25,70.3,71.265,69.83,70.83,221879.0
2021-01-22,70.45,70.99,69.67,70.29,268481.0
2021-01-21,71.0,71.645,70.28,70.71,207171.0
2021-01-20,71.91,72.4,70.35,71.21,195637.0
2021-01-19,70.43,71.71,70.0,71.69,310583.0
2021-01-15,70.78,71.17,69.8,70.09,334411.0
2021-01-14,72.82,73.26,71.13,71.17,354392.0
2021-01-13,72.18,72.48,71.685,72.24,271433.0
2021-01-12,71.92,72.65,71.7,72.16,278533.0
2021-01-11,70.95,72.055,70.82,71.52,285980.0
2021-01-08,71.0,71.38,70.3944,71.15,375009.0
2021-01-07,69.1,70.81,69.1,70.77,292213.0
2021-01-06,66.88,68.98,66.88,68.69,415797.0
2021-01-05,66.36,67.68,66.36,66.59,278010.0
2021-01-04,67.81,68.415,66.31,66.89,241823.0
2020-12-31,66.37,67.58,66.02,67.23,282284.0
2020-12-30,66.89,67.4017,66.44,66.46,186740.0
2020-12-29,68.25,68.25,66.55,66.89,198638.0
2020-12-28,67.45,68.3346,66.83,67.89,214355.0
2020-12-24,68.39,68.63,66.865,67.15,221419.0
2020-12-23,68.14,68.79,67.62,68.02,628681.0
2020-12-22,68.33,68.79,67.56,67.93,378237.0
2020-12-21,67.63,68.54,66.66,68.5,255748.0
2020-12-18,68.7,68.725,67.59,68.11,762036.0
2020-12-17,68.51,69.07,68.1,68.51,275520.0
2020-12-16,68.39,68.97,67.8548,68.26,306337.0
2020-12-15,68.65,69.08,67.95,68.18,324068.0
2020-12-14,69.97,71.0,68.16,68.19,385151.0
2020-12-11,69.63,70.66,69.445,70.1,336422.0
2020-12-10,69.09,69.96,68.945,69.87,208555.0
2020-12-09,69.59,69.97,68.88,69.45,275064.0
2020-12-08,68.18,70.0,68.18,69.32,361065.0
2020-12-07,66.93,68.59,66.77,68.51,429846.0
2020-12-04,66.14,67.2,66.085,66.87,240684.0
2020-12-03,64.85,65.9,64.7,65.72,320259.0
2020-12-02,65.92,66.46,64.62,64.89,293997.0
2020-12-01,65.16,65.94,64.38,65.92,341406.0
2020-11-30,64.62,65.21,64.29,64.78,363379.0
2020-11-27,65.01,65.21,64.56,65.0,120303.0
2020-11-25,64.25,65.2,64.025,65.0,527687.0
2020-11-24,62.76,64.19,62.62,64.01,320700.0
2020-11-23,62.08,62.67,61.82,62.32,323092.0
2020-11-20,62.77,62.88,61.54,61.98,419462.0
2020-11-19,62.92,63.21,62.49,63.02,155100.0
2020-11-18,64.03,64.7,63.19,63.2,197501.0
2020-11-17,64.21,64.27,63.21,64.03,348153.0
2020-11-16,65.8,66.36,63.635,64.44,366725.0
2020-11-13,65.17,65.6,64.56,65.04,224172.0
2020-11-12,64.66,64.91,63.91,64.67,242127.0
2020-11-11,65.3,65.53,64.0,64.82,292710.0
2020-11-10,63.1,65.0,62.71,64.94,346258.0
2020-11-09,65.0,65.35,63.06,63.07,348883.0
2020-11-06,65.4,65.4,63.72,63.87,252611.0
2020-11-05,64.0,65.14,63.47,64.85,376841.0
2020-11-04,62.32,63.93,61.81,63.86,362927.0
2020-11-03,62.3,62.925,61.33,61.95,377162.0
2020-11-02,63.0,63.0,61.19,61.48,310746.0
2020-10-30,63.6,64.34,62.14,62.7,451336.0
2020-10-29,62.73,63.7,61.89,63.08,447604.0
2020-10-28,63.85,63.97,62.48,62.95,619382.0
2020-10-27,63.02,65.2525,63.01,64.71,387161.0
2020-10-26,62.78,63.2,62.07,62.66,252609.0
2020-10-23,63.71,63.89,62.7,63.44,254059.0
2020-10-22,63.2,63.805,63.01,63.25,248978.0
2020-10-21,63.76,64.41,63.05,63.24,206381.0
2020-10-20,63.37,63.95,63.14,63.32,222459.0
2020-10-19,64.79,64.94,63.11,63.21,248501.0
2020-10-16,64.24,64.63,63.99,64.35,207727.0
2020-10-15,63.29,64.45,63.1,64.26,217933.0
2020-10-14,64.19,64.825,63.74,63.75,221972.0
2020-10-13,63.85,64.51,63.6,64.09,255741.0
2020-10-12,63.89,64.55,63.63,63.96,309198.0
2020-10-09,62.72,63.84,62.43,63.49,355928.0
2020-10-08,61.67,62.85,61.23,62.26,334514.0
2020-10-07,61.52,61.95,60.495,61.42,479804.0
2020-10-06,60.93,62.04,60.28,60.75,527108.0
2020-10-05,59.89,60.43,59.62,60.39,310802.0
2020-10-02,58.0,59.58,57.82,59.43,279174.0
2020-10-01,59.3,59.46,58.61,59.42,277124.0
2020-09-30,58.11,59.28,58.02,59.05,362378.0
2020-09-29,57.16,58.215,56.89,58.04,311443.0
2020-09-28,56.65,57.33,56.2561,57.06,367927.0
2020-09-25,55.71,56.26,55.25,56.2,361829.0
2020-09-24,56.29,56.83,55.905,56.18,288457.0
2020-09-23,56.93,57.54,56.07,56.08,471626.0
2020-09-22,56.68,57.21,56.48,57.07,367636.0
2020-09-21,57.44,58.145,56.18,56.61,461898.0
2020-09-18,59.23,59.48,57.65,58.04,1392064.0
2020-09-17,58.6,59.14,58.37,58.88,261118.0
2020-09-16,58.87,59.73,58.74,58.99,439500.0
2020-09-15,59.17,59.17,58.4,58.55,288319.0
2020-09-14,57.82,59.22,57.61,58.82,320013.0
2020-09-11,58.21,58.45,57.27,57.45,340568.0
2020-09-10,59.32,59.36,57.87,57.89,273105.0
2020-09-09,58.46,59.54,58.3,59.35,316211.0
2020-09-08,58.42,58.42,57.675,57.97,312074.0
2020-09-04,59.39,59.47,58.42,58.88,294380.0
2020-09-03,60.03,60.3,58.54,58.89,277031.0
2020-09-02,59.31,60.37,59.26,60.0,327831.0
2020-09-01,57.97,59.17,57.87,59.16,308355.0
2020-08-31,59.22,59.38,58.59,58.6,479957.0
2020-08-28,59.79,59.88,59.0403,59.46,194330.0
2020-08-27,59.89,60.55,59.38,59.47,251710.0
2020-08-26,60.48,60.7,59.59,59.73,368105.0
2020-08-25,59.22,60.6,58.92,60.34,426022.0
2020-08-24,58.87,59.28,58.325,59.06,300457.0
2020-08-21,58.11,58.83,57.54,58.69,253110.0
2020-08-20,57.81,58.95,57.81,58.42,324428.0
2020-08-19,58.36,58.63,58.05,58.25,287790.0
2020-08-18,57.9,58.45,57.53,58.11,321282.0
2020-08-17,57.38,58.26,57.378,57.9,310326.0
2020-08-14,56.8,57.85,56.8,57.35,203973.0
2020-08-13,56.98,57.32,56.6,56.92,232110.0
2020-08-12,57.23,58.09,57.08,57.23,289883.0
2020-08-11,57.06,57.86,56.85,56.98,275078.0
2020-08-10,57.32,57.48,56.65,56.72,296557.0
2020-08-07,57.04,57.165,56.4,57.0,234567.0
2020-08-06,57.3,57.91,56.905,57.24,320359.0
2020-08-05,56.04,57.32,55.92,57.3,339819.0
2020-08-04,55.96,55.96,55.11,55.43,327610.0
2020-08-03,55.02,56.09,54.25,56.05,353701.0
2020-07-31,54.55,55.25,54.12,54.8,657520.0
2020-07-30,54.59,55.19,53.98,54.55,436471.0
2020-07-29,56.29,56.29,53.09,55.16,2723883.0
2020-07-28,56.08,56.6,55.61,56.07,921621.0
2020-07-27,56.12,56.25,55.54,56.03,486540.0
2020-07-24,56.59,56.75,56.0,56.23,232934.0
2020-07-23,56.12,56.85,55.96,56.41,359687.0
2020-07-22,57.04,57.225,56.01,56.17,355948.0
2020-07-21,57.24,57.44,56.6,57.15,412338.0
2020-07-20,57.11,57.17,56.41,57.04,215698.0
2020-07-17,57.14,58.24,57.06,57.16,388160.0
2020-07-16,56.48,57.39,56.15,56.84,292840.0
2020-07-15,56.1,56.92,55.45,56.69,434611.0
2020-07-14,54.82,55.72,54.6,55.26,394682.0
2020-07-13,55.18,55.65,54.5,54.72,437898.0
2020-07-10,54.0,54.96,52.84,54.89,447412.0
2020-07-09,56.2,56.25,54.96,55.33,318295.0
2020-07-08,55.88,56.8,55.71,56.23,232318.0
2020-07-07,56.94,57.62,55.47,55.73,593006.0
2020-07-06,57.08,58.17,56.93,57.52,480278.0
2020-07-02,56.39,56.99,56.19,56.58,409011.0
2020-07-01,55.8,56.06,55.24,55.91,505711.0
2020-06-30,53.91,55.83,53.61,55.64,775492.0
2020-06-29,53.88,54.81,53.46,53.98,499586.0
2020-06-26,55.33,55.5,53.08,53.41,1033761.0
2020-06-25,56.27,56.27,54.87,55.66,491415.0
2020-06-24,57.16,57.45,56.14,56.17,347833.0
2020-06-23,57.92,58.17,56.96,57.32,450805.0
2020-06-22,57.3,57.96,57.14,57.39,369247.0
2020-06-19,57.3,58.66,57.175,57.57,750328.0
2020-06-18,60.01,60.11,58.87,58.99,332517.0
2020-06-17,58.47,60.74,58.42,60.3,720586.0
2020-06-16,58.97,59.18,57.09,58.39,435906.0
2020-06-15,56.24,58.215,55.73,57.82,367769.0
2020-06-12,58.14,58.14,56.21,57.26,473323.0
2020-06-11,59.21,59.51,56.86,57.01,554413.0
2020-06-10,60.82,61.15,60.19,60.26,319494.0
2020-06-09,60.42,61.105,60.23,60.6,349271.0
2020-06-08,60.36,61.32,59.96,60.9,673611.0
2020-06-05,60.73,61.34,59.4,60.13,386940.0
2020-06-04,59.4,60.2,59.15,60.15,253540.0
2020-06-03,60.59,61.03,59.9,59.95,394216.0
2020-06-02,60.2,60.6,59.68,60.41,346617.0
2020-06-01,60.4,60.64,59.73,60.22,409152.0
2020-05-29,59.62,60.6,59.02,60.48,635679.0
2020-05-28,61.2,61.85,59.43,59.73,529449.0
2020-05-27,59.72,60.75,58.96,60.51,941140.0
2020-05-26,60.82,61.58,58.73,58.97,626694.0
2020-05-22,59.32,60.21,58.915,59.83,519929.0
2020-05-21,59.43,60.44,58.79,59.18,776252.0
2020-05-20,61.27,62.57,59.23,59.43,1048820.0
2020-05-19,61.64,62.81,60.01,60.03,1945837.0
2020-05-18,63.0,64.84,62.99,64.39,461421.0
2020-05-15,61.0,62.14,60.55,62.03,323033.0
2020-05-14,60.28,60.75,58.09,60.66,491379.0
2020-05-13,59.55,61.3,58.66,60.97,555579.0
2020-05-12,62.41,63.15,59.72,59.81,519589.0
2020-05-11,60.91,63.52,60.63,62.27,406403.0
2020-05-08,60.61,61.765,60.01,61.33,311718.0
2020-05-07,58.9,60.227,58.9,59.77,389393.0
2020-05-06,58.83,59.17,58.07,58.55,284747.0
2020-05-05,58.73,59.04,58.15,58.5,383052.0
2020-05-04,57.41,58.49,56.42,58.2,261764.0
2020-05-01,58.3,58.752,56.83,57.55,324494.0
2020-04-30,58.28,59.86,57.54,59.38,338786.0
2020-04-29,59.22,60.57,57.59,59.09,373395.0
2020-04-28,57.48,58.51,56.71,58.05,286768.0
2020-04-27,55.26,57.17,54.847,56.53,264067.0
2020-04-24,56.33,56.33,54.74,54.82,250328.0
2020-04-23,58.18,58.42,54.33,55.68,561973.0
2020-04-22,57.97,62.24,57.77,58.43,669127.0
2020-04-21,55.97,57.1,54.7,56.84,334797.0
2020-04-20,56.29,57.21,55.79,56.41,215699.0
2020-04-17,56.67,57.45,56.03,56.86,386305.0
2020-04-16,55.46,55.92,54.33,55.73,304177.0
2020-04-15,55.64,56.48,54.97,55.56,264600.0
2020-04-14,57.21,57.36,55.4,56.49,367091.0
2020-04-13,56.21,56.57,55.68,56.13,336644.0
2020-04-09,56.25,56.505,55.19,56.21,408210.0
2020-04-08,56.45,56.87,55.2,55.95,388915.0
2020-04-07,58.27,58.55,55.68,55.89,621508.0
2020-04-06,58.66,59.91,56.7,57.64,781059.0
2020-04-03,55.66,58.15,54.935,58.06,710445.0
2020-04-02,53.68,55.98,53.08,55.84,567033.0
2020-04-01,50.75,53.95,49.76,53.68,654785.0
2020-03-31,47.92,53.17,47.44,52.12,1100675.0
2020-03-30,47.08,48.22,46.61,47.98,652058.0
2020-03-27,46.75,48.52,46.09,46.33,589489.0
2020-03-26,46.13,48.23,45.87,47.49,693656.0
2020-03-25,47.05,48.76,45.44,45.87,676601.0
