date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,19.4,19.46,19.3,19.46,75359.0
2021-03-12,19.37,19.37,19.19,19.27,65791.0
2021-03-11,19.34,19.4,19.32,19.37,65084.0
2021-03-10,19.26,19.34,19.26,19.32,44257.0
2021-03-09,19.25,19.3702,19.25,19.33,41485.0
2021-03-08,19.2,19.25,19.07,19.16,64034.0
2021-03-05,19.12,19.18,18.9553,19.15,56947.0
2021-03-04,19.14,19.23,19.01,19.07,67107.0
2021-03-03,19.1,19.18,19.01,19.09,50797.0
2021-03-02,19.07,19.2151,19.05,19.1,63732.0
2021-03-01,19.0,19.26,19.0,19.05,86533.0
2021-02-26,18.9,19.08,18.8,18.97,64467.0
2021-02-25,19.17,19.17,18.79,18.84,85184.0
2021-02-24,19.04,19.1,19.0,19.1,58072.0
2021-02-23,19.1,19.1,18.94,19.08,82315.0
2021-02-22,19.2,19.2,19.11,19.13,83485.0
2021-02-19,19.17,19.32,19.13,19.25,75387.0
2021-02-18,19.18,19.26,19.0711,19.22,70623.0
2021-02-17,19.18,19.2,19.12,19.18,36721.0
2021-02-16,19.23,19.2686,19.17,19.23,120253.0
2021-02-12,19.25,19.264,19.2001,19.23,49355.0
2021-02-11,19.29,19.36,19.21,19.27,61070.0
2021-02-10,19.45,19.45,19.27,19.29,64486.0
2021-02-09,19.38,19.55,19.38,19.52,65016.0
2021-02-08,19.33,19.48,19.3099,19.48,132023.0
2021-02-05,19.11,19.3299,19.11,19.28,129663.0
2021-02-04,18.94,19.13,18.922,19.09,250710.0
2021-02-03,18.82,18.92,18.819,18.92,71168.0
2021-02-02,18.7,18.87,18.7,18.78,72597.0
2021-02-01,18.56,18.7,18.56,18.67,71742.0
2021-01-29,18.48,18.6,18.4,18.55,115337.0
2021-01-28,18.57,18.73,18.54,18.61,86372.0
2021-01-27,18.65,18.69,18.46,18.57,244746.0
2021-01-26,18.82,18.849,18.7,18.72,98062.0
2021-01-25,18.86,18.89,18.75,18.81,117465.0
2021-01-22,18.83,18.92,18.8,18.82,100295.0
2021-01-21,18.81,18.95,18.74,18.88,155644.0
2021-01-20,18.74,18.9,18.71,18.85,98989.0
2021-01-19,18.63,18.75,18.63,18.7,130281.0
2021-01-15,18.61,18.73,18.5,18.58,116167.0
2021-01-14,18.74,18.78,18.55,18.6,161267.0
2021-01-13,18.4,18.71,18.39,18.64,178425.0
2021-01-12,18.51,18.56,18.31,18.39,322694.0
2021-01-11,18.71,18.85,18.52,18.66,606440.0
2021-01-08,19.15,19.22,19.08,19.13,101784.0
2021-01-07,19.42,19.4382,19.18,19.18,74028.0
