date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,7.58,7.72,6.7441,7.32,505145.0
2021-03-12,8.1,8.45,7.9,8.08,248948.0
2021-03-11,7.79,8.14,7.55,8.05,260072.0
2021-03-10,8.36,8.4781,7.68,7.82,383330.0
2021-03-09,9.01,9.1,8.35,8.35,279364.0
2021-03-08,9.5,9.6571,8.5,9.13,231264.0
2021-03-05,7.8,9.26,7.6337,9.19,458196.0
2021-03-04,8.85,8.99,7.12,7.57,587377.0
2021-03-03,9.8,9.82,8.93,9.12,437434.0
2021-03-02,10.48,10.48,9.8,9.86,167513.0
2021-03-01,11.05,11.0702,9.96,10.09,381363.0
2021-02-26,9.95,10.37,9.6001,10.08,174904.0
2021-02-25,10.71,10.71,10.02,10.16,195210.0
2021-02-24,10.93,11.1176,10.57,10.75,145119.0
2021-02-23,11.25,11.25,9.5501,10.57,180746.0
2021-02-22,11.16,11.75,11.11,11.25,289250.0
2021-02-19,10.94,11.23,10.93,11.04,247986.0
2021-02-18,11.73,11.73,10.66,11.28,251529.0
2021-02-17,12.05,12.2199,11.3023,11.58,293931.0
2021-02-16,11.52,12.55,11.15,11.83,592034.0
2021-02-12,11.61,11.65,11.03,11.19,212374.0
2021-02-11,11.8,12.21,11.05,11.7,271150.0
2021-02-10,13.0,14.0,11.5,11.72,773070.0
2021-02-09,11.12,13.8499,10.75,12.8,1151397.0
2021-02-08,11.39,11.5,10.92,11.06,294917.0
2021-02-05,11.22,11.3397,10.67,11.12,221202.0
2021-02-04,11.22,11.4,10.7,11.02,155358.0
2021-02-03,10.88,11.5,10.76,11.2,287805.0
2021-02-02,10.96,11.05,10.64,10.81,147998.0
2021-02-01,11.19,11.19,10.4527,10.67,156813.0
2021-01-29,10.9,11.49,10.2736,10.88,329043.0
2021-01-28,10.64,11.74,9.8,11.18,855911.0
2021-01-27,9.35,11.5,9.1,9.96,657052.0
2021-01-26,9.61,9.9,9.26,9.37,136514.0
2021-01-25,9.89,10.08,9.51,9.71,291195.0
2021-01-22,9.76,10.09,9.6481,9.96,198561.0
2021-01-21,10.16,10.33,9.71,10.12,296236.0
2021-01-20,10.54,10.57,9.75,10.33,201282.0
2021-01-19,10.71,11.01,10.3135,10.51,271737.0
2021-01-15,10.81,10.81,10.12,10.61,224784.0
2021-01-14,10.53,10.9,10.29,10.71,335962.0
2021-01-13,11.2,11.4,9.92,10.5,427888.0
2021-01-12,9.8,11.0,9.7564,10.72,505159.0
2021-01-11,9.57,9.85,9.42,9.66,207167.0
2021-01-08,9.75,9.9,9.3529,9.59,218029.0
2021-01-07,9.74,10.1896,9.66,9.75,275800.0
2021-01-06,9.9,10.13,9.37,9.6,294040.0
2021-01-05,9.42,10.4,9.298,9.78,355740.0
2021-01-04,9.21,9.58,9.21,9.39,255321.0
2020-12-31,9.95,10.0,9.0,9.16,441029.0
2020-12-30,9.9,10.15,9.62,9.86,310814.0
2020-12-29,10.55,10.55,9.6801,9.9,359436.0
2020-12-28,10.85,10.9839,10.02,10.4,538919.0
2020-12-24,11.2,11.2792,10.09,10.81,400286.0
2020-12-23,10.03,11.5,10.03,10.78,384217.0
2020-12-22,10.61,10.6848,9.94,9.95,306015.0
2020-12-21,10.73,11.1299,10.5001,10.81,216531.0
2020-12-18,11.35,11.64,10.51,11.11,275631.0
2020-12-17,12.17,12.22,11.13,11.67,244745.0
2020-12-16,11.46,12.5335,11.0,11.98,242025.0
2020-12-15,11.29,11.65,10.51,11.27,267238.0
2020-12-14,12.54,12.8,10.66,11.43,392694.0
2020-12-11,13.28,13.34,12.01,12.1,345187.0
2020-12-10,12.57,13.79,12.42,13.0,542974.0
2020-12-09,14.69,15.5,11.37,12.36,1157836.0
2020-12-08,12.77,14.93,12.7468,13.97,1000884.0
2020-12-07,11.25,13.31,11.0,12.77,975170.0
2020-12-04,10.72,11.6661,10.6355,10.97,743382.0
2020-12-03,10.24,10.99,10.19,10.49,348531.0
2020-12-02,10.17,11.09,9.6,10.0,524350.0
2020-12-01,10.57,10.7084,9.56,10.1,371487.0
2020-11-30,11.01,11.7,10.17,10.28,514118.0
2020-11-27,10.03,11.7,10.0,10.94,924156.0
2020-11-25,8.4,10.76,8.12,9.91,1804475.0
2020-11-24,9.72,9.76,7.73,8.45,1321072.0
2020-11-23,12.0035,12.46,9.6001,9.76,1699976.0
2020-11-20,11.27,14.5,10.75,11.67,4253530.0
2020-11-19,7.585,14.7,7.585,11.33,13916224.0
2020-11-18,6.0,7.85,5.8,6.86,2223858.0
2020-11-17,6.24,6.5,5.6,6.09,1528313.0
2020-11-16,6.28,7.5,4.9,6.98,17667389.0
2020-11-13,3.21,3.99,3.1,3.76,1290597.0
2020-11-12,3.01,3.15,2.98,3.05,181007.0
2020-11-11,3.2,3.2,2.8,3.07,467238.0
2020-11-10,3.41,3.59,3.15,3.18,422414.0
2020-11-09,3.32,4.04,3.29,3.48,1059452.0
2020-11-06,5.89,5.98,5.4,5.47,93365.0
2020-11-05,5.85,6.32,5.85,5.98,114560.0
2020-11-04,5.86,6.4,5.5941,6.24,89348.0
2020-11-03,6.03,6.16,5.54,5.86,104904.0
2020-11-02,5.47,5.8574,5.05,5.8,127293.0
2020-10-30,6.3,6.49,4.87,5.52,193286.0
2020-10-29,0.142,0.1447,0.13,0.1345,3788265.0
2020-10-28,0.1497,0.1497,0.133,0.1339,3094351.0
2020-10-27,0.13,0.1462,0.1299,0.1403,2450432.0
2020-10-26,0.15,0.1559,0.1351,0.1448,3847301.0
2020-10-23,0.16,0.161,0.1451,0.1502,5036373.0
2020-10-22,0.1375,0.17,0.1375,0.1582,13960105.0
2020-10-21,0.16,0.16,0.13,0.1302,8635378.0
2020-10-20,0.1641,0.1738,0.16,0.1616,9491569.0
2020-10-19,0.205,0.2125,0.1887,0.1905,5561399.0
2020-10-16,0.2193,0.2193,0.2077,0.2094,2225100.0
2020-10-15,0.226,0.226,0.205,0.22,3727614.0
2020-10-14,0.237,0.2399,0.2275,0.228,2552192.0
