date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.11,6.15,6.05,6.1,74760.0
2021-03-12,6.2,6.2,6.09,6.1,35855.0
2021-03-11,6.19,6.23,6.1701,6.2,34750.0
2021-03-10,6.19,6.201,6.14,6.18,59476.0
2021-03-09,6.28,6.36,6.2383,6.32,82515.0
2021-03-08,6.05,6.34,6.0236,6.24,134761.0
2021-03-05,6.0,6.09,5.9912,6.08,55085.0
2021-03-04,5.98,6.0399,5.96,5.98,47925.0
2021-03-03,5.97,6.0099,5.96,5.98,47132.0
2021-03-02,5.91,5.99,5.91,5.99,34117.0
2021-03-01,5.86,5.95,5.86,5.91,53020.0
2021-02-26,5.89,5.93,5.85,5.86,45531.0
2021-02-25,5.97,5.98,5.9,5.9,81644.0
2021-02-24,6.04,6.04,5.89,5.96,79941.0
2021-02-23,5.98,6.021,5.82,6.02,88474.0
2021-02-22,5.97,6.0299,5.96,6.0,59980.0
2021-02-19,5.84,6.2,5.84,5.95,84197.0
2021-02-18,5.86,5.89,5.794,5.83,76437.0
2021-02-17,5.86,5.89,5.8,5.88,61186.0
2021-02-16,5.85,5.91,5.84,5.89,53953.0
2021-02-12,5.77,5.84,5.77,5.84,35556.0
2021-02-11,5.78,5.7996,5.74,5.79,55042.0
2021-02-10,5.78,5.81,5.76,5.8,49389.0
2021-02-09,5.75,5.79,5.74,5.78,37272.0
2021-02-08,5.72,5.7789,5.72,5.75,81429.0
2021-02-05,5.7,5.75,5.68,5.7,55483.0
2021-02-04,5.67,5.71,5.66,5.68,42607.0
2021-02-03,5.7,5.7034,5.63,5.66,51881.0
2021-02-02,5.63,5.68,5.62,5.67,34274.0
2021-02-01,5.59,5.62,5.55,5.6,70479.0
2021-01-29,5.57,5.62,5.53,5.53,60206.0
2021-01-28,5.63,5.675,5.6,5.6,39041.0
2021-01-27,5.67,5.72,5.62,5.62,67559.0
2021-01-26,5.69,5.76,5.65,5.71,80414.0
2021-01-25,5.73,5.76,5.7278,5.74,31284.0
