date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,47.95,48.52,47.95,48.33,9923.0
2021-03-12,48.32,48.32,47.86,47.97,759881.0
2021-03-11,48.75,48.97,48.3,48.33,130033.0
2021-03-10,48.3,49.04,48.3,48.84,191602.0
2021-03-09,48.05,48.35,47.85,47.87,126423.0
2021-03-08,48.9,48.9,46.84,47.43,99108.0
2021-03-05,47.62,48.6,47.2517,48.43,63231.0
2021-03-04,48.08,48.08,46.69,47.49,120161.0
2021-03-03,49.08,49.08,47.74,48.4,240597.0
2021-03-02,49.8,49.8,48.85,48.87,342520.0
2021-03-01,49.46,49.82,49.23,49.8,120548.0
2021-02-26,48.63,49.02,48.34,48.8,81906.0
2021-02-25,49.57,49.57,48.5,48.87,107648.0
2021-02-24,49.8,50.5,49.12,50.5,305496.0
2021-02-23,49.93,49.93,49.01,49.61,97816.0
2021-02-22,50.0,50.0,49.35,49.85,37759.0
2021-02-19,49.78,49.9,49.4,49.8,279137.0
2021-02-18,50.0,50.05,49.1,49.28,801880.0
2021-02-17,48.75,49.18,48.32,49.01,115019.0
2021-02-16,48.44,49.01,48.05,48.61,25344.0
2021-02-12,48.59,49.41,47.91,48.01,13540.0
2021-02-11,47.51,49.5,47.51,48.58,199696.0
2021-02-10,46.22,49.75,46.22,46.25,180252.0
2021-02-09,46.28,46.79,45.8,46.55,82612.0
2021-02-08,46.54,46.66,45.89,46.25,148917.0
2021-02-05,46.79,46.79,46.08,46.45,56648.0
2021-02-04,45.9,47.33,45.9,46.52,1339055.0
2021-02-03,43.41,46.44,42.5411,46.21,73926.0
2021-02-02,46.66,47.55,43.02,45.3,939558.0
2021-02-01,44.23,47.67,43.5,46.57,426364.0
2021-01-29,42.14,42.3099,41.61,42.01,276248.0
2021-01-28,41.77,42.82,41.77,42.55,10811.0
2021-01-27,41.62,42.15,41.17,41.18,14726.0
2021-01-26,42.94,43.07,42.33,42.33,66622.0
2021-01-25,42.94,43.06,42.23,42.83,8665.0
2021-01-22,42.6,42.88,42.5,42.88,26985.0
2021-01-21,44.0,44.05,42.83,42.91,217451.0
2021-01-20,44.07,44.184,43.655,43.97,55876.0
2021-01-19,43.34,44.38,43.14,44.2,6942.0
2021-01-15,43.23,43.67,42.95,42.98,31043.0
2021-01-14,44.32,44.43,43.7667,44.11,20511.0
2021-01-13,44.56,45.02,43.685,44.2,12967.0
2021-01-12,44.09,45.4,44.09,45.31,81050.0
2021-01-11,42.57,44.4,42.57,44.22,248080.0
2021-01-08,43.56,43.9,43.085,43.32,3952.0
2021-01-07,41.38,43.39,41.38,43.39,365297.0
2021-01-06,40.52,42.1673,40.52,41.76,11780.0
2021-01-05,39.5,40.57,39.428,40.5,8189.0
2021-01-04,40.67,40.67,39.3,39.3,42407.0
2020-12-31,41.12,41.12,40.1,40.84,166845.0
2020-12-30,41.12,41.33,41.0,41.31,33388.0
2020-12-29,40.0,41.12,40.0,41.12,19217.0
2020-12-28,41.46,41.46,39.93,40.11,67343.0
2020-12-24,41.02,41.09,40.83,41.04,13932.0
2020-12-23,42.14,42.14,40.98,41.02,18884.0
2020-12-22,41.86,42.367,41.8,42.11,28641.0
2020-12-21,41.26,41.9,41.19,41.84,9727.0
2020-12-18,41.71,41.9,40.8,41.9,33378.0
2020-12-17,41.33,41.76,40.9771,41.76,83472.0
2020-12-16,41.21,41.3509,40.56,41.35,39685.0
2020-12-15,40.5,41.07,40.35,40.99,12118.0
2020-12-14,40.93,41.16,40.3437,40.54,62209.0
2020-12-11,41.45,41.45,40.11,40.81,33981.0
2020-12-10,42.79,42.79,41.761,42.11,32058.0
2020-12-09,43.2,43.2,42.37,42.8,18251.0
2020-12-08,42.23,42.85,42.23,42.85,14412.0
2020-12-07,42.89,42.9,42.26,42.72,82236.0
2020-12-04,41.83,42.76,41.83,42.76,7790.0
2020-12-03,41.61,42.4,41.55,41.55,26945.0
2020-12-02,41.5,41.62,41.21,41.62,3295.0
2020-12-01,41.64,41.65,41.25,41.57,65149.0
2020-11-30,41.79,41.88,40.95,41.28,30120.0
2020-11-27,41.94,42.0166,41.77,41.78,3059.0
2020-11-25,42.53,42.53,41.61,41.73,20338.0
2020-11-24,41.51,42.69,41.45,42.69,109001.0
2020-11-23,41.71,41.9,41.25,41.35,149423.0
2020-11-20,41.69,41.69,41.3449,41.56,7629.0
2020-11-19,41.32,41.6,41.17,41.49,223911.0
2020-11-18,42.14,42.35,41.47,41.71,20885.0
2020-11-17,42.25,42.52,41.52,42.27,20652.0
2020-11-16,41.81,42.62,41.525,42.34,30236.0
2020-11-13,41.64,41.93,41.24,41.25,106961.0
2020-11-12,40.85,41.21,40.55,41.02,16325.0
2020-11-11,41.49,41.8,40.6,40.77,35519.0
2020-11-10,41.5,41.97,40.57,41.97,73646.0
2020-11-09,41.21,42.65,40.85,41.82,36156.0
2020-11-06,40.05,40.54,40.05,40.54,15710.0
2020-11-05,39.75,40.39,39.7,40.28,27799.0
2020-11-04,40.06,40.23,39.49,39.53,360680.0
2020-11-03,39.7,40.09,39.49,40.09,27391.0
2020-11-02,38.68,39.58,38.66,39.23,22752.0
2020-10-30,38.4,38.81,38.2511,38.64,57619.0
2020-10-29,37.9,38.97,37.59,38.6,238420.0
2020-10-28,38.44,38.77,37.71,37.96,73095.0
2020-10-27,40.59,40.59,39.1,39.15,159136.0
2020-10-26,40.8,40.915,40.21,40.6,19547.0
2020-10-23,41.38,41.8,40.86,40.86,207020.0
2020-10-22,40.53,41.454,40.53,41.4006,20798.0
2020-10-21,42.09,42.09,40.87,40.87,16347.0
2020-10-20,42.0,42.5,41.98,42.12,129544.0
2020-10-19,42.745,42.745,41.74,41.92,346853.0
2020-10-16,42.73,43.28,42.71,42.82,396123.0
2020-10-15,43.0,43.0,42.53,42.71,15097.0
2020-10-14,43.06,43.5,43.01,43.1,109351.0
2020-10-13,43.63,43.8,42.92,43.26,18034.0
2020-10-12,43.78,44.02,43.42,43.62,26317.0
2020-10-09,43.36,44.36,43.36,43.905,70596.0
2020-10-08,43.63,43.63,42.53,42.9,404757.0
2020-10-07,42.88,43.19,42.845,43.1,10128.0
2020-10-06,44.28,44.28,42.7,42.79,559021.0
2020-10-05,43.77,44.3599,43.35,43.58,50810.0
2020-10-02,43.71,44.14,43.68,43.68,115530.0
2020-10-01,44.42,45.3,43.89,44.06,113370.0
2020-09-30,45.0,45.0,44.3,44.3,354450.0
2020-09-29,44.28,44.61,44.14,44.29,11669.0
2020-09-28,43.98,44.8,41.79,44.22,27835.0
2020-09-25,42.76,43.888,42.76,43.7886,576628.0
2020-09-24,42.84,43.11,42.31,42.96,143645.0
2020-09-23,43.11,43.6657,42.83,43.07,254125.0
2020-09-22,44.03,44.19,43.73,43.87,7092.0
2020-09-21,44.27,44.3,43.6,43.9,46675.0
2020-09-18,45.29,45.29,44.37,44.38,3055.0
2020-09-17,44.58,45.196,44.48,45.07,7780.0
2020-09-16,45.13,45.4,44.7,44.7,55320.0
2020-09-15,44.77,45.185,44.77,45.11,207534.0
2020-09-14,44.3554,44.85,44.25,44.77,207200.0
2020-09-11,44.1,44.29,43.74,43.97,88934.0
2020-09-10,45.25,45.3,44.63,44.63,81209.0
2020-09-09,45.4,45.59,45.13,45.19,6190.0
2020-09-08,44.9,45.44,44.65,45.085,10039.0
2020-09-04,45.81,46.055,45.23,45.23,5028.0
2020-09-03,46.39,46.39,45.42,45.61,424648.0
2020-09-02,45.69,46.29,45.69,46.13,12203.0
2020-09-01,45.41,45.79,45.13,45.69,63864.0
2020-08-31,45.53,45.79,45.4,45.4,31282.0
2020-08-28,45.75,45.89,45.46,45.84,28481.0
2020-08-27,46.08,46.22,45.35,45.63,312291.0
2020-08-26,45.03,46.215,45.03,45.98,81026.0
2020-08-25,46.13,46.13,45.23,45.29,21268.0
2020-08-24,45.03,45.36,44.9106,45.36,5833.0
2020-08-21,44.84,44.84,44.35,44.75,5109.0
2020-08-20,44.89,44.89,44.31,44.65,6723.0
2020-08-19,45.3,45.3,44.83,45.07,20321.0
2020-08-18,45.27,45.84,45.02,45.1,12309.0
2020-08-17,45.37,46.01,45.0,45.37,30748.0
2020-08-14,45.22,45.7,44.91,45.0,137611.0
2020-08-13,46.08,46.2,45.17,45.55,55913.0
2020-08-12,45.96,46.74,45.96,46.42,94163.0
2020-08-11,47.26,47.46,45.82,45.98,199343.0
2020-08-10,45.98,47.39,45.98,47.39,180208.0
2020-08-07,45.82,45.855,45.81,45.855,41856.0
2020-08-06,46.15,46.15,45.3,45.85,25706.0
2020-08-05,46.09,46.6798,45.95,46.12,34735.0
2020-08-04,44.68,46.185,43.49,45.76,33115.0
2020-08-03,45.9216,45.93,44.67,44.67,51871.0
2020-07-31,45.68,45.91,45.1376,45.76,9675.0
2020-07-30,46.1,46.1,45.33,45.33,11647.0
2020-07-29,46.76,46.98,46.54,46.54,20565.0
2020-07-28,46.48,46.74,46.08,46.44,207695.0
2020-07-27,45.85,46.48,45.85,46.47,206467.0
2020-07-24,46.5599,46.5599,45.75,46.11,24069.0
2020-07-23,46.406,46.772,46.06,46.54,4892.0
2020-07-22,46.6947,46.6947,46.38,46.46,1897.0
2020-07-21,46.96,46.97,46.24,46.43,20387.0
2020-07-20,47.15,47.15,46.48,46.64,90445.0
2020-07-17,46.94,47.27,46.93,47.16,4135.0
2020-07-16,47.01,47.15,46.41,46.79,16665.0
2020-07-15,46.78,46.78,46.31,46.75,6280.0
2020-07-14,45.13,46.26,45.13,45.76,6632.0
2020-07-13,45.82,45.82,45.07,45.07,5693.0
2020-07-10,44.58,45.52,44.58,45.47,36257.0
2020-07-09,44.95,44.95,44.17,44.48,14380.0
2020-07-08,45.59,46.2,44.65,44.81,5970.0
2020-07-07,45.69,46.11,45.38,45.7,54774.0
2020-07-06,46.68,46.68,45.36,45.93,12370.0
2020-07-02,45.62,46.15,45.27,45.72,6606.0
2020-07-01,44.31,44.97,43.98,44.84,58503.0
2020-06-30,44.2,44.9,43.8,44.3,163855.0
2020-06-29,43.9,44.46,43.26,44.41,9031.0
2020-06-26,44.34,44.34,43.02,43.46,20252.0
2020-06-25,43.88,44.44,43.81,44.36,24657.0
2020-06-24,44.28,44.68,43.81,44.31,65639.0
2020-06-23,45.82,45.82,44.53,44.81,74620.0
2020-06-22,45.37,45.52,44.67,45.11,43307.0
2020-06-19,46.67,46.68,45.57,45.83,87140.0
2020-06-18,45.84,46.33,45.84,46.05,230169.0
2020-06-17,46.18,46.94,46.18,46.23,4746.0
2020-06-16,46.93,46.93,45.79,46.05,357868.0
2020-06-15,44.66,45.54,44.59,45.54,54282.0
2020-06-12,46.57,46.57,45.01,45.44,27369.0
2020-06-11,46.66,46.75,45.28,45.28,37988.0
2020-06-10,49.24,49.24,48.06,48.25,9697.0
2020-06-09,48.21,48.92,47.95,48.92,103801.0
2020-06-08,49.66,49.66,48.37,48.81,50509.0
2020-06-05,50.0,50.0,49.36,49.52,240578.0
2020-06-04,49.06,49.25,48.62,48.62,9608.0
2020-06-03,48.84,49.43,48.84,49.19,62167.0
2020-06-02,47.68,48.66,47.68,48.37,6455.0
2020-06-01,48.22,48.22,47.34,47.34,115331.0
2020-05-29,48.0,48.3,47.63,48.04,84828.0
2020-05-28,49.59,49.59,48.14,48.29,2792.0
2020-05-27,48.64,49.14,48.53,48.89,72899.0
2020-05-26,48.05,49.02,48.0,48.48,76320.0
