date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,21.5,21.87,21.4023,21.79,120844.0
2021-03-12,21.68,21.81,21.45,21.62,149704.0
2021-03-11,21.57,21.81,21.55,21.78,83168.0
2021-03-10,21.3,21.54,21.2767,21.48,111075.0
2021-03-09,21.08,21.265,21.07,21.18,97255.0
2021-03-08,21.0,21.17,21.0,21.02,129184.0
2021-03-05,21.12,21.27,20.84,21.03,49318.0
2021-03-04,21.19,21.34,20.8,20.98,166294.0
2021-03-03,21.31,21.3695,21.04,21.16,98060.0
2021-03-02,21.01,21.14,20.94,21.03,72818.0
2021-03-01,20.75,20.97,20.6501,20.87,114927.0
2021-02-26,20.62,20.75,20.34,20.62,99307.0
2021-02-25,21.02,21.29,20.87,20.87,66911.0
2021-02-24,20.98,21.26,20.84,21.14,88860.0
2021-02-23,21.04,21.207,20.83,20.98,124874.0
2021-02-22,21.06,21.25,21.0,21.1,90491.0
2021-02-19,21.28,21.53,21.28,21.43,61713.0
2021-02-18,21.33,21.38,21.2208,21.32,85126.0
2021-02-17,21.37,21.4899,21.36,21.45,83934.0
2021-02-16,21.31,21.37,21.2575,21.35,79184.0
2021-02-12,21.29,21.33,21.0,21.21,77984.0
2021-02-11,21.3,21.35,21.18,21.24,65876.0
2021-02-10,21.17,21.29,21.12,21.2,65282.0
2021-02-09,21.17,21.27,21.15,21.18,66664.0
2021-02-08,21.16,21.3,21.15,21.22,74253.0
2021-02-05,20.91,21.09,20.815,21.02,155418.0
2021-02-04,20.7,20.8109,20.68,20.77,67496.0
2021-02-03,20.54,20.86,20.54,20.73,92971.0
2021-02-02,20.38,20.54,20.3,20.51,58280.0
2021-02-01,19.91,20.1,19.81,20.07,89638.0
2021-01-29,19.73,19.73,19.43,19.52,114229.0
2021-01-28,19.8,20.17,19.8,20.02,62856.0
2021-01-27,20.0,20.0699,19.8,19.84,100036.0
2021-01-26,20.3,20.4,20.21,20.24,72840.0
2021-01-25,20.5,20.5554,20.23,20.3,127649.0
2021-01-22,20.54,20.72,20.52,20.64,52147.0
2021-01-21,20.83,20.92,20.7501,20.82,100499.0
2021-01-20,20.7,20.99,20.7,20.9,83118.0
2021-01-19,20.6,20.6789,20.4577,20.52,78107.0
2021-01-15,20.59,20.6299,20.5,20.5,81441.0
2021-01-14,20.74,20.81,20.7263,20.75,53194.0
2021-01-13,20.57,20.84,20.52,20.73,103305.0
2021-01-12,20.51,20.65,20.425,20.65,115317.0
2021-01-11,20.54,20.54,20.33,20.4,129304.0
2021-01-08,20.53,20.6799,20.52,20.56,119291.0
2021-01-07,20.35,20.35,20.18,20.34,100516.0
2021-01-06,20.11,20.32,20.01,20.19,119414.0
2021-01-05,20.01,20.25,20.01,20.15,126886.0
2021-01-04,20.09,20.29,19.87,19.95,102438.0
2020-12-31,19.93,20.0,19.82,19.96,153863.0
2020-12-30,19.94,20.0,19.8302,19.9,132795.0
2020-12-29,19.92,19.95,19.75,19.78,189104.0
2020-12-28,19.84,19.98,19.78,19.81,148561.0
2020-12-24,19.68,19.8,19.6546,19.75,49731.0
2020-12-23,19.53,19.81,19.53,19.64,81842.0
2020-12-22,19.44,19.59,19.38,19.43,71642.0
2020-12-21,19.53,19.73,19.34,19.43,124687.0
2020-12-18,20.04,20.105,19.9303,19.97,128068.0
2020-12-17,20.23,20.39,20.23,20.32,109726.0
2020-12-16,20.14,20.27,20.1267,20.17,97550.0
2020-12-15,19.85,20.2,19.85,20.11,139043.0
2020-12-14,19.81,19.96,19.76,19.89,115143.0
2020-12-11,19.7,19.7844,19.63,19.73,67095.0
2020-12-10,19.53,19.715,19.44,19.71,60629.0
2020-12-09,19.63,19.7364,19.46,19.54,82733.0
2020-12-08,19.51,19.58,19.38,19.54,94250.0
2020-12-07,19.56,19.6387,19.464,19.53,99011.0
2020-12-04,19.5,19.58,19.235,19.45,151930.0
2020-12-03,19.38,19.4933,19.33,19.43,87783.0
2020-12-02,19.17,19.39,19.06,19.36,140986.0
2020-12-01,18.82,19.15,18.82,19.07,147029.0
2020-11-30,18.55,18.58,18.48,18.56,63370.0
2020-11-27,18.61,18.69,18.55,18.6,56211.0
2020-11-25,18.59,18.65,18.53,18.64,60241.0
2020-11-24,18.53,18.73,18.4401,18.7,99293.0
2020-11-23,18.63,18.6627,18.3,18.39,123083.0
2020-11-20,18.42,18.48,18.24,18.36,84229.0
2020-11-19,18.23,18.44,18.23,18.37,79675.0
2020-11-18,18.4,18.46,18.32,18.41,99205.0
2020-11-17,17.9,18.3,17.8801,18.22,133226.0
2020-11-16,17.86,18.08,17.85,18.07,100953.0
2020-11-13,17.54,17.83,17.54,17.78,76014.0
2020-11-12,17.6,17.6,17.5,17.52,145528.0
2020-11-11,17.6,17.65,17.5,17.65,49915.0
2020-11-10,17.48,17.535,17.351,17.52,71647.0
2020-11-09,17.64,17.75,17.57,17.57,82990.0
2020-11-06,17.09,17.29,16.93,17.2,96917.0
2020-11-05,17.23,17.3,17.14,17.15,101324.0
2020-11-04,16.95,17.19,16.95,17.09,36455.0
2020-11-03,16.79,16.97,16.75,16.76,33425.0
2020-11-02,16.6,16.8313,16.56,16.56,30391.0
2020-10-30,16.6,16.715,16.55,16.58,39731.0
2020-10-29,16.53,16.76,16.52,16.67,67884.0
2020-10-28,16.87,16.8799,16.51,16.51,55460.0
2020-10-27,17.0,17.1471,17.0,17.02,52038.0
2020-10-26,16.93,16.93,16.78,16.83,54560.0
2020-10-23,17.01,17.056,16.905,17.0,23834.0
2020-10-22,16.93,17.07,16.91,17.01,46611.0
2020-10-21,17.09,17.16,16.84,16.96,50783.0
2020-10-20,17.01,17.1674,17.01,17.05,37157.0
2020-10-19,17.02,17.16,16.96,17.0,55685.0
2020-10-16,16.91,17.0262,16.87,16.92,32719.0
2020-10-15,16.99,16.99,16.82,16.85,50761.0
2020-10-14,17.12,17.35,17.12,17.24,84299.0
2020-10-13,17.15,17.15,17.0386,17.11,53418.0
2020-10-12,17.31,17.32,17.13,17.1577,97386.0
2020-10-09,17.26,17.35,17.26,17.31,46471.0
2020-10-08,17.16,17.25,17.09,17.23,75665.0
2020-10-07,16.96,17.0893,16.951,17.04,93451.0
2020-10-06,16.87,16.95,16.81,16.85,70691.0
2020-10-05,16.63,16.88,16.63,16.77,56647.0
2020-10-02,16.59,16.78,16.5328,16.57,51085.0
2020-10-01,16.61,16.86,16.61,16.8,102979.0
2020-09-30,16.4,16.5,16.36,16.5,100560.0
2020-09-29,16.22,16.44,16.22,16.31,91608.0
2020-09-28,16.31,16.406,16.27,16.34,83925.0
2020-09-25,15.89,16.16,15.89,16.08,58699.0
2020-09-24,15.91,15.929,15.71,15.81,68877.0
2020-09-23,16.04,16.13,16.04,16.08,85180.0
2020-09-22,16.3,16.3,16.07,16.15,39453.0
2020-09-21,16.4,16.45,16.12,16.31,100895.0
2020-09-18,16.72,16.72,16.58,16.6,69424.0
2020-09-17,17.09,17.14,17.0374,17.12,81352.0
2020-09-16,17.09,17.24,17.01,17.2,58195.0
2020-09-15,16.95,17.01,16.91,16.96,64555.0
2020-09-14,16.73,16.91,16.61,16.89,92956.0
2020-09-11,16.62,16.74,16.62,16.65,105131.0
2020-09-10,16.64,16.8,16.54,16.57,102732.0
2020-09-09,16.6,16.64,16.56,16.6,57588.0
2020-09-08,16.41,16.58,16.36,16.43,167629.0
2020-09-04,16.84,16.9,16.37,16.59,143761.0
2020-09-03,16.99,17.058,16.89,16.9,110368.0
2020-09-02,16.96,17.11,16.87,17.11,99382.0
2020-09-01,16.75,16.95,16.75,16.92,73817.0
2020-08-31,16.88,16.89,16.5626,16.7,83231.0
2020-08-28,17.01,17.11,17.0,17.09,71663.0
2020-08-27,16.76,16.9377,16.76,16.82,157490.0
2020-08-26,16.68,16.75,16.66,16.7,68998.0
2020-08-25,16.54,16.66,16.51,16.64,107255.0
2020-08-24,16.62,16.67,16.47,16.53,172892.0
2020-08-21,16.48,16.48,16.33,16.38,78578.0
2020-08-20,16.43,16.51,16.35,16.48,158248.0
2020-08-19,16.56,16.59,16.45,16.48,129957.0
2020-08-18,16.56,16.61,16.51,16.59,77764.0
2020-08-17,16.41,16.48,16.3625,16.45,127759.0
2020-08-14,16.35,16.415,16.31,16.34,105106.0
2020-08-13,16.56,16.5885,16.44,16.5,62750.0
2020-08-12,16.7,16.7,16.53,16.59,78144.0
2020-08-11,16.61,16.74,16.53,16.55,116843.0
2020-08-10,16.58,16.65,16.52,16.61,58613.0
2020-08-07,16.44,16.54,16.4001,16.51,60750.0
2020-08-06,16.46,16.5,16.388,16.44,60037.0
2020-08-05,16.5,16.5,16.33,16.38,63500.0
2020-08-04,16.29,16.445,16.29,16.43,81566.0
2020-08-03,16.2,16.25,16.07,16.17,124081.0
2020-07-31,16.17,16.3,16.08,16.23,100751.0
2020-07-30,16.16,16.24,16.06,16.22,108634.0
2020-07-29,16.34,16.34,16.15,16.28,82539.0
2020-07-28,16.26,16.3799,16.17,16.21,48875.0
2020-07-27,16.4,16.46,16.13,16.13,138656.0
2020-07-24,16.31,16.38,16.2625,16.33,42146.0
2020-07-23,16.34,16.42,16.29,16.29,27143.0
2020-07-22,16.47,16.55,16.29,16.43,67278.0
2020-07-21,16.5,16.6,16.48,16.55,34121.0
2020-07-20,16.25,16.4,16.23,16.39,64176.0
2020-07-17,16.33,16.33,16.2,16.23,59773.0
2020-07-16,16.06,16.12,16.02,16.11,27946.0
2020-07-15,15.86,16.08,15.84,16.07,78433.0
2020-07-14,15.74,15.82,15.61,15.77,112688.0
2020-07-13,16.02,16.15,15.95,15.95,54049.0
2020-07-10,16.09,16.12,16.04,16.05,33170.0
2020-07-09,16.18,16.26,16.01,16.01,40726.0
2020-07-08,16.17,16.2,16.0,16.2,73122.0
2020-07-07,16.17,16.47,16.17,16.24,56632.0
2020-07-06,16.2,16.39,16.17,16.26,104237.0
2020-07-02,16.06,16.19,15.92,15.92,105330.0
2020-07-01,15.45,15.98,15.44,15.85,144294.0
2020-06-30,15.79,15.8,15.44,15.48,143703.0
2020-06-29,15.3,15.7536,15.25,15.68,208220.0
2020-06-26,15.39,15.44,15.24,15.32,93062.0
2020-06-25,15.17,15.35,15.17,15.35,59599.0
2020-06-24,15.31,15.35,15.14,15.2,75068.0
2020-06-23,15.32,15.46,15.32,15.39,66739.0
2020-06-22,15.18,15.23,15.07,15.17,138931.0
2020-06-19,15.14,15.19,15.01,15.04,100889.0
2020-06-18,14.9,15.0,14.81,14.94,104949.0
2020-06-17,15.42,15.43,15.2,15.33,141147.0
2020-06-16,15.88,15.88,15.38,15.4,106879.0
2020-06-15,15.24,15.66,15.21,15.63,81034.0
2020-06-12,15.33,15.65,15.33,15.58,130774.0
2020-06-11,15.37,15.38,14.74,14.82,181223.0
2020-06-10,15.45,15.84,15.43,15.71,148423.0
2020-06-09,15.94,16.03,15.87,16.0,103945.0
2020-06-08,16.06,16.2,15.98,16.17,169052.0
2020-06-05,15.65,16.09,15.65,15.96,146979.0
2020-06-04,15.73,15.78,15.51,15.56,64187.0
2020-06-03,15.75,15.87,15.7,15.84,89471.0
2020-06-02,15.45,15.67,15.45,15.57,138806.0
2020-06-01,14.95,15.38,14.95,15.38,79385.0
2020-05-29,14.52,14.84,14.41,14.78,113321.0
2020-05-28,14.37,14.47,14.31,14.42,215346.0
2020-05-27,14.26,14.27,14.04,14.19,138977.0
2020-05-26,14.16,14.21,13.97,14.08,176489.0
2020-05-22,13.92,13.98,13.82,13.97,115894.0
2020-05-21,14.05,14.05,13.84,13.91,95854.0
2020-05-20,13.76,14.07,13.76,13.98,90088.0
2020-05-19,14.01,14.13,13.57,13.69,187027.0
2020-05-18,14.0,14.27,13.98,14.21,107877.0
2020-05-15,13.9,13.99,13.81,13.87,174245.0
2020-05-14,13.92,14.2,13.9,14.13,141956.0
2020-05-13,14.31,14.37,14.01,14.2,145951.0
2020-05-12,14.18,14.66,14.04,14.42,231100.0
2020-05-11,13.95,14.12,13.93,14.05,236241.0
2020-05-08,14.3,14.33,14.05,14.16,97029.0
2020-05-07,14.07,14.17,14.0,14.13,75208.0
2020-05-06,14.09,14.11,13.85,13.99,151328.0
2020-05-05,14.14,14.3,14.06,14.12,167311.0
2020-05-04,14.03,14.27,13.8,14.23,223188.0
2020-05-01,14.43,14.43,13.97,14.08,147465.0
2020-04-30,14.79,14.79,14.58,14.58,154447.0
2020-04-29,14.42,14.63,14.42,14.6,189163.0
2020-04-28,14.31,14.31,14.17,14.21,142830.0
2020-04-27,14.11,14.2,14.06,14.13,96485.0
2020-04-24,13.98,14.02,13.77,13.94,69934.0
2020-04-23,14.06,14.22,13.95,14.04,112648.0
2020-04-22,14.11,14.25,13.9,13.99,139143.0
2020-04-21,13.73,13.87,13.71,13.79,76343.0
2020-04-20,13.97,14.16,13.91,14.08,115384.0
2020-04-17,14.33,14.54,13.96,14.16,161104.0
2020-04-16,13.94,14.07,13.84,14.0,141793.0
2020-04-15,13.95,13.95,13.53,13.85,121940.0
2020-04-14,14.06,14.36,14.03,14.15,283888.0
2020-04-13,14.07,14.15,13.65,13.84,332214.0
2020-04-09,14.29,14.54,14.15,14.29,178922.0
2020-04-08,13.49,14.08,13.49,13.99,161784.0
2020-04-07,13.93,13.98,13.07,13.23,201753.0
2020-04-06,12.92,13.42,12.92,13.21,203695.0
2020-04-03,12.84,13.11,12.6,12.64,134913.0
2020-04-02,12.9,13.16,12.77,12.98,198701.0
2020-04-01,13.2,13.61,12.78,12.9,375873.0
2020-03-31,14.09,14.23,13.35,13.62,271402.0
2020-03-30,13.33,13.75,12.97,13.69,292181.0
2020-03-27,13.43,13.95,13.11,13.66,275009.0
2020-03-26,13.02,13.83,13.01,13.73,298157.0
2020-03-25,12.01,12.74,12.01,12.56,271429.0
2020-03-24,11.8,12.15,11.54,11.75,392759.0
2020-03-23,12.23,12.53,11.13,11.68,502963.0
2020-03-20,12.61,12.89,11.94,12.8,366830.0
2020-03-19,12.67,12.8,11.75,12.3,396760.0
2020-03-18,14.06,14.21,13.0,13.21,332875.0
2020-03-17,14.38,14.85,14.11,14.67,317222.0
2020-03-16,14.11,14.71,14.11,14.35,219041.0
2020-03-13,16.06,16.06,15.04,15.69,366873.0
2020-03-12,15.68,15.68,14.99,15.36,522111.0
2020-03-11,17.16,17.22,16.44,16.65,131339.0
2020-03-10,17.09,17.34,16.99,17.22,73140.0
2020-03-09,16.81,17.01,16.21,16.94,145100.0
2020-03-06,17.82,17.95,17.79,17.88,148754.0
2020-03-05,18.19,18.35,17.85,17.94,252120.0
2020-03-04,18.38,18.54,18.24,18.45,168880.0
2020-03-03,18.28,18.53,18.17,18.31,145567.0
2020-03-02,18.2,18.32,17.89,18.17,243934.0
2020-02-28,18.35,18.45,17.46,18.18,587351.0
2020-02-27,19.48,19.53,19.0,19.03,260998.0
2020-02-26,19.63,19.86,19.63,19.69,90932.0
2020-02-25,20.08,20.12,19.62,19.63,194957.0
2020-02-24,19.93,19.98,19.78,19.86,309754.0
2020-02-21,20.26,20.31,20.22,20.24,68774.0
2020-02-20,20.31,20.35,20.25,20.29,54432.0
2020-02-19,20.36,20.48,20.36,20.38,78373.0
2020-02-18,20.29,20.37,20.22,20.22,69686.0
2020-02-14,20.51,20.56,20.41,20.41,64377.0
2020-02-13,20.58,20.63,20.51,20.52,56178.0
2020-02-12,20.66,20.73,20.66,20.67,87534.0
2020-02-11,20.6,20.69,20.55,20.62,83405.0
2020-02-10,20.43,20.68,20.35,20.49,86871.0
2020-02-07,20.54,20.54,20.43,20.45,56915.0
2020-02-06,20.67,20.72,20.61,20.61,81022.0
2020-02-05,20.63,20.71,20.55,20.55,80608.0
2020-02-04,20.39,20.54,20.39,20.48,91826.0
2020-02-03,20.14,20.21,20.02,20.15,135810.0
2020-01-31,20.33,20.35,20.16,20.26,93173.0
2020-01-30,20.49,20.525,20.3459,20.45,112836.0
2020-01-29,20.64,20.69,20.61,20.67,60018.0
2020-01-28,20.51,20.61,20.44,20.57,76688.0
2020-01-27,20.32,20.49,20.32,20.42,95121.0
2020-01-24,20.6,20.7,20.59,20.59,83290.0
2020-01-23,20.62,20.62,20.45,20.5,73502.0
2020-01-22,20.47,20.57,20.46,20.53,58366.0
2020-01-21,20.76,20.76,20.47,20.47,113544.0
2020-01-17,20.78,20.91,20.7,20.86,121713.0
2020-01-16,20.8,20.93,20.76,20.78,152061.0
2020-01-15,20.77,20.8,20.74,20.8,36811.0
2020-01-14,20.67,20.77,20.56,20.74,71645.0
2020-01-13,20.6,20.8,20.54,20.78,197880.0
2020-01-10,20.44,20.55,20.41,20.54,127719.0
2020-01-09,20.21,20.34,20.21,20.3,75251.0
2020-01-08,20.0,20.17,19.95,20.07,231628.0
2020-01-07,19.95,20.05,19.95,20.02,165758.0
2020-01-06,20.05,20.08,19.95,19.98,141297.0
2020-01-03,20.29,20.31,20.17,20.22,167610.0
2020-01-02,20.2,20.45,20.2,20.37,125048.0
2019-12-31,20.27,20.28,20.13,20.13,268216.0
2019-12-30,20.59,20.66,20.31,20.31,229277.0
2019-12-27,21.15,21.17,21.09,21.13,136463.0
2019-12-26,20.95,21.09,20.92,21.07,108568.0
2019-12-24,20.93,21.03,20.91,20.98,73416.0
2019-12-23,21.05,21.05,20.92,20.96,172161.0
2019-12-20,21.0,21.09,20.99,21.07,134212.0
2019-12-19,20.98,21.03,20.94,21.02,67052.0
2019-12-18,20.9,20.99,20.9,20.94,98393.0
2019-12-17,20.82,20.9,20.77,20.9,103699.0
2019-12-16,20.88,20.88,20.75,20.75,187208.0
2019-12-13,20.78,20.9,20.78,20.87,66226.0
2019-12-12,20.7,20.8,20.61,20.79,107073.0
2019-12-11,20.69,20.74,20.59,20.72,89239.0
2019-12-10,20.69,20.78,20.58,20.59,100639.0
2019-12-09,20.75,20.82,20.65,20.76,90612.0
2019-12-06,20.89,20.89,20.65,20.74,114110.0
2019-12-05,20.76,20.88,20.73,20.87,86286.0
2019-12-04,20.7,20.79,20.7,20.75,106310.0
2019-12-03,20.52,20.72,20.52,20.62,66986.0
2019-12-02,20.55,20.74,20.55,20.7,105682.0
2019-11-29,20.74,20.74,20.55,20.56,61810.0
2019-11-27,20.67,20.75,20.66,20.74,69743.0
2019-11-26,20.71,20.71,20.53,20.57,65375.0
2019-11-25,20.34,20.74,20.34,20.7,92863.0
2019-11-22,20.46,20.46,20.39,20.42,65742.0
2019-11-21,20.52,20.55,20.46,20.49,60507.0
2019-11-20,20.53,20.67,20.53,20.59,57863.0
2019-11-19,20.67,20.67,20.55,20.57,85147.0
2019-11-18,20.64,20.66,20.49,20.61,109583.0
2019-11-15,20.72,20.79,20.69,20.71,29970.0
2019-11-14,20.65,20.67,20.6,20.66,24883.0
2019-11-13,20.6,20.65,20.56,20.62,61790.0
2019-11-12,20.76,20.84,20.7,20.7,87869.0
2019-11-11,20.81,20.88,20.72,20.84,38921.0
2019-11-08,20.97,21.0,20.8,20.9,69665.0
2019-11-07,21.15,21.25,21.1,21.17,71411.0
2019-11-06,21.1,21.16,21.0,21.1,89088.0
2019-11-05,21.06,21.09,20.96,21.0,44499.0
2019-11-04,21.28,21.28,21.08,21.11,75640.0
2019-11-01,21.01,21.2,21.01,21.18,90819.0
2019-10-31,20.98,20.99,20.87,20.94,63853.0
2019-10-30,20.89,20.99,20.84,20.99,72952.0
2019-10-29,20.82,20.94,20.8,20.84,67647.0
2019-10-28,20.62,20.78,20.6,20.65,82671.0
2019-10-25,20.5,20.78,20.5,20.67,179732.0
2019-10-24,20.59,20.63,20.48,20.59,58537.0
2019-10-23,20.49,20.6,20.42,20.56,53594.0
2019-10-22,20.38,20.49,20.35,20.43,33758.0
2019-10-21,20.46,20.5,20.38,20.42,54140.0
2019-10-18,20.41,20.45,20.34,20.43,84163.0
2019-10-17,20.17,20.4,20.17,20.36,73832.0
2019-10-16,20.15,20.15,20.01,20.02,159949.0
2019-10-15,19.99,20.18,19.99,20.15,44055.0
2019-10-14,19.92,20.0,19.92,19.94,25753.0
2019-10-11,19.99,20.0,19.86,19.98,133711.0
2019-10-10,19.98,19.99,19.84,19.98,67643.0
2019-10-09,19.95,20.0,19.85,19.97,52968.0
2019-10-08,19.84,19.85,19.66,19.78,148307.0
2019-10-07,19.91,19.94,19.81,19.88,106714.0
2019-10-04,20.12,20.15,20.01,20.07,67308.0
2019-10-03,20.22,20.31,20.2,20.29,53991.0
2019-10-02,20.31,20.31,20.11,20.22,68806.0
2019-10-01,20.43,20.59,20.2,20.33,146316.0
2019-09-30,20.61,20.61,20.48,20.53,79683.0
2019-09-27,20.6,20.62,20.4,20.51,71623.0
2019-09-26,20.62,20.62,20.45,20.56,113908.0
2019-09-25,20.39,20.45,20.24,20.39,126854.0
2019-09-24,20.75,20.75,20.49,20.53,141523.0
2019-09-23,20.27,20.75,20.26,20.7,204952.0
2019-09-20,20.28,20.35,20.04,20.11,175379.0
2019-09-19,20.0,20.0,19.81,19.93,144364.0
2019-09-18,20.11,20.13,19.89,20.03,128965.0
2019-09-17,19.8,20.01,19.75,20.01,129203.0
2019-09-16,20.09,20.14,19.92,19.94,102315.0
2019-09-13,20.1,20.27,20.1,20.27,38154.0
2019-09-12,20.0,20.07,19.93,20.0,88540.0
2019-09-11,19.91,19.99,19.86,19.95,131262.0
2019-09-10,19.85,19.9,19.77,19.84,45623.0
2019-09-09,19.85,19.92,19.78,19.87,59495.0
2019-09-06,19.81,19.88,19.73,19.81,53075.0
2019-09-05,19.71,19.78,19.64,19.64,68205.0
2019-09-04,19.57,19.63,19.56,19.6,163020.0
2019-09-03,19.74,19.75,19.41,19.52,175342.0
2019-08-30,20.07,20.07,19.91,20.02,55324.0
2019-08-29,19.87,19.93,19.85,19.86,133587.0
2019-08-28,19.99,20.01,19.86,19.87,79579.0
2019-08-27,20.05,20.17,20.05,20.09,76022.0
2019-08-26,19.95,20.03,19.86,19.97,77206.0
2019-08-23,19.91,20.02,19.85,19.86,74247.0
2019-08-22,19.82,19.86,19.71,19.74,91897.0
2019-08-21,19.95,20.02,19.9,19.99,64774.0
2019-08-20,19.91,19.99,19.87,19.89,84012.0
2019-08-19,20.25,20.25,19.92,19.94,88179.0
2019-08-16,20.05,20.2332,20.05,20.18,41017.0
2019-08-15,19.84,20.03,19.76,19.9,115367.0
2019-08-14,19.94,20.06,19.84,19.87,106460.0
2019-08-13,20.15,20.39,19.96,20.18,115463.0
2019-08-12,20.3,20.38,20.23,20.27,28832.0
2019-08-09,20.37,20.53,20.3,20.33,92904.0
2019-08-08,20.25,20.65,20.21,20.54,113661.0
2019-08-07,20.02,20.1,19.91,19.99,125284.0
2019-08-06,20.18,20.28,20.01,20.26,65916.0
2019-08-05,20.15,20.2,19.88,19.95,153742.0
2019-08-02,20.5,20.55,20.3,20.37,155415.0
2019-08-01,20.51,20.64,20.46,20.5,157604.0
2019-07-31,20.73,20.78,20.42,20.53,62929.0
2019-07-30,20.7,20.72,20.59,20.63,54789.0
2019-07-29,20.75,20.92,20.72,20.77,44473.0
2019-07-26,20.95,20.95,20.8,20.87,64619.0
2019-07-25,20.72,20.82,20.67,20.76,54596.0
2019-07-24,20.74,20.91,20.74,20.79,68948.0
2019-07-23,20.84,20.85,20.7,20.78,70329.0
2019-07-22,20.95,21.0,20.85,20.88,72009.0
2019-07-19,21.18,21.18,20.96,20.96,104056.0
2019-07-18,21.26,21.35,21.18,21.33,68789.0
2019-07-17,21.36,21.43,21.32,21.38,48722.0
2019-07-16,21.25,21.38,21.25,21.34,56375.0
2019-07-15,21.21,21.39,21.21,21.25,62326.0
2019-07-12,21.2,21.22,21.15,21.18,74194.0
2019-07-11,21.19,21.19,21.07,21.15,47795.0
2019-07-10,21.16,21.22,21.13,21.16,54922.0
2019-07-09,21.17,21.24,21.12,21.15,64323.0
2019-07-08,21.27,21.29,21.16,21.21,66938.0
2019-07-05,21.55,21.56,21.35,21.52,53983.0
2019-07-03,21.57,21.62,21.55,21.57,36789.0
2019-07-02,21.6,21.63,21.58,21.62,63271.0
2019-07-01,21.49,21.64,21.39,21.53,150219.0
2019-06-28,21.38,21.4,21.2,21.28,77130.0
2019-06-27,21.39,21.4,21.21,21.33,55960.0
2019-06-26,21.13,21.32,21.13,21.24,71839.0
2019-06-25,20.99,21.15,20.97,20.99,93379.0
2019-06-24,20.87,20.98,20.87,20.93,49329.0
2019-06-21,20.99,21.05,20.92,20.97,45931.0
2019-06-20,21.11,21.22,21.01,21.06,175376.0
2019-06-19,21.52,21.55,21.43,21.5,101817.0
2019-06-18,21.53,21.57,21.42,21.53,97211.0
2019-06-17,21.49,21.68,21.38,21.41,157495.0
2019-06-14,21.59,21.68,21.56,21.6,109196.0
2019-06-13,21.81,21.94,21.71,21.73,47544.0
2019-06-12,21.87,21.87,21.76,21.76,64189.0
2019-06-11,21.82,21.93,21.77,21.82,54814.0
2019-06-10,21.76,21.8342,21.67,21.78,56558.0
