date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,21.19,21.19,20.93,20.94,33536.0
2021-03-17,21.2,21.3019,21.13,21.13,19548.0
2021-03-16,21.21,21.28,21.13,21.2,19625.0
2021-03-15,20.93,21.08,20.93,21.08,15226.0
2021-03-12,21.0,21.0,20.5,20.93,42996.0
2021-03-11,21.0,21.0,20.83,20.98,36054.0
2021-03-10,21.23,21.23,20.82,20.98,41192.0
2021-03-09,21.21,21.21,21.02,21.075,24327.0
2021-03-08,21.49,21.49,21.16,21.2,22398.0
2021-03-05,21.65,21.6772,21.34,21.5,19405.0
2021-03-04,21.7,21.71,21.4331,21.535,26930.0
2021-03-03,21.75,21.75,21.5001,21.7,18005.0
2021-03-02,21.55,21.81,21.4,21.75,36588.0
2021-03-01,21.29,21.59,21.15,21.55,23732.0
2021-02-26,20.96,21.3,20.81,21.29,25971.0
2021-02-25,21.29,21.44,20.86,20.86,29784.0
2021-02-24,21.49,21.499,21.33,21.4,18261.0
2021-02-23,21.64,21.64,21.37,21.38,19613.0
2021-02-22,21.63,21.886,21.58,21.58,18400.0
2021-02-19,21.54,21.799,21.53,21.69,36114.0
2021-02-18,21.59,21.7999,21.49,21.59,17192.0
2021-02-17,22.19,22.19,21.53,21.56,35608.0
2021-02-16,22.13,22.13,21.9601,22.06,26068.0
2021-02-12,21.96,22.174,21.96,22.13,13936.0
2021-02-11,21.97,22.1,21.88,22.1,22179.0
2021-02-10,21.62,22.2097,21.62,21.91,22890.0
2021-02-09,21.97,22.1899,21.53,21.695,31847.0
2021-02-08,21.85,22.06,21.78,21.8,10189.0
2021-02-05,22.07,22.071,21.76,21.76,25263.0
2021-02-04,21.97,22.0792,21.95,21.96,15708.0
2021-02-03,21.87,22.1787,21.78,21.95,29530.0
2021-02-02,21.66,21.92,21.6227,21.92,34896.0
2021-02-01,21.5,21.69,21.5,21.61,20946.0
2021-01-29,21.61,21.61,21.43,21.46,20474.0
2021-01-28,21.53,21.6192,21.43,21.56,28992.0
2021-01-27,21.64,21.84,21.42,21.43,33063.0
2021-01-26,21.84,21.85,21.65,21.67,36541.0
2021-01-25,21.83,21.83,21.57,21.74,69055.0
2021-01-22,21.83,21.89,21.78,21.8,19176.0
2021-01-21,21.9,21.9222,21.64,21.81,30497.0
2021-01-20,21.82,22.13,21.807,21.95,18244.0
2021-01-19,21.89,22.12,21.83,21.83,18776.0
2021-01-15,21.99,22.29,21.87,21.92,20983.0
2021-01-14,21.85,21.9824,21.82,21.93,13926.0
2021-01-13,21.62,21.859,21.605,21.82,11704.0
2021-01-12,21.65,21.67,21.5615,21.61,27099.0
2021-01-11,21.72,21.79,21.54,21.54,20390.0
2021-01-08,21.87,21.976,21.15,21.68,18616.0
2021-01-07,21.89,22.0814,21.75,21.77,21449.0
2021-01-06,22.08,22.08,21.87,22.02,13291.0
2021-01-05,22.19,22.22,21.831,21.98,18412.0
2021-01-04,22.41,22.41,22.02,22.26,12814.0
2020-12-31,22.55,22.56,22.15,22.36,48544.0
2020-12-30,22.35,22.56,22.2953,22.5,9530.0
2020-12-29,22.46,22.88,22.25,22.29,25448.0
2020-12-28,22.56,22.64,22.1716,22.4,22198.0
2020-12-24,22.51,22.59,22.324,22.59,10123.0
2020-12-23,22.4,22.62,22.1513,22.35,32285.0
2020-12-22,22.4,22.4,21.99,22.39,25155.0
2020-12-21,22.17,22.42,22.17,22.4,25746.0
2020-12-18,22.06,22.5,21.75,22.19,52634.0
2020-12-17,22.08,22.0999,21.87,22.0,35301.0
2020-12-16,22.06,22.11,21.63,21.97,73930.0
2020-12-15,22.0,22.09,21.9399,22.0,23286.0
2020-12-14,21.76,21.91,21.67,21.9,18005.0
2020-12-11,21.69,21.93,21.61,21.74,38028.0
2020-12-10,21.55,21.67,21.52,21.625,27402.0
2020-12-09,21.64,21.73,21.6,21.6,20268.0
2020-12-08,21.5,21.6959,21.47,21.65,19200.0
2020-12-07,21.58,21.83,21.55,21.56,25105.0
2020-12-04,21.51,21.62,21.47,21.58,33938.0
2020-12-03,21.25,21.5899,21.25,21.46,34352.0
2020-12-02,21.32,21.44,21.28,21.4,38592.0
2020-12-01,21.37,21.5498,21.36,21.41,32202.0
2020-11-30,21.29,21.5899,21.25,21.42,14506.0
2020-11-27,21.29,21.423,21.29,21.405,6888.0
2020-11-25,21.43,21.48,21.26,21.34,18702.0
2020-11-24,21.43,21.57,21.35,21.4,14358.0
2020-11-23,21.48,21.48,21.385,21.41,19689.0
2020-11-20,21.28,21.3751,21.18,21.35,17906.0
2020-11-19,21.48,21.48,21.11,21.43,22262.0
2020-11-18,21.45,21.5501,21.45,21.45,25842.0
2020-11-17,21.26,21.4,21.15,21.4,31287.0
2020-11-16,21.01,21.27,20.994,21.19,26984.0
2020-11-13,20.75,21.02,20.75,21.0,31429.0
2020-11-12,20.8,20.859,20.75,20.77,39128.0
2020-11-11,20.78,20.92,20.75,20.81,28016.0
2020-11-10,20.91,20.91,20.65,20.77,23311.0
2020-11-09,21.01,21.24,20.7,20.93,30053.0
2020-11-06,21.09,21.18,20.69,20.69,11787.0
2020-11-05,20.97,21.2377,20.91,21.13,28509.0
2020-11-04,20.63,20.95,20.63,20.88,23004.0
2020-11-03,20.62,20.69,20.55,20.56,18363.0
2020-11-02,20.52,20.62,20.4955,20.62,9151.0
2020-10-30,20.55,20.64,20.4223,20.5,7739.0
2020-10-29,20.57,20.69,20.554,20.64,18807.0
2020-10-28,20.69,20.726,20.56,20.57,15345.0
2020-10-27,20.71,20.8235,20.62,20.63,13996.0
2020-10-26,20.65,20.8,20.65,20.73,8921.0
2020-10-23,20.81,20.868,20.715,20.74,15391.0
2020-10-22,20.66,20.76,20.5491,20.76,18454.0
2020-10-21,20.74,20.7967,20.66,20.75,23225.0
2020-10-20,20.44,20.74,20.44,20.69,24114.0
2020-10-19,20.4,20.575,20.369,20.42,26423.0
2020-10-16,20.43,20.59,20.41,20.41,24374.0
2020-10-15,20.53,20.6387,20.41,20.41,23315.0
2020-10-14,20.53,20.68,20.53,20.68,40460.0
2020-10-13,20.76,20.786,20.42,20.51,33270.0
2020-10-12,20.76,20.92,20.74,20.76,26601.0
2020-10-09,20.86,20.86,20.69,20.815,32101.0
2020-10-08,20.57,20.859,20.57,20.78,25268.0
2020-10-07,20.64,20.7,20.55,20.56,28205.0
2020-10-06,20.57,20.6911,20.31,20.49,34947.0
2020-10-05,20.47,20.64,20.4,20.53,11710.0
2020-10-02,20.52,20.75,20.29,20.425,37250.0
2020-10-01,20.9,20.9,20.4273,20.64,22898.0
2020-09-30,20.85,20.97,20.74,20.74,19387.0
2020-09-29,20.93,20.9633,20.87,20.905,28631.0
2020-09-28,20.9,20.925,20.71,20.86,6141.0
2020-09-25,20.85,21.05,20.771,20.92,26401.0
2020-09-24,20.76,20.9,20.7,20.79,20542.0
2020-09-23,21.17,21.24,20.825,20.89,16524.0
2020-09-22,21.05,21.2699,21.05,21.26,20074.0
2020-09-21,21.16,21.26,21.08,21.19,32899.0
2020-09-18,21.2,21.29,21.16,21.29,12966.0
2020-09-17,21.17,21.32,21.01,21.12,21612.0
2020-09-16,21.15,21.33,21.15,21.26,34915.0
2020-09-15,21.08,21.12,20.946,21.12,35810.0
2020-09-14,21.18,21.18,20.97,20.99,17952.0
2020-09-11,21.17,21.25,20.99,20.99,24798.0
2020-09-10,21.24,21.41,20.88,21.14,23679.0
2020-09-09,21.14,21.27,21.11,21.25,28361.0
2020-09-08,21.15,21.27,20.86,21.2,27995.0
2020-09-04,21.44,21.444,21.13,21.24,21772.0
2020-09-03,21.79,21.88,20.79,21.32,117493.0
2020-09-02,21.71,21.8199,21.51,21.79,40782.0
2020-09-01,21.81,22.0084,21.5532,21.64,34921.0
2020-08-31,21.9,22.072,21.56,21.78,110081.0
2020-08-28,21.96,22.09,21.9,21.91,12552.0
2020-08-27,21.96,22.19,21.91,21.97,21484.0
2020-08-26,22.37,22.46,21.6,21.94,67674.0
2020-08-25,22.06,23.52,21.9,22.52,85252.0
2020-08-24,22.2,22.3499,21.91,22.035,28476.0
2020-08-21,22.31,22.31,21.56,22.0,24496.0
2020-08-20,22.71,22.71,22.1,22.1,20562.0
2020-08-19,22.92,23.124,21.93,22.69,23506.0
2020-08-18,23.44,23.5905,22.45,22.7055,27104.0
2020-08-17,23.58,23.799,23.24,23.34,65855.0
2020-08-14,22.93,23.64,22.93,23.58,82709.0
2020-08-13,22.9,22.99,22.71,22.98,22202.0
2020-08-12,22.87,22.9,22.74,22.87,26434.0
2020-08-11,22.55,22.9,22.55,22.76,28254.0
2020-08-10,22.53,22.6125,22.45,22.55,9206.0
2020-08-07,22.68,22.71,22.45,22.46,13281.0
2020-08-06,22.46,22.88,22.45,22.68,11929.0
2020-08-05,22.69,22.69,22.5,22.5,9206.0
2020-08-04,22.82,22.83,22.51,22.71,22583.0
2020-08-03,22.85,22.85,22.6192,22.82,18492.0
2020-07-31,22.7,22.845,22.45,22.82,3985.0
2020-07-30,22.72,22.75,22.39,22.705,14525.0
2020-07-29,22.83,22.9,22.56,22.6277,17424.0
2020-07-28,22.85,23.1,22.33,22.8,25681.0
2020-07-27,22.8,22.95,22.5,22.92,31237.0
2020-07-24,21.84,22.88,21.6129,22.88,22667.0
2020-07-23,21.69,21.8299,21.44,21.82,13223.0
2020-07-22,21.72,21.92,21.5,21.88,25070.0
2020-07-21,21.54,21.89,21.5,21.72,22918.0
2020-07-20,21.5,21.99,21.42,21.56,16919.0
2020-07-17,21.68,22.29,21.41,21.41,11219.0
2020-07-16,21.72,22.31,21.6,21.74,14528.0
2020-07-15,21.73,22.24,21.61,21.62,15974.0
2020-07-14,21.92,22.0,21.57,21.76,15902.0
2020-07-13,22.0,22.44,21.57,22.06,50814.0
2020-07-10,21.6,21.7,21.42,21.56,28774.0
2020-07-09,21.52,21.63,21.4,21.6,28377.0
2020-07-08,21.52,22.37,21.38,21.7,13525.0
2020-07-07,21.63,21.71,21.4,21.41,14307.0
2020-07-06,21.6,22.0,21.25,21.89,16699.0
2020-07-02,22.06,22.35,21.3,21.43,38962.0
2020-07-01,21.67,21.97,21.67,21.96,19523.0
2020-06-30,21.84,21.84,21.6,21.63,31228.0
2020-06-29,21.52,21.698,21.25,21.6,22148.0
2020-06-26,21.9,21.9,21.3,21.3,10209.0
2020-06-25,21.91,22.05,21.82,22.05,15630.0
2020-06-24,21.83,22.09,21.75,22.06,20991.0
2020-06-23,21.98,22.35,21.71,21.71,14397.0
2020-06-22,22.09,22.33,21.73,21.76,13312.0
2020-06-19,22.7,22.94,22.07,22.09,18861.0
2020-06-18,22.83,22.83,22.4,22.42,12081.0
2020-06-17,22.74,22.79,22.06,22.78,24384.0
2020-06-16,22.35,22.68,21.94,22.68,20586.0
2020-06-15,21.6,22.1,21.6,21.92,13253.0
2020-06-12,21.79,21.82,21.32,21.75,10722.0
2020-06-11,22.07,22.12,21.33,21.39,17752.0
2020-06-10,22.13,22.29,22.07,22.29,44700.0
2020-06-09,21.9,22.3,21.82,21.865,22952.0
2020-06-08,22.1,22.14,21.82,21.83,11067.0
2020-06-05,21.91,22.08,21.45,21.86,35484.0
2020-06-04,21.79,21.95,21.71,21.94,13317.0
2020-06-03,22.02,22.1,21.79,21.79,16589.0
2020-06-02,22.11,22.18,22.04,22.1,13010.0
2020-06-01,21.86,22.3,21.86,22.11,20022.0
2020-05-29,21.9,22.09,21.81,21.91,11733.0
2020-05-28,22.3,22.3,21.79,21.9,26689.0
2020-05-27,22.24,22.26,21.31,22.03,26350.0
2020-05-26,22.18,22.4,22.04,22.08,17862.0
2020-05-22,21.44,22.18,21.39,22.1,32731.0
2020-05-21,21.1,21.45,21.1,21.32,39804.0
2020-05-20,21.06,21.3,21.06,21.12,21203.0
2020-05-19,21.14,21.14,20.91,20.92,14053.0
2020-05-18,21.3,21.3,20.87,21.0,41866.0
2020-05-15,20.99,21.11,20.69,21.0,17601.0
2020-05-14,20.95,21.1,20.69,20.79,18286.0
2020-05-13,21.0,21.15,20.82,21.11,63358.0
2020-05-12,21.24,21.27,21.05,21.09,33717.0
2020-05-11,20.51,21.04,20.35,21.01,23250.0
2020-05-08,19.85,20.55,19.85,20.52,20207.0
2020-05-07,19.89,20.15,19.54,19.92,28308.0
2020-05-06,19.79,20.1,19.51,19.84,34993.0
