date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,9.09,9.29,9.061,9.29,139649.0
2021-03-12,9.12,9.14,9.01,9.04,87818.0
2021-03-11,9.16,9.18,9.12,9.13,86848.0
2021-03-10,9.36,9.36,9.11,9.16,91181.0
2021-03-09,9.2,9.33,9.16,9.24,133923.0
2021-03-08,9.13,9.2,9.1,9.2,53241.0
2021-03-05,9.15,9.195,9.13,9.14,22902.0
2021-03-04,9.25,9.25,9.13,9.18,38804.0
2021-03-03,9.26,9.2901,9.21,9.26,105870.0
2021-03-02,9.18,9.24,9.08,9.21,163604.0
2021-03-01,9.1,9.18,9.0329,9.13,66470.0
2021-02-26,9.14,9.14,9.02,9.09,49618.0
2021-02-25,9.04,9.14,9.0,9.09,47829.0
2021-02-24,8.96,8.98,8.9,8.96,99201.0
2021-02-23,9.01,9.07,8.96,9.03,62363.0
2021-02-22,9.12,9.12,8.95,9.08,88604.0
2021-02-19,9.07,9.21,9.04,9.14,64017.0
2021-02-18,9.07,9.2,9.05,9.09,51656.0
2021-02-17,9.08,9.19,9.05,9.09,61908.0
2021-02-16,9.07,9.16,9.05,9.09,147416.0
2021-02-12,9.17,9.22,9.08,9.12,81934.0
2021-02-11,9.2,9.38,9.1,9.13,60539.0
2021-02-10,9.25,9.2777,9.15,9.25,40065.0
2021-02-09,9.12,9.32,9.07,9.23,71750.0
2021-02-08,9.02,9.25,9.02,9.2,65272.0
2021-02-05,9.067,9.2,8.82,8.99,231317.0
2021-02-04,8.93,9.15,8.93,9.12,35564.0
2021-02-03,9.0405,9.07,9.0,9.0,114120.0
2021-02-02,9.0,9.16,8.97,9.0,82153.0
2021-02-01,9.0,9.04,8.91,9.01,112092.0
2021-01-29,8.9,9.03,8.87,9.02,45105.0
2021-01-28,8.82,8.96,8.82,8.93,22058.0
2021-01-27,8.82,8.9297,8.78,8.86,31520.0
2021-01-26,8.83,9.0698,8.83,8.91,63756.0
2021-01-25,8.91,8.9101,8.72,8.87,63790.0
2021-01-22,8.93,8.97,8.84,8.91,63357.0
2021-01-21,8.89,8.89,8.8,8.85,56461.0
2021-01-20,8.76,8.85,8.7,8.85,66794.0
2021-01-19,8.72,8.78,8.69,8.72,29097.0
2021-01-15,8.78,8.78,8.65,8.69,54111.0
2021-01-14,8.75,8.75,8.636,8.68,107461.0
2021-01-13,8.62,8.8,8.59,8.7,61083.0
2021-01-12,8.49,8.69,8.49,8.69,60144.0
2021-01-11,8.54,8.64,8.47,8.54,66496.0
2021-01-08,8.55,8.65,8.52,8.54,51806.0
2021-01-07,8.61,8.72,8.49,8.5,76969.0
2021-01-06,8.52,8.65,8.52,8.58,56806.0
2021-01-05,8.53,8.59,8.49,8.56,34023.0
2021-01-04,8.47,8.54,8.43,8.49,109974.0
2020-12-31,8.49,8.5,8.4,8.43,498159.0
2020-12-30,8.43,8.49,8.4,8.43,213550.0
2020-12-29,8.4,8.5,8.39,8.42,200289.0
2020-12-28,8.48,8.5021,8.38,8.44,208856.0
2020-12-24,8.48,8.5548,8.48,8.51,98996.0
2020-12-23,8.5,8.6,8.41,8.5,137363.0
2020-12-22,8.4,8.53,8.37,8.51,189939.0
2020-12-21,8.42,8.46,8.33,8.37,144106.0
2020-12-18,8.43,8.51,8.41,8.42,106918.0
2020-12-17,8.45,8.52,8.42,8.49,133292.0
2020-12-16,8.5,8.57,8.4,8.47,115787.0
2020-12-15,8.49,8.55,8.43,8.53,109928.0
2020-12-14,8.57,8.57,8.36,8.43,210458.0
2020-12-11,8.5,8.58,8.44,8.56,68451.0
2020-12-10,8.46,8.58,8.4,8.45,92157.0
