date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,5.5,5.53,5.5,5.51,26248.0
2021-03-17,5.49,5.52,5.49,5.51,13816.0
2021-03-16,5.48,5.52,5.48,5.5101,34053.0
2021-03-15,5.45,5.5,5.45,5.47,54689.0
2021-03-12,5.46,5.4899,5.46,5.48,18995.0
2021-03-11,5.46,5.49,5.46,5.48,25988.0
2021-03-10,5.41,5.45,5.39,5.45,75221.0
2021-03-09,5.39,5.41,5.3815,5.41,46788.0
2021-03-08,5.33,5.38,5.3204,5.37,54233.0
2021-03-05,5.35,5.365,5.3476,5.36,30712.0
2021-03-04,5.35,5.3814,5.34,5.34,75681.0
2021-03-03,5.36,5.37,5.35,5.36,23526.0
2021-03-02,5.33,5.3826,5.33,5.36,18495.0
2021-03-01,5.32,5.37,5.295,5.36,44146.0
2021-02-26,5.39,5.39,5.35,5.35,54456.0
2021-02-25,5.41,5.43,5.39,5.39,60171.0
2021-02-24,5.37,5.4299,5.37,5.42,53474.0
2021-02-23,5.35,5.39,5.35,5.39,55609.0
2021-02-22,5.3799,5.38,5.35,5.36,24737.0
2021-02-19,5.36,5.39,5.36,5.38,59400.0
2021-02-18,5.36,5.3601,5.35,5.35,105316.0
2021-02-17,5.39,5.4,5.36,5.36,107981.0
2021-02-16,5.36,5.41,5.36,5.4,105029.0
2021-02-12,5.33,5.39,5.33,5.39,11306.0
2021-02-11,5.32,5.37,5.32,5.36,45297.0
2021-02-10,5.32,5.347,5.31,5.33,18840.0
2021-02-09,5.25,5.32,5.25,5.31,118982.0
2021-02-08,5.28,5.2933,5.263,5.27,62458.0
2021-02-05,5.24,5.27,5.24,5.25,55842.0
2021-02-04,5.23,5.2499,5.23,5.24,64119.0
2021-02-03,5.22,5.24,5.22,5.22,66692.0
2021-02-02,5.19,5.25,5.19,5.23,54944.0
2021-02-01,5.2,5.22,5.19,5.2,49303.0
2021-01-29,5.23,5.2344,5.21,5.22,103916.0
2021-01-28,5.24,5.29,5.23,5.27,83195.0
2021-01-27,5.28,5.28,5.24,5.25,75427.0
2021-01-26,5.3,5.35,5.29,5.3,125520.0
2021-01-25,5.26,5.31,5.26,5.3,81387.0
2021-01-22,5.3,5.3,5.245,5.28,51019.0
2021-01-21,5.31,5.33,5.3,5.31,55493.0
2021-01-20,5.29,5.34,5.28,5.33,200304.0
2021-01-19,5.23,5.3,5.23,5.29,389228.0
2021-01-15,5.29,5.3613,5.22,5.24,882938.0
2021-01-14,4.6,4.6398,4.6,4.61,16122.0
2021-01-13,4.6,4.63,4.6,4.6,35515.0
2021-01-12,4.56,4.63,4.55,4.62,40449.0
2021-01-11,4.59,4.615,4.58,4.6,93876.0
2021-01-08,4.65,4.65,4.63,4.65,8106.0
2021-01-07,4.59,4.65,4.59,4.64,21883.0
2021-01-06,4.61,4.63,4.6,4.6,44123.0
2021-01-05,4.56,4.61,4.56,4.61,34541.0
2021-01-04,4.61,4.63,4.56,4.57,19484.0
2020-12-31,4.55,4.59,4.55,4.58,24954.0
2020-12-30,4.56,4.62,4.55,4.55,38384.0
2020-12-29,4.59,4.62,4.59,4.6,42726.0
2020-12-28,4.58,4.64,4.56,4.58,23486.0
2020-12-24,4.57,4.58,4.55,4.57,8257.0
2020-12-23,4.52,4.552,4.52,4.55,26211.0
2020-12-22,4.51,4.55,4.51,4.53,25853.0
2020-12-21,4.5,4.52,4.44,4.52,35329.0
2020-12-18,4.55,4.57,4.51,4.53,51317.0
2020-12-17,4.59,4.5911,4.53,4.54,62417.0
2020-12-16,4.55,4.56,4.52,4.55,62228.0
2020-12-15,4.59,4.59,4.55,4.56,148138.0
2020-12-14,4.55,4.58,4.52,4.53,91888.0
2020-12-11,4.53,4.555,4.49,4.54,36584.0
2020-12-10,4.53,4.55,4.48,4.53,38346.0
2020-12-09,4.52,4.58,4.51,4.55,27686.0
2020-12-08,4.51,4.54,4.47,4.52,35476.0
2020-12-07,4.52,4.54,4.5,4.5,54112.0
2020-12-04,4.54,4.55,4.51,4.55,43406.0
2020-12-03,4.51,4.5503,4.49,4.5,81420.0
2020-12-02,4.53,4.53,4.48,4.52,60528.0
2020-12-01,4.48,4.565,4.41,4.55,102166.0
2020-11-30,4.54,4.56,4.48,4.52,34517.0
2020-11-27,4.52,4.5599,4.43,4.51,23020.0
2020-11-25,4.56,4.58,4.49,4.51,37642.0
2020-11-24,4.54,4.57,4.5162,4.56,26561.0
2020-11-23,4.49,4.53,4.48,4.53,44461.0
2020-11-20,4.49,4.49,4.44,4.48,53142.0
2020-11-19,4.42,4.48,4.42,4.46,109623.0
2020-11-18,4.48,4.48,4.42,4.46,12683.0
2020-11-17,4.41,4.5164,4.41,4.45,84176.0
2020-11-16,4.5,4.52,4.44,4.45,22466.0
2020-11-13,4.43,4.48,4.4019,4.48,32098.0
2020-11-12,4.39,4.42,4.37,4.4,22435.0
2020-11-11,4.41,4.44,4.39,4.39,17666.0
2020-11-10,4.36,4.4046,4.36,4.37,30935.0
2020-11-09,4.47,4.6,4.37,4.37,34141.0
2020-11-06,4.36,4.37,4.3,4.34,21695.0
2020-11-05,4.31,4.355,4.31,4.35,28464.0
2020-11-04,4.28,4.31,4.22,4.25,12437.0
2020-11-03,4.17,4.25,4.17,4.23,31578.0
2020-11-02,4.12,4.174,4.12,4.15,27351.0
2020-10-30,4.17,4.17,4.08,4.12,20060.0
2020-10-29,4.13,4.24,4.115,4.24,20590.0
2020-10-28,4.25,4.25,4.12,4.1406,18894.0
2020-10-27,4.34,4.34,4.27,4.28,6578.0
2020-10-26,4.36,4.3907,4.326,4.343,31239.0
2020-10-23,4.39,4.41,4.3501,4.4,15365.0
2020-10-22,4.33,4.39,4.33,4.39,45874.0
2020-10-21,4.33,4.361,4.32,4.35,27684.0
2020-10-20,4.28,4.32,4.28,4.32,13572.0
2020-10-19,4.28,4.3548,4.25,4.25,19674.0
2020-10-16,4.3,4.3169,4.27,4.29,44150.0
2020-10-15,4.36,4.36,4.28,4.31,28323.0
2020-10-14,4.399,4.44,4.3831,4.4,8788.0
2020-10-13,4.4,4.4384,4.36,4.38,12742.0
2020-10-12,4.41,4.455,4.39,4.42,19886.0
2020-10-09,4.37,4.4108,4.35,4.4,36609.0
2020-10-08,4.41,4.43,4.35,4.36,15024.0
2020-10-07,4.39,4.42,4.33,4.42,33430.0
2020-10-06,4.43,4.465,4.34,4.34,19195.0
2020-10-05,4.34,4.43,4.34,4.42,25103.0
2020-10-02,4.3,4.3517,4.3,4.35,20406.0
2020-10-01,4.37,4.4146,4.27,4.32,86139.0
2020-09-30,4.31,4.46,4.31,4.43,69119.0
2020-09-29,4.39,4.43,4.39,4.39,25763.0
2020-09-28,4.32,4.41,4.3,4.41,39913.0
2020-09-25,4.25,4.33,4.235,4.33,23058.0
2020-09-24,4.26,4.3153,4.26,4.26,13140.0
2020-09-23,4.32,4.345,4.26,4.26,19132.0
2020-09-22,4.32,4.38,4.12,4.34,73510.0
2020-09-21,4.32,4.34,4.2959,4.31,15627.0
2020-09-18,4.38,4.39,4.37,4.39,6868.0
2020-09-17,4.35,4.4,4.32,4.4,23448.0
2020-09-16,4.4,4.41,4.39,4.39,6911.0
2020-09-15,4.43,4.43,4.39,4.39,19261.0
2020-09-14,4.37,4.42,4.36,4.41,8277.0
2020-09-11,4.36,4.385,4.35,4.36,19005.0
2020-09-10,4.37,4.38,4.32,4.35,14757.0
2020-09-09,4.29,4.36,4.29,4.3585,13880.0
2020-09-08,4.25,4.29,4.22,4.26,29692.0
2020-09-04,4.31,4.33,4.19,4.32,97097.0
2020-09-03,4.45,4.45,4.3002,4.325,78033.0
2020-09-02,4.4,4.5,4.4,4.48,53995.0
2020-09-01,4.38,4.44,4.35,4.42,212327.0
2020-08-31,4.4,4.44,4.4,4.42,163424.0
2020-08-28,4.4,4.43,4.4,4.42,29956.0
2020-08-27,4.36,4.41,4.36,4.4,80586.0
2020-08-26,4.34,4.39,4.33,4.39,25947.0
2020-08-25,4.35,4.35,4.33,4.35,24254.0
2020-08-24,4.37,4.4,4.32,4.32,56288.0
2020-08-21,4.3,4.3297,4.3,4.32,13958.0
2020-08-20,4.32,4.36,4.32,4.36,45604.0
2020-08-19,4.36,4.4,4.35,4.35,45108.0
2020-08-18,4.32,4.4,4.316,4.34,56704.0
2020-08-17,4.32,4.35,4.3181,4.3397,6595.0
2020-08-14,4.3,4.33,4.28,4.3,19169.0
2020-08-13,4.34,4.3486,4.3,4.33,18770.0
2020-08-12,4.29,4.33,4.29,4.33,14790.0
2020-08-11,4.26,4.28,4.21,4.23,65235.0
2020-08-10,4.25,4.26,4.2181,4.24,16044.0
2020-08-07,4.22,4.24,4.2122,4.24,11060.0
2020-08-06,4.26,4.26,4.22,4.22,14292.0
2020-08-05,4.23,4.26,4.23,4.26,18314.0
2020-08-04,4.19,4.21,4.18,4.2,39829.0
2020-08-03,4.21,4.22,4.16,4.17,75781.0
2020-07-31,4.23,4.2799,4.199,4.22,164514.0
2020-07-30,4.26,4.28,4.16,4.28,58014.0
2020-07-29,4.23,4.3,4.2051,4.26,40951.0
2020-07-28,4.25,4.25,4.2089,4.23,37383.0
2020-07-27,4.19,4.23,4.19,4.22,19258.0
2020-07-24,4.17,4.24,4.16,4.17,52929.0
2020-07-23,4.15,4.2498,4.15,4.18,55637.0
2020-07-22,4.19,4.22,4.18,4.18,16493.0
2020-07-21,4.18,4.22,4.17,4.21,18690.0
2020-07-20,4.13,4.19,4.11,4.18,14209.0
2020-07-17,4.17,4.19,4.13,4.15,11657.0
2020-07-16,4.12,4.21,4.12,4.16,18597.0
2020-07-15,4.2,4.22,4.19,4.19,16351.0
2020-07-14,4.15,4.19,4.09,4.17,29031.0
2020-07-13,4.16,4.18,4.13,4.15,17413.0
2020-07-10,4.16,4.16,4.11,4.16,27627.0
2020-07-09,4.16,4.2,4.12,4.12,12341.0
2020-07-08,4.15,4.2,4.15,4.16,6030.0
2020-07-07,4.16,4.18,4.12,4.15,7968.0
2020-07-06,4.2,4.21,4.17,4.17,5832.0
2020-07-02,4.13,4.18,4.13,4.17,34486.0
2020-07-01,4.08,4.13,4.08,4.11,9621.0
2020-06-30,4.09,4.16,4.09,4.13,37430.0
2020-06-29,4.1,4.17,4.09,4.12,10608.0
2020-06-26,4.13,4.15,4.11,4.11,15536.0
2020-06-25,4.16,4.2,4.1,4.16,36480.0
2020-06-24,4.24,4.25,4.17,4.19,25069.0
2020-06-23,4.29,4.29,4.22,4.26,26827.0
2020-06-22,4.19,4.23,4.17,4.23,5772.0
2020-06-19,4.24,4.27,4.17,4.2,65531.0
2020-06-18,4.2,4.25,4.19,4.21,5636.0
2020-06-17,4.28,4.31,4.24,4.24,15236.0
2020-06-16,4.27,4.41,4.23,4.26,8683.0
2020-06-15,4.1,4.19,4.03,4.19,27074.0
2020-06-12,4.22,4.28,4.15,4.17,7548.0
2020-06-11,4.22,4.28,4.12,4.12,38123.0
2020-06-10,4.32,4.36,4.31,4.31,23138.0
2020-06-09,4.28,4.34,4.28,4.3,10840.0
2020-06-08,4.35,4.38,4.31,4.34,11208.0
2020-06-05,4.3,4.36,4.26,4.33,17000.0
2020-06-04,4.25,4.27,4.2,4.25,9587.0
2020-06-03,4.24,4.3,4.2,4.26,15770.0
2020-06-02,4.19,4.25,4.18,4.22,11386.0
2020-06-01,4.13,4.21,4.1,4.21,26052.0
2020-05-29,4.21,4.21,4.12,4.16,36747.0
2020-05-28,4.17,4.2,4.11,4.19,26565.0
2020-05-27,4.03,4.13,4.03,4.12,26470.0
2020-05-26,4.07,4.11,4.05,4.1,16370.0
2020-05-22,3.99,4.03,3.98,4.03,10317.0
2020-05-21,4.04,4.04,3.95,3.95,13563.0
2020-05-20,4.05,4.05,3.99,4.03,7339.0
2020-05-19,4.02,4.02,4.0,4.01,5756.0
2020-05-18,3.9,4.02,3.9,4.02,14257.0
2020-05-15,3.87,3.89,3.85,3.89,11104.0
2020-05-14,3.84,3.9,3.82,3.87,24039.0
2020-05-13,3.96,3.96,3.86,3.89,37679.0
2020-05-12,4.0,4.0,3.94,3.95,17014.0
2020-05-11,3.99,3.99,3.97,3.98,8876.0
2020-05-08,3.94,4.06,3.94,3.98,7827.0
2020-05-07,3.92,3.96,3.89,3.94,22292.0
2020-05-06,3.97,4.0,3.85,3.85,41946.0
2020-05-05,3.93,4.0,3.93,3.97,26088.0
2020-05-04,3.88,3.91,3.87,3.91,37853.0
2020-05-01,3.94,3.95,3.88,3.9,53249.0
2020-04-30,4.04,4.07,4.01,4.03,43117.0
2020-04-29,4.08,4.11,4.02,4.07,73334.0
2020-04-28,4.01,4.02,3.99,3.99,18174.0
2020-04-27,3.99,4.0,3.93,3.99,51427.0
2020-04-24,3.89,3.94,3.89,3.94,29799.0
2020-04-23,3.92,3.95,3.87,3.9,44031.0
2020-04-22,3.9,4.0,3.88,3.9,41752.0
2020-04-21,3.92,3.95,3.75,3.83,57622.0
2020-04-20,4.0,4.0,3.92,3.94,72428.0
2020-04-17,4.01,4.05,3.94,3.99,43722.0
2020-04-16,3.98,4.06,3.92,3.94,20853.0
2020-04-15,4.0,4.08,3.89,3.99,29904.0
2020-04-14,4.08,4.15,4.04,4.11,14373.0
2020-04-13,4.15,4.15,3.99,4.02,35069.0
2020-04-09,3.97,4.13,3.97,4.12,35715.0
2020-04-08,3.87,4.01,3.86,4.0,53152.0
2020-04-07,3.92,3.95,3.84,3.86,56228.0
2020-04-06,3.7,3.8,3.7,3.8,19563.0
2020-04-03,3.7,3.72,3.61,3.61,14254.0
2020-04-02,3.69,3.8,3.69,3.75,9741.0
2020-04-01,3.71,3.76,3.67,3.68,81240.0
2020-03-31,3.85,3.94,3.76,3.83,81232.0
2020-03-30,3.88,3.92,3.82,3.89,47757.0
2020-03-27,3.81,3.92,3.7,3.89,4872.0
2020-03-26,3.66,3.95,3.66,3.86,35708.0
2020-03-25,3.44,3.8,3.44,3.68,19947.0
2020-03-24,3.24,3.48,3.24,3.44,75500.0
2020-03-23,3.42,3.42,3.11,3.23,42365.0
