date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,190.06,196.4852,188.07,194.43,431929.0
2021-03-12,180.54,188.68,176.98,188.48,348135.0
2021-03-11,176.17,182.545,176.07,180.73,433198.0
2021-03-10,174.78,179.51,170.31,172.02,704012.0
2021-03-09,171.5,177.18,171.5,172.72,625298.0
2021-03-08,174.0,183.22,165.25,165.65,639282.0
2021-03-05,182.44,182.73,160.91,173.74,920340.0
2021-03-04,183.95,186.94,176.23,182.16,659014.0
2021-03-03,191.04,192.53,184.0,187.77,367460.0
2021-03-02,197.0,198.22,190.38,191.04,309564.0
2021-03-01,199.66,204.39,195.0001,196.1,544274.0
2021-02-26,185.89,198.0,184.01,195.0,768087.0
2021-02-25,208.81,209.06,175.0,188.64,2729957.0
2021-02-24,210.09,222.082,208.25,220.16,439909.0
2021-02-23,208.54,210.465,190.06,208.5,548316.0
2021-02-22,212.42,219.64,210.3,211.57,247188.0
2021-02-19,209.0,215.9783,207.81,214.57,224835.0
2021-02-18,211.93,216.9074,209.0638,209.23,223795.0
2021-02-17,217.48,218.55,210.51,214.42,318575.0
2021-02-16,214.52,221.03,214.28,219.78,259366.0
2021-02-12,209.8,216.8742,206.69,214.4,299937.0
2021-02-11,213.85,215.2,203.9,209.72,322969.0
2021-02-10,213.79,218.13,208.1016,210.12,338468.0
2021-02-09,213.21,214.55,209.5,211.99,377469.0
2021-02-08,217.11,217.49,209.0,215.18,367947.0
2021-02-05,208.59,212.3886,206.11,211.48,186533.0
2021-02-04,209.02,210.73,204.4401,208.38,303124.0
2021-02-03,207.03,209.79,202.28,208.82,388223.0
2021-02-02,196.72,207.5796,195.1901,204.26,469689.0
2021-02-01,188.94,195.31,187.67,194.58,187388.0
2021-01-29,190.19,193.475,184.56,187.12,372487.0
2021-01-28,192.74,198.8376,191.3,191.8,360032.0
2021-01-27,194.92,197.55,187.01,187.99,490984.0
2021-01-26,195.66,201.85,195.24,201.09,348103.0
2021-01-25,195.5,206.45,191.19,193.94,519792.0
2021-01-22,193.95,196.0,189.79,194.38,298352.0
2021-01-21,195.43,198.25,188.13,196.65,547498.0
2021-01-20,190.0,199.5,189.8,195.62,494664.0
2021-01-19,191.85,192.88,180.66,189.24,485537.0
2021-01-15,190.0,190.89,181.6,189.3,515342.0
2021-01-14,187.55,191.5,187.38,189.77,348069.0
2021-01-13,185.44,193.73,184.45,187.12,411345.0
2021-01-12,190.25,196.61,180.51,185.44,712568.0
2021-01-11,176.94,191.27,175.48,189.41,803555.0
2021-01-08,174.94,178.57,172.5,178.44,618664.0
2021-01-07,182.94,183.48,170.61,174.3,845778.0
2021-01-06,186.24,186.977,177.1,178.99,817481.0
2021-01-05,178.0,181.33,176.49,180.03,344879.0
2021-01-04,184.0,186.264,174.02,177.5,416156.0
2020-12-31,183.3,184.85,180.34,183.13,211263.0
2020-12-30,180.9,184.9899,180.38,183.68,271789.0
2020-12-29,185.55,187.69,175.0201,181.28,728628.0
2020-12-28,190.85,191.72,183.21,186.02,424049.0
2020-12-24,189.1,191.0,187.42,188.43,191496.0
2020-12-23,196.0,199.35,186.0704,188.75,685205.0
2020-12-22,194.5,198.15,193.19,197.64,482471.0
2020-12-21,185.5,193.08,184.08,192.98,500827.0
2020-12-18,190.0,193.24,187.11,188.54,855630.0
2020-12-17,183.67,189.16,182.19,188.73,615918.0
2020-12-16,176.96,184.4463,176.92,182.23,896473.0
2020-12-15,171.5,176.9,168.62,176.9,630228.0
2020-12-14,166.0,172.05,164.9201,168.62,970662.0
2020-12-11,160.0,163.035,158.28,161.07,322972.0
2020-12-10,156.0,161.85,155.0287,161.18,315059.0
2020-12-09,157.02,164.42,156.37,157.89,860323.0
2020-12-08,154.99,156.69,152.76,156.02,281864.0
2020-12-07,153.55,156.3,153.31,154.45,473764.0
2020-12-04,149.62,153.07,148.8734,152.91,494578.0
2020-12-03,153.73,153.92,146.807,147.66,968526.0
2020-12-02,153.8,153.99,150.9,153.21,323332.0
2020-12-01,154.58,154.9399,151.0,154.23,691901.0
2020-11-30,157.57,157.91,150.3624,153.66,371351.0
2020-11-27,157.59,157.98,154.0101,156.79,195215.0
2020-11-25,155.0,156.52,151.78,156.28,346362.0
2020-11-24,157.0,158.76,152.5,154.62,612961.0
2020-11-23,152.85,160.15,152.85,153.9,621671.0
2020-11-20,154.01,154.7284,150.0038,151.95,203356.0
2020-11-19,150.21,153.63,150.05,153.47,270488.0
2020-11-18,150.55,153.25,149.165,150.07,515862.0
2020-11-17,154.33,155.54,148.79,149.76,454093.0
2020-11-16,154.94,158.5973,150.5,153.49,432338.0
2020-11-13,155.6,156.54,152.16,152.46,371933.0
2020-11-12,154.94,155.77,152.1,155.3,422802.0
2020-11-11,154.49,157.93,153.5135,155.39,301166.0
2020-11-10,145.62,156.03,145.07,153.49,699309.0
2020-11-09,161.47,164.99,144.41,145.06,628920.0
2020-11-06,157.33,160.55,150.92,152.38,548607.0
2020-11-05,141.29,156.42,140.2918,155.87,1293162.0
2020-11-04,124.79,136.4571,124.3899,133.58,595521.0
2020-11-03,123.05,123.5,119.5,122.93,284571.0
2020-11-02,117.57,123.23,117.21,122.53,373600.0
2020-10-30,119.73,119.73,112.25,116.63,608443.0
2020-10-29,121.73,122.7151,117.5543,119.93,224324.0
2020-10-28,119.75,122.95,118.24,121.5,350952.0
2020-10-27,122.16,124.7,120.66,121.71,251569.0
2020-10-26,123.0,123.0,117.12,121.75,589562.0
2020-10-23,127.71,128.14,123.26,124.0,455361.0
2020-10-22,127.37,129.255,125.45,127.18,241943.0
2020-10-21,129.18,129.5499,123.61,126.58,420740.0
2020-10-20,129.27,130.6,127.82,128.66,233039.0
2020-10-19,131.22,132.1598,128.05,128.9,258203.0
2020-10-16,130.6,132.07,127.33,129.51,322908.0
2020-10-15,130.61,132.88,129.49,131.25,196013.0
2020-10-14,135.59,136.63,130.11,131.4,357540.0
2020-10-13,135.25,136.31,134.5746,135.77,336981.0
2020-10-12,132.7,134.52,130.97,134.19,290744.0
2020-10-09,131.05,132.005,130.2584,131.22,276795.0
2020-10-08,131.3,132.25,128.513,129.78,979249.0
2020-10-07,125.95,131.41,124.82,129.96,870553.0
2020-10-06,127.0,127.25,123.32,124.43,247719.0
2020-10-05,126.24,127.43,125.34,126.6,304478.0
2020-10-02,121.83,125.5,121.78,125.31,566621.0
2020-10-01,125.0,125.49,122.59,125.13,267374.0
2020-09-30,125.66,126.895,122.1501,124.11,394917.0
2020-09-29,127.06,128.21,124.25,124.75,503732.0
2020-09-28,125.2,129.4,125.08,128.3,417241.0
2020-09-25,120.22,124.06,119.7401,123.36,550501.0
2020-09-24,118.67,121.05,115.43,119.31,528934.0
2020-09-23,123.97,124.23,117.77,118.13,399294.0
2020-09-22,123.3,124.92,122.7001,124.59,439427.0
2020-09-21,122.29,123.54,119.23,123.26,589952.0
2020-09-18,127.67,128.09,122.335,124.79,1128877.0
2020-09-17,126.55,128.47,124.0401,126.18,492946.0
2020-09-16,127.14,130.2469,126.59,128.08,838090.0
2020-09-15,121.14,125.9499,121.0001,125.85,642179.0
2020-09-14,123.25,123.51,119.4,120.31,369256.0
2020-09-11,123.75,124.44,119.02,121.62,189931.0
2020-09-10,123.4,125.5562,122.4289,123.27,335997.0
2020-09-09,120.49,124.46,120.37,123.44,990111.0
2020-09-08,117.72,121.58,115.3,118.41,545027.0
2020-09-04,122.66,123.6865,108.5,117.72,886922.0
2020-09-03,125.52,126.9062,121.0801,123.18,382557.0
2020-09-02,125.25,126.92,123.29,125.91,252663.0
2020-09-01,123.43,126.64,122.6713,125.07,427433.0
2020-08-31,125.0,125.0723,122.25,123.09,331558.0
2020-08-28,125.12,126.095,123.76,125.21,152614.0
2020-08-27,123.83,125.35,123.69,124.61,145542.0
2020-08-26,123.25,124.53,122.02,123.43,174835.0
2020-08-25,121.77,123.41,120.8475,123.29,200436.0
2020-08-24,120.5,121.8242,119.2001,121.09,218644.0
2020-08-21,121.61,122.95,119.2,120.84,213270.0
2020-08-20,118.14,122.83,118.0,121.61,191792.0
2020-08-19,119.2,121.0,118.21,119.55,256581.0
2020-08-18,121.54,121.97,118.88,119.06,340263.0
2020-08-17,119.91,121.25,119.2,121.25,240151.0
2020-08-14,118.88,120.99,118.26,119.91,257461.0
2020-08-13,117.37,120.7094,117.165,118.88,313848.0
2020-08-12,114.47,118.19,113.75,117.49,257169.0
2020-08-11,118.05,118.38,111.69,113.94,317732.0
2020-08-10,115.89,118.07,115.67,116.94,299397.0
2020-08-07,111.5,117.34,111.49,114.63,411937.0
2020-08-06,108.66,112.6033,108.05,111.17,569879.0
2020-08-05,107.11,107.48,105.6011,107.05,355437.0
2020-08-04,104.05,106.98,103.3396,105.98,273283.0
2020-08-03,104.75,104.99,102.54,103.73,326014.0
2020-07-31,105.48,105.9749,101.78,104.23,262917.0
2020-07-30,103.29,107.0,102.935,105.32,413725.0
2020-07-29,99.5,104.34,99.33,104.07,738588.0
2020-07-28,96.0,100.44,95.66,99.01,510771.0
2020-07-27,93.0,95.71,91.55,95.63,214953.0
2020-07-24,96.17,96.45,92.01,93.06,361483.0
2020-07-23,96.0,99.643,95.0,97.5,445712.0
2020-07-22,94.26,96.4,94.01,96.21,163756.0
2020-07-21,95.0,96.54,94.39,94.91,227276.0
2020-07-20,94.5,96.0,94.35,94.66,270146.0
2020-07-17,92.95,94.12,92.0,93.95,188685.0
2020-07-16,92.53,93.64,91.75,92.67,199261.0
2020-07-15,94.07,94.6,92.29,93.44,235336.0
2020-07-14,89.97,91.6,89.09,91.5,238759.0
2020-07-13,90.87,92.952,89.22,89.34,259556.0
2020-07-10,89.8,91.21,89.31,90.78,206515.0
2020-07-09,92.08,92.25,89.06,89.75,286742.0
2020-07-08,91.9,93.25,90.923,91.95,160523.0
2020-07-07,96.0,96.0,91.35,91.75,337647.0
2020-07-06,96.15,97.35,95.0,96.43,442825.0
2020-07-02,95.44,97.38,92.14,92.79,1058292.0
2020-07-01,89.15,95.08,88.71,93.76,1984699.0
2020-06-30,85.75,88.59,85.4,88.02,1960794.0
2020-06-29,88.9,91.09,86.41,90.42,321395.0
2020-06-26,92.38,92.71,88.73,89.26,522741.0
2020-06-25,91.5,92.83,90.69,92.83,310752.0
2020-06-24,95.23,95.79,89.82,91.96,356902.0
2020-06-23,96.71,97.34,95.44,96.2,264956.0
2020-06-22,95.98,96.77,94.5,95.89,256555.0
2020-06-19,98.91,101.48,95.5,95.65,1060515.0
2020-06-18,96.83,99.62,96.28,98.98,329733.0
2020-06-17,98.92,100.34,97.444,98.25,385375.0
2020-06-16,98.54,99.51,95.84,98.71,413045.0
2020-06-15,88.62,95.86,88.0,95.84,735058.0
2020-06-12,90.25,91.333,88.07,90.09,344526.0
2020-06-11,87.52,88.93,86.0,87.25,386227.0
2020-06-10,93.1,93.98,87.545,92.42,408037.0
2020-06-09,94.71,94.99,91.25,92.86,286334.0
2020-06-08,95.5,98.61,94.94,95.86,572484.0
2020-06-05,91.26,95.67,90.51,93.47,369398.0
2020-06-04,90.3,91.93,88.085,90.23,329733.0
2020-06-03,88.95,90.695,88.865,90.22,300078.0
2020-06-02,88.38,88.999,86.6,87.82,234294.0
2020-06-01,82.39,87.66,82.27,87.33,479357.0
2020-05-29,85.5,85.77,80.5,81.72,551191.0
2020-05-28,84.54,86.17,84.0,85.78,397747.0
2020-05-27,83.03,84.6,81.5,84.25,982468.0
2020-05-26,85.14,87.73,84.05,85.0,365923.0
2020-05-22,81.0,82.99,80.347,82.88,224128.0
2020-05-21,79.41,81.5,79.35,80.5,262418.0
2020-05-20,79.41,80.44,77.49,79.21,227671.0
2020-05-19,76.34,79.6,75.52,77.78,294215.0
2020-05-18,76.13,78.64,75.53,76.23,280049.0
2020-05-15,72.02,74.24,71.33,74.02,213256.0
2020-05-14,70.0,71.89,66.86,71.88,298928.0
2020-05-13,74.01,74.553,70.08,70.78,364341.0
2020-05-12,73.96,76.414,72.37,74.33,322029.0
2020-05-11,73.87,75.51,72.89,73.48,251827.0
2020-05-08,76.11,77.0,73.85,75.51,427184.0
2020-05-07,75.5,76.78,72.13,76.04,710769.0
2020-05-06,78.32,79.23,77.111,78.11,283990.0
2020-05-05,78.44,79.5,76.398,77.07,231238.0
2020-05-04,73.63,76.75,73.15,76.39,182893.0
2020-05-01,76.52,76.63,72.7,75.13,369510.0
2020-04-30,79.9,80.14,77.09,78.46,268596.0
2020-04-29,79.35,80.95,78.35,80.24,301770.0
2020-04-28,79.66,80.31,76.47,77.0,325320.0
2020-04-27,75.75,77.97,75.52,76.7,294843.0
2020-04-24,73.04,74.55,71.0,74.14,221529.0
2020-04-23,72.0,74.115,72.0,73.04,211110.0
2020-04-22,72.77,73.02,71.54,71.62,147864.0
2020-04-21,70.5,72.84,69.76,71.3,184070.0
2020-04-20,71.68,73.43,70.25,71.73,225198.0
2020-04-17,75.59,76.343,72.15,73.44,337379.0
2020-04-16,71.22,73.32,69.379,73.17,359822.0
2020-04-15,73.26,75.12,70.18,71.22,371176.0
2020-04-14,74.95,77.506,74.5,76.45,435702.0
2020-04-13,73.38,73.637,68.79,72.94,551724.0
2020-04-09,71.14,77.48,64.675,75.52,1687177.0
2020-04-08,72.54,72.987,68.1,69.15,814526.0
2020-04-07,75.0,76.0,69.3,70.13,636193.0
2020-04-06,70.8,72.5,68.36,70.92,512024.0
2020-04-03,69.0,69.989,65.75,66.59,398805.0
2020-04-02,68.9,72.78,67.5,68.92,313494.0
2020-04-01,71.0,71.968,68.0,69.05,505718.0
2020-03-31,80.5,80.79,73.55,75.93,1043910.0
