date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,11.25,11.32,10.95,10.99,747930.0
2021-03-17,10.93,11.27,10.91,11.25,961260.0
2021-03-16,11.03,11.03,10.76,10.85,901323.0
2021-03-15,10.78,11.235,10.63,11.1,1177158.0
2021-03-12,10.76,10.81,10.565,10.76,1043259.0
2021-03-11,10.73,10.845,10.495,10.71,589648.0
2021-03-10,10.42,10.76,10.35,10.69,604340.0
2021-03-09,10.6,10.6,10.26,10.37,668968.0
2021-03-08,10.34,10.57,10.19,10.47,541920.0
2021-03-05,10.45,10.46,9.68,10.2,792715.0
2021-03-04,10.47,10.63,10.04,10.28,1119231.0
2021-03-03,10.39,10.665,10.3466,10.53,1097620.0
2021-03-02,10.4,10.44,10.03,10.18,824665.0
2021-03-01,10.73,10.73,10.33,10.47,1251736.0
2021-02-26,10.16,10.71,10.03,10.35,1868946.0
2021-02-25,10.5,10.69,10.0,10.07,1116209.0
2021-02-24,10.19,10.85,10.02,10.52,1226699.0
2021-02-23,10.0,10.21,9.52,10.19,2521169.0
2021-02-22,9.93,10.46,9.93,10.07,1415470.0
2021-02-19,9.92,10.21,9.8,9.99,991679.0
2021-02-18,10.01,10.1,9.85,9.86,890638.0
2021-02-17,9.98,10.165,9.7263,10.05,646005.0
2021-02-16,9.8,10.12,9.7,10.1,2278418.0
2021-02-12,9.67,10.0473,9.6498,9.69,1255013.0
2021-02-11,9.49,9.7561,9.4,9.74,1486247.0
2021-02-10,9.28,9.64,9.235,9.44,3142908.0
2021-02-09,9.22,9.28,8.935,9.17,2692246.0
2021-02-08,8.88,9.465,8.81,9.28,3502880.0
2021-02-05,9.06,9.15,8.71,8.81,1007616.0
2021-02-04,8.76,9.07,8.74,8.95,1364837.0
2021-02-03,8.67,8.84,8.485,8.76,610510.0
2021-02-02,8.62,8.8189,8.51,8.74,527243.0
2021-02-01,8.2,8.58,8.1,8.57,2148541.0
2021-01-29,8.49,8.49,8.06,8.1,2586066.0
2021-01-28,8.28,8.84,8.2,8.57,1627073.0
2021-01-27,8.37,8.505,8.06,8.18,1376168.0
2021-01-26,8.79,8.79,8.45,8.48,954250.0
2021-01-25,8.71,8.79,8.41,8.66,1577010.0
2021-01-22,8.6,8.8,8.42,8.76,741754.0
2021-01-21,8.88,8.88,8.68,8.7,786087.0
2021-01-20,8.82,8.92,8.695,8.91,914474.0
2021-01-19,8.93,8.9399,8.64,8.86,1230912.0
2021-01-15,8.69,8.92,8.61,8.85,1495926.0
2021-01-14,8.89,8.99,8.66,8.77,1830393.0
2021-01-13,8.68,8.7972,8.58,8.74,891175.0
2021-01-12,8.69,8.79,8.5,8.68,1343788.0
2021-01-11,8.51,8.72,8.48,8.65,4375853.0
2021-01-08,8.74,8.7536,8.6,8.61,5868059.0
2021-01-07,8.79,8.95,8.47,8.72,4018772.0
2021-01-06,9.0,9.73,9.0,9.51,1341855.0
2021-01-05,8.61,8.93,8.61,8.85,629746.0
2021-01-04,9.09,9.23,8.57,8.6,569158.0
