date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,20.5,20.65,20.5,20.55,7152.0
2021-03-12,20.52,20.7,20.5,20.5,12525.0
2021-03-11,20.74,20.9055,20.57,20.57,10337.0
2021-03-10,20.68,20.68,20.6333,20.6333,10196.0
2021-03-09,20.71,20.71,20.52,20.5886,9380.0
2021-03-08,20.79,20.805,20.55,20.55,18934.0
2021-03-05,20.84,20.84,20.75,20.77,13701.0
2021-03-04,20.93,20.97,20.82,20.8499,10979.0
2021-03-03,20.95,20.99,20.91,20.91,9305.0
2021-03-02,20.93,21.14,20.802,21.06,33146.0
2021-03-01,21.0,21.04,20.79,21.03,7236.0
2021-02-26,20.95,21.0991,20.77,20.98,9838.0
2021-02-25,20.82,21.0,20.82,21.0,12436.0
2021-02-24,21.07,21.09,20.7625,21.014,9943.0
2021-02-23,21.21,21.22,21.05,21.05,23317.0
2021-02-22,21.22,21.22,21.135,21.21,8114.0
2021-02-19,21.19,21.22,21.0919,21.22,12304.0
2021-02-18,21.29,21.29,21.2,21.2,7834.0
2021-02-17,21.44,21.5418,21.1441,21.31,10939.0
2021-02-16,21.64,21.67,21.3754,21.617,39096.0
2021-02-12,21.68,21.72,21.3663,21.72,21072.0
2021-02-11,21.42,21.72,21.3069,21.71,5513.0
2021-02-10,21.22,21.37,21.22,21.37,7659.0
2021-02-09,20.89,21.23,20.566,21.22,9194.0
2021-02-08,20.87,20.95,20.63,20.82,10137.0
2021-02-05,20.9,20.93,20.77,20.89,10285.0
2021-02-04,20.66,20.887,20.66,20.8,17955.0
2021-02-03,20.67,20.83,20.66,20.73,20935.0
2021-02-02,20.77,20.79,20.7,20.78,22906.0
2021-02-01,20.57,20.876,20.4701,20.62,12540.0
2021-01-29,20.77,20.91,20.47,20.47,48696.0
2021-01-28,20.92,21.2332,20.85,20.93,13340.0
2021-01-27,21.06,21.258,20.8802,21.05,12180.0
2021-01-26,21.6,21.605,21.12,21.12,15929.0
2021-01-25,21.69,21.69,21.51,21.61,10527.0
2021-01-22,21.73,21.73,21.59,21.7,19128.0
2021-01-21,21.31,21.77,21.24,21.77,6084.0
2021-01-20,21.46,21.46,21.18,21.23,8658.0
2021-01-19,20.88,21.4,20.7,21.35,17811.0
2021-01-15,20.93,20.93,20.68,20.71,10408.0
2021-01-14,20.89,21.5,20.64,20.91,20220.0
