date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,19.53,21.7,19.53,21.42,317064.0
2021-03-12,19.51,19.79,18.34,19.54,402109.0
2021-03-11,19.89,20.33,19.4,20.14,261767.0
2021-03-10,18.34,19.57,18.2,19.53,214086.0
2021-03-09,19.6,19.87,18.43,18.43,185618.0
2021-03-08,18.75,19.6,18.5,19.53,320404.0
2021-03-05,18.11,18.53,17.5,18.51,258628.0
2021-03-04,18.71,18.9574,17.395,17.73,291135.0
2021-03-03,18.12,18.99,17.95,18.65,221473.0
2021-03-02,17.81,18.27,17.49,18.0,218174.0
2021-03-01,17.85,17.97,17.3651,17.63,157028.0
2021-02-26,18.38,18.38,17.14,17.34,154516.0
2021-02-25,18.72,18.9493,18.195,18.3,179772.0
2021-02-24,18.87,19.03,18.36,18.68,211436.0
2021-02-23,19.51,19.51,18.08,18.57,246179.0
2021-02-22,19.89,20.188,19.52,19.54,144477.0
2021-02-19,19.38,19.96,19.38,19.8,159356.0
2021-02-18,20.29,20.55,19.1201,19.31,191242.0
2021-02-17,21.05,21.05,20.0132,20.26,142041.0
2021-02-16,20.76,21.335,20.01,21.04,257856.0
2021-02-12,18.92,20.4507,18.885,20.15,244704.0
2021-02-11,19.3,19.36,18.57,18.98,148166.0
2021-02-10,18.83,19.4,18.7318,19.24,184804.0
2021-02-09,18.53,19.0222,18.28,18.77,144146.0
2021-02-08,17.97,18.8,17.92,18.6,278376.0
2021-02-05,16.93,17.76,16.81,17.72,201128.0
2021-02-04,16.78,17.07,16.51,16.66,205899.0
2021-02-03,16.07,16.93,16.07,16.83,165125.0
2021-02-02,16.0,16.28,15.8,16.16,177721.0
2021-02-01,16.0,16.08,15.45,15.79,233712.0
2021-01-29,16.12,16.79,15.92,16.01,192623.0
2021-01-28,16.43,16.48,16.01,16.14,207179.0
2021-01-27,16.61,16.7709,16.16,16.31,171117.0
2021-01-26,17.17,17.8,16.99,17.11,142878.0
2021-01-25,17.2,17.25,16.72,17.15,146486.0
2021-01-22,16.67,17.26,16.455,17.23,147499.0
2021-01-21,17.36,17.405,16.74,17.0,134032.0
2021-01-20,17.87,17.87,17.07,17.27,133860.0
2021-01-19,18.32,18.6306,17.42,17.56,225727.0
2021-01-15,18.5,18.875,17.94,18.07,91710.0
2021-01-14,18.64,19.47,18.572,18.94,83722.0
2021-01-13,19.04,19.09,18.31,18.48,91077.0
2021-01-12,18.25,19.5,18.25,18.98,208431.0
2021-01-11,18.04,18.0784,17.28,17.91,175779.0
2021-01-08,18.2,19.38,18.115,18.58,163772.0
2021-01-07,17.36,18.44,17.2801,18.23,154809.0
2021-01-06,17.44,17.94,17.22,17.32,193398.0
2021-01-05,17.36,17.84,17.0,17.05,166438.0
2021-01-04,16.63,17.5,16.46,17.35,155445.0
2020-12-31,16.4,16.79,16.2002,16.33,154338.0
2020-12-30,16.3,16.53,15.94,16.38,162342.0
2020-12-29,16.35,16.35,15.76,16.19,103789.0
2020-12-28,16.79,16.79,16.14,16.24,104023.0
2020-12-24,16.61,16.7,16.07,16.55,63342.0
2020-12-23,15.8,17.1,15.79,16.54,145883.0
2020-12-22,16.05,16.05,15.44,15.63,230212.0
2020-12-21,16.55,16.8,15.795,16.21,216271.0
2020-12-18,17.5,17.7,17.08,17.08,301064.0
2020-12-17,17.56,17.6,17.2,17.46,99700.0
2020-12-16,17.91,17.95,17.4,17.47,111321.0
2020-12-15,17.62,17.95,17.24,17.77,133440.0
2020-12-14,18.5,18.605,17.425,17.49,168820.0
2020-12-11,19.09,19.34,18.58,18.66,103274.0
2020-12-10,18.15,19.4,18.15,19.31,176419.0
2020-12-09,18.34,18.62,18.06,18.24,117422.0
2020-12-08,18.22,18.78,18.22,18.34,103777.0
2020-12-07,18.4,18.7,18.21,18.34,160635.0
2020-12-04,17.51,18.8,17.51,18.36,185045.0
2020-12-03,16.7,17.37,16.7,17.27,90749.0
2020-12-02,16.89,17.28,16.67,16.82,130306.0
2020-12-01,17.25,17.86,16.85,16.93,248378.0
2020-11-30,17.45,17.5,16.48,16.89,261410.0
2020-11-27,17.52,18.0,17.17,17.76,64900.0
2020-11-25,17.32,17.66,16.6,17.56,173989.0
2020-11-24,18.07,18.13,17.06,17.33,328107.0
2020-11-23,17.2,18.01,17.2,17.71,205280.0
2020-11-20,16.68,17.25,16.51,17.06,137239.0
