date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,3.25,3.25,3.04,3.14,516280.0
2021-03-12,3.15,3.24,3.09,3.18,1374420.0
2021-03-11,2.86,3.28,2.86,3.2,1310308.0
2021-03-10,2.79,2.92,2.79,2.86,499518.0
2021-03-09,2.65,2.81,2.53,2.79,503782.0
2021-03-08,2.69,2.74,2.56,2.6,308251.0
2021-03-05,2.76,2.81,2.35,2.71,562947.0
2021-03-04,2.91,2.92,2.47,2.63,919034.0
2021-03-03,3.09,3.26,2.82,2.87,1070731.0
2021-03-02,3.08,3.3271,3.025,3.12,870041.0
2021-03-01,3.12,3.37,3.06,3.12,1426533.0
2021-02-26,3.12,3.14,2.86,3.04,744160.0
2021-02-25,3.34,3.5802,3.05,3.14,1402278.0
2021-02-24,3.1,3.41,3.08,3.34,1567522.0
2021-02-23,3.3,3.31,2.82,3.12,1322874.0
2021-02-22,3.35,3.6399,3.32,3.38,1281125.0
2021-02-19,3.25,3.4899,3.19,3.31,2148530.0
2021-02-18,3.59,3.59,3.0,3.27,2002585.0
2021-02-17,4.17,4.1889,3.35,3.54,3065658.0
2021-02-16,4.19,4.78,3.92,4.2,5301841.0
2021-02-12,3.04,5.35,2.9391,4.43,23277263.0
2021-02-11,3.41,3.5,2.8834,3.09,589095.0
2021-02-10,3.54,3.82,3.35,3.55,494347.0
2021-02-09,3.15,3.44,3.07,3.44,361128.0
2021-02-08,2.93,3.17,2.93,3.15,184998.0
2021-02-05,2.97,3.0396,2.89,2.94,81666.0
2021-02-04,2.85,2.9002,2.7,2.87,177026.0
2021-02-03,2.86,2.95,2.77,2.83,188375.0
2021-02-02,3.0,3.04,2.81,2.86,122761.0
2021-02-01,2.75,2.99,2.72,2.9073,184478.0
2021-01-29,2.85,2.9299,2.7,2.75,148817.0
2021-01-28,2.64,2.85,2.6,2.82,503840.0
2021-01-27,2.69,2.86,2.61,2.64,239643.0
2021-01-26,2.79,2.8482,2.73,2.74,108508.0
2021-01-25,2.8,2.8175,2.511,2.77,228325.0
2021-01-22,2.77,2.83,2.68,2.8,275095.0
2021-01-21,3.18,3.1964,2.82,2.85,339572.0
2021-01-20,3.36,3.44,3.13,3.15,289415.0
2021-01-19,3.27,3.6,3.27,3.33,560129.0
2021-01-15,3.18,3.25,3.04,3.2,176908.0
2021-01-14,3.05,3.22,3.05,3.18,171849.0
2021-01-13,3.12,3.12,2.95,3.04,151033.0
2021-01-12,2.97,3.1781,2.97,3.11,269465.0
2021-01-11,2.85,3.02,2.85,2.9,205135.0
2021-01-08,2.95,3.08,2.85,2.97,463327.0
2021-01-07,2.8,3.0,2.77,2.92,236959.0
2021-01-06,2.72,2.88,2.63,2.81,415699.0
2021-01-05,2.59,2.92,2.51,2.79,1018502.0
2021-01-04,2.47,2.47,2.32,2.4,351422.0
2020-12-31,2.5,2.52,2.42,2.43,78227.0
2020-12-30,2.49,2.57,2.45,2.49,197233.0
2020-12-29,2.39,2.48,2.31,2.47,115156.0
2020-12-28,2.42,2.49,2.37,2.41,190530.0
2020-12-24,2.53,2.55,2.41,2.45,154019.0
2020-12-23,2.27,2.59,2.27,2.51,558591.0
2020-12-22,2.4,2.4,2.17,2.27,462005.0
2020-12-21,2.35,2.49,2.3,2.42,227331.0
2020-12-18,2.52,2.55,2.41,2.41,259257.0
2020-12-17,2.51,2.585,2.43,2.55,217094.0
2020-12-16,2.58,2.61,2.41,2.5,183054.0
2020-12-15,2.4,2.6157,2.36,2.56,204576.0
2020-12-14,2.68,2.68,2.35,2.37,318465.0
2020-12-11,2.7,2.7,2.51,2.56,436800.0
2020-12-10,2.28,2.6922,2.25,2.65,564086.0
2020-12-09,2.38,2.4,2.25,2.29,168740.0
2020-12-08,2.22,2.38,2.18,2.33,224792.0
2020-12-07,2.33,2.3498,2.21,2.26,236205.0
2020-12-04,2.11,2.47,2.11,2.34,1019945.0
2020-12-03,1.94,2.14,1.94,2.05,324800.0
2020-12-02,1.85,1.98,1.81,1.94,136723.0
2020-12-01,1.96,2.0,1.86,1.9,223604.0
2020-11-30,1.94,2.0122,1.87,1.89,162342.0
2020-11-27,1.97,2.05,1.95,2.0,161961.0
2020-11-25,2.02,2.04,1.9296,2.0,169075.0
2020-11-24,1.92,2.0876,1.9,2.04,649871.0
2020-11-23,1.7,1.89,1.7,1.87,324139.0
2020-11-20,1.85,1.85,1.65,1.68,188628.0
